,0,1,2,3,4,5,6,7,8,9,10,11,12,13
s02T1622,0.3677315592153829,0.0,0.0,0.0,0.0,0.02764780693820041,0.0,0.0,0.19887974942141093,0.0,0.000590065807704812,0.0,0.002444678040691948,0.402706140576609
s03T1622,0.4309871367949279,0.0,0.0,0.0,0.0,0.023055249917817912,0.0,0.0,0.153932989333207,0.016135888450387284,0.005836498278777413,0.0,0.012829530517405135,0.3572227067074774
s04T1622,0.3115296323512912,0.0,0.0009643958279114451,0.0,0.0,0.02658079535941662,0.0,0.0031171698202543557,0.13389116438759774,0.02510985509037977,0.0,0.0,0.003952664071899368,0.4948543230912495
s05T1622,0.3926561507502795,0.0,0.0,0.0,0.0,0.026288420783264925,0.0,0.0,0.1540147228098514,0.028794657796349984,0.010302081282396337,0.0,0.00989362403853366,0.3780503425393241
s06T1622,0.4661715170899698,0.0,0.03921503493871218,0.0,0.0,0.009083348799792133,0.0,0.0,0.07565767478748962,0.041265751045136155,0.01703075824208739,0.0,0.02786671802253273,0.3237091970742799
s07T1622,0.4340466260141838,0.0,0.047396253949071085,0.0,0.0,0.0,0.0,0.0,0.062006737245120784,0.07953198899162234,0.010839858249107432,0.0,0.044783286500713206,0.3213952490501812
s08T1622,0.0,0.5306973577598676,0.017201958357072757,0.022501570573792446,0.0,0.0,0.0,0.0,0.0,0.00039635642163283785,0.0,0.4258566223754381,0.0,0.0033461345121963315
s09T1622,0.0,0.4590093764498147,0.01604481129003866,0.018709688675397983,0.0,0.0,0.0,0.011088039598644297,0.0022076301851830693,0.046870611099383334,0.0,0.4460698427015379,0.0,0.0
s10T1622,0.0,0.13065084910021896,0.003551736813601029,0.0015513981542728034,0.0005181298759813244,0.0017223434093006427,0.0,0.023660486778744865,0.01568691181792495,0.3546103544986865,0.0,0.468047789551269,0.0,0.0
s11T1622,0.0,0.0,0.027112907629195635,0.028019629974403815,0.0,0.0,0.0,0.04560453503261672,0.009757066830712735,0.2672564535814742,0.0,0.6090990928474291,0.013150314104167787,0.0
s12T1622,0.0,0.0173494943226827,0.0,0.0,0.0,0.0,0.0,0.1633260806125313,0.04632048980953126,0.73383681352348,0.0034296791321957593,0.03425117310514376,0.0014862694944353108,0.0
s13T1622,0.0,0.1086055888103729,0.0,0.0,0.0004831524703350598,0.01602094614168716,0.0,0.13153711113558925,0.07608022579548328,0.6313707643437224,0.008837814854894599,0.027064396447915355,0.0,0.0
s14T1622,0.0,0.033431377201472136,0.0,0.0,0.0004140876754911934,0.023061616882957395,0.0,0.1183377687329415,0.1468210626367827,0.5861557404198694,0.052224093185339424,0.0,0.03955425326514619,0.0
