,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
s02T1622,0.0,0.0,0.2485310581819624,0.0,0.0,0.0,0.0,0.0057469785618703036,0.0,2.286880714608957,0.0,0.0,0.0,0.0,0.0,3.527971182626879,0.0,0.0008732024569828018,1.1142548440814717,0.0,0.08289738001419823,0.0,0.01627216407517304,0.16246318930542467,0.0,0.0,0.14456731413282428,0.0,0.12387963773970548,0.0,0.0,0.0,0.0,0.0,0.04253023055274151,1.892104187767002,0.0,0.0,0.0,1.0255124428120197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002236417504431588,0.0,0.0253043041429168,0.0,0.0,0.0,0.04378634121357199,0.0,0.3514182731192423,0.0,0.0,0.0,0.0,0.0,0.0,0.06739201304904797,0.0,0.0,0.0,0.002500093218326179,0.0,0.0,0.2181948162804492,0.0,0.0,0.0,0.0,0.0,0.029590494443028973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052877120337637966,0.0,0.0,1.682326572089081,0.0,1.220963186871228,1.3552494177457521,0.0,0.0,0.0,0.49649566271660117,3.3748091241907545
s03T1622,0.30902798038492174,0.0,0.9487705434917864,0.0,0.0,0.02050920513588315,0.0,0.020330312626550745,0.003566195276429736,3.4805260667363727,0.0,0.0,0.0,0.0,0.0,4.673908731515891,0.0,0.2004817411079875,2.525284180263603,0.0,0.3017883171034499,0.0,0.18981386729291713,0.7819251416345102,0.0,0.0,0.11867016668905023,0.0,1.0198656943482798,0.12525745850421743,0.0,0.0,0.0,0.0,0.348531355864388,2.9639217568765166,0.0,0.0,0.0,2.6300113850736855,0.0,0.0,0.0,0.0,0.0,0.09735358258084857,0.0,0.0,0.0,0.07979051134873183,0.0,0.0,0.0,0.1170841250049581,0.0,0.7759529421879929,0.27742032904760494,0.0,0.0,0.0,0.0,0.0,0.5020445428055118,0.0,0.0,0.0,0.2681369879873699,0.0,0.0,2.1388789603467724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03351612502586422,0.049449867396833457,0.0,0.14352934607333712,0.08699117057139805,0.0,2.811504352285795,0.0,8.76801578233729,3.533816845091866,0.0,0.0,0.0,0.3549049214601739,8.665964953213225
s04T1622,0.0,0.0,0.9871913252328429,0.0,0.0,0.0,0.0,0.02330047061193302,0.0,3.317301663399066,0.0,0.0,0.0,0.0,0.0,6.622931990844,0.0,0.2258163585492096,2.935282813880339,0.0,0.13796662013770977,0.0,0.24127407860687808,1.6444750574691176,0.0,0.016287877592012095,0.325387818535605,0.0,0.9195535254882445,0.0,0.0,0.0,0.0,0.0,0.17123943311909082,3.5170618765189117,0.0,0.0,0.0,1.5207430845469232,0.0,0.0,0.0,0.0,0.0,0.018521817916337415,0.0,0.05029601669761402,0.0,0.10373867383440594,0.003573089786938012,0.0,0.0,0.11482586979873534,0.0,0.49679868798848825,0.4815312634948137,0.0,0.0,0.0,0.0,0.0,0.1985466967594654,0.0,0.0,0.0,0.272233938286319,0.0,0.0,2.5987198787424357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017480127259575408,0.0,0.30581588461965975,0.0,0.041433519894153614,0.08302505742181082,0.0,5.034147235622892,0.0,3.0061337176636926,5.001129420051083,0.0,0.0,0.0,1.3422470062663021,8.723595072126232
s05T1622,0.1707493806837298,0.0,1.0154669464176045,0.0,0.0,0.0,0.0,0.024164424967314944,0.0,5.989627089642418,0.32205140467965,0.0,0.0,0.09646940692006656,0.0,13.03997063606703,0.0,0.39477737720347933,3.6804409921181542,0.0,0.958051173705222,0.0,0.19165828715560584,2.6258589475492635,0.0,0.018682185027761016,0.5182596476743319,0.0,0.4116888442084488,0.15108352537751174,0.0,0.0,0.0,0.0,0.9797617833235539,3.3118561487568488,0.0,0.0,0.0,4.614456999424524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13335354049216738,0.0,0.27909078105156965,0.0,0.0,0.0,0.5262337795442931,0.0,1.3828129948991765,0.18202269884300568,0.0,0.0,0.0,0.0,0.0,0.5805214574806591,0.0,0.0,0.0,0.3773423564422599,0.0,0.0,3.3927074581987133,0.0,0.0,0.0,0.0,0.0,0.2363340584278102,0.11627853202497503,1.9461267063093122,0.008916958541004428,0.0,0.0,0.16048973524153426,0.0,0.2611966494056198,0.13067927288650208,0.0,4.6653264271765424,0.0,11.409449017090818,6.185652098795969,0.0,0.0,0.0,1.0630501445673508,13.76093677838728
s06T1622,0.0,0.0,2.56654507738644,0.0,0.0,0.4244932229259951,0.0,0.02940606019668532,0.22198311626229736,1.798398005679434,0.26917804900608194,0.0,0.0,0.1766146251953296,0.0,3.968576099207457,0.0,0.4894726811842009,3.4474064600316963,0.0,0.959634262180808,0.0,0.22520098563032515,0.746782251598406,0.0,0.030082705432432827,0.08965436946050749,0.0,0.40431947713758715,0.4136973678614143,0.0,0.0,0.0,0.0,0.47681057116028536,3.412618800126289,0.0,0.0,0.0,3.272171477848239,0.0,0.0,0.0,0.0,0.0,0.05436815251079174,0.0,0.020034632567620954,0.0,0.1471201366845522,0.0,0.0,0.0,0.21314995164902198,0.0,0.5026803729078411,0.0,0.0,0.0,0.0,0.0,0.0,1.3350948464514425,0.0,0.0,0.0,0.4315389392079683,0.0,0.0,1.5657108591087796,0.0,0.0,0.0,0.0019356375705001556,0.12910317193029117,0.10573560974322015,0.0,0.13311685873354878,0.0,0.0,0.03570136024633494,0.0,0.0,0.10559721238998583,0.4874891029648137,0.0,2.1309482493814857,0.0,20.74233504840247,5.262757514248514,0.0,0.0,0.0,0.6679421635797819,10.924854237819178
s07T1622,0.0,0.0,0.5286126474455856,0.0,0.0,0.0,0.0,0.020440392009584838,0.051814122687606004,0.3303916683502214,0.019759415837284324,0.0,0.0,0.08432661967386208,0.0,0.4295505416572939,0.0,0.012399349290902575,2.4091090776876687,0.0,0.058700348203371645,0.0,0.08753445576643713,0.19287220790844647,0.0,0.016774438257409464,0.05021181152007636,0.024390372515047356,0.20882591811280057,0.27427999276631804,0.0,0.006363687430703177,0.0,0.0,0.0,1.741694956059057,0.0,0.0,0.0,0.611009310407859,0.019624127977417125,0.0,0.0,0.0,0.0,0.05788437075098113,0.0,0.0,0.0,0.061031690520329425,0.005588358938847109,0.0,0.0,0.021873694313646382,0.0,0.0036249777016892416,0.0,0.0,0.0,0.0,0.0,0.0,0.483599862165148,0.0,0.0,0.0,0.38757466123444945,0.0,0.0,0.0,0.0,0.0,0.0,0.01221617057530399,0.0,0.039187847007590995,0.0,0.0,0.0,0.0,0.010644298429005937,0.0,0.012467055739363636,0.0,0.21561634259782056,0.0,0.3523100247715034,0.0,0.0,3.372519519968767,0.0,0.0,0.0,0.18654303027814173,4.696677609237801
s08T1622,0.0,5.416913575231953,0.09080286675650132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9286862277900148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053588955444302186,0.0,0.0,0.0363571168867317,0.0,0.045297491826964915,0.026751591824347717,0.0,0.0,0.017533542405084368,0.0,0.0,1.219961160869167,0.0,3.559348790112408,0.0,0.0,0.0,0.0,0.27943665972444326,0.0,0.0,0.0,0.0,3.3328356874826537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4686099239111463,0.2116611749028526,0.0,0.0,1.344259248555586,0.0,0.0,0.018915090590798538,0.0,0.09063900140824203,0.0,2.4352000175416375,0.0,0.0,2.121598724425256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01590201269819303,0.0,0.0,0.0,0.0,0.0,0.0,8.825780573271082,0.0,0.0,0.0
s09T1622,0.0,0.0,0.22483357549312238,0.3519675898343323,0.0,0.0,0.0023825093066438315,0.0,0.0,0.0,0.0,4.554868779548704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12191349715839497,0.0,0.0,0.7544911391858304,0.12050616459509543,0.0,0.062465972681032024,0.0,0.0,0.4119414761657912,0.0,0.1726013382142435,0.014337087256425884,0.0,0.001081584919344083,0.0,0.14494330490005072,0.0004312476386166635,0.6554728344018766,0.0,3.6419838222208014,0.0,0.0,0.005313109538963709,0.035930631334822966,0.6014529389278819,0.0,0.08158086853324946,0.0,0.0,3.68768953754558,0.0,0.0,0.08741104607408588,0.0,0.0,0.0,0.2829683435333203,0.0,0.6584719658787443,0.09583164848451534,0.0,0.0,0.6485600452977471,0.0,0.0,0.2384975353836652,0.0,0.3726531314245463,0.0,0.24655013871829023,0.0,0.1878591393750378,0.15785162964853539,0.0,0.0,0.18795483241570934,0.0,0.5160337731724077,0.0,0.0,0.029896687451770328,0.0,0.0,0.12257292243668272,0.0,0.0,0.0,0.0,0.0,0.0,3.378338980407087,3.5904529845745023,0.0,0.04178044088797537
s10T1622,0.0,0.902548988461629,0.4701091984600305,0.013427542334902315,0.0,0.0,0.0011531890503644515,0.0,0.0,0.0,0.0,9.733075460539972,0.0,0.0,0.0,0.0,0.1397364827960958,0.2567217419299193,0.0,0.004531919978019552,0.49239263385850807,0.0,0.0,3.9114277098412757,2.2972332043294355,0.0,0.0,0.0,0.0,0.4562739179320467,0.0,0.23000329142892342,0.0,0.0,0.04538157225069925,0.0,2.134538941389088,0.0,0.2485781011546762,0.0,3.336680634872345,0.0,0.0,0.0,0.053393330126270476,0.5532287107745212,0.0,0.6647028954848422,0.0,0.0,0.9825421840050041,0.0,0.0,0.7099629188616334,0.0,0.0010593778917441492,0.0,2.8860409193156276,0.0,0.3964910898827521,0.0,0.0,0.0,0.0,0.0,0.0,0.45031700081891685,0.0,0.3692966447351659,0.0,0.0,0.0,0.5921268640257185,0.0,0.0,0.0,0.6283364518534311,0.0,7.082505448114148,0.0,0.0,0.15943403071660578,0.0,0.3081686158480557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3614538743997912,3.960851937803937,0.0,0.4152067116221559
s11T1622,0.0,0.0,1.466802832178605,1.279543297289769,0.0,0.0,0.0,0.0,0.0,0.06060254239921455,0.07616326749859535,23.69853904987588,0.009172958563756958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.946714463380729,0.0,0.0,6.940518177963232,0.0,0.0,0.0,0.0,0.0,1.230988179828656,0.0,0.643733367224503,0.08231684509079408,0.0,0.0,0.0,0.10162740986880821,0.038506530336866525,0.0012528279064506875,0.0,4.741145150478529,0.0,0.0,0.05802132257682823,0.08987954397292976,0.791460023982354,0.04490795846097186,1.6348435658886042,0.0,0.9005229634644422,0.3526510394231288,0.0,0.01339190502915384,0.04523767029517839,0.31311977148634507,0.0,0.0,2.32446042715674,0.8895720794079202,1.1842239143988296,0.0,0.0,0.09983163571170883,1.2506176034445184,0.0,0.04065494563966553,3.0653543796365343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2706709075207744,0.22841238714493795,1.813867700140228,0.48269677753150675,3.04086366754607,7.808882367587669e-05,0.0,0.2749283577388813,0.0,0.07976921278435808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4779025712856804,8.452985527773263,0.0,0.21921522398267673
