,0,1,2,3,4,5,6
s02T1622,0.749165251274114,0.0,0.03900414436772418,0.0,0.0,0.1988424889779203,0.012988115380241352
s03T1622,0.6663070444754555,0.0,0.06643568370701255,0.0,0.0,0.23290633597715296,0.03435093584037916
s04T1622,0.6651715364171918,0.0,0.09709780056459827,0.0,0.0,0.2256776832733544,0.012052979744855573
s05T1622,0.666753912549135,0.0,0.0634798761810448,0.0,0.0,0.22238228871900861,0.047383922550811655
s06T1622,0.4690720382798355,0.0,0.15351914653606485,0.0,0.0,0.28629708100555545,0.09111173417854422
s07T1622,0.43510410098406754,0.003369217953199078,0.20324128054449628,0.02017210264204334,0.0,0.26123367962834176,0.07687961824785197
s08T1622,0.0,0.9464558544895109,0.024744824748363876,0.028704440301103255,0.0,0.0,9.488046102202311e-05
s09T1622,0.0029460296077416315,0.8911681603455341,0.035639465200498786,0.06784316138005003,0.0,0.0,0.0024031834661754335
s10T1622,0.08857096466640595,0.5425355578204487,0.1020983818447637,0.23258669209509153,0.0,0.0,0.03420840357329023
s11T1622,0.06583545103764497,0.44410707840020097,0.14333899109037782,0.30111146091785035,0.0,0.0,0.04560701855392586
s12T1622,0.21416640485277993,0.17514262375677714,0.1261194376748734,0.43332109862836277,0.0,0.0,0.05125043508720676
s13T1622,0.2925170112332606,0.22878650869691183,0.10117463404174695,0.3214734478751313,0.0,0.0,0.056048398152949486
s14T1622,0.4257475860218809,0.09876188384877445,0.09183324389892324,0.23285897247585033,0.0,0.0,0.15079831375457112
s15T1622,0.5573856732684151,0.024899282562334542,0.10031681801577404,0.07499486476880635,0.0,0.07901007817884721,0.16339328320582278
s02M1722,0.7371568054446482,0.0,0.057769921147082084,0.0,0.0,0.18237619047663542,0.022697082931634242
s03M1722,0.7251124587030542,0.0,0.055793265094465805,0.0,0.0,0.19079035400449165,0.028303922197988208
s04M1722,0.6462379912134291,0.0,0.07293922645387842,0.0,0.0,0.23412043199286156,0.046702350339831014
s05M1722,0.5903738667232653,0.002583958130193109,0.1176637012761167,0.0006086493934578396,0.0,0.2569043668310492,0.031865457645917875
s06M1722,0.50418024959319,0.0,0.13591608684934137,0.0019658632042506264,0.0,0.30114218322103165,0.056795617132186456
s07M1722,0.45029129852641564,0.005938600123973429,0.2178736108744858,0.026691908865876,0.0,0.2105160799254457,0.08868850168380356
s08M1722,0.0,0.8240358102171924,0.04522329807261126,0.11272250506253163,0.0,0.0,0.018018386647664645
s09M1722,0.08501457079624569,0.3632528532416843,0.15684889883422523,0.3633442415118621,0.0,0.0,0.031539435615982596
s10M1722,0.1787158414862014,0.31899998355658765,0.13617216640053567,0.3545785022102644,0.0,0.0,0.011533506346410927
s11M1722,0.06972377406996536,0.38130896335614883,0.16879723212822,0.36129460445236006,0.0,0.0,0.018875425993305734
s12M1722,0.11194937745544357,0.2438681803493868,0.19916543019344818,0.44501701200172145,0.0,0.0,0.0
s13M1722,0.09130985501427867,0.2894862675829067,0.20904981840315537,0.4101540589996592,0.0,0.0,0.0
s14M1722,0.20145573955657664,0.11763027629211495,0.18756676893362384,0.36496148137537376,0.0,0.013834545791963948,0.11455118805034685
s15M1722,0.3639896632759711,0.026822994483354786,0.15530524861914702,0.1295306959295853,0.0,0.07713405600899675,0.24721734168294512
s01X1722,0.3214047459032897,0.006858627866629634,0.43545332512879936,0.05155751444681386,0.0,0.1523734875443149,0.03235229911015253
s02T1722,0.46521143090438316,0.0327427286884952,0.2847692634466275,0.015097022535387892,0.0,0.17593298681340572,0.02624656761170054
s03T1722,0.3686538421599995,0.018090406047964667,0.3979981425309801,0.023465264911169677,0.0,0.16220595795449164,0.029586386395394675
s04T1722,0.6499630244796372,0.014121178404960459,0.1270460992999092,0.008230603844716565,0.0,0.17494400118570994,0.025695092785066702
s05T1722,0.5474558125935691,0.012454858908326349,0.19923115467326963,0.013206983498469955,0.0,0.2085933572580061,0.01905783306835878
s06T1722,0.6894125457602177,0.015744849356630234,0.10388960600061548,0.013388702275018788,0.0,0.15938792848204505,0.01817636812547266
s07T1722,0.16098252479315714,0.015399535032637059,0.5623015188562263,0.09673806881908557,0.0,0.11745729182815488,0.04712106067073916
