,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
s02T1622,4.669575837759167,0.0,2.8782497384986323,0.0,0.0,0.21784408368690217,0.0,0.0,0.0,1.9023519659171841,0.0,0.0,0.03842273717417939,0.0,0.0,2.3699287987361366,0.0,0.0,2.5618405725720947,0.0,0.058247698216455056,0.0,0.0,0.0,0.0,0.0,0.04421012235236753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792050513699093,0.9745888331030285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3717066970592235,0.0,0.0,0.051565650963262565,0.0,0.0
s03T1622,15.060077341756749,0.0,8.843834261910013,0.0,0.0,0.4447147404534505,0.0,0.0,0.0,2.872018295090901,0.007682796045856721,0.0,0.3651502912228896,0.0,0.0,3.1045060368771895,0.0,0.0,4.382522886279799,0.0,0.31505729702959645,0.0,0.0,0.0,0.0,0.0,0.4497342425421812,0.0,0.4850745037664914,0.12935277587881636,0.0,0.0,0.0,0.0,2.222079126455011,1.838516170470251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03865631781340245,1.734001811107628,0.0,0.17227737882734134,0.2293254066428176,0.0,0.0
s04T1622,3.9395572325045736,0.0,14.40325638116001,0.0,0.0,0.32355620592754275,0.0,0.0,0.0,2.8156405279470227,0.0,0.0,0.14482402583001716,0.0,0.0,4.422448916051549,0.0,0.0,8.164008426826149,0.0,0.13025346035584645,0.0,0.1124223807173088,0.0,0.0,0.02996276374501268,0.6666566951467183,0.0,0.6319159703799815,0.0,0.0,0.0,0.0,0.0,1.7522392903456836,1.9394135779448802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01114716060213876,3.4431088777145367,0.0031418074414962527,0.0,0.3237924670437165,0.0,0.0
s05T1622,25.304268690834995,0.0,19.235089365971625,0.0,0.0,0.7620567339013599,0.0,0.015238247917529535,0.0,5.147227558321855,0.2506671664464199,0.0,0.3842880633779718,0.0,0.0,8.697470510139404,0.0,0.0,6.787815382668957,0.0,1.0533318963112972,0.0,0.0,0.3878398013098217,0.0,0.0,0.0,0.0,0.08268301879938485,0.0,0.0,0.0,0.0,0.0,4.146889057331967,2.426849509403081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8407529029244203,0.0,0.10697395061387391,0.6338060604385629,0.0,0.0
s06T1622,18.518614641972423,0.0,11.65535231441186,0.0,0.0,0.25224661676325083,0.0,0.0,0.0,1.562716234278165,0.27563141076964637,0.0,0.9187709223739715,0.0,0.0,2.513065118915907,0.04744704316670157,0.0,3.041808503423798,0.0,1.1654741078188184,0.0,0.0,0.0,0.0,0.04135288217728276,0.278682229555405,0.0,0.8587438520594018,0.9380781185789644,0.0,0.0,0.0,0.0,2.8631278222598815,2.509320011335579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03274051158120477,2.8709218007083463,0.0,0.5924989391764099,0.32371307934791327,0.0,0.0
s07T1622,0.3551997643445816,0.0,6.635209220594892,0.0,0.0,0.0,0.0,0.0,0.0,0.3727964193173133,0.06188201205285494,0.0,0.3855959968698029,0.0,0.0,0.2597848979306334,0.09668328570452774,0.0,0.5755369957802131,0.0,0.0,0.0,0.14647460302677104,0.0,0.0,0.04948799262782861,0.13429243085460646,0.0,0.48154996187405796,0.2227932404300935,0.0027855237871085726,0.005641794200844487,0.0,0.0,1.432123877484633,1.4109685222627408,0.0,0.0,0.0,0.0,0.020155976671900742,0.1283460707281575,0.0,0.0,0.0,0.01563542906647873,0.306508590438706,0.023609980246585595,0.0,0.12107468193462777,0.0,0.0
s08T1622,0.0,1.3430069757547267,0.0,0.04435389845906304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.909150252904618,0.0,0.09281853714936758,0.2170580665800128,0.0,0.0,0.0,0.0,0.002027079379792901,0.0,0.0,0.0,0.13434192702820516,0.0,0.0,0.0,2.5699873247498144,0.02909507664462467,0.08967866957487113,0.0,0.0,0.0,0.0,0.0,0.0,0.334734932140016,0.17394519520853063,1.9045054683186693,0.0,5.5627654044210955,0.0,0.0,0.10323822218008429,0.0,0.0,0.0,0.0,0.0,0.0,3.9193861805314336,0.0
s09T1622,0.0,4.774675072524115,2.451012778655321,0.0,0.026058120118978095,0.0,0.0,0.14511843897356172,0.41374413661283554,0.015712857557768686,0.0,3.239568134388047,0.0,0.0,0.6773904041401474,0.0,0.02280207989587824,0.0,0.0,0.0,0.18808108481154545,0.005549424255965546,0.0,0.23832137229430708,0.1705487401609807,0.0,0.0,0.0,0.0,0.1893124766533946,0.0,0.138751521564026,0.0,0.0,0.0,0.0,0.07612228401537856,0.027306800956471207,1.0595629826835835,0.0,5.485575752355723,0.0,2.028341741417744,0.33423040670633153,0.0,0.0,0.0,0.0,0.0,0.0,3.571177942903924,0.0
s10T1622,0.0,10.0822135983543,11.268809838987195,0.0,0.0,0.0,0.0,0.6406986424994617,6.468655848551063,0.0,0.0,1.5352676200393995,0.0,0.0,0.0,0.0,0.0,0.6678153333823073,0.0,0.0,0.3703842931130417,0.00968285772117201,0.0,1.3546881714524497,2.248691391690035,0.0,0.0,0.0,0.0,0.25261921496485185,0.0,0.2115964713961206,0.0,0.0,0.0,0.0,0.7456056080999623,0.0,0.6812994820376919,0.0,5.100350673828706,0.0,0.9176428453280718,0.32910073680972945,0.0,0.0,0.0,0.0,0.0,0.0,0.7384682474462825,0.0
s11T1622,0.0,30.304075658909305,23.32853417805482,0.0,0.0,0.0,0.0,1.537604832979642,2.857861355335127,0.10130233313360411,0.0,7.02831558380907,0.0,0.0,1.6938874574710299,0.0,0.7920083417914736,0.0053260140989672125,0.0,0.0,4.081152617531931,0.009542737761400806,0.0,1.0475064283147395,0.2715067488619605,0.0,0.0,0.0,0.0,0.7490585000482974,0.0,0.5351618686488383,0.0,0.0,0.0,0.0,0.05656870909852137,0.0,0.45358204818473125,0.0,8.435334046288517,0.0,1.6096330719081922,0.3949372360415744,0.0,0.0,0.0,0.0,0.0,1.1999870490503493,0.0,0.0
