,0,1,2,3,4,5,6,7,8,9,10,11,12
s02T1622,4.12948263231552,0.0,0.0,0.0,0.0,0.3358935440503599,0.0,0.0,2.1338825579926204,2.3189036618083683,0.005265968830985474,0.0,0.0
s03T1622,9.579499024470373,0.0,0.0,0.0,0.0,0.5494914679346217,0.0,0.2177836210759818,3.3000429426776803,4.144099161062346,0.13775388694917165,0.0,0.28285936060852185
s04T1622,7.411657499481004,0.0,0.05847181412954357,0.0,0.0,0.6828309988580814,0.0,0.5366907766640632,3.1351788137066827,6.2340249313864575,0.0,0.0,0.04378004701832702
s05T1622,15.736644658851096,0.0,0.0,0.0,0.0,1.1298300017631866,0.0,0.7280508753093198,5.9882454811788355,7.99222079396425,0.4436777262605469,0.027752548797798968,0.4238604244305717
s06T1622,11.80211157678053,0.0,1.0394051286458204,0.0,0.0,0.2331258773968435,0.0,0.5037374774567982,1.8842810451329859,4.3650981426097895,0.47117589898283374,0.18811091555672207,0.8690842829106478
s07T1622,3.276850696445776,0.0,0.4083164514380752,0.0,0.0,0.0,0.0,0.36386158325052237,0.4732134952532591,1.3610477818899827,0.09409162294295528,0.09065943012097401,0.45570557479852297
s08T1622,0.0,10.255293874946542,0.25638283061154454,0.2979591395509527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.307604364959227,0.0
s09T1622,0.0,6.890294746052209,0.2501305457281628,0.2502702101974015,0.004228075916964898,0.0,0.035050063606877284,0.019967480345614092,0.01504008380917651,0.0,0.0,5.794786393149831,0.0
s10T1622,0.0,1.997928070105947,0.4430192236407737,0.0,0.0,0.04030327605436713,0.0,1.8536802309546467,0.22609978958010038,0.0,0.045888610867386,9.762084723384207,0.07063765237215909
s11T1622,0.0,0.27069966336188495,1.1858010532999776,0.5095960227846862,0.0,0.0,0.0,2.606985551849966,0.25441201880607084,0.0,0.022296792018610286,20.21091377623658,0.6629472701296671
s12T1622,0.0,0.0,0.22473407358878672,0.0,0.0,0.0,0.0,3.4512190657587962,0.3856540547834687,0.0,0.11099450569906452,4.255618963300357,0.5201668476377111
s13T1622,0.0,0.5679350407884968,0.2635196110543472,0.0,0.0,0.10944369619943042,0.0,3.118137477544392,0.6346774534721081,0.0,0.15430706790910428,3.8846578202983193,0.42229951295149615
s14T1622,0.0,0.04794039353950149,0.3943125240689539,0.0,0.0,0.21669929376974667,0.0,4.595330284882284,1.7621822349011327,0.39605614260317723,0.7713441689411152,4.7394517526489865,1.1491450784941855
s15T1622,2.7686352771450715,0.0,0.5903503753709785,0.0,0.0,0.16524924481966694,0.0,2.287590651157193,2.6462710776991574,2.134251264857154,0.9762275056467616,1.7617231755270064,0.8701047719340284
s02M1722,4.253729539534915,0.0,0.0,0.0,0.0,0.8214627340742076,0.0,0.1400144897282298,2.928099809530646,3.8316443261546826,0.07796583244545272,0.0,0.1797083799656875
s03M1722,6.512704957680581,0.0,0.0,0.0,0.0,0.90155600459507,0.0,0.13962329627394476,3.7145210484150057,4.199240821773874,0.1370849048057947,0.0,0.5729371143658649
s04M1722,4.897682166991714,0.0,0.0,0.0,0.0,0.5993444990070422,0.0,0.3486626094539492,1.8308939199407241,2.747390577844929,0.15233763827614308,0.0,0.6046051536753313
s05M1722,5.854066354635861,0.0,0.19015825032704584,0.0,0.0,0.8002071577279918,0.0,0.5879118096665262,1.9721696296829867,4.462150657521017,0.09464230068295089,0.0,3.998442474209032
s06M1722,4.483203083703546,0.0,0.21828584210358287,0.0,0.0,0.20082108651204583,0.0,0.32657129494728904,0.8690074035029307,1.886281108956188,0.10539493027557513,0.0,2.7892333190313376
s07M1722,6.458711035864506,0.0,1.868303754727835,0.0,0.0,0.5477618235553301,0.0,1.2367732504427138,1.5973850914833205,3.5441582863515824,0.4500282402399397,0.39478387778018315,3.5889521175977634
s08M1722,0.0,7.317050812673831,0.41222864559314476,1.1548939430683385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.113331630339975,0.0
s09M1722,0.0,0.0,0.23019712258494301,0.04486268551403584,0.0,0.0,0.0,0.9639495115256956,0.059746287221538026,0.0,0.0,3.9321577151355194,0.7203287941528376
s10M1722,0.0,0.37012482023456544,0.43292833277062104,0.0,0.0,0.1056961123594244,0.0,2.942488395211543,0.3492927649980377,0.0,0.009521236319747535,6.347293143209404,0.4657060163138349
s11M1722,0.0,0.0,0.6292682758059484,0.017505336345425247,0.0,0.0,0.022992928546877258,2.0558271430924586,0.09587847709742461,0.0,0.0,10.914285814631898,1.850841992571293
s12M1722,0.33126045316197045,0.0,0.8519932185288933,0.0,0.0,0.0,0.12130834256759959,4.408535179801557,0.24379637206596766,0.005600141989143457,0.0,8.535434503291906,1.2365062723412554
s13M1722,0.06499272525056593,0.0,1.1866961683755364,0.0,0.0,0.0,0.04401234627827104,4.869937795188783,0.2472765843196944,0.0,0.0,11.89978630644741,0.9066369761890426
s14M1722,0.0517262875660743,0.0,0.9147083615471246,0.0,0.0,0.05376497254442789,0.0,5.9614032943315305,0.5557107960768772,0.5366330559331307,0.49773405655948455,6.10550178876277,1.8220103472346125
s15M1722,2.8684927491616037,0.0,1.5154239750551055,0.0,0.0,0.606391960918944,0.0,5.3253428479262075,1.968628132968245,2.8098245188403506,2.1226087974549377,4.077295285065496,2.1269002289005225
s01X1722,2.9605864084814555,0.0,2.5122379295554307,0.0,0.0,0.0,0.0,0.8427555949732815,0.533717713634823,1.625531262737464,0.04616322260062579,0.07230652911947319,0.8115935477812029
s02T1722,4.755923298456481,0.2108254700521409,2.554782573161876,0.0,0.0,0.2731076242104105,0.0,0.7050609700219138,1.4042501264885618,3.2831664372541205,0.060962067768315975,0.31060985167033267,0.33186014248103596
s03T1722,4.259394103287655,0.05172408444673761,3.9958986391488143,0.0,0.0,0.24877292485877903,0.0,0.8604447116242522,0.9520715480710953,3.3982934272204375,0.08906509851912632,0.1872355808380327,0.6002171640404701
s04T1722,5.743417673289422,0.07989436848220625,0.9166772074936657,0.0,0.0,0.7309992575705067,0.0,0.7701532364338446,3.3854435358507584,5.052744081309997,0.09772278023399021,0.03552794408568473,1.6812248959311573
s05T1722,8.85716737355845,0.0,2.5462435989527905,0.0,0.0,0.9116333657848193,0.0,1.2603099314148796,3.200969050312412,8.762396003213938,0.038893929039485485,0.0,2.5776095875532246
s06T1722,2.261769818483258,0.05812637621030566,0.285523767343733,0.0,0.0,0.34053042516659865,0.0,0.4289401904790003,1.881016030071767,1.9329626683311432,0.016993696384030792,0.0,2.4319196731553814
s07T1722,3.0381175759151406,0.0,5.406445344714306,0.0,0.0,0.04487486935609702,0.0,1.8843520906305191,0.33647720733683945,1.4586274206651337,0.16214517245076918,0.4943992618743158,3.3827493653396834
s08T1722,0.0,4.0539843303052425,0.758051840422232,2.663329843769782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.829314935474711,0.0
s09T1722,0.0,4.622941566676493,0.4169218599270396,2.5154780887431683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.45964154293733,1.481081550366598
s10T1722,0.0,0.0,1.6044131006474915,0.0,0.0,0.0,0.0,3.885781207583665,0.17671026480736934,0.0,0.04770847238973917,19.67000564316236,2.64811944455559
s11T1722,0.0,0.0,1.6282538707995453,0.0,0.0,0.0,0.04363760713394322,3.801051098485007,0.04956728288810747,0.0,0.07995547990020305,21.163017287337357,2.859836197597752
s12T1722,0.0,0.0,0.45465650006313896,0.0,0.0,0.0,0.0,4.518288184926313,0.20068162966363387,0.033829766691255266,0.09460959522668376,7.714976607168718,2.167722063021362
s13T1722,0.0,0.018914518188624913,0.8264854492831697,0.0,0.0,0.20399296098599484,0.05980242555641295,4.043469397256475,1.2328778629662884,0.0,0.0,4.40828621891543,2.8343169257787775
s14T1722,0.0,0.0,1.100466556943792,0.0,0.0,0.1075115646911202,0.0,8.720449782362918,0.5160527761314052,0.8567747791851136,1.2497043201265539,6.69880029508165,7.900591378316012
s15T1722,4.970059127079219,0.0,6.158602610271964,0.0,0.0,0.0,0.0,6.259794229396121,2.4838633810435664,4.081579476729608,2.4509984950043266,3.056518399735291,2.912978390456371
s02M1822,1.372997716181327,0.6741091776710749,14.886782103653369,0.13436279589330288,0.0,0.17625239833501105,0.0,2.3078830154232093,0.4478350432368976,1.7197824670277075,0.0,0.6373385081262567,1.4416914279205726
s03M1822,1.532432587785395,0.7766908266401947,5.441912496285265,0.0,0.0,0.36102408339427716,0.0,1.5268693586883653,2.6592073689551237,2.3326445035229235,0.024069378722655202,0.35121770783682316,0.7454500682108025
s04M1822,0.0,0.44438227738586694,6.365120883912533,0.0,0.0,0.4180349479364686,0.0,0.7127593609853475,1.3779166769985032,1.0195198561542151,0.0,0.0,2.7238833823689093
s05M1822,0.0,0.6123576497269883,1.587272677899679,0.1266612022612969,0.0,1.5403738598378272,0.0,0.6876434534671556,6.997586471907645,6.42275828716828,0.0,0.0,0.7778300022011778
s06M1822,0.0,0.3462435410107879,2.045506791900166,0.0,0.0,0.9378712452709409,0.0,0.6006290027939781,20.32307644138298,4.593283052162402,0.0,0.0,4.409662492320825
s07M1822,0.0,0.20942696175109116,2.3005612971984064,0.0,0.0,0.379043937562372,0.0,0.5272026656681065,4.86969875559956,1.0454858258389836,0.0,0.0,0.5418293391422818
