,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
s02T1622,0.0,0.0,0.0,0.0,0.0,0.21478008411397811,0.0,0.0,1.8051340923981682,0.0,0.0,0.36790280901628863,0.04589743186682594,0.0,0.0,3.1526377849677445,0.0,2.2314806910803213
s03T1622,0.4187831634700847,0.0,0.0,0.0,0.0,0.4107378121468672,0.0,0.022337281030003868,2.798977839619544,0.6967098155017701,0.05298518567940964,0.9639968251556332,0.19960510168974196,0.0,0.0,4.955029304363751,0.0,5.216169066886461
s04T1622,0.0,0.0,0.0,0.0,0.0,0.42674094183846956,0.0,0.1126766838118423,2.577169015989957,0.1327774356833635,0.0,1.8231826436362495,0.1914699331423202,0.0,0.0,8.294233809714237,0.0,3.610623198340057
s05T1622,0.0,0.0,0.0,0.0,0.0,0.8338681734166049,0.0,0.1263954830688496,5.02730673646488,1.0771143129867329,0.27327142505504304,2.642768526718434,0.2535581449814331,0.0,0.0,9.969671002118167,0.0,8.526653601340673
s06T1622,2.1968490464907595,0.0,0.0,0.0,0.0,0.21978970984344665,0.0,0.103177650218073,1.5879334257713633,1.9058824101714453,0.26504155374198507,1.2929840271293063,0.3972263120870463,1.0911814761206715,0.0,4.1744801850389806,0.0,6.772161269058616
s07T1622,0.2339743957798511,0.0,0.0,0.0,0.24821498371813394,0.0,0.0,0.06494787109469105,0.40980343109812367,0.9794640686934276,0.02822711585836365,0.6411485427557896,0.20838341859441983,0.39453433926564163,0.0,0.9344187257068208,0.0,1.9512456228269404
s08T1622,0.01909101678308204,12.365012166591466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23687364928443003,0.0,0.31308273868618597,0.5309606667325385,0.02820294072453703,6.409780549584007,0.0
s09T1622,0.0,8.201766320698662,0.14170874031986813,0.0,0.0,0.0,0.0024683306967577356,0.15190489592815926,0.024927038889851823,0.0,0.0,1.2058862206591459,0.0,0.2415995594733445,0.3699255320122106,0.0,5.295303034411162,0.0
s10T1622,0.0,2.6399840186420906,0.0862836810781926,0.0,0.0,0.0758197031157389,0.01868950213438118,0.38442864359213985,0.13903793142145998,0.41490179737785887,0.0,7.780575860901065,0.0,0.09214402772879089,0.060877665651919495,0.0,5.645538801587892,0.0
s11T1622,0.0,0.4470821038623099,0.4650061562464456,0.0,0.0,0.0005895234769384756,0.0,1.3960003964237777,0.12598050170914296,1.2159315111044169,0.0,9.96143998972475,0.11802768221482478,0.7996801600026261,1.9459473421733953,0.0,14.076100761518482,0.0
s12T1622,0.0,0.16795879190376012,0.0,0.0,0.0,0.07268255746626863,0.0,1.458030536446264,0.16235469182720513,1.2774634774990812,0.0,7.575729296105163,0.0,0.0,0.030910107663483035,0.0,0.4092457560814921,0.0
s13T1622,0.0,1.0200975825846978,0.0,0.0,0.0,0.20845886962656016,0.013549201513960427,1.2527583355085992,0.3939572819784402,1.0599290845093843,0.03355843812429198,7.212255388004472,0.0,0.0,0.0,0.0,0.2874646641257402,0.0
s14T1622,0.0,0.519134751486144,0.0,0.0,0.0,0.3775656256650615,0.0,1.8478368010505566,1.280576215476803,2.469406845239416,0.4966011930278081,9.63626251732504,0.0,0.0,0.0,0.0,0.0,0.0
s15T1622,0.0,0.06053761828124376,0.0,0.0,0.0,0.2509275789865098,0.0,0.8984388120125355,2.1864941904653277,2.4139427017371755,0.7056039378525968,4.328417246486264,0.12395292982914144,0.31692656659485213,0.0,1.2832881065342352,0.0,2.006657126328061
s02M1722,0.0,0.0,0.0,0.0,0.0,0.5858935665198113,0.0,0.0,2.49518400660766,0.23887595222926952,0.0511651195810367,0.7561466216287727,0.253080501315968,0.0,0.0,4.892554605111771,0.0,2.2417077713264093
s03M1722,0.28348427209379895,0.0,0.0,0.0,0.0,0.6438884572548891,0.0,0.0,3.1586015872700717,0.11073284464133207,0.09147899959072565,0.9664830951415486,0.5275226277363941,0.0,0.0,5.541588295718397,0.0,3.4699715500246406
s04M1722,0.48966623476123966,0.0,0.0,0.0,0.0,0.44936182122036444,0.0,0.09297736490773363,1.5391108966190208,0.27428265224161885,0.09810839622773765,1.066570688997378,0.4289543700269521,0.0,0.0,3.5058502934922418,0.0,2.637271093631586
s05M1722,1.224845571423393,0.0,0.0,0.0,0.0,0.5959015645080703,0.0,0.11195552255482293,1.6151498839593026,0.612484969785277,0.03336111564567191,1.7861936930045854,2.917871374344696,0.09666498817236661,0.0,5.517736563342441,0.0,3.2380730026745734
s06M1722,2.22471189910361,0.0,0.0,0.0,0.0,0.15845801266637563,0.0,0.08331384486699897,0.7157851703772518,0.5567556116031218,0.04508186393355543,0.8637445817237731,1.9662024032640957,0.19422726295026113,0.0,2.048499143688888,0.0,2.5433997098693655
s07M1722,2.4268255408880974,0.0,0.0,0.0,0.3102726427803198,0.5047705784773793,0.0,0.3639225482268736,1.371686392750304,2.5249688676110997,0.24777693515860755,2.154827225719174,2.289554362305244,1.9007268455319137,0.0,2.5409235717678205,0.0,4.090683427788458
s08M1722,0.0,8.556313529552448,0.5061483625908105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6411538230179477,0.1039162028667049,0.5138854306529558,2.8499408526197225,0.0,8.681478035836749,0.0
s09M1722,0.1673113468979405,0.0,0.06336921918280021,0.0,0.0,0.0046602465625074085,0.0,0.43731146683095934,0.020877581004340416,0.25394506136809875,0.0,2.8719876229131738,0.4157277192668545,0.10545069004569693,0.36584195117917623,0.0,2.369955053771538,0.0
s10M1722,0.07176285502040843,0.6692947908543406,0.08111372752129516,0.0,0.0,0.1726849745016214,0.00312818940967908,1.4518680605916445,0.19347842797983741,0.80162968576629,0.0,6.688084023673332,0.0,0.0897180384429619,0.0,0.0,3.047449616516577,0.0
s11M1722,0.707399716511712,0.0,0.0,0.0,0.0,0.0,0.0,0.9488467461461922,0.020387769425472903,0.5472880439946086,0.0,6.871071615193977,1.1370127218181365,0.3514780085730183,0.6839831945479732,0.0,7.052565848811988,0.0
s12M1722,0.0,0.0,0.0,0.13984802731739202,0.7137466617196454,0.0,0.0,1.616522003085891,0.09485982171690585,0.9889540801035477,0.0,10.566001721689371,0.4448666174939943,0.32973330879695595,0.5893410745408606,0.0,3.823467895574401,0.0
s13M1722,0.0,0.0,0.0,0.14246764520450195,0.437242732365508,0.0,0.0,1.6357238822341296,0.1079616141158952,0.853372690467864,0.0,13.136080246268795,0.19584188990399543,0.6191189185932835,0.0,0.0,5.973124059816776,0.0
s14M1722,0.2637843312834802,0.0,0.0,0.0,0.8603706512104767,0.15254169109257795,0.0,2.002640848006906,0.3116962864694872,2.033108751814305,0.26500326563607707,13.096365989419436,0.5669311859153018,0.16858429115052476,0.12569062286957677,0.0,0.5788610388681114,0.08301420757433069
s15M1722,0.15095375478214404,0.0,0.0,0.0,0.6169106209425136,0.670641322150251,0.0,1.4865056760699085,1.6259929573958838,4.2638794369168584,1.5694198875023142,11.175439569168136,0.5691522691717951,0.8777003640421147,0.0,0.6810725174656589,0.0,2.4859344436939104
s01X1722,0.29367420375566383,0.0,1.2574839021945328e-05,0.0,0.9892956782355672,0.0,0.0,0.23471513444994657,0.47978796633078363,1.677622915095547,0.0,1.0637387887650183,0.38540884934831876,2.68057491852798,0.0,0.6401407447309704,0.0,1.7172320257039464
s02T1722,0.0,0.3348260918261044,0.010844335268373615,0.0,0.7514848987717846,0.20734362310305918,0.0,0.203615312966648,1.1906384933996566,1.5872594871071908,0.0,1.2133848171175121,0.13161774318378217,2.7351478883771265,0.0,3.0247512021857657,0.0,2.456471232921563
s03T1722,1.3641779573020256,0.09481572217513873,0.02658971543181634,0.0,1.4964459297893895,0.18555418676925048,0.0,0.20331826719643395,0.8229189068993029,2.150802112120789,0.0024357639368914625,1.1766785165101588,0.27584228293389335,4.288088001106509,0.0,2.6272286955659343,0.0,2.000477676274134
s04T1722,0.43222948403185846,0.1736921590925663,0.022610561083442775,0.0,0.7184534682949102,0.4999936144533681,0.0,0.11074498244932887,2.8409098780910473,1.2297323532990316,0.05490480989741493,1.88817985984517,1.1689964827739767,0.8237122140646902,0.0,5.902556643726321,0.0,2.5923109881675543
s05T1722,1.8958337551683966,0.08614556491480113,0.04831840463030306,0.0,1.5341080512193939,0.5650860186457034,0.0,0.1991991435571926,2.631015269235341,2.116874462744002,0.0,2.864725642573552,1.8125062323849248,2.4725600753409616,0.0,10.072419400947885,0.0,3.8038968758253295
s06T1722,2.126319342226485,0.0881350765155237,0.007082895611895767,0.0,0.5994761722114516,0.2136573886664094,0.0,0.05892419369631393,1.5889264299189299,0.4763702062273377,0.010715528608545766,1.0068986806616878,1.7381839897140323,0.19790463721342597,0.0,2.2806966093236536,0.0,0.8511031350454782
s07T1722,1.1562780767116985,0.0,0.0,0.0,3.004454998965244,0.0014529500335000213,0.0,0.47468662616770707,0.29815124516946256,2.244511639493594,0.06905251445219215,2.8264850672485755,2.136729467421981,5.711861164885125,0.0,0.11908523213757684,0.0,0.9245356944037743
s08T1722,0.0,3.8222211672823163,2.3796773067074533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6026784085967374,0.0,0.8816493932866728,6.901697415748034,0.0,13.66155090035994,0.0
s09T1722,0.0,4.840897273915925,1.9642742092732848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.695786436050912,1.4132210378765917,0.39831725439465376,6.542937458174532,0.0,16.92713553718501,0.0
s10T1722,0.0,0.0,0.9560799123704742,0.027529676106168664,0.0,0.0,0.008828247621221107,0.28413268946022674,0.13145033183541704,0.1486152100809182,0.0,16.8020172409934,1.719023169988282,1.0595265241477303,0.5286460191694726,0.0,11.445431783156282,0.0
s11T1722,0.0,0.0,1.400403604185054,0.051976954905881646,0.0,0.0,0.0,0.17541324557576002,0.02386270616296207,0.20387756136840335,0.0,16.92743302255995,1.877601137840891,1.0556317631271528,2.0279984644353037,0.0,12.574523745110753,0.0
s12T1722,0.026151410494177893,0.015496662178343484,0.0,0.1018622694875112,0.26153931245357637,0.0,0.002816459249164049,0.7549240843042229,0.09195993875329558,0.6599601367156552,0.0,13.217199184011983,1.162956968505422,0.0,0.1277298215821621,0.0,2.21377171542037,0.0
s13T1722,0.05208842173715796,0.3034646168254068,0.0,0.10575713277625254,0.43244793088307076,0.18233024668642436,0.0,1.6188506397999733,1.000115973467319,0.3536859127870779,0.0,8.616566400807121,1.82484788003574,0.4872354552890728,0.31224919670220336,0.0,1.1988818707350826,0.0
s14T1722,0.5811724567732081,0.0,0.0,0.0,1.3930618418900549,0.12665908409185905,0.0,1.067980424032765,0.2804749621531975,2.397517782645364,0.8445586831693882,22.68646014404998,4.733575704956208,0.0,0.0,0.0,0.0,0.0
s15T1722,0.6433504233671944,0.0,0.0,0.0,2.4974627733861965,0.10374896010977763,0.0,1.666083605833544,2.082754067844705,5.317736613280526,1.8309295212159324,11.971185163698186,1.0969895639278564,5.963713384494886,0.0,1.1796872011664485,0.0,3.244438011931698
s02M1822,0.9360648062947635,0.7880766606608473,0.0,0.0,3.5052062197542906,0.11625317598231166,0.0,0.5017614537116751,0.40183959363512106,2.617927902983191,0.0,3.46595919198615,0.663670345471534,16.275054766740382,0.6115509973491111,0.16938315238702636,0.0,0.0
s03M1822,2.2305851395853304,0.9433348197844317,0.0,0.0,2.1668574454417575,0.2740788941751794,0.0,0.2685424622067514,2.283888841984024,2.1157491120269105,0.0,2.465097175776809,0.25148928116211294,5.751436087289688,0.13678244510435159,1.454167090521752,0.0,0.19255019562052925
s04M1822,1.2479424869394777,0.5292688276014805,0.0,0.0,1.05899702287587,0.25916793941831523,0.0,0.23072137408133356,1.1851723093233884,0.5512155310385749,0.0,1.0192089471497865,1.9089872324140933,7.007874205853914,0.0,0.9981666802458483,0.0,0.0
s05M1822,1.091909204087489,0.8538666405262745,0.02115679361347169,0.0,0.43486061787182706,1.0668207934456775,0.0,0.07557232076386233,6.017983016700437,1.6617168461393779,0.0,1.5393399547485886,0.5951425357976214,1.5108121186085357,0.3668817998707814,7.246080980896477,0.0,0.0
s06M1822,2.4967896021736626,0.5450788705785294,0.0,0.0,0.0,0.5655609988215194,0.0,0.0,17.52634453261727,1.9916944330769641,0.0,1.7445174157348498,3.272447473626871,2.2689988421681844,0.0,4.745024747234929,0.0,0.0
s07M1822,0.1414145246664094,0.2681312363204369,0.0,0.0,0.2645861784736548,0.3093680314286287,0.0,0.0919025249919666,4.2123960572668615,0.9317308590622176,0.0,0.8836566278368695,0.319932894522656,2.528285867216379,0.07003216789113238,0.679238910980621,0.0,0.0
s08M1822,0.1733782076915519,2.8426546543742957,1.4446184489574125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9315679931250453,0.8687761213977429,0.3454438703788299,2.9962663442854565,0.0,5.236289453732714,0.0
s09M1822,0.18458018570623183,1.9855474179253871,1.114476043695063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5891137521850345,1.1961700933357808,0.4665908038494439,2.7534131691273487,0.0,8.436792110725278,0.0
s10M1822,0.9723633463467298,0.2159095409320575,2.5451283326486935,0.003794796593078664,0.0,0.0,0.0,0.016816581786683302,0.0,0.0,0.0,6.898765108740956,5.27612915480719,1.361899979763775,3.9064016980509733,0.0,10.565322622258435,0.0
s11M1822,0.21517187785381608,1.167958422461423,0.828575459799429,0.0,0.0,0.0,0.0,0.06118090086058871,0.11103372917820194,0.0,0.0,5.178084581531715,0.6792978888093939,0.22148233759130606,0.8370001406599856,0.0,4.3441119458779225,0.0
s12M1822,0.0,0.0,0.5229999713893796,0.16884340701125128,0.0,0.0,0.0,0.18771530307300333,0.0,0.0,0.0,7.5645712436355135,0.2642433376610326,0.9278912269932076,1.5909002321250978,0.0,6.959565758079271,0.0
s13M1822,0.0,0.1388879260718122,0.8610536331248024,0.12179362436262645,0.0,0.0,0.0,0.44533458840102164,0.09572381777704787,0.0,0.0,9.460885334627221,0.325250098698733,1.0885256714225833,1.457936431228997,0.0,6.14448185593689,0.0
s14M1822,0.6000964540963803,0.004670288532455321,0.0,0.016980260709810353,0.840192332386299,0.0,0.0,0.25924016812007944,0.06056857267937376,0.4934124832251483,0.19114215937920923,13.636252119491958,0.3504064374781835,0.44990360526608936,0.0,0.0,0.23238517632209998,0.0
s15M1822,0.41225683179429484,0.0,0.0,0.0,1.156332073417607,0.2744400251750712,0.0,2.33598343555833,3.7247734027919708,2.051638117499594,2.3396851690703784,18.911725903493217,1.1673321129976757,3.4817873733146825,0.0,0.0,0.0,0.5964494331638408
