,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
s02T1622,0.2694407016756076,0.0,2.4620526877459192,0.0,0.0,0.1870148259302713,0.0,0.0,0.0,1.9429212382705716,0.0,0.0,0.07704346614251492,0.0,0.0,2.4698945381628983,0.0,0.0,0.0,0.0,0.05662442966567344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7570388083038545,0.7582604335005528,1.3423420492232503,0.0,0.0,0.0,0.0,0.0,0.0
s03T1622,1.3266174669397015,0.0,7.5834897479121155,0.0,0.0,0.37746984767668645,0.0,0.0,0.0,2.9195739629980433,0.007617679791607679,0.0,0.4068083344234811,0.0,0.010065570182226691,3.1186480836818897,0.0,0.0,0.0,0.0,0.3246053357518336,0.0,0.0,0.0,0.02953670787147602,0.0,0.0,0.0,0.6860858742747432,0.0,0.15047787372383242,0.0,0.0,1.3287649619889548,2.491584834965399,3.138583679803945,0.0,0.0,0.0,0.0,0.0,0.0
s04T1622,2.116926814067948,0.0,12.87643470220227,0.0,0.0,0.2752468179678484,0.0,0.0,0.0,2.71340878734511,0.0,0.0,0.1997923086669664,0.0,0.0,4.735431680102631,0.001668250560741973,0.0,0.0,0.0,0.03545376712468712,0.0,0.0,0.0,0.01906505663179865,0.0,0.0,0.0,0.8207252233719887,0.0,0.0,0.0,0.0,2.525825873649842,2.1406898766006264,2.1360005462362213,0.0,0.0,0.0,0.0,0.0,0.001295780960860606
s05T1622,4.063135016028728,0.0,15.790937282757804,0.0,0.0,0.6139999322785518,0.0,0.0,0.0,5.530924845569096,0.14948995064732293,0.0,0.48408534428203565,0.0,0.0,8.810178765303313,0.0,0.0,0.0,0.0,1.3870879458620002,0.0,0.0,0.449554200211119,0.0,0.0,0.0,0.0,0.3360660874655241,0.0,0.01661637650553168,0.0,0.0,1.864812609062049,3.731857781648307,4.921530517064665,0.0,0.0,0.0,0.0,0.0,0.0
s06T1622,1.8550983198207374,0.0,10.249024117681198,0.0,0.0,0.18689755181533174,0.0,0.0,0.0,1.6220666916446491,0.24272179524522852,0.0,0.9816359050417013,0.0,0.0,2.7213115029358077,0.0,0.0,0.0,0.0,1.326179467255978,0.0,0.0,0.0,0.019859639856266775,0.04187031950249273,0.0,0.0,1.104453738546785,0.7791824642680674,0.6148836360656346,0.0,0.06666157290090478,0.9512608528935461,3.473093984615484,3.96892785342359,0.0,0.0,0.0,0.0,0.0,0.0
s07T1622,0.732051910222622,0.003073524237688568,5.736547923177452,0.0,0.0,0.0,0.0,0.0,0.0,0.36334540547413813,0.058590947552394426,0.0,0.46336825526166875,0.0,0.0,0.2563253319709363,0.004074385249866096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025405240961650415,0.038684661476946124,0.14481696903857713,0.0,0.5311123334197461,0.029905509433788766,0.0,0.006015158210962367,0.08426209867408897,0.2281963770699072,1.7541626738777432,1.1252928226808392,0.0,0.0,0.0,0.0,0.022802324444282176,0.0
s08T1622,0.0,13.370652557158799,0.0,0.3983431736821207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5357231059638851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1197332303447651,0.0,0.0,0.0,5.249322383334269,0.0,0.1933831715070567,0.0,0.018400813164053773,0.0,0.0,0.0,0.0,0.4926414685809368,0.0,1.9317559807094948,0.0,6.334323007874975,0.0
s09T1622,0.0,9.638173386450953,2.021949724049392,0.40894731260510647,0.0,0.0,0.0,0.15736200989336188,0.4008409771914139,0.01183584460796569,0.0,0.08022291338142065,0.0,0.0,0.9465966082455471,0.0,0.0,0.0,0.0,0.0,0.3108031538134334,0.0034278346488832547,0.0,0.23219501654385793,0.0,0.0,0.0,3.890659967781593,0.0,0.14703731692673264,0.0,0.13873382116129598,0.0014672599042205548,0.0,0.0,0.0,0.01076711404928803,0.0,1.0209094325789032,0.0,6.40011580541259,0.0
s10T1622,0.0,1.9686558126505138,9.827991328960222,0.10812524961487194,0.052201972089052764,0.0,0.0014897104440764544,0.8942951674036935,6.209341428469107,0.0008771434484742046,0.0,1.1927470153959705,0.0,0.0,0.49154896672079545,0.0,0.0,0.5905923587626167,0.0,0.0,0.8431516949749203,0.006626358467859755,0.0,1.625015044592728,0.0,0.0,0.0,3.56318856462417,0.0,0.0,0.0,0.1582091538703287,0.0,0.0,0.0,0.0,0.0,0.0,1.0126873474034128,0.0,5.989188805754408,0.0
s11T1622,8.491388694259811,0.0,20.54622037724611,1.1860143246302446,0.0,0.0,0.0,1.2688859339853444,2.845821599659657,0.061601080074361304,0.0,4.206493354687138,0.0,0.0,0.6415095633274648,0.0,0.0,0.0,0.0,0.0,5.948247031738803,0.0,0.0,0.9141744844727767,0.0,0.0,0.0,12.047740266376914,0.0,0.08527843884150148,0.0,0.3451371296490852,0.6674776626016702,0.0,0.0,0.0,0.0,0.0,0.5678512143469543,0.0,9.956822667734714,0.0
s12T1622,9.664989658659394,0.19739398768555325,20.51276615545377,0.0,0.0,0.0,0.0,1.0278720744339525,2.009737227651939,0.04263375014930731,0.024824743330900068,0.0,0.0,0.0,0.6715348407348799,0.0,0.0,0.3712596078741824,0.0,0.0,3.573617885594545,0.01200263443470061,0.0,1.0910160611457695,0.0,0.0,0.0,1.4763265928621125,0.0,0.0,0.0,0.0,0.7712114226475274,0.0,0.0,0.0,0.0,0.0,0.0602930753201904,0.0,0.48976135763527656,0.0
s13T1622,5.438982610008873,1.0233578981556428,18.68198875663573,0.0,0.0,0.0,0.0,1.253543163844553,3.485244534465008,0.062423759122359174,0.04904325846095871,0.14226650892344908,0.0,0.0,0.3477984479358776,0.0,0.0,1.862671348625603,0.0,0.0,1.7060149856600162,0.008847175847761478,0.0,1.6131137125493913,0.0,0.0,0.0,0.8584623826039705,0.0,0.0,0.0,0.0,0.22252273397048647,0.0,0.0,0.0,0.0,0.0,0.24789573313001706,0.0,0.445103595170961,0.0
s14T1622,14.92989858393373,0.0,30.064184570418018,0.0,0.0,0.0,0.0,1.1355481647578658,2.5759713196960936,0.7526079829146063,0.4991966474658794,0.23258987692073593,0.0,0.0,0.0,0.0,0.0,3.35163120845364,0.0,0.0,4.4750588599860635,0.0,0.0,2.767270040523901,0.0,0.0,0.0,0.34023360636059086,0.0,0.0,0.0,0.0,0.9598171064266805,0.05144541655899661,0.0,0.0,0.045927981426365824,0.0,0.4391149702491677,0.0,0.02948527539423255,0.0
s15T1622,7.92145154736023,0.31817715008378633,22.731879060830977,0.0,0.0,0.006700091403619291,0.0,0.48444010874382776,0.6363466095029757,1.9025120870061443,0.6757839776023026,0.0,0.19523657381721105,0.0,0.0,0.733376815807728,0.0,1.431690112759581,0.0,0.0,2.8491371070257245,0.0,0.0,1.7723014640832524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15760265129228432,0.5911538934990229,1.7107824073107645,1.0369385281022472,0.0,0.0,0.0,0.0,0.0,0.0
s02M1722,0.5094045412118583,0.0,5.419803995504915,0.0,0.0,0.5571607446774313,0.0,0.0,0.008031596539908856,2.5565737422845185,0.009521285278214263,0.06711963464524812,0.23970638351530588,0.0,0.0,2.0461036431997206,0.0,0.07391778925219834,0.07466000453984789,0.0,0.1605288901522463,0.0,0.0,0.06240951495985426,0.0,0.0,0.0,0.0,0.9255238602728252,0.0,0.0,0.0,0.0,1.7936614777047062,1.8325451621120057,1.4845177433131194,0.0,0.0,0.0436802687029553,0.0,0.0,0.0
s03M1722,1.0379018591011835,0.0,6.578011559155924,0.0,0.0,0.5845000536790147,0.0,0.0,0.0,3.3031844223360167,0.02317320952448648,0.0,0.25249875215452516,0.0,0.0,3.216488305630995,0.0,0.1517051103797707,0.5268879693993603,0.0,0.41812912525681756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6313196803483717,0.0,0.17078990189481658,0.0,0.0,1.7538669496329773,1.5023688922645029,2.180361508629216,0.0,0.0,0.0,0.0,0.0,0.0
s04M1722,1.7438371701632802,0.0,6.9391480445321605,0.0,0.0,0.31232690440364674,0.0,0.019021052891899537,0.004815107884752905,1.6680498147271814,0.05888654358028681,0.0,0.12941500294604014,0.0,0.0,2.966091598204518,0.0,0.3221182340960698,0.43868024925480253,0.0,0.15864087736927604,0.0,0.0,0.043019740810638786,0.0,0.0,0.0,0.0,0.38140786068788857,0.0,0.167837247781084,0.0,0.0,0.7178243668317718,1.2051356766867858,1.5477273047987865,0.0,0.0,0.0,0.0,0.0,0.0
