,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
s02T1622,0.0,0.0,2.5972724741418354,0.0,0.0,0.18862822710028213,0.0,0.02396276917606433,0.0,1.8174702675857572,0.0,0.0,0.07559753409465432,0.0,0.0,1.3135593680213582,0.0,4.688282023386354,0.0,0.0,0.08987755641553502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.816661957179348,1.3884689450327146,0.0,0.0,0.0
s03T1622,0.0,0.0,8.170751626323636,0.0,0.0,0.38148767897928276,0.0,0.14466487370533235,0.0,2.7305682606519532,0.04883630237032342,0.0,0.4066264099432487,0.0,0.0,2.260552859347465,0.0,5.892132002339258,0.0,0.0,0.3817070710639695,0.0,0.0,0.0,0.03963832069785903,0.0,0.0,0.0,0.0,0.4704449244980478,0.1539783381643027,0.0,0.0,0.0,2.6895707752294533,3.268167327595628,0.0,0.0,0.0
s04T1622,0.0,0.0,13.797511081408372,0.0,0.0,0.2771269884017806,0.0,0.2432854102207423,0.0,2.5429813883743155,0.0,0.0,0.1947875255800116,0.0,0.0,4.262808874294389,0.0,8.93578500135103,0.0,0.0,0.15310346022592905,0.0,0.0,0.0,0.023714571621677217,0.004432076690007545,0.0,0.0,0.0,0.5994373023497359,0.0,0.0,0.0,0.0,2.3165546153470213,2.2081142742132767,0.0,0.0,0.0
s05T1622,0.0,0.0,16.982168955627728,0.0,0.0,0.6197108099286207,0.0,0.44253871840903014,0.0,5.150299826124999,0.23087595543145117,0.0,0.4801502136984389,0.0,0.0,3.324701600657696,0.0,16.76992955273156,0.0,0.0,1.4485433912597423,0.0,0.0,0.49058302263585096,0.0,0.0,0.0,0.0,0.0,0.0,0.01839581942748763,0.0,0.0,0.0,4.013681440555412,5.094273369594988,0.0,0.0,0.0
s06T1622,0.0,0.0,11.058037926051316,0.0,0.0,0.18435832697985732,0.0,0.19986303504735542,0.0,1.5112507310519938,0.2841188843767514,0.0,0.9915530741909874,0.6377026980022965,0.0,1.6226391168981396,0.07736619256967006,5.1863521057240805,0.0,0.0,1.411348208163737,0.0,0.0,0.005738612285363417,0.03209650154068136,0.053582748886351665,0.0,0.0,0.0,0.8936900164365473,0.6089181396125607,0.0,0.0,0.0,3.738794716884474,4.1416824343055865,0.0,0.0,0.0
s07T1622,0.0,0.0,6.252349414466079,0.0,0.0,0.0,0.0,0.07567540612002749,0.0,0.33971805498044194,0.06655556811268337,0.0,0.4661675226332765,0.0,0.0,0.37044798092986436,0.1207015788977906,0.5065085772619483,0.0,0.0,0.0,0.0,0.0,0.0,0.031456048091481635,0.06950692560150451,0.0,0.0,0.0,0.5207847558613827,0.0,0.0077401605382593636,0.0,0.0,1.8885338948141848,1.177230447736566,0.007507522832975783,0.0,0.0
s08T1622,0.0,11.402029455548012,0.0,0.39175502083935865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19293803549463814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16782009245108154,0.0,0.0,0.0,4.827980579509704,0.0,0.0,0.0,0.008818288326014565,0.0,0.0,0.0,0.0,2.387351532078314,0.15876694001468067,2.422535275311626
s09T1622,0.0,8.192667683287322,2.2302909205774357,0.24510583629871122,0.08650621307237681,0.0,0.0021380131809050893,0.05373524666404303,0.3775967068253675,0.013008360970353705,0.0,0.30274293813594144,0.0,0.14435226959104133,0.739308573626939,0.0,0.06996966402394507,0.0,0.0,0.0,0.3048924960911155,0.0,0.0,0.28212440571732234,0.0,0.0,0.0,3.293650608924985,0.0,0.0,0.0,0.16833851034773425,0.024957723383022233,0.0,0.0,0.0,2.385930609539693,0.0,1.2906200970257835
s10T1622,2.2293760338936255,0.8194148905421728,10.512725531434016,0.0,0.0,0.0,0.0,0.0,5.98493312406277,0.038481310172131765,0.0,1.631846240230405,0.0,0.0,0.78346065115273,0.0,0.0,0.0,0.0,0.0,0.8504960250916814,0.0,0.0,1.5969274252686938,0.0,0.0,1.7343552252120351,3.196471511222634,0.0,0.0,0.0,0.18384870265266742,0.2946985685739946,0.0,0.0,0.0,2.180774386132099,0.0,1.2646305925926737
s11T1622,0.0,0.0,22.0099920637902,1.0911321447456657,0.0,0.0,0.0,1.4601256875574415,2.6372496103683987,0.06712661675107937,0.0,5.609630463803417,0.0,0.02739309557500247,0.30818869025982154,0.0,1.3499723097788598,0.0,0.0,0.0,6.087687584361862,0.0,0.0,1.1307470264366892,0.0,0.0,0.0,11.391251488092346,0.0,0.0,0.0,0.1206992856737399,0.4329979154950554,0.0,0.0,0.0,3.6122989027731647,0.0,0.574504807585467
s12T1622,1.463891291866996,0.0,21.845135400902798,0.0,0.0,0.0,0.0,1.5216084501727445,1.7968968422896938,0.06433026462057778,0.027934375975423347,0.16919033540568487,0.0,0.0,0.40287757590338535,0.0,1.3817147437137465,0.0,0.0,0.0,3.563641177312194,0.013378744270550268,0.0,1.2098035863219552,0.0,0.0,0.0,1.3978201306018527,0.0,0.0,0.0,0.0,0.33810234355654917,0.0,0.0,0.0,0.18411936882246252,0.0,0.10352113689518941
s13T1622,8.428275489058327,0.7256199122350127,19.6610468098746,0.0,0.0,0.0,0.0,0.7586674600210498,3.238335841023763,0.11361164530924922,0.011873883334111624,0.27144258363706086,0.0,0.0,0.21295219776846672,0.0,0.6002846213307861,0.0,0.0,0.0,1.682395612702522,0.005747596223523633,0.0,1.6691958452604516,0.0,0.0,1.2650969136777122,0.6831728416749584,0.0,0.0,0.0,0.0,0.47124210640067976,0.0,0.0,0.0,0.178391258339667,0.0,0.31805775405656916
