,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
s02T1622,0.0,0.0,9.056186377277147,0.0,0.0,0.16028003692293016,0.0,0.0,0.0,2.029125835014441,0.0,0.0,0.1506930117685575,0.0,0.0,1.6895731779449368,0.0,2.396523125363995,0.0,0.0,0.050558700548143105,0.0,0.0,0.0,0.004269128549740367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s03T1622,0.0,0.0,12.835059250502946,0.0,0.0,0.33313929666851233,0.0,0.010683997633161994,0.0,3.105061736102103,0.0,0.0,0.7544411289919235,0.0,0.13203362170953878,2.6185956222680855,0.0,5.617842764395628,0.0,0.0,0.94713928878536,0.0,0.0,0.4399067836332385,0.045147809760547435,0.0,0.033664305282108405,0.0,1.1575896307574542,0.0,0.13099404436477094,0.0,0.0
s04T1622,0.0,0.0,19.331012038185218,0.0,0.0,0.23453349102605178,0.0,0.10289155922478882,0.0,3.067992059396341,0.0,0.0,0.496503583815169,0.0,0.0,4.886779859612907,0.0,3.805280795578222,0.0,0.0,1.2613201416720676,0.0,0.0,0.8114983724393814,0.04056106711690784,0.0,0.07133221977983228,0.0,1.760455389961389,0.0,0.0,0.0,0.0
s05T1622,0.0,0.0,35.21886291654246,0.0,0.0,0.520235934610033,0.0,0.2174321850711654,0.0,5.761139731584864,0.12128195304544857,0.0,0.9257070853597349,0.0,0.0,4.278920445370063,0.0,8.780375879870983,0.0,0.0,3.319056250144188,0.0,0.0,0.7753852500746206,0.007955160941844017,0.0,0.0,0.0,0.8587700335187469,0.0,0.0,0.0,0.0
s06T1622,0.0,0.0,12.983630062508213,0.0,0.0,0.13779226200022576,0.0,0.05343635377798983,0.0,1.7823667594835706,0.21245177089502437,0.0,1.38171062573903,0.0,0.0,1.64920635275618,0.0,7.05929707007633,0.0,0.0,2.2237298288367375,0.0,0.0,0.9851737588873728,0.045109738746936995,0.0755187911860628,0.024298156062027676,0.0,2.0602455445894265,0.9441966253468507,0.609824448033532,0.0,0.0
s07T1622,0.0,0.0,2.965861851593386,0.003098075380526206,0.0327949315192647,0.0,0.0,0.004324762182130329,0.0,0.43004082394786153,0.04214909301513988,0.015238920918678093,0.7152366585469131,0.0,0.0,0.1736055197196801,0.0,1.9867458039203478,0.011959859008741674,0.0,0.334179930934831,0.0,0.0,0.8196401250313495,0.031952310898560196,0.06798699931416799,0.0005141067015181248,0.0,1.349970017427806,0.18284862439072858,0.0,0.0027642262020906084,0.0
s08T1622,0.0,8.183534088847884,0.0,0.22292053873934659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.522383176934407,0.0,0.22840024864551398,0.040936146128884826,0.0,2.968175086991569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.065125032205215,0.0,0.324110868416221,0.0,0.04487997037733019,0.0
s09T1622,0.0,6.199154846671898,0.21087241449691352,0.13606616748517847,0.0105962247267636,0.0,0.0007648360357133392,0.06692716826816167,0.3035671191039,0.016866289229525395,0.0,3.8318812236849613,0.0,0.0,0.9617401965817456,0.0,2.064125405804158,0.0,0.0,0.0,0.9495664161030811,0.0,0.0,0.41718132216936604,0.0,0.0,0.0007267922371084702,3.909346113640506,0.05210690195177337,0.32639072260263996,0.0,0.1970707502561265,0.0
s10T1622,0.0,0.06658988191192146,1.7200696839723426,0.0,0.0,0.0,0.008705659463166631,0.41099565588854176,5.2094701349775745,0.0,0.0,4.016256327259138,0.0,0.0,0.4398846604091853,0.0,2.8051059196391526,0.0,0.0,0.0,4.1069722793528705,0.0033199085744709347,0.0,1.2152158229955596,0.0,0.0,1.3043787177202393,3.520423380354869,0.1724537351347801,0.3704933268598632,0.0,0.1953831093790051,0.0
s11T1622,0.0,0.0,2.8497412401239277,1.1531323488025647,0.0,0.0,0.0,1.4716846523194451,2.1427421289017325,0.0,0.0,7.165621478294688,0.0,0.0,0.41852410181015454,0.0,9.241789067295878,0.0,0.0,0.0,11.555417464575315,0.0,0.0,4.190178970872885,0.0,0.0,1.0946626587797328,1.5116328273563575,0.4944373604638821,1.0002362623824625,0.0,0.26666313146104725,0.0
