,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
s02T1622,0.0,0.0,2.7250155140779118,0.0,0.0,0.1947311349453468,0.0,0.0,0.0,1.9070565603137328,0.0,0.0,0.04845738296924321,0.0,0.0,1.1386814540660202,0.0,0.7540819821199808,0.0,0.0,0.08598313519799844,0.0,0.0,0.0,0.05724640384117067,0.0,0.13285107747274835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5981960964680604,1.1469100561024705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.216231345610593,0.0
s03T1622,0.0,0.0,8.301266113430911,0.0,0.0,0.3871587891543854,0.0,0.0,0.0,2.855386843895148,0.0,0.0,0.36686338567322435,0.0,0.0,2.00795948815795,0.0,2.597620931108007,0.0,0.0,0.36739705659871646,0.0,0.0,0.006684049973006353,0.2708908425598345,0.0,0.4805218804021365,0.0,0.5322756409912965,0.0,0.14257302648298617,0.0,0.0,0.0,2.0489315331658866,2.1182931948318986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03129966749247982,7.896044308101924,0.0
s04T1622,0.0,0.0,13.904253661778965,0.0,0.0,0.29191577484461967,0.0,0.0,0.0,2.6343591420754144,0.0,0.0,0.1612999831440484,0.0,0.0,3.8095204595604706,0.0,0.5549136669299207,0.0,0.0,0.15687707831058204,0.0,0.14643105530918732,0.0,0.41635801444178466,0.03072034378731854,0.7616601726456554,0.0,0.703848888812029,0.0,0.0,0.0,0.0,0.0,1.5638840360433042,2.266449110825966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007841699390249148,11.872372269735726,0.01615293213034707
s05T1622,0.0,0.0,17.717333679150244,0.0,0.0,0.6358735964246592,0.0,0.0,0.0,5.446833414865256,0.2347674117298545,0.0,0.40909654763440606,0.0,0.0,2.8273832541910235,0.0,3.9610725395198254,0.0,0.0,1.276980820915923,0.0,0.0,0.4617318806169044,0.7758138372367398,0.0,0.036200684779828574,0.0,0.32010322834676935,0.0,0.01355228836144258,0.0,0.0159594710559083,0.0,3.207522973168324,3.338330154809882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.262739116148687,0.0
s06T1622,0.0,0.0,11.34050770521745,0.0,0.0,0.18903622290632,0.0,0.0,0.0,1.6173629516728425,0.23345823104702287,0.0,0.9035276374297152,0.0,0.0,1.4038096087780807,0.0,3.330590898963769,0.0,0.0,1.3001093234576289,0.0,0.0,0.010003834659759944,0.3675317754070159,0.036510049191052885,0.3326395640859075,0.0,0.9004507133865477,0.8926582236525217,0.5769810550920007,0.0,0.06534493602841422,0.0,2.9328999185784808,2.687289249124509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020723168617648287,6.865753434494529,0.0019306264528883756
s07T1622,0.0,0.0004240793119577735,6.185201701446555,0.0,0.0,0.0,0.0,0.0,0.0,0.43291393778568094,0.04701336288227848,0.0,0.3943454878707772,0.0,0.0,0.24511828930941568,0.0021943182869939943,0.02709589619795161,0.0,0.0,0.0,0.0,0.1660380650807122,0.0,0.1446626452018101,0.04950199082012637,0.04745911642491905,0.0,0.4636022062635007,0.07630237681168116,0.0,0.00666594076798497,0.0808567775259664,0.05322311977182771,1.4596141617780407,1.5081986051748637,0.0,0.0,0.0,0.0,0.0262686859318271,0.0,0.0,0.0,0.0,0.017331963763654926,0.5638559101544018,0.031757329521906005
s08T1622,0.0,12.297173649568949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.822958688314955,0.0,0.630593235722321,0.8129960147483062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13956003955637594,0.0,0.0,0.0,5.231790908948656,0.0,0.16834123611138446,0.0,0.005555710064783768,0.0,0.0,0.0,0.0,0.3439793199282564,0.0,2.155845644436014,0.0,5.650376702532808,0.0,1.9485726863605592,0.007704184635278126,0.0,0.0,0.0,0.0
s09T1622,1.0259603189979631,9.494570522933456,2.1430283128947503,0.0,0.03843781864514136,0.0,0.0,0.15133324615659066,0.3837641842042085,0.011591113321114984,0.0,2.4556035363064783,0.0,0.0,0.6437820787973437,0.0,0.0,0.0,0.0,0.0,0.20903304667480072,0.0023563494572344597,0.0,0.27573832304521473,0.0,0.0,0.0,2.8525757930820155,0.0,0.1884500793902118,0.0,0.14583595976969915,0.018410847521212557,0.0,0.0,0.0,0.08773461616007316,0.0,1.1561252494798377,0.0,5.500022168044289,0.0,0.11098688174379624,0.3316653293054811,0.0,0.0,0.0,0.0
s10T1622,12.086864744925462,2.080981831176747,10.27313746582607,0.0,0.0,0.0,0.0,0.6596662747075276,6.132792110197764,0.0,0.0,5.29782588584039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33702320640410965,0.0040327103146406374,0.0,1.546062218565134,0.0,0.0,0.0,1.2179541064846753,0.0,0.05678469586375801,0.0,0.21679121313742758,0.0,0.0,0.0,0.0,0.7680633690190877,0.0,0.7386994257398287,0.0,5.110554239802637,0.49160700504378896,0.0,0.26348982940935645,0.0,0.0,0.0,0.0
s11T1622,0.24697825588677824,0.0,21.48443511259747,0.0,0.008713044025216797,0.0,0.0,1.3720324227003753,2.708732779130446,0.059208043794000964,0.0,15.871885251482343,0.0,0.0,1.8373065526451053,0.0,0.0,0.0,0.0,0.0,4.573085477617518,0.0,0.0,1.2246640361711496,1.6675483207764392,0.0,0.0,5.466594779320422,0.0,0.4266377460773157,0.0,0.5515002688300265,0.6182803210288873,0.0,0.0,0.0,0.02023298545587472,0.0,0.49672162224103195,0.0,8.503343549339846,0.038643307804465156,0.0,0.2743495619452809,0.0,0.0,0.0,0.0
s12T1622,0.0,0.17852486525031042,22.477865696937236,0.0,0.0,0.0,0.0,1.091226370243019,1.9753240591343013,0.015340696661333142,0.0729547802446684,2.3636064632832032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8653935800537123,0.010078443563812394,0.0,1.1376782070472162,1.8809219499225767,0.0,0.0,0.18312028062390556,0.0,0.0,0.0,0.0,0.7377216076660701,0.0,0.0,0.0,0.0,0.0,0.09261884239788462,0.0,0.33046941364248095,0.4148227530455344,0.0,0.24579676070802678,0.0,0.0,0.0,0.0
s13T1622,8.7384093271693,1.1418923795432696,20.39572183386459,0.0,0.0,0.0,0.0,1.169645323768104,3.450506612237253,0.01831978699012391,0.04968694313693394,1.8686295904118295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2041023185231643,0.004608247521418126,0.0,1.5230555914611785,0.8503151045065173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19994946011348574,0.0,0.0,0.0,0.06885832868152619,0.0,0.2066879027746633,0.0,0.29056407718878646,1.5765348050106276,0.0,0.17434716004838813,0.0,0.0,0.0,0.0
s14T1622,12.975766855403123,0.7662608646910297,32.95313831578819,0.0,0.0,0.0,0.0,1.039992526909185,2.512738773346044,0.6814324420450997,0.5200379252473498,1.394442474650627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4634664290538977,0.0,0.0,2.521860967818779,2.4739581971999796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9216419893795496,0.0,0.0,0.0,1.2805532810653915,0.0,0.0,0.0,0.03565859090922569,2.817613745970015,0.0,0.0,0.0,0.0,0.0,0.0
