"location_id","rough_lat_long"
1,"[54.146365304126505, 11.84315003147121]"
2,"[54.147885248440694, 11.868971110779253]"
3,"[54.151487171879495, 11.886362440876928]"
4,"[54.16666302011663, 11.96379623399444]"
5,"[54.17548962669349, 11.997652914250816]"
6,"[54.17711573457156, 12.027456126500924]"
7,"[54.18248279516584, 12.07630235764034]"
8,"[54.0841494398656, 12.151006424457755]"
9,"[54.09524210575433, 12.119615984047451]"
10,"[54.11056226317913, 12.09354886530469]"
11,"[54.11136613529305, 12.101239525632657]"
12,"[54.13159491098976, 12.097383290174285]"
13,"[54.136923676313565, 12.090754994938155]"
14,"[54.155207965581155, 12.092080087646025]"
15,"[54.17791614479983, 12.092821864789912]"
