,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
PO4,-0.052609282025717866,0.09976464418465084,-0.036716542561810325,0.16609201600255077,-0.12387777933340824,-0.13059722112463906,0.11080952512725618,-0.024946771544239674,-0.07489368089683154,-0.030011820659259853,0.16069641783277083,-0.12673835751468548,0.006937693935735831,-0.20834733938288155,0.2504468124707703,-0.05712208199374509,-0.033531810286987665,-0.0009228519647686752
NOx,-0.0763538424540535,0.3576167353698889,-0.02766420309804545,-0.06345254114105547,-0.15940851381150023,-0.09273896026032964,-0.11351643533450387,-0.0612612760321691,-0.0722625773860812,0.10999450202118563,-0.04666804788760648,0.041164994281423076,-0.01627486763143735,-0.13435318470430943,-0.09700284821532355,-0.07375674004340604,0.34691367728952693,-0.10897387300541787
NH4,-0.107409195850279,0.3145125364558994,-0.029097936383802626,-0.10001215390158358,-0.20773348220052942,-0.13854671041104594,-0.12394052709830088,0.0010428492200246098,-0.015259999778162087,0.16040498788118107,0.22388000969165978,0.04619878972640312,-0.06358521605877278,-0.21519970420620108,0.08619154680394356,-0.12056892830311433,0.09212360254174115,-0.03090929043860461
NO2,-0.04330445700257786,0.3345652632446006,-0.04657592593784823,-0.06855928340333871,-0.1924603831273995,-0.1379470372450025,-0.13669082435513924,-0.016534799450558458,-0.10939929739195572,0.10786401977236242,-0.008399154340648187,0.08533470101426405,0.016043579568923123,-0.16418728795323587,-0.08577688996879784,0.00043069995471018297,0.2920025285156935,-0.10545185378670492
NO3,-0.07671565530964747,0.357095493964742,-0.02727579763804341,-0.06320536829318239,-0.1584474171472444,-0.0917428543820382,-0.11283812043465524,-0.06185785593510604,-0.0714542751011617,0.1097507609493923,-0.047193104651834974,0.04031744015983048,-0.016777090241561127,-0.13350989376336425,-0.0969451120911121,-0.07481708653079705,0.34695551242909917,-0.10875613141603818
temperature,-0.1595357576076307,-0.20773303386789452,0.033916255459828334,0.33593603241871794,0.46800591144685416,0.25965694570152453,0.5473811819186967,0.2713943343670891,-0.18590457768116858,-0.4283159778091443,-0.13574348057519553,0.07463738455876734,-0.24465567840569102,-0.14716041731188373,0.42164966277850235,-0.4561517664861589,-0.2114762489218054,-0.008995625132236946
salinity,0.14611227465002313,-0.7531088203239069,-0.21982350721792293,0.11100175680963666,0.3838824946695529,0.17400851394079447,0.38474838788099996,0.10114950711518857,0.10685753119382727,-0.14921573530939464,0.11321367628722609,-0.1364697466436778,0.058914935272233536,0.06763406240204306,0.12359521587526884,0.11447787470202439,-0.5858537127471435,0.435502029774567
Chl_a,-0.11182403128240988,0.1345032092492999,0.22483130618567324,0.2736663447169503,-0.13371416153391477,-0.12509266595208451,0.04852267210956699,0.18076125319497,-0.24353630874293805,-0.1398000282442291,-0.03344861030016556,0.07043236524131861,-0.09513082668706241,-0.1943272308488897,0.24231887741743519,-0.2403514984525586,0.2621984629229287,-0.2007139402897421
Phaeo,-0.027767724870562803,0.05285920247594546,0.13697186576009965,0.07031317971048984,-0.07792625230034908,-0.08217587690772149,-0.057716404809146235,0.3707098101454043,-0.14938432227699894,-0.08296326710227939,-0.034763058410596695,0.12401372287286233,-0.04089918917589472,-0.11647911532691269,0.11642034999316703,-0.14142386490865605,0.08400737458894775,-0.12108195900577001
Chl_a_conc,-0.1014116083566962,0.1272658503232788,0.22594095364660924,0.2488245265250828,-0.1334136746747122,-0.12733111844546904,0.025050787523628215,0.25244900466219344,-0.24501456629446203,-0.13989074129752432,-0.03752191412406178,0.0928144035825885,-0.09096647128638867,-0.19476768228018426,0.23503703496063205,-0.24017847927510358,0.2429185300253288,-0.20137932856835233
f0,-0.1280580563096082,0.3113953526104337,0.15111005448534315,0.34003844506773245,-0.18725758236885362,-0.20349175310131234,0.04861140323190223,0.20533519244685033,-0.3766001562143776,-0.17970260384324954,-0.08307642903943815,0.17493914441608138,-0.14945115132396258,-0.32345484306113303,0.3818748801674512,-0.3813778895752152,0.39442421301246544,-0.3413432766757991
fa,-0.10971817529217459,0.3036509041958494,0.14728188344847615,0.313199457968963,-0.18123914199634528,-0.20523084760439486,0.030913674620762884,0.25275440365051427,-0.3743697428081135,-0.18036329848004765,-0.08474392948775814,0.19833628624716246,-0.14617839002003252,-0.3255023658713023,0.37571550298445155,-0.37756592756533836,0.36945953142890764,-0.3423625126015464
