,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
PO4,-0.06070346223843588,0.08094560521554148,-0.03629767620503545,0.1557350975544257,0.2165101907205891,-0.11031126731023923,0.07425338098947465,0.013671118450188837,-0.05757709423564401,-0.06471575701562479,0.1519552944167629,-0.14983236457365146,-0.019057100045931342,-0.03651990743523517,-0.022951023314605978,-0.0880891180421797,-0.06081437234401755,-0.018926716918130013,0.02551922502917622,-0.0981552729206707
NOx,-0.1058273304543565,0.18670099439587529,-0.021670626001005597,-0.04421413019799275,-0.0883209417908535,-0.07855930552834961,-0.071554842041995,-0.067317608981845,-0.08154337188359503,-0.08968630528974127,-0.0652484380004808,-0.09346249096041709,0.11911457570279899,-0.09471872122422312,-0.06482811400512413,-0.03368701661180762,0.22075954447736218,-0.0955036732371142,-0.021498359004025355,0.012418386000453424
NH4,-0.12790122939697565,0.18811124058580225,-0.02065859427815001,-0.07035331194236766,0.059544848004566345,-0.11931226084157523,-0.0757961214952561,0.0072175296264331045,-0.12627597699503326,-0.059358814062862614,0.1667454045375135,-0.14451820223862866,0.13527713924445217,-0.09356366522006412,-0.08901200322608896,-0.07340186782289931,0.03353449109731024,-0.05822066498234987,-0.0687974834481011,0.04699453133250476
NO2,-0.13758807971685982,0.17264987177173047,-0.0462082488668339,-0.053554599831895686,-0.08922383341223931,-0.11780603117662027,-0.08662103627677774,-0.031822072189786256,-0.04797416131187138,-0.13966907997698286,-0.047888427327297436,-0.13656980758304277,0.10838640693384163,-0.07424146951155934,-0.06060486169053489,-0.018691338688098753,0.19012245400101718,-0.1179487088894597,-0.004306388282735008,0.04964567565285555
NO3,-0.10502413852546019,0.1864627892570808,-0.021202828207376654,-0.04394464570384585,-0.08808126820893375,-0.0776995089151278,-0.07111955974015624,-0.06774353311536482,-0.0819007377432808,-0.08861764910094738,-0.06537458605109732,-0.09249988037065074,0.1189922650425849,-0.09482239532006119,-0.0647343731773016,-0.033853617448667134,0.22071374414841768,-0.09488340929948028,-0.021732881137418874,0.011760667567376117
temperature,0.362819079312134,-0.06639799590078324,0.0213990942524383,0.2344761065473627,0.3610838525875063,0.22718252066416403,0.3622804271840092,0.28866504264463483,-0.2614394174509391,-0.026608811019974622,-0.04296216835677162,-0.010249721869969142,-0.2455377868525075,-0.19109824410292386,0.3461774731120256,-0.40354976016167476,-0.1428812039189964,0.06343888966485994,-0.17419767628492455,0.0596532096204696
salinity,0.2719959233497705,-0.5839719207354002,-0.15786140523117476,0.08243894441641231,0.16474444667697058,0.15351055126131607,0.24406041276438506,0.15182338769293924,0.18746303018563987,0.1460449177244033,0.15629250911933293,0.06573932128516344,-0.187835793899844,0.06059586873997605,0.09233917292843757,0.0072475006705837435,-0.49127536831594953,0.3522100847243884,0.06608804747710537,-0.11154057077182829
Chl_a,-0.09351892052821208,0.12992607894438657,0.18035994424140456,0.1736846258454781,0.17319925013497378,-0.10182509192951811,0.03374389880379888,0.16769204307378088,-0.20961839379495958,-0.1856353695698585,-0.021653364263265217,-0.12067428684503521,-0.030578127617784622,-0.1582518024142886,0.21705200589306842,-0.17244765406522028,0.25822970266999723,-0.14536254432407905,-0.0726639761456721,0.044054126735148975
Phaeo,-0.07040976091799123,0.07713528076893081,0.15104766432781197,0.020434763212282173,0.044050533599556005,-0.06925654770268408,-0.027523952152664885,0.3267982135766919,-0.1259151822676538,-0.12037535702099661,-0.026669148010803168,-0.07595664549830339,0.012142044109814284,-0.0930682903399283,0.205042502452722,-0.10556441768829425,0.09163945210122731,-0.09565388266886177,-0.03031086532974419,0.0916745523891781
Chl_a_conc,-0.09763077667758685,0.1300189792930988,0.19243473233101538,0.15134664232443312,0.15735509520139968,-0.1042898696673897,0.02084776680198208,0.22954858094540215,-0.21016701759386536,-0.18853005301407008,-0.02542176836236118,-0.12193259775834434,-0.022369272173458923,-0.15812490888432013,0.23790413010037992,-0.1734361656442915,0.24166052789310027,-0.14800781113346317,-0.06923065185909427,0.06188604336534188
f0,-0.12616963256107602,0.28870001726972727,0.06937397742402895,0.23261304274518052,0.29157186208428765,-0.16692452552564335,0.052501584965829434,0.1940192998251532,-0.33900733179595965,-0.28901585641129535,-0.029291925653201538,-0.19773967502936068,0.005864033292606418,-0.2373989026598168,0.3180645078946488,-0.2672766201443711,0.3499514987618526,-0.2479325127870853,-0.11754150011290687,0.13448029859486732
fa,-0.12902073767830574,0.2904275266262547,0.06787630235164593,0.20756592109798916,0.27810071714589324,-0.16911857845268743,0.042336309953815376,0.23005725408514227,-0.3367997264771351,-0.28993318256657674,-0.033269565318730036,-0.2007381531527423,0.006401538797188841,-0.23464602969878043,0.3253696455507067,-0.2668808407705554,0.32828101731579884,-0.25203959144421934,-0.11633811256525103,0.15225779694150246
