,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
PO4,-0.015009041836039216,-0.0025033981851445525,-0.13098615160385324,0.1490338011958911,-0.04296665745936337,-0.10204741512535101,0.07730876971523534,0.12404590686143396,-0.017523459740379485,-0.06334956058014421,0.14162811456331997,0.0019475289086830123,-0.08167056628750272,-0.13459877599570882,0.16168304433918684,-0.09334835738053207,-0.10744583138481771,-0.041175597649896735,-0.036506169984869836,-0.005695464849597227,-0.013665539148523918,0.15284431140095422,-0.054709872074971445,-0.14569198388930543,0.059080589112149806,-0.05294406063628278,0.043476299397201344,-0.09867762927911138,-0.070010160149692,-0.14064738142609606,0.02584667050577825,-0.036349214096181234,-0.05908223325088595,0.036538336889246514,-0.007707590378245757,0.034805040083613695,0.10937730357393703,-0.028877783526281446,0.039852714015222855,0.012540983947646092,-0.05393032743441702,-0.11570352512656547,0.11609036505846261,-0.03442242399761748,-0.004426281834405521,0.1154565749951478,-0.07042761301657949,-0.026742119313315472,0.0018648804444663207,0.24619618471159763,0.06253011217850302,0.09760555298068796,-0.05785573212415394,-0.00912210373053025,-0.1364248558636692,-0.09875934038290932,-0.033266168532770715,0.0547828431330345,-0.027348905635846937,-0.0736368120541529,-0.08066258662665887,-0.018344799216656344,-0.09338548804114798
NOx,-0.11177739073407425,-0.0043791963632967505,-0.07051922818084563,-0.05833216136368448,-0.09877810176853014,-0.07363324348182564,-0.06752944717002925,-0.0538202174071701,0.014000492360362491,-0.08406946759015824,-0.05981120637803897,0.03666272081325569,-0.02045527271969698,-0.07597540917437062,-0.07924089005067825,-0.08287960622238508,0.010148936271522864,-0.09743276170186173,-0.04637258641187022,-0.009739451450396133,0.07828809489284555,-0.04032311400996177,-0.06709616212152694,0.0585723307010569,-0.044054671672819415,-0.0726153244889161,-0.12835322550769862,0.18060968880665867,-0.09340513218561132,-0.09002801199988561,-0.012860052078001543,-0.020877404275631783,-0.06525892346378945,-0.11824806878224323,0.002132860088619134,-0.0696372087160075,0.18735558091608717,-0.08546422524452865,0.3988516248450654,-0.015129828140868605,0.2563103721066467,-0.07689826197887806,-0.00782941549850292,-0.054554364151259874,-0.05068637104230283,-0.0466988463962676,-0.054563355712047144,-0.05557769723277407,-0.02289806539957051,-0.08110752415594204,0.055929421899345896,-0.011404462881551253,-0.0642794242348132,0.05398673558182913,-0.07603281733285029,-0.06992898448030027,-0.02021198853478317,-0.01206666106539921,-0.03301479002467951,0.02903490191594326,-0.10226461653968755,-0.037959531796752044,-0.03972480579519103
NH4,-0.0916934068574893,0.03400017470462117,-0.09155813284276393,-0.06369232745252944,-0.12621390296414575,-0.11119206405953531,-0.0702535050456799,0.05791128378567005,0.07857471429858923,-0.056688467037787744,0.1628033091211802,0.0654239734806516,-0.03866890828173322,-0.11735832348950137,0.03900812297021311,-0.1330600547142605,0.01954675077108542,-0.050921055679091394,-0.10589175577332172,-0.009118911833164356,0.13113880065370415,-0.08022241286593258,-0.09341332643941892,-0.030750297481920753,0.049915167598299254,-0.094139653641898,-0.029575771412229442,0.017454206975006166,-0.13616780408344095,-0.13830264617689808,0.059837768285667725,-0.0219924499286817,-0.011583490978327312,-0.037133918168110916,0.005368764573300405,-0.03050153861701693,0.46334956239946423,-0.07285086668597718,0.17240840873650604,0.004927416040203263,-0.017718406733178003,-0.11942638155847649,0.0629367968979087,-0.07505058968751918,-0.06718199889219031,-0.024490488523554135,-0.07169828327431525,-0.013018081196549776,-0.03468022418172839,0.03610076346300007,0.13183714934525828,-0.034895974566873655,-0.10330122496315292,-0.001197022256474594,-0.09056011834120312,-0.10749617607377013,-0.07623713053845758,0.14689521881376577,0.0029907229311055897,-0.004916933109014329,-0.12856754769088966,-0.04972436798089118,-0.116953958354353
NO2,-0.13308399476047789,-0.010326716540101432,-0.10836076708991388,-0.06138477342319951,-0.14181913799210094,-0.11023866204387994,-0.08068447526071561,-0.016761818297446347,0.03242563360612053,-0.12893147295439453,-0.04093432232578566,0.07479010664552513,-0.0057156423965473175,-0.11373501266640887,-0.08334344657413559,-0.07140867759713335,0.04889931798678024,-0.13023532629674145,0.0064345257096843165,-0.003274879252550073,0.08241877493346453,-0.05360211765107098,-0.0877446207716781,0.05314044091801863,-0.01894412791736161,-0.10225829763572583,-0.1899019697648674,0.17971544921987032,-0.08426814532480112,-0.12857543727080065,-0.017780824686830038,-0.04551537312139868,-0.06451732907857538,-0.14945315633054662,0.0181424597501634,-0.05635253737283728,0.24929538180943203,-0.07306289627987811,0.2733018085748362,-0.004205521415377899,0.16171674053770263,-0.11290233164287941,0.06290486958700461,-0.05299298191766577,-0.06014326311205083,-0.04607893897631487,-0.0644749599747182,-0.027765855507675668,0.002684992087066923,-0.07853972098649817,0.07592100244943625,0.012123033892255797,-0.05740408054949554,0.02786701816135035,-0.10121399676443293,-0.1031793641047686,-0.011146102457825212,-0.007299902507421617,-0.04614156162593335,0.07300354755755813,-0.10085696637261757,-0.04684258961632892,-0.040316737204733534
NO3,-0.11113491170946994,-0.004268029761753979,-0.06970350211220466,-0.05813255308335923,-0.0978030952023472,-0.07283039371358596,-0.06713654166781653,-0.05430673511971055,0.013655000424413442,-0.083101217984002,-0.05997668781005881,0.035928240646971366,-0.020651198291014482,-0.0751471931529477,-0.07897047780251468,-0.08286188777774323,0.009471368090745351,-0.09663338332911373,-0.0471429236165382,-0.009823429089273805,0.07801963135270701,-0.039997274164421476,-0.06657832014717112,0.058514819327855835,-0.044365050521659996,-0.07193216870117872,-0.12699175189041984,0.1801656703475735,-0.09332140443669401,-0.08915082720944442,-0.012744599166665977,-0.02040993483390182,-0.06510552696094563,-0.1174226529082204,0.001858161206174598,-0.06968365547678299,0.18583756231656887,-0.08545558653817524,0.39994957421643795,-0.015275116647413333,0.25724994567511766,-0.07609722799476402,-0.00899924955920307,-0.05444196428823174,-0.0503984777221337,-0.04659057767659996,-0.05425796002671368,-0.055904222974989926,-0.023270166000992343,-0.08094456134632179,0.05545101119540008,-0.011771202955134188,-0.06423168558397505,0.05428884396619138,-0.07541602156729255,-0.06919198087908637,-0.02031310140602196,-0.012116166756620868,-0.032710086404102084,0.028221560900494554,-0.10202836480909148,-0.037713638304504235,-0.03961388029031478
temperature,0.15054780240065702,-0.05695238664628588,0.0469492500887433,0.29970263569965805,0.36026756946008176,0.20470729510179347,0.3470168159157541,0.195919661743153,0.016557751683378138,-0.08942533752726133,-0.052023318734891064,-0.12648880946786353,-0.401996444015033,0.08146814625602074,0.3251057937509352,-0.23781619953386063,0.058879212761043756,0.12681007329677224,-0.3474600273834642,-0.03619457150792156,-0.2477477007616584,0.23277944135336467,0.29503516639026833,-0.032235857173897875,0.11150646675975749,0.16804961558855666,0.2658357054683987,-0.03683547588448394,-0.011335628098833947,-0.04614090390347908,0.005067966409390978,0.02310798024822785,0.20214324324319588,0.3856423213511547,-0.35350748431460466,-0.1157925027196835,-0.29982711511765525,-0.20911112747728944,-0.3032477479572663,-0.02276837263263698,-0.12627121868929092,0.29807850815353754,0.1716921912983552,0.27862673163750723,0.2498049709273076,0.17963215777728675,0.17616050379048537,0.3009634703871475,-0.055575294833322006,0.34029272602128097,0.04605236932263217,-0.1760985338325507,-0.04326975914070068,-0.06280798956727568,-0.1025882497702018,0.24320536457757455,-0.12685780845679273,-0.24440427245012059,-0.15102899556507296,0.07280371090075459,-0.06656534768357354,0.15931225404811256,-0.2587502519239009
salinity,0.23417769617241907,-0.22977597008713535,0.03806985305895373,0.17401300066758124,0.24817123675106803,0.15078215018033764,0.23452224694135831,0.12000520532950075,-0.09585282956977932,0.11955065395216759,0.13916372707720054,-0.20443633998755856,-0.039090965194351526,0.1095276640020299,0.1302729276153291,0.1637369853761361,-0.06137816978480929,0.29372169700035017,0.11230677242815507,-0.0069118749387421866,-0.14076737742400613,0.07432651725651965,0.1770142510844569,-0.02162545449800367,0.05705414222886054,0.23740795726695751,0.25688612189836546,-0.3664330646762122,0.20601431596747666,0.048408316077740154,0.007164935129213059,-0.15231022895115928,0.06255305751230895,0.30128925744824253,-0.005332907465868081,0.3218495678811052,-0.36793208387985243,0.036053622723945494,-0.5615481626875514,0.05730318132641913,-0.3830773096312317,0.17250386533016654,-0.3825409378498099,0.06897774010234807,0.14633773698980163,0.08540231464269187,0.1241530461766062,0.15157747501158753,0.04671328830252171,0.2596051825710306,-0.42887599526619735,0.05891987737796635,0.11832408267723793,-0.07096215003628947,0.04043380562115761,0.14715259636830555,0.04374510296012489,0.049570715134964624,0.03275638180702081,-0.3287389059606241,0.09739060816773115,0.11866759439937907,0.040156904025288966
Chl_a,-0.1438839745516327,0.150361339696237,-0.12782593825294014,0.17941812919682792,-0.06448487911250937,-0.09862256263924604,0.03686762330142928,0.09360061318934614,0.03226215232262034,-0.1831716953816091,-0.016462485918355606,0.12027316897889057,-0.17655214019603027,-0.07446519923431098,0.18015902508407408,-0.19483370936717798,0.05987718109993057,-0.1567154788898742,-0.17305750177369514,-0.01595460872823419,-0.028940143266612196,0.17054880692056648,-0.032250624082553914,-0.0605555748130535,0.047098777797101504,-0.07801079663350498,-0.09377385506974997,0.19639982193736086,-0.12361809160187472,-0.12291650291660178,0.14121262651874888,0.17903519958161254,0.037972735263296996,-0.020721643919419296,-0.1514799951287815,-0.1361998246465665,-0.0266194598907156,-0.13682887835601792,0.12333081627549644,-0.026272603676487927,0.15213626462098015,-0.08660341771085664,0.13914787046870614,0.18720362816869163,-0.01065449382450808,0.13946306678389814,-0.013249321459050703,0.1571187674771795,-0.031780227379891335,0.06392486531117927,0.11818433299960115,-0.07764631834189503,-0.07865641782231146,-0.02124242189680092,-0.0866327132097419,-0.08787393426765674,-0.04613100649436114,-0.09963871613078787,-0.06229853151559508,0.2663775281793296,-0.1688595867258308,-0.038608623102574915,-0.11384383976234222
Phaeo,-0.09430609467803164,0.06751322062795406,-0.08300913814175624,0.0041905983396614,-0.06493825074192802,-0.06549396547388069,-0.024187033025577977,0.08777498381568345,0.040394966804364954,-0.11533489736121544,-0.016243751055059097,0.0062151024230688735,-0.11338058409841428,-0.05465698453237738,0.0742597200549242,-0.11711583327352373,0.194110058719935,-0.10738478539434074,-0.10217762217479631,-0.013626297598144488,0.0405918616378887,-0.0031405733562144683,-0.014279920386071577,-0.03488027313795833,0.035348241435948446,-0.059261418559876204,-0.09696356115813407,0.08440199064737183,-0.042254416123228,-0.07882651755999798,0.2067731641434438,0.15092940803657354,0.012511811187742734,-0.052100289946409,-0.09816239046873751,-0.0755270350156304,-0.041310987702956964,-0.08989990881682644,-0.005520360309082805,-0.012525701950400814,0.0394860830146993,-0.054633933259376655,0.1934757680222522,0.18674717671450064,-0.030795437130998797,0.09930037725178786,0.054238033329956074,0.3425748093462515,-0.009647448127436474,-0.025581154937907503,0.09953532115140193,-0.04998195458740605,-0.027740287557158964,-0.016957769434050474,0.0032573633954469175,-0.06701486546079806,-0.0038414708981583546,-0.07904686547568296,-0.042028444975130946,0.20177711940413162,-0.09744590590947413,-0.023655557991292313,-0.07141178804069072
Chl_a_conc,-0.14640050031808838,0.14455871480670823,-0.12985187042661403,0.15174629544604357,-0.07177242906979299,-0.10057937983028588,0.024376462679369236,0.10241710295268157,0.03805603978767619,-0.18509260417446333,-0.018232070378755905,0.10264863697538915,-0.17900504951512278,-0.07735694940945902,0.17140446985591676,-0.19536581462200509,0.10299777597169565,-0.1607247615593942,-0.17302796784745045,-0.017094641411088535,-0.013265115916439193,0.14230945840607015,-0.030951475362415437,-0.06030798296133719,0.04913916750830352,-0.08158413142806037,-0.10505886190663785,0.18779281032495695,-0.11524753763827364,-0.12459444823061214,0.174712952617956,0.19129058282701533,0.03527439357015963,-0.03154874581982498,-0.15382445009848933,-0.13484838390866868,-0.03356829377931403,-0.13928122208393606,0.10202702936100799,-0.02545680149117137,0.1384342678366592,-0.0875397932265761,0.16936713587937852,0.2078782590094432,-0.01731008015435269,0.14404632368365353,0.0036134959003859303,0.2249592807581403,-0.029298071829502434,0.04671019614327616,0.12624828272901772,-0.0787571522175117,-0.07356247867603767,-0.022438444355347552,-0.07183658451187375,-0.09196992341969497,-0.039767096541246764,-0.10511438971545713,-0.06371306390955164,0.2784220015098159,-0.16821863523567848,-0.03883568524447069,-0.11496422123623458
