,0,1,2,3,4,5,6,7,8
PO4,-0.10182178942808813,0.04335085749514025,-0.14726898993057486,0.16081554716193208,0.0726816907868212,-0.051152874388636554,0.193869366232788,-0.1241984583467074,-0.0820358079021584
NOx,-0.1264676690075523,0.178439601782619,-0.10153828341996265,-0.07017577242057697,-0.07263479842146575,-0.05002071391756603,-0.10789496302192372,0.06487361957564358,-0.09168988170451682
NH4,-0.1574716849874383,0.15165674462668674,-0.15279709043593126,0.16961693516839133,-0.07689614012093016,-0.08389157703571853,-0.01633655267165424,0.04234196822012444,-0.07079193773671925
NO2,-0.16809081899735967,0.14755513896553135,-0.13917916607555725,-0.05469973927376748,-0.08795545204001716,-0.012537771257440026,-0.10145334867710282,0.09838150155712184,-0.14754375595618224
NO3,-0.12544613181588163,0.1785055276678778,-0.100647090572128,-0.07025770849950032,-0.07219249122454532,-0.05052402963020093,-0.10772907063218891,0.06414513416955853,-0.0905173824532223
temperature,0.28324472352969904,-0.06926669208405076,-0.04427414202194391,-0.03749888512330733,0.3666042480389099,-0.48902097033123354,0.4346299012028933,-0.027021422830130943,0.044451244079805136
salinity,0.3677688375555186,-0.6254209089689695,0.0711946648742191,0.172309779432122,0.246465698371664,0.07736836952903228,0.19042546408539657,-0.2737146577559997,0.14380969230843385
Chl_a,-0.1596760776558891,0.21733369673229833,-0.13864564828539339,-0.02319950853910222,0.031762243134111544,-0.2322009776522318,0.2502570935367065,0.17400206520124525,-0.17417730329150752
Phaeo,-0.10348726445837192,0.13320613812378918,-0.09095921056320713,-0.030347498186954897,-0.02833245994086664,-0.1433447033127361,0.14603139969027995,0.24535282371591632,-0.11253924857044109
Chl_a_conc,-0.16215108660603783,0.21862421786839314,-0.14109405066531555,-0.027718965616381732,0.018964664485643958,-0.23385859005085258,0.24974523548309516,0.21271842968926935,-0.17678298303466455
f0,-0.2610065315573848,0.31083809396548756,-0.22123541465049928,-0.029885517084244605,0.050227606946433134,-0.36069171328379923,0.3700303491383826,0.2765612968875109,-0.2714884482079194
fa,-0.2632971266357914,0.307343495958382,-0.22428374586121413,-0.03490405558643167,0.04015366457748712,-0.3596610843760622,0.3621969401370479,0.29978832075787554,-0.272333971144524
