,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
PO4,-0.038760705869351986,-0.007366672718883802,-0.13001344108797214,0.10834597453972969,0.07603029792643215,-0.08671943267096852,0.03879753104663235,0.12074812077396431,-0.015549464713526102,-0.06217332615712881,0.1427824356212674,-0.007048143037741073,-0.07943720104667354,-0.14232480295315342,0.0265471226064218,-0.0932668253064918,-0.10856364399029621,0.050431191136968395,-0.028475121917063743,-0.005928012302928499,-0.015574937939521022,0.15161101319042544,-0.05012361151949818,-0.14621188564109505,0.05331333846161712,-0.05472201959750639,-0.03193508615310913,-0.09856441004341439,-0.02377501531145178,-0.13249059964819887,0.02477268659827001,-0.036505438765536656,-0.07616470795442747,0.1295849292646068,-0.006199048639668936,0.035537271835183286,0.06843829838505015,-0.025430082823257382,0.03699831114017316,-0.027249890574822126,-0.0513416871988743,-0.11122520240506918,0.04774886071426546,-0.04659076651358046,-0.03837736808562552,0.11279549168933584,-0.061895649810185416,-0.0117113602944298,0.0021243158594487326,0.23954959691775088,0.04500918417922442,0.09796780524862446,-0.06220859340147455,-0.006607804492194823,-0.11112858703513182,-0.09799884169196565,-0.13530242439263485,0.05171345783092013,-0.032360993662375076,-0.07995289949177384,-0.0809387605021063,-0.017471320888321623,-0.09577711609131992,0.11287740842325314,0.012551892861328118,-0.10141557680287253,-0.03280333455180771,-0.015877634833096933,0.14574473019675904,-0.03642806883285254,0.10204274194980072,-0.004873017562919142,0.1903650352389451
NOx,-0.11125229880436145,-0.004546627416816249,-0.06528595371302065,-0.05746451971502743,-0.048087656625747995,-0.06772405386557889,-0.07266050883459799,-0.05174218901930841,0.013271141550868776,-0.08246580109443788,-0.0599880698903073,0.0463408503532174,-0.016546325376680233,-0.09122696089575072,-0.06131062449744112,-0.07391893319963222,0.02892985637914202,-0.13327551276868604,-0.04021973417682531,-0.009855239636669726,0.07783466694726907,-0.03912847991398005,-0.062223446849155074,0.06399518801655106,-0.043047211840618244,-0.07212579565985507,-0.06797281080359291,0.19707348642064726,-0.05802080418712649,-0.07664222062774619,-0.012344697547719842,-0.020897779267343083,-0.04831210193300858,-0.12032439345622009,0.0014145249906246478,-0.06595359635842302,0.2505934495324617,-0.0820882331041721,0.39294109801598154,-0.08927157265261249,0.250246316587681,-0.06951756491860223,-0.011433120196619729,-0.04527152236938333,-0.09977488262815838,-0.04560880912757843,-0.0466007481093706,-0.05713017399891136,-0.022852802862230855,-0.07733112943440329,0.02911459474672102,-0.011034053538457659,-0.06234763891609002,0.05169296639824379,-0.11553894699003951,-0.06925314499369035,-0.057740980510636204,-0.01077671236664688,-0.020017073960194604,0.031035056761088177,-0.10313052013031704,-0.03898022013531417,-0.03999494479356886,0.10554080081614549,-0.015072752864582366,-0.07261421424056017,-0.03324803924825212,-0.03796528656150212,-0.05748322771238953,-0.0822882013951837,0.02491429449820006,-0.04931744705152874,-0.07368386023601263
NH4,-0.12329020878447758,0.026619848301451796,-0.09256009194037171,-0.07739948359437979,-0.05020971928563782,-0.10702831714408557,-0.07761015904455945,0.06365449693917302,0.079603576378106,-0.05800582644806995,0.16395962231607802,0.03711962325444415,-0.0292704081375066,-0.1397738838243338,-0.04544420426816626,-0.11652543633078141,0.021401877791875978,-0.011305041480072532,-0.09898369736690565,-0.010349870632480124,0.12924068462209065,-0.07868743084861558,-0.08963958075967107,-0.03559788186450798,0.05126079433857992,-0.09432516028623938,-0.05700932663775444,0.0018409493230760682,-0.07794077181422784,-0.11764622301534705,0.05929641204945138,-0.021960047042882284,0.014128197367060964,0.022211539816658618,0.0041066467629098935,-0.03597183304902008,0.3165867722500999,-0.0653324587091205,0.16272364676446646,-0.033392022797921334,-0.014768597156465873,-0.110368241587572,0.03690637142495174,-0.029394546197884362,-0.12702683745587193,-0.025719071551980315,-0.054404305827057436,-0.005312019163323139,-0.034462025265652035,0.01584902330512962,0.10933285565579678,-0.034497444833629716,-0.10199465800988071,0.0006722069259078537,-0.16161258542547513,-0.10500466726921351,-0.04734816731349685,0.14567429051366332,-0.07613226913358925,-0.01715383496916109,-0.13226653871432312,-0.05075247838799998,-0.1186634263154244,0.45130459729315187,0.005003986896848996,-0.11009607360547115,-0.008902757944013956,-0.06973909692688002,-0.05405336745348775,-0.06218537516546885,0.07489654878277663,-0.06642941400437949,0.0733800279966576
NO2,-0.09742575265363006,-0.01397043601299791,-0.10120646513941309,-0.051310990777615674,-0.06019745305463666,-0.10021821201761845,-0.08490566839921229,-0.015206992679205309,0.031421167059923164,-0.12376065736904644,-0.04191408449112712,0.08037527032379879,-0.003714159584291416,-0.13022237074879622,-0.0506925472987033,-0.07099307031114417,0.06945062057520114,-0.19727567335457302,0.018512227814509778,-0.0036047478549220096,0.08171779759062324,-0.05301092038625037,-0.08370629081767123,0.053181367037693994,-0.017964697613946194,-0.10246108628553999,-0.10183339205657929,0.17831272105903212,-0.040563195886198736,-0.1157303178187566,-0.01807826088049919,-0.045443317409088774,-0.0415625902280352,-0.13254052753818119,0.015599514485374485,-0.051893487468402444,0.269066130161558,-0.07142254982903315,0.26640021796038355,-0.11419749284078055,0.16136662424298473,-0.10206110097746035,0.07767986761636353,-0.02235837702108302,-0.14299663854087197,-0.046487577807714384,-0.051230276897155876,-0.030511094312133356,0.0027048996202716125,-0.07928875815303657,0.05252023701358812,0.012190338365358995,-0.056591132141506795,0.02652050651254572,-0.12590069173545207,-0.10214611346223908,-0.06828080281708708,-0.007773652048850414,-0.0106238916542943,0.06134927722791686,-0.0988358781812363,-0.048173473041969034,-0.04270868023850269,0.165727095955573,-0.004197830444042152,-0.1083278315296509,-0.04757639019275878,-0.0478734243996935,-0.053200880144724516,-0.11327972003447767,0.05908295328618379,-0.05950391693737201,-0.07859199004836834
NO3,-0.1112020858430345,-0.004376564888473407,-0.0645158404018456,-0.05742196189077374,-0.04776174727628327,-0.06700537405139884,-0.07226986538469649,-0.052225188350276744,0.012932130803671057,-0.08156162617962026,-0.06013959721582809,0.04565061382120243,-0.016720103289468505,-0.09033919371561092,-0.061333383614411985,-0.0737802642608327,0.028174774925240065,-0.1318602958193143,-0.04110536481135101,-0.009935322191453867,0.0775715196176357,-0.03879552682714345,-0.061703955788171366,0.06401441608812311,-0.043359679920673834,-0.07143223949840813,-0.06723051579957975,0.19688813240253883,-0.05816696443271317,-0.07578996480246109,-0.012216883572388417,-0.020431812701052217,-0.04830283128903369,-0.1198130899321891,0.0011723414345155368,-0.06602244851194393,0.24964580480907678,-0.08205898206909269,0.3940707397576729,-0.0886254210715228,0.2511051961601126,-0.06879349597556078,-0.01290292015838838,-0.04554184859291397,-0.09879430286036114,-0.045478103594122576,-0.04640443443030216,-0.05743269179852969,-0.023224592043094044,-0.077101648451601,0.028646916115378326,-0.011396636935570154,-0.0622859917467449,0.05198497225118884,-0.1150709971316895,-0.06852387076023583,-0.0574169417093943,-0.010799831752229299,-0.020124187296373486,0.030446296171130358,-0.10294062604602335,-0.038726514929198354,-0.0398476444197565,0.10426022608569735,-0.015217355807991134,-0.07182895445019556,-0.03292253248783797,-0.03770213683441172,-0.05740914950157614,-0.08155777763525458,0.024276260418222187,-0.049020761824203715,-0.07341402284921399
temperature,-0.07553277640315291,-0.06145561864062807,0.010119260131521474,0.28235616525772234,0.2708413871833887,0.20530158209329044,0.3364022193882852,0.1872371324323371,0.013292885973292692,-0.10307585659081395,-0.05231305262034643,-0.10954535935832463,-0.40015107957007173,-0.04912823722551675,0.2771258208683559,-0.2245856729411011,0.061592605783305276,0.1900357250112548,-0.36913662451254237,-0.035410605178785796,-0.25017913927334934,0.22791673355608874,0.28169966003478025,-0.051940168469263616,0.10582636729571655,0.1671199728594849,0.1780366680182123,-0.04554686594684612,-0.029962679868488534,0.07598192890318461,0.0036622063505766037,0.023319737408697253,0.11541497335664687,0.3869637808810743,-0.3458919432707784,-0.08979754872248935,-0.26350660803021764,-0.2026648257456238,-0.2957799389581968,0.07101904750044181,-0.13142861777924475,0.28139269457097515,0.15541671440497562,0.18854232703634524,0.3595368447610017,0.1774648487403086,0.14057851699099488,0.29344731061657525,-0.05541342972996145,0.33977503942452403,0.05198462774298766,-0.17465720521357525,-0.05301495798505338,-0.06130275389391379,-0.018552756615825748,0.23836233118434952,-0.0625285532563833,-0.23758733622997036,-0.12689411795901548,0.06846028301651566,-0.0837400156241338,0.16119226315713697,-0.2535660851824531,-0.27997231305403025,-0.022619743485760416,0.19806239498106584,-0.145164709688014,0.25999521966809597,0.250085669181796,0.2706237601118932,0.11868809507993852,0.2434394309948307,0.27650311786984993
salinity,0.19401948794500595,-0.22423565464311535,0.011593481343554467,0.09798973127614484,0.17429961438592412,0.1354984718998879,0.2403342351271494,0.10910442041138263,-0.0931463290405494,0.11824051382671277,0.14065491717394496,-0.20503647856321883,-0.04334453531957472,0.04881633044008614,0.11041236931635254,0.16990045929330932,-0.07652150528636281,0.2628099075497647,0.0971208445794008,-0.006203842744476096,-0.13983024425352833,0.0732479194461739,0.16860882169072233,-0.04344788598267586,0.0580297351587028,0.23461796335955404,0.1543723717999964,-0.3798375494072812,0.19053563662308465,0.11210141905729992,0.007873809941461394,-0.15239296185990364,0.015620066883163109,0.3349923511326536,-0.0042070889833657425,0.30857787855086816,-0.3776355715890348,0.03439898979699024,-0.557021032661255,0.28982156012450755,-0.3847284677944288,0.1593871232166305,-0.3547653980524478,0.06530612067324774,0.24630738331371932,0.08426466536699628,0.11630594980830408,0.1647103933857174,0.04733695771671259,0.2493387437041165,-0.3677970761505621,0.05889476058106481,0.09878398619130233,-0.06713942312140228,0.19333496048446577,0.14539518368814375,0.0425330998083073,0.04473184020578459,0.043159551216125275,-0.29761762960096455,0.09918478695403277,0.11968956068728333,0.034649707493600634,-0.3150422617541408,0.057207206741109545,0.14842419164879667,0.036663042973724004,0.04408658534228959,0.15459952387426015,0.17229335786906397,-0.3502852357918426,0.14427371791203367,0.11033990968169828
Chl_a,-0.19533941479319372,0.15503679492259462,-0.11826854563230846,0.409030176425408,0.07293716733576072,-0.09140805840521601,-0.03832688094678023,0.09931054758246013,0.03291171892512166,-0.1828078381661496,-0.020633712811557122,0.13287827548087133,-0.17541203243533543,-0.1245996406322586,0.09608326603568088,-0.17008041617291514,0.060496308051445215,-0.13801845023330786,-0.16711907699567513,-0.015823348542228707,-0.03143089072218042,0.15621716257101834,-0.037052277215498836,-0.06190470047222394,0.02505562578515736,-0.07795983535882214,-0.08076488363723314,0.1965150833066327,-0.10438731267685576,-0.0829934327062856,0.13320565598066275,0.179010230444482,-0.01645566660879493,0.016850910733266576,-0.1486236363011597,-0.12042809306617591,0.0025403011759527173,-0.1286416605201739,0.12731649336925485,-0.15474979462085586,0.15529461800183908,-0.08239990827318529,0.25150160811393507,0.17641206020759678,-0.05928241005772278,0.12889042520412453,0.002138125247695767,0.14608179933531384,-0.0317409245495774,0.08902801928290684,0.11823283268831891,-0.07687688430690601,-0.07436281596278582,-0.021524063300319234,-0.1379157959243564,-0.08905313358762962,-0.04494456936817752,-0.09688942281991916,-0.045578915926688855,0.2435752326710048,-0.16554998642535768,-0.0380385881573672,-0.11312996377226606,-0.012101877707669715,-0.02642410315485029,-0.09852951314383165,-0.06232531074908593,0.11786572114548452,0.13706841468769557,-0.02772190000082864,0.05027361668969123,-0.011280854632369419,0.18320862696424423
Phaeo,-0.1268565750590966,0.060961771725515417,-0.07869357508624308,0.1556622569072475,-0.007132612394423253,-0.06184019174591433,-0.04334159233694865,0.08093181231599333,0.03837924191086149,-0.11555722391834049,-0.02162775980392063,0.013605174167710711,-0.11306176430642532,-0.07953038674746488,0.040264549558938,-0.0995538757384947,0.17025838972005589,-0.1057752872319097,-0.09975685885380794,-0.013426629818630815,0.037282530304051556,-0.010230820102107824,-0.0366529428526161,-0.040093274727639225,0.02294264182779123,-0.059213935229172336,-0.0484912691937419,0.07551989244982486,-0.003054733184021439,-0.05774199480334796,0.1966818874113755,0.15121494772867386,0.014465996477488087,-0.04575448706552705,-0.09634500448310888,-0.06672332402611494,-0.026982567634905433,-0.0847256616069943,-0.0028428637159212235,-0.10647003299122403,0.03808449339861518,-0.04601737306988601,0.34703712899621053,0.405324911477421,-0.0644800407539047,0.08820190726199714,0.0745149812662721,0.3231234515363654,-0.00943431023652418,-0.027921993099855283,0.10491257715531757,-0.04941154012155137,-0.0307424928024797,-0.017086036979126192,-0.06429282795560079,-0.06654383359634432,0.07537551912761378,-0.07707603769405488,-0.003767055619560703,0.14935985533540863,-0.0967539558042896,-0.02305444707412487,-0.073478734424677,-0.03401983732452618,-0.012635666477770403,-0.06541707917691854,-0.04118653782196706,0.03496319250452856,0.008961215003523669,-0.05527971536075971,0.0617483574821532,-0.032557625003890076,0.07851065289148092
Chl_a_conc,-0.19843666231417786,0.14670351651186717,-0.12065672590053214,0.38563959247373747,0.05928740043132423,-0.09353070466804767,-0.04394744952578798,0.10535101617000105,0.03805367288727377,-0.1848475751284365,-0.023196213936684723,0.1152373810972996,-0.1779613998512041,-0.12619853952783067,0.09159355358428153,-0.16981611754541243,0.09703750853785734,-0.14459277007016788,-0.1673854458010049,-0.01693021314904608,-0.016254980962853008,0.128352873668453,-0.04106035726758332,-0.06285672939853412,0.0272652964945356,-0.08152845315120305,-0.0809699627014402,0.18547649147600476,-0.08845507196435086,-0.0853538792209804,0.16525013371398334,0.19134719803916367,-0.00988317886829792,0.001714557030305073,-0.1509330112028341,-0.11921744526127348,-0.005198185293176487,-0.13100294881094288,0.10610011784913814,-0.15882620167295092,0.14070468275177295,-0.08167033736409653,0.30539877384819547,0.2582023561754901,-0.06728086843070366,0.13215618771168042,0.02203888450089097,0.2104100810763993,-0.0292071752017968,0.0671464199915311,0.12774987744204938,-0.07795630203115005,-0.07077396174607238,-0.02270970826841374,-0.13323672206950454,-0.09283180202646321,-0.017249648439713033,-0.1022711373526799,-0.03928344171676448,0.24504059282273125,-0.16525249110913595,-0.03819387579334699,-0.11492652108223325,-0.01940104732088538,-0.025613848678606766,-0.10048038356680597,-0.06350681525553203,0.1084379963538949,0.11749302038282464,-0.03828870596938207,0.05897653655268624,-0.01831461009331469,0.175119263011682
