,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
PO4,0.11975526997032354,0.06719587548216492,-0.13672137606280307,0.17486574178392428,0.2080869416144456,-0.10370173821755088,0.0745925205805811,-0.038447513696874006,-0.011094257035542949,-0.06143187927413746,0.15060668250904408,-0.011816686572128428,-0.10229496090680248,-0.046779341543320405,-0.023933865180659097,-0.027900528264767535,-0.08835406329493792,-0.10244557519326937,0.03497089050531084,-0.0052109178457628025,-0.01154427910019017,0.1538408318984688,-0.05505147217383327,-0.05954208796688229,0.11965729056337733,-0.06827669192946426,-0.03805531515467907,0.07113059703976625,-0.1199538442545067,-0.1413116154719108,-0.003069595915596051,-0.0363189570673147,-0.12070849344693277,-0.012921564170502376,-0.04107689565120139,0.016604107944264094,-0.05110287374512014
NOx,-0.0661916698765947,0.07772503186386473,-0.09372828417091082,-0.08189617328031626,-0.07617057403844299,-0.07345951947771051,-0.07051375501369733,-0.04866606827762927,0.008521516880992468,-0.08786173764501197,-0.06287487270924848,0.02487827821293357,-0.04611664610286603,-0.09453782694245248,-0.061617927480005566,-0.04465065966184224,0.08460840727551835,-0.07259733088757615,-0.017331311789081837,-0.009937625137351528,0.07950978026466243,-0.04082460252103694,-0.061021147229129935,0.07566772026581361,-0.04734083131507527,-0.0811563922136152,-0.06530431425965416,0.3980493338140052,-0.11558551968662402,-0.0889947308470009,-0.028701004493906605,-0.02104752641762257,-0.0029483376239569457,-0.12320337530430217,-0.0036803519244781925,-0.0962458427089774,0.25650396710919887
NH4,0.04905857059773069,0.11821627162449158,-0.13331973012103748,0.04475749865870094,-0.014442337069697015,-0.11188499226412202,-0.07431146013564313,0.001684101233185885,0.08567855478944315,-0.053434451953796695,0.16581028905579584,0.053528413280955506,-0.11710706522084557,-0.09967624291708904,-0.07896358792589622,-0.10309000156656059,0.0014144564712669436,-0.10919758067676615,-0.0609439885357393,-0.008335083469845253,0.13440533898949386,-0.08068650703967026,-0.08819096267391353,-0.009790626681314724,-0.020091676699866178,-0.10675034264246613,-0.09326815704514474,0.29943399718969044,-0.16487130138082695,-0.13479085904812116,-0.04368961156976425,-0.0216065241495604,0.015188720452024842,-0.07201338799278684,0.011561552034153415,-0.0253838181943939,-0.009525181403299764
NO2,-0.03313899276204395,0.08841831320384044,-0.11830891286390237,-0.08550729139973128,-0.0764963684526446,-0.1103807641096101,-0.08527524380526584,-0.020943395077864344,0.02642676584238632,-0.13697712293728698,-0.04556252574234688,0.04428903055429305,-0.05470948098455715,-0.07829168031486491,-0.059934576858777275,0.012917006543479785,0.1357352204597898,-0.10744806966154458,-0.0013257461634480468,-0.0030957097229337956,0.08450992325804627,-0.05408377383971028,-0.08486882392828343,0.0511037713969252,-0.04599443879852616,-0.11620287521847171,-0.08723860611086925,0.31114798002207295,-0.12418294189813081,-0.13046661028716652,-0.0029435548416642796,-0.04623907348693308,0.022875259024193413,-0.17380303760769222,0.012438400868297544,-0.10178783477605369,0.17252811825376452
NO3,-0.0665793675002769,0.0773476180429159,-0.09307661259723393,-0.08162727792396735,-0.07597148993717132,-0.0726517991462014,-0.07008624393896108,-0.04900866165544842,0.008198695437202093,-0.08681230828550518,-0.06300625200712105,0.02448856023520274,-0.045854900987802566,-0.0945707946161492,-0.06148962549271755,-0.04550544493720349,0.08353341522274393,-0.07182662742619825,-0.017556470333932497,-0.010027445899357472,0.07922358737675077,-0.040497821606889584,-0.060464936140524395,0.07588855397970762,-0.047243150159732496,-0.08036064163749987,-0.06476939924606018,0.39849926422220094,-0.11514712694875014,-0.08807098372859759,-0.02906128888138669,-0.02057031351579318,-0.00337519067167087,-0.122039152182762,-0.003942111176685659,-0.09590799765130874,0.2572644599740044
temperature,0.216103628313837,0.035622870594456096,-0.08686961483031827,0.3399692347856595,0.357515449678372,0.20368639610361747,0.3566030673809354,0.21761569357922356,0.01610408162045873,-0.06143061182204427,-0.045375539165925474,-0.09770629777676644,-0.23850756282357452,-0.1943257834273996,0.30393783690648624,-0.3549698404871913,0.05614902600610996,0.25362828997680975,-0.16647573620706152,-0.03869456378858494,-0.2433963830193761,0.23365826437278236,0.2773960135152006,-0.07208007408742367,0.1792023766703541,0.18176504847939232,0.2949058456772893,-0.34593784824996987,-0.00033373678393442546,-0.021110338040954923,-0.059799612175511704,0.021824402114237952,0.059938972820666875,0.353618079083048,-0.4125529078684642,-0.0527538250862961,-0.13807797134315958
salinity,0.14662425805332047,-0.4595381118208922,0.11410587995262378,0.11024449666427294,0.24185530626518892,0.14632817881940835,0.24052342469944113,0.07714382131075806,-0.08227507886309982,0.1283996492250362,0.1504380461500124,-0.24395277147197253,0.04841410288027423,0.04034263941258805,0.08806260366638445,0.12227586320355946,-0.39148074373049746,0.15431733916531423,0.05739915974858174,-0.007440167770409557,-0.1431943458838607,0.07309836263833136,0.17152570109584678,-0.08660681994807845,0.08521970335510314,0.250580084201763,0.175005264695687,-0.5898177250015451,0.21996466415461663,0.054835327016287086,0.057758404111350185,-0.15130320183257895,-0.03929301733821024,0.29603807044350494,-0.03878891365267527,0.366087696672169,-0.3913541011246868
Chl_a,0.08613243568770719,0.11632892159995198,-0.17672525327974875,0.1878455395499922,0.13964273628380375,-0.09857454325783611,0.034248171519060816,0.17608248040307017,0.04569429604100618,-0.1807935693929192,-0.018976950556610053,0.14822500638347863,-0.10737128605090014,-0.1585288458236857,0.1959630995687996,-0.17235663338475637,0.28387538980586147,-0.08860081350828751,-0.06897398509477026,-0.016212012740851604,-0.0249508332192042,0.1727217656294968,-0.051178630663888884,-0.029170161102612318,0.13905786181351304,-0.08926216529687267,-0.03635377996572835,0.0981757850439745,-0.14738867105565612,-0.11713076762698264,-0.03794608370580395,0.17845059137089964,0.011575529502665743,-0.10940827310219195,-0.17460144264681604,-0.17600807650113443,0.15981459249428975
Phaeo,0.07331515219811173,0.09494266199416065,-0.10998962083040187,0.07831761503279941,-0.016393159425281443,-0.0652150610703352,-0.026552552333537364,0.4027231658235022,0.05899200002965444,-0.11507337796695326,-0.025078005130819453,0.023553267187286467,-0.06183081191871906,-0.09602448881608816,0.18621706625477885,-0.10106538503124271,0.19567166389774282,-0.07255423979977502,-0.033622370907745155,-0.013840592048892203,0.04184707557791264,-0.0020277886680869026,-0.035044386320506715,-0.023059334456961008,0.09720417656748401,-0.0682977301999574,-0.04722696092009043,-0.01658524876082598,-0.048850868023021486,-0.07587697599439468,-0.011708311986269877,0.15030650189377187,0.09942065886837366,-0.08536278926897467,-0.11474392181120766,-0.11055660619397914,0.03547829760820049
Chl_a_conc,0.09221971872308353,0.12344308160328156,-0.1782291141049489,0.17895915242999774,0.11276573714001749,-0.1004632990002783,0.02153497329086921,0.2572188616974934,0.05438370491721645,-0.1830253001305646,-0.02274284494457103,0.1308224677567948,-0.1069280654621983,-0.15916060016043337,0.21508714609006213,-0.17213747189892367,0.2914513996674508,-0.09408500990727424,-0.06703285019235922,-0.01736893151773434,-0.009575380953359807,0.14443581038068265,-0.05248134125768703,-0.030750837140339656,0.14313669318028976,-0.0934837635387339,-0.04334675183860939,0.07790521559023833,-0.1369932334440391,-0.11893643984306737,-0.03503372845337515,0.19063061894729158,0.0367271920789809,-0.11503108428546299,-0.17773797712932865,-0.1777811365647996,0.1437908093128577
