,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
PO4,-0.07858624277118617,0.08146238482575464,-0.03643017495801219,0.1496937522480793,-0.07835712139686354,-0.11160633364432403,0.07455374737673384,0.0004465763942282201,-0.06074313963084421,-0.10498275530753214,0.1496897580297641,-0.05946462572256097,0.021299303090520215,-0.14683215270682098,0.19354934934133744,-0.018453491158428755
NOx,-0.04855960542831826,0.18586650553847361,-0.021718113478193676,-0.04550925919981398,-0.1102891607883221,-0.08276986011410908,-0.07171298621904693,-0.06961414266294477,-0.08437253968442933,0.03254303680530267,-0.06306103763516602,0.23187484547782292,-0.020604117102968552,-0.09927548471829123,-0.0973765927465648,-0.10604773883780247
NH4,-0.09241408702921312,0.1891952971095272,-0.02054759921842894,-0.07526168515659791,-0.14476587366433671,-0.12386253946332722,-0.075679139103115,-0.004765213475348012,-0.05193295474637061,0.061415981179126285,0.16854989971438167,0.04307611460641237,-0.06651525165847619,-0.15093062782398728,0.029276896098396985,-0.07210982625726536
NO2,-0.010035263621599448,0.17192385157566054,-0.046029657509244135,-0.0554021014386527,-0.14056647807851524,-0.12188824444753421,-0.08677461969422068,-0.03237435416138378,-0.13268836644996992,0.05851028708321398,-0.04578026176060705,0.19957744441979824,-0.006898181446798237,-0.1372644546237789,-0.09799712712108107,-0.12534967480336737
NO3,-0.04908415096223688,0.18562859701948198,-0.021253997578161363,-0.045227192070715176,-0.10949957911473224,-0.08190152011879248,-0.07127737866981765,-0.0700635675582188,-0.08334542727987551,0.03202355838044213,-0.06319141273537608,0.23182871919805703,-0.020782277849231923,-0.09838418852576317,-0.09711865141364781,-0.10545354103848385
temperature,-0.46425658817986704,-0.06811710000698974,0.021756713457234886,0.24359519070228194,0.36570981617830894,0.22639466362356997,0.36259319836652737,0.31573013881407436,-0.07180788175061595,-0.023231894151594237,-0.05133174964716157,-0.15485075165974888,-0.18132025225742873,-0.042580890163343,0.38474649742163075,0.05071726128617307
salinity,0.04292522399654138,-0.582830336302861,-0.15866100953693502,0.08183247357734533,0.27192855981167996,0.15943557062707137,0.2444017800790234,0.13854682184822098,0.1263617692550166,-0.13294165067413588,0.15078417004657269,-0.5034442202326826,0.062900622746631,0.06718510308010953,0.16833486186509838,0.37790368771844557
Chl_a,-0.2204383796729663,0.12612534562654676,0.18113185899539486,0.18106193970256462,-0.07782796696341593,-0.10830471919470049,0.03359955123955219,0.18162832363941434,-0.18495146282975852,0.03575230425830744,-0.023140070148605914,0.2557288290059493,-0.07599445560473009,-0.130962605097873,0.1952672063858321,-0.16787400021563376
Phaeo,-0.13496618898606405,0.0747646576022436,0.15146170764720002,0.02663711724053315,-0.05642218325727587,-0.07269848911465804,-0.0276139143967326,0.3407696818948947,-0.11966141346047537,0.09188479533628019,-0.026459438144686438,0.08913811006317157,-0.033533459239655415,-0.08178338150433731,0.07312422476141839,-0.10785300158446855
Chl_a_conc,-0.22170852917060935,0.12618450776741458,0.19319518226841345,0.15922437728366273,-0.08065930172062294,-0.110664121591172,0.020702157282833148,0.24504276552250578,-0.18776200273440935,0.054974416552522574,-0.026612770694915917,0.23888167570138974,-0.07290184305562998,-0.13215185113028224,0.18377814365953193,-0.1702186911570865
f0,-0.34214896620657304,0.2843597582646772,0.07033081491169968,0.24389889600003947,-0.10132713075642366,-0.17687820529274678,0.05226405352221415,0.21765872321580804,-0.28745528743150106,0.13261434975410605,-0.03218981481629846,0.35208374553571087,-0.1216832506818209,-0.21435951669724365,0.3215558646835015,-0.28511205659635375
fa,-0.34058111261962487,0.286122731152072,0.06884349165906134,0.21894734429782065,-0.10270206272549934,-0.17883613653074915,0.04210719352443808,0.2544471248470509,-0.28830772930086673,0.148921037902954,-0.03628978583426759,0.3300860391115081,-0.12082758469523242,-0.21705833229659321,0.3100726059376868,-0.28835805302148576
