,0,1,2,3,4,5,6,7
PO4,-0.08106899505935095,0.025831791003243676,-0.15660862071397375,0.16511794192852994,0.0747450378143368,-0.06353503365547021,-0.09859551414170813,0.1399306996440928
NOx,-0.09333556137349973,0.197615972468176,-0.09921918323319258,-0.06950001239313178,-0.07341651927383078,-0.041850118090932024,-0.127074958357849,-0.08992899211776592
NH4,-0.0718276556221643,0.15328477715647829,-0.1520136642358692,0.17189477792794083,-0.0769099594568689,-0.08034354292878634,-0.1563775993893063,-0.005028481435109741
NO2,-0.14914801803562727,0.1702474289143556,-0.1351107730719822,-0.05492812053899753,-0.08890497393050587,-0.0028655650947906485,-0.1683333188416769,-0.06952396512335218
NO3,-0.09215957589857507,0.1975740204321611,-0.09836330758891348,-0.06956845861866118,-0.07296940278645007,-0.04239945791215494,-0.12605801328111285,-0.09004362556361359
temperature,0.04410058011937925,-0.08518838365458431,-0.04516035653201603,-0.0307040893349858,0.3698576683984671,-0.49390312756157917,0.28030524742527335,0.4298954363616281
salinity,0.14692819203152058,-0.6628082027193296,0.063076830423104,0.16545474202163163,0.24775092051213893,0.06106546048215346,0.37016002666986236,0.13547298842026356
Chl_a,-0.17471643579688836,0.24005476842855028,-0.13359547593652324,-0.01343242912394707,0.03307316514943363,-0.22686236454385228,-0.16089185125409775,0.28258459892906795
Phaeo,-0.112460658184391,0.15016897853954916,-0.08201506124173351,-0.029323445972956833,-0.028640262081798974,-0.13196319777601243,-0.10465278973146952,0.2270838382117087
Chl_a_conc,-0.1772141922615654,0.2423052533503132,-0.13442488721577503,-0.019242036615938155,0.019981460172252326,-0.2262851262238279,-0.16348828332914594,0.29890188064394074
f0,-0.27314746115334443,0.34576641323034163,-0.2124637438401727,-0.013557231722030265,0.05255094441700423,-0.34711302192583626,-0.2634107071815131,0.421575260586184
fa,-0.2739529011105872,0.3422168060569316,-0.21435894878671213,-0.019711778310653648,0.04222822182892052,-0.3447286111290485,-0.26584926585845836,0.42473384498098354
