,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
PO4,-0.019902170301707205,0.08133140518695713,-0.1466444292376365,0.14980174437579252,-0.07698999070379658,-0.11068168162382913,0.07452781274498324,0.005398337139017861,-0.06615845856260666,-0.1064784471428264,0.15197956426487844,-0.03635800850460757,0.022191919159775135,-0.0691337076297334,0.19320769926547196,-0.06326038861331944,-0.05941417940442652
NOx,-0.10067364117647276,0.18585267563075825,-0.09870846429108635,-0.045505949215059904,-0.11030020796601718,-0.07998340244497217,-0.07173685356596504,-0.06912718865815619,-0.08692644099123994,0.012303324755349093,-0.06560505220708751,-0.021769309481862648,-0.023262230888093007,-0.08488794412823374,-0.09654280247245497,0.044938314176644005,0.23224314018582035
NH4,-0.06102385689980448,0.18864748708610163,-0.15021361251641602,-0.07523493536952658,-0.14409147366808966,-0.1203271062774743,-0.07571506974923492,-0.0028321954214651887,-0.05672982098669809,0.037956648698986545,0.16506259564473988,-0.02076761302346825,-0.07305316347723186,-0.14141872267060407,0.02954027697368522,0.05284017952127312,0.04290640491524278
NO2,-0.12331168845199092,0.17200991635667298,-0.1366454155680879,-0.05544828943390158,-0.14063138466561304,-0.1198410793452676,-0.08681292361543202,-0.033230879048366635,-0.13554392524630846,0.04633576893175484,-0.04824084414209727,-0.046275010339604544,-0.007112528473216771,-0.038052034873903934,-0.09700910547961755,0.032532013893106615,0.19908750457211538
NO3,-0.10003699021430433,0.18561312205806363,-0.09781948424729177,-0.04522305795448968,-0.10950969231083123,-0.07910971011715734,-0.07130094253278245,-0.06955525425150391,-0.0858877634742859,0.0116996353347099,-0.06573036444319476,-0.02130179778316258,-0.023474739041187846,-0.08545995181050178,-0.09628957453720774,0.045032764628513904,0.23221051310972107
temperature,0.0677472532624843,-0.06701676444633095,-0.04334532750610874,0.2430535942307121,0.3687854054391767,0.2298783745581905,0.3626357997099299,0.31043372692875526,-0.06459425791187945,0.08511166289925318,-0.043182812776490546,0.021350850231847754,-0.1758755925267239,-0.38266102887644887,0.385963078423773,-0.34775568886406594,-0.15530001659255238
salinity,0.36532284781845725,-0.5834012550145351,0.0657804030698012,0.08201057227721434,0.2710944727421648,0.15584056385229186,0.2444669713200776,0.1473112323651599,0.13083026460470634,-0.11530072964357814,0.15681353590344435,-0.15832198933047525,0.0689728850768995,0.1272012913294923,0.16630204309878377,-0.09739084612187845,-0.5010325750930847
Chl_a,-0.15583340800577655,0.12757216161419022,-0.1304188338960727,0.18097784840789272,-0.07619996555381975,-0.10424268695204669,0.03356393747502292,0.18076716618534777,-0.1879254684185081,0.060857999819467795,-0.02171869289432863,0.1807679259954619,-0.07421405340877424,-0.22287178618658765,0.19734078132763222,-0.11973771903932348,0.25373846330148436
Phaeo,-0.10179169238599767,0.07559831520588972,-0.08160110522625497,0.02716731628867996,-0.05591776758290551,-0.07051934553625652,-0.027658369520099403,0.338746152626008,-0.12157714855451121,0.11002768455713308,-0.0271963510641819,0.15118383417831951,-0.031245970190403604,-0.13204570076341282,0.07522064950355528,-0.06351848991858225,0.08766843061065017
Chl_a_conc,-0.1584648093643976,0.12762548571876908,-0.13164587630118332,0.15929783256476696,-0.07915568029702871,-0.10666233041577955,0.020660184765055926,0.24377014100570182,-0.19077891639423192,0.08097775491442749,-0.025619836300436207,0.19281419619227305,-0.07078587075855003,-0.22295775506403395,0.18608830406487642,-0.11776724566740226,0.23681163608598574
f0,-0.2654648690438445,0.2859533291968297,-0.21330748163501573,0.24341516760766335,-0.09829426406725962,-0.17059429413759924,0.0522130316717168,0.2137611562378324,-0.2926568435661693,0.16561039465023505,-0.03037681519757049,0.06967534439725659,-0.12029911290910111,-0.35390716528252386,0.32493466821769246,-0.16002161058447606,0.35054837606320555
fa,-0.2693207792116443,0.28769084865214256,-0.21603962219443423,0.21853157597304335,-0.09972822820848512,-0.17270874227365685,0.04205238412073828,0.2500959736199978,-0.293529546309168,0.18376625479237232,-0.03465715195503029,0.06815511988742878,-0.1191362501191718,-0.3507749911153544,0.3135264360737531,-0.16094952993806097,0.328550346157666
