,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
PO4,-0.03108041440702841,0.011204044287234117,-0.11651419194978839,0.0925833857252807,0.17496192030357224,-0.03483432484624222,0.07460755985800895,0.16754495320507246,-0.07297012318236296,-0.08082323270182826,0.1394835035574962,-0.09849581330638298,-0.08314103007406007,-0.13936308693390895,0.035891420299691966,-0.09589269491126048,-0.07331210008273717,-0.08529287222070461,-0.027958953876764267,-0.02725731012811254,-0.014890710020026107,0.15170193208474886,-0.04892149634786486,-0.1348218071395163,0.0446501993257325,-0.05377217324457973,0.17307612772338615,-0.08518184978131399,-0.10419901200240546,-0.13011104886756794,0.025235843730658045,-0.0366405206757337,-0.10998121039962,-0.024293735162466856,-0.015173255330218662,-0.04734334990881951,0.07153585272897439,-0.02961107045431944,0.04218523280327236,0.02025724654867561,-0.053208403573870605,0.1130358634746447,0.04110920696833309,-0.032919233286897505,-0.030034782858731086,-0.03997793313044323,-0.05998662913182591,0.014730373506750216,0.002009114649790105,0.1075431576488527,0.045502570096636635,0.03102986916744912,0.22213169165622154,-0.008037081981319631,-0.1291396195561551,-0.10114942428365883,0.09927291533496034,0.04410473864721763,0.0019085008297905076,-0.06807353622266382,-0.07919196723908685,-0.05631607334757112,-0.09574525237694632,0.11153795671763811,0.012372541087240741,-0.03301067134192209,-0.13559568874725828,0.09553124150096137,0.12535788490240468,-0.0169548084750319,0.10447875302884593,-0.006203982931562659,-0.016178607848647435,-0.007759699235408181,-0.030835987800237826,-0.06443710726772892,-0.10232854773618069,-0.04222916144998319,-0.013710152270205039,-0.017124581989418682,0.11402031121373686,0.043226804366481256,0.1740260542747193,-0.09650552605985412,-0.11013980692492417,-0.005941395609829642
NOx,-0.1129028557238348,0.06678929404817843,-0.06553916361426144,-0.06617743975326942,-0.08544573760684153,-0.07662238045400079,-0.06918626932247617,-0.07613631698310355,-0.05630156095895269,-0.07700329990608787,-0.05857422821753695,0.16327713420218942,-0.025099764855233277,-0.0903712314049325,-0.05968395421005587,-0.07913642689251914,-0.04014588204567461,-0.0648307578802404,-0.039304132932251934,-0.057391790474248555,0.07673496604417877,-0.03918945372593981,-0.060155631116740715,0.07373551308566595,-0.04194905329207042,-0.07064564659280116,-0.07396564771833858,0.13765224274674623,-0.10786158384673035,-0.07423045515048364,-0.011811625082556208,-0.020842064044044737,0.024196867112334305,-0.034420787672937436,0.009334988055487978,-0.04477607114482969,0.26164940382290175,-0.08111842789103837,0.3874123947168365,-0.09085828881191449,0.2581560896147475,-0.12026353878090876,-0.00866246477432485,-0.019735429153623748,-0.09932813760406395,-0.06267167653899434,-0.06001486372018184,-0.0655068517605091,-0.02277772612477822,-0.04140289039745329,0.029429922744711987,-0.06017869090584443,-0.054368612583825936,0.05283833418611602,-0.059549616858308244,-0.07352673809177196,-0.010701324542819851,-0.009828194483518871,0.016108032330682705,0.014374625886425199,-0.1026196311497893,-0.08269195471481638,-0.03954051021442681,0.10915240473245466,-0.014957420956594646,-0.06621180767745324,-0.0694802368535482,-0.05905440379312252,-0.04707096536447174,-0.13259925021026467,0.016298634372420545,-0.04862344425571437,-0.019942126950183957,-0.002641544017009319,-0.02018202191698392,-0.04905990566343778,0.011206631510268789,-0.030742462144041867,0.01294908016855821,-0.037214409036436386,-0.04634453443880375,-0.01917965800154689,-0.06261025587229319,-0.0678339422160095,-0.07009411494597637,-0.009848481411043088
NH4,-0.12406896906457097,0.11890666390336571,-0.05743967171524124,-0.06840507299247212,-0.009900617746765941,-0.04584972691639339,-0.07276131118802517,-0.003778468627055969,0.005555345938499937,-0.08468552237273418,0.1651164991771435,0.01637675040410553,-0.04527586133244892,-0.13741563493987813,-0.03871983607186742,-0.12578773069141025,-0.007087073681919179,-0.10464321216499903,-0.10010857990082402,-0.07960008505666985,0.13067061027296917,-0.07882233776288337,-0.08666910494945328,-0.02378802925686784,0.04101271250565333,-0.09263930566466774,0.1708016662879208,-0.01312438186010564,-0.15433995857473867,-0.11667273493419686,0.05967186423430686,-0.02197091402936062,0.007984763205386504,-0.04253194018584424,0.004233114418922743,-0.06596731616828502,0.31433390297626185,-0.06960843188145537,0.16237047620776165,-0.019329574536622804,-0.01691219908589941,0.01953269979275494,0.03421657086093054,-0.02125420101003409,-0.12460436142654314,-0.06364208220485572,-0.09897459092809954,-0.0007908759578261065,-0.034380170219685056,0.07240665125565511,0.10402610964532105,-0.037318995602175234,0.015171906356176204,-0.0008078594674375116,-0.10665576873972481,-0.11074818375465505,-0.03478183374983064,0.14021682032053845,0.02671679492305174,-0.007119112792832035,-0.13037632098872587,-0.08038639689988827,-0.11757644853441639,0.44950212168306336,0.004965935521853281,-0.0595880459358212,-0.09141043624175932,-0.07520547246480436,-0.06036218740004931,-0.08136250906670639,0.06033026104094364,-0.06618379018570753,-0.055962719062941195,0.026537003893432505,-0.07599408928046292,-0.05794736340713805,0.026506501882562115,-0.01737165860215213,0.08068711784710345,-0.04943917688904387,-0.02294091315905595,0.04028055976630437,0.0875181790098362,-0.10365542060552535,-0.1106944408807378,-0.010378497536590703
NO2,-0.0980074056617255,0.1644644486791116,-0.08411834135951864,-0.0839065455128154,-0.11081768675059733,-0.1080767518131396,-0.08334214564363379,-0.06337217853703722,-0.05185372759222597,-0.11520445685966951,-0.04056921868169797,0.17356992966099416,-0.012268253410600595,-0.12838577247869912,-0.04801851227485933,-0.07530067949116151,-0.00717998634141089,-0.09578230868801343,0.02142415622092828,-0.04050084478643379,0.08102135031289469,-0.05312937241718139,-0.08094724027439176,0.06566962734662182,-0.014601379715038748,-0.10074484613322726,-0.11834671224996948,0.11520101141206593,-0.11467663551920736,-0.11475307353879965,-0.01786815714251295,-0.04538758837388926,0.05019632402470935,-0.03755632644440937,0.0285827727791252,-0.05148041558733191,0.25935761736020413,-0.070427664530013,0.2622363064635972,-0.08667869718260199,0.16349521310795126,-0.1391883430268423,0.07888111497116569,-0.011621926728116056,-0.14188562057333504,-0.06110967669205898,-0.05232745320621936,-0.03789951819276418,0.0027533631623069266,-0.002287071554906891,0.03940203473489524,-0.050355834195884026,-0.014075537220446844,0.028764979639005112,-0.10085488835771873,-0.10889958516534112,0.01282284945936308,-0.005574806627242838,0.053696578860749175,0.04597614615014098,-0.09785133131942543,-0.12405183736508693,-0.04130884037001384,0.16801120185079163,-0.004053231546199881,-0.09926293992805664,-0.09525010003803755,-0.04569832510361832,-0.04687140975256664,-0.18842442795893816,0.03405044703219649,-0.058947461219698544,-0.026527352118556127,-0.015061158599124023,-0.010868544529483815,-0.055014913395058124,0.04987690303733756,-0.04616984622623479,0.03085202736451359,-0.045283442509673824,-0.048057346695559194,0.002375922584553747,-0.06832950593012156,-0.09986450914813405,-0.10473208952518484,-0.003632617996509835
NO3,-0.11286642622356985,0.06497666090974193,-0.06506008391927015,-0.06571103575205679,-0.08480180812594357,-0.07589857255245554,-0.06877231860652722,-0.07615748958427176,-0.05623326964754005,-0.07616504444697549,-0.05872818897551889,0.16268900692239746,-0.02525179130897421,-0.0895021372351032,-0.059728464299974575,-0.07899980058886073,-0.04059832114089209,-0.064145378313243,-0.04022566852851125,-0.05753001836338294,0.07646783121462897,-0.03885537889041729,-0.059653022274519546,0.07368376434012104,-0.04230241203848899,-0.06995982355390709,-0.07303116851209591,0.13767999370655837,-0.10747280225397654,-0.07336020104575136,-0.01167973376949324,-0.020376239322595975,0.02369806061055446,-0.034280560614952355,0.00898751785556249,-0.04454949736729916,0.26102291146701595,-0.0810920636710382,0.3885331333962875,-0.09069765219074905,0.259092102929298,-0.11963955165838593,-0.010112909888772965,-0.019821734433817996,-0.09835986625391566,-0.06253865512420714,-0.05999162316598288,-0.06580470058670565,-0.02314925850196333,-0.04195557480755446,0.029187391497031784,-0.06019095165777775,-0.05490814293239931,0.05310894213766578,-0.0587035132986958,-0.07274489059664505,-0.011069795909335163,-0.009874754955325315,0.015434859590849937,0.013806559372723995,-0.10243900241808292,-0.08178611125215351,-0.03941026638372892,0.10788497852244425,-0.015102809305458473,-0.06548760339553612,-0.06887019439258141,-0.05912895014184369,-0.046954680602583204,-0.13132325344403373,0.01595862643208171,-0.04832620947966228,-0.019780677677981827,-0.002425934917423473,-0.020287375383331932,-0.04883504724503506,0.010527722398505551,-0.030404838378368285,0.0126150438112433,-0.03698410113848449,-0.046197930477937806,-0.01949346852945428,-0.06235492163934746,-0.06712278059299875,-0.06933335260439077,-0.0099279987022542
temperature,-0.06439240039091049,0.0037285595748519336,-0.08299984378406575,0.2901442376914516,0.34239212240531014,0.22966024962687603,0.35265637089046636,0.3161361805196786,0.13673572887646465,-0.08049379824488467,-0.05897061288560509,-0.034893581467200736,-0.3940707165052503,-0.048379923772221396,0.27396404189975415,-0.21584964425499845,0.015980502681737424,0.1911993209756852,-0.3666869240504802,-0.035755028601489325,-0.2515096625958403,0.22790739450439546,0.27112368730743025,-0.03952751550596116,0.10359264230195361,0.16636653855449612,-0.03995370635647486,-0.009288862665777282,-0.0006832427919352558,0.0782534353308402,0.002989779284947456,0.023259257339371675,0.055520818744617714,0.0553263428710091,-0.3454844438864535,0.09874644688646975,-0.2701723016447571,-0.194922663392965,-0.29793497128055807,-0.1145916559302872,-0.12849143906572422,0.3802942600270848,0.15422762971829646,0.13781270614571955,0.3588944087822571,0.2663734385098695,-0.05737101584913236,0.32257012655606077,-0.05487756631025502,0.13916778351748404,0.05069849836010147,-0.03876913732138604,0.2651829159737973,-0.06288091532751793,0.015627460554316186,0.1939279475190553,-0.17282972982400274,-0.24012223010116235,-0.08956761973007801,0.07708159412519539,-0.0947561519892311,0.255098641264506,-0.25648487102240564,-0.27528765939445854,-0.023044224654352005,0.1693678388928504,-0.12756728035643072,0.2796494695747406,0.24090368099204162,0.18908434991200157,0.1270767726095721,0.2408204769709321,0.21143903098103545,-0.05992292837836363,-0.1270419950963489,0.15447024697746242,0.06789913327142667,-0.11623192851633189,0.01312734611670064,0.1578569043813411,0.1763521443123161,-0.18827581207608318,0.25962522322422177,0.2341144925326702,0.2821301935882661,-0.03530327483008962
salinity,0.19694648914570312,-0.3427131495900186,0.036395411514277914,0.1403112540510793,0.2722791379707328,0.15041575259057888,0.23802926504920685,0.19947193416705486,0.030055833849374963,0.11167502026864443,0.13679688941080143,-0.3289963095588595,-0.036331402532291425,0.05044974850660708,0.10998398001356452,0.174248713680547,0.011533781246746916,0.12494850134199884,0.10129684479787743,0.18796215630592317,-0.1395388971013405,0.07312648540216654,0.16435020169654763,-0.05011431583209107,0.05587027498438423,0.2283401577178929,0.15347569022629737,-0.39363037343470647,0.18670100365801928,0.10841881897316161,0.007473455140617666,-0.15233171366470136,-0.029810797876886383,0.11092758139712791,-0.017102254190184442,0.13563630685813377,-0.3788935848557167,0.03212338625121047,-0.5398911316841584,0.35639338302772905,-0.37990430583699736,0.3306609438555005,-0.35621786984561077,0.05347729432890179,0.24520668398454915,0.10468069607775196,0.09322188149480534,0.18491293871335474,0.047340152741408424,0.07441795848691793,-0.36868002408793,0.27835813624855055,0.18963796373313624,-0.06713953130137257,-0.007191280662750748,0.15090328367505168,0.058691606069390764,0.04005557103732948,-0.1575235426875231,-0.2739241564229896,0.09449609216000246,0.22690556029785994,0.036425786761283246,-0.31926432379306646,0.056507478760404586,0.1514049822648554,0.05391787211910236,0.08534650252250436,0.14024333265931566,0.28035357327400146,-0.32969996980370203,0.1434316952213175,-0.013065511869643377,-0.22104894127353344,0.04355962140563278,0.11106222300566676,-0.06585090490739279,0.02325973711561749,-0.08990398637262972,0.1162621432561898,0.08675924241581359,0.05551295499309859,0.07964841404977205,0.14208187256383908,0.16242376533713934,-0.006204694908801597
Chl_a,-0.19319491422605647,0.10794773772142194,-0.15574969516226705,0.37331332433917297,0.07287229642350308,-0.05530490269675342,0.034542475081002624,0.12396441676885162,-0.01619270544036798,-0.17267308432032413,-0.02073779786608625,0.17181620578832485,-0.17291082326661433,-0.12368706442745646,0.09318207697662091,-0.18094358388365078,0.13717863279272038,-0.08811662426476716,-0.16508178551458008,-0.10785767102029692,-0.03147204765554189,0.15808472999206064,-0.04071976970288911,-0.05286531232035457,0.02932761805874816,-0.07730629244502593,-0.10806123375700458,0.2716104041088596,-0.12892262694902978,-0.08533055079894533,0.1294944249790731,0.17901888774441443,0.0056542067872603925,-0.04497324849534555,-0.14516850044697582,-0.050224976930728756,-0.0031539367003842007,-0.12577960403880414,0.11382982978469466,-0.18342245250932104,0.14477299500237073,0.020644512282767875,0.25416103230416265,0.06336644561943494,-0.049768614623599036,0.1580490307381297,-0.07178041492009507,0.15919570637355931,-0.031633009897395654,0.08802583868800212,0.1188214684876072,-0.08720964950378554,0.040833042919333776,-0.02190578154155697,-0.09953699134083209,-0.0993979766056136,-0.07591817697790718,-0.09794571599958052,0.11397806072240348,0.2123483936937986,-0.16830813751123969,-0.10370247884366529,-0.11362753360808056,-0.009951293548040101,-0.02682266884719483,-0.08104133094866461,-0.09789481916366699,0.3495207943242181,0.13234347217674286,-0.14966494952787832,0.039358108461623895,-0.012787541790912106,0.0980363740453084,0.15157769647899574,-0.046259060907015356,-0.002060941038759985,0.05962906769416722,-0.05212434922461246,0.03288225181217797,-0.037099266604517595,0.12791231692450253,-0.08705887271191964,0.18853806415817045,-0.08694330428442174,-0.08373779267162407,-0.015846419578293414
Phaeo,-0.1272548458748322,0.09454836517366945,-0.09954344322929844,-0.031245172105434565,-0.03577532279869239,-0.04958509488828164,-0.0255380370179274,0.11364480849945496,0.006394573549023749,-0.10931650754894803,-0.017708722160110248,0.0762039281550429,-0.11110549382102983,-0.07792485943407247,0.040676258293806576,-0.1065338404014672,0.42102437443889434,-0.059141482911329576,-0.09800373196921448,-0.005490302719003469,0.03860631512757004,-0.010459318809150103,-0.028926235229179593,-0.03368636035116728,0.034142015225703704,-0.05973202478745797,-0.07139812997393269,0.12646338391756773,-0.05365756045599021,-0.058717106510410635,0.19228970216071906,0.1513012654427427,0.03466826543880733,-0.024492234688518924,-0.09390089336674867,-0.03130457313105092,-0.03752658268434797,-0.08322509212481141,-0.0074120932961925685,-0.11624341364951392,0.03782976666198156,-0.04622424661629953,0.3528905601094312,0.12653703858698434,-0.06245989675026946,0.21433828118300455,-0.029185655421209218,0.299233137578008,-0.009389538153705366,0.07429930916533914,0.10408345689412009,-0.042630072794404714,-0.010101030067901227,-0.01676379943173137,-0.06771579518312304,-0.06558097584687089,-0.04880439180693299,-0.07705868835182056,0.004114259326679139,0.13728570720475114,-0.09906066225224458,-0.07629796551363552,-0.07306567396222771,-0.033520863926180804,-0.012901834270438506,-0.04709865353409406,-0.041274039925865875,0.2837544624788039,-0.009345831408478469,-0.11253873411801893,0.050554040322412994,-0.03235919267932194,0.03965507808454917,0.06109870974198588,-0.005376334276482441,0.07621102344451425,0.18704955392953185,-0.03185728321470612,0.0365423910705439,-0.021908723102281265,0.08226116332327223,-0.06488832975686262,0.05289931751828641,-0.06512251663990698,-0.047253882751736025,-0.013456684925040506
Chl_a_conc,-0.19674471952896064,0.11630059671936459,-0.15778373867399892,0.30487936252563275,0.0514513478501295,-0.05989542386222047,0.022057640267491668,0.1349334604579503,-0.011855272275994758,-0.17464475791802803,-0.022218868507300628,0.1649295097832167,-0.17533035005690842,-0.1249963148967527,0.08927007945410177,-0.18083122010674268,0.22953409454350282,-0.09003461715623753,-0.1651990091116312,-0.09202986346773506,-0.01592988565732094,0.12985847562278888,-0.042039759212050526,-0.05352823557231488,0.03389393236122222,-0.08112060745358944,-0.11010645502442326,0.2623535048590807,-0.12279827457822878,-0.08758062770687991,0.16094157830404723,0.1913779158169131,0.014164884307596416,-0.04440560840609927,-0.1473686772543184,-0.05066479635605988,-0.012842641061005177,-0.12819279929033758,0.0935377351232801,-0.1855499196299965,0.1318033810214268,0.004771372075978636,0.30922140642359824,0.0875686340385123,-0.05874593559772935,0.19090110363692162,-0.06818327482586672,0.2149277272058207,-0.029104425505878516,0.09407645971411585,0.12801873833553104,-0.08478749192979687,0.031531988403683986,-0.022942586647527307,-0.1019505953820056,-0.1012539193849298,-0.0769865916021058,-0.1031531012775809,0.0967936217531051,0.21554776689253655,-0.16819442978956362,-0.10777879176420917,-0.1152319734161629,-0.01746023618184874,-0.026020726075680747,-0.08082367584457872,-0.09338847039662745,0.3704858688912484,0.1085531680089142,-0.15620659645614454,0.04677255066318447,-0.01952544903854959,0.093067458347991,0.14383707091125725,-0.04029157726422708,0.018974866998280618,0.10087131889861534,-0.05240933342396663,0.03752990527131326,-0.03709411900605909,0.12972117030636238,-0.09070800828800234,0.17263487798941382,-0.09067462088708109,-0.08312932168006443,-0.01695774483538752
