,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
PO4,-0.028752322849985208,-0.08378906915621978,-0.11722983167654893,0.08872454651763496,0.19189328422764781,-0.02831135828952699,0.07477253863523783,0.16857113205142915,-0.07062632885973999,-0.06372486921608579,0.14035459820722979,0.0013628691982966049,-0.08347593143547549,-0.13907879757449515,0.03731857613416027,-0.09659223313616086,-0.07327955592043006,-0.08542085875236188,-0.02628962969523766,-0.005918583861098851,-0.014588661817195082,0.15185080266579215,-0.049237425160818936,-0.1363443068217593,0.048576985868529626,-0.05358804227678492,0.10207985246730028,-0.09901816947232377,-0.10792763931176147,-0.13092998569207914,0.02528887793265211,-0.03658384484574357,-0.11083903760655503,-0.03704639815411609,-0.009735682572176847,-0.06746599030220801,0.07166139984630229,-0.02744855040428184,0.043356555325001635,0.031876223842469985,-0.05330410687631256,-0.11070375031166896,0.04707260461089333,-0.032960143530448384,-0.03161842742172248,-0.03935826022747986,-0.0599848774016539,0.014466177587578734,0.0020003196975945385,0.10530586645899805,0.04429239999784638,0.052832177139755465,0.22665853264713803,-0.005516350194804452,-0.12656874531680506,-0.10063882949457653,0.09924250903445972,0.05230031167835896,-0.04161268447285883,-0.06824385746483264,-0.07977920291303078,0.12630921721480687,-0.09687539826763951,0.11043953423106476,0.012112145505083568,-0.05780875906788711,-0.13298750397535275,0.09472331984995226,0.1296038706787655,-0.04225756258870626,0.10174093388196158,-0.006103569526911839,-0.01667817917368617,-0.007790691204158628,-0.030550481788555486,-0.06361406732435466,-0.1021295508862209,0.04348080297827746,-0.01363687284673485,-0.018620971649476965,0.11384786291697724,-0.023708605994604316,0.17439792824163386,-0.09783487502474636
NOx,-0.11153914544386269,0.13130548490226052,-0.06476137140011823,-0.06694909748464453,-0.08114852298108113,-0.05761688522933071,-0.06898033526221983,-0.07650209538570685,-0.056735008330502115,-0.07877132062922057,-0.05937545842997714,0.017803178396511667,-0.02013241768480432,-0.09012649155474864,-0.060024791608302513,-0.07793973185357689,-0.03966941656984842,-0.0654653832750263,-0.0407278161733236,-0.009825368019367146,0.0769309977715324,-0.03926965800912503,-0.05889491878520732,0.07076663962509541,-0.04288967934581853,-0.07111752315799086,-0.12259463051499989,0.1672225699220768,-0.10727811884825125,-0.07520744617473779,-0.01183455273669864,-0.02085009676597308,0.02471399811412383,-0.06505064892018399,0.003917295789040282,-0.0800095550517575,0.26583866180973953,-0.08182162193099256,0.38629033324205847,-0.08953445188164891,0.2574077176698729,-0.06984921579004975,-0.01432339008090751,-0.020076261587984416,-0.09928511625752799,-0.0631117765115975,-0.05999903549213431,-0.0649884015356982,-0.022800643185393786,-0.0403150901442102,0.03398931257719652,-0.054957435015988654,-0.05376944640329191,0.05271622445352202,-0.058280617157413867,-0.07347727475049878,-0.010687956588473553,-0.011114070985067559,-0.030845684064308224,0.01530255364136914,-0.10298059536317099,-0.1209966926043436,-0.039508812393980595,0.10612892295072113,-0.014938664774633261,-0.08304244574759567,-0.07027165750073158,-0.05890540424822617,-0.049121893650685755,-0.07451360762314921,0.025782338828468455,-0.04861827536845227,-0.0194923781982564,-0.0025671331541781673,-0.020185022110784448,-0.04903490816374922,0.01132385986089768,-0.02175467492508436,0.012720030207345917,-0.03783393397860513,-0.04644715276727232,-0.034075864756302664,-0.06579591493501181,-0.06710593600482521
NH4,-0.12069394942504547,-0.007413205051936599,-0.05782661052134368,-0.07220153921314985,0.017226208268292218,-0.08049211661115274,-0.07248693857094965,0.001641234360072471,0.005574505478524871,-0.06075323031951206,0.16541893162344773,0.027391842029817124,-0.0417863535494441,-0.1369759328334941,-0.03895107389368654,-0.12455199641921151,-0.005798045575871345,-0.10540402013593667,-0.09823023408199887,-0.010168352770447715,0.1302753820724414,-0.07894213249825435,-0.08540885987745608,-0.025611908494933854,0.047982448894563226,-0.09313694252832853,0.044503724190060365,0.01529079059211078,-0.15700754516213844,-0.1179724882924437,0.059739793416271135,-0.021955550063544202,0.007276622170125924,-0.06278266981173122,0.004727726851004626,-0.1052305495966252,0.32631025368789945,-0.06730803293210325,0.16391990697745243,-0.0034050611615773444,-0.01706564992967876,-0.11049558115116051,0.036394251365044,-0.021592373762831733,-0.1250305598430395,-0.0633494544463871,-0.09899116957856491,-0.0009921361255800392,-0.03437927893341661,0.07322809094445017,0.1105912642238821,-0.015326765929154499,0.020623317330716193,0.0008002188968697557,-0.10590653411313736,-0.11013063741468845,-0.034620084175104496,0.14631832150062643,-0.016222350557525286,-0.006053476060728051,-0.12996019460205943,0.024517171069200767,-0.11812903841101723,0.44535416121994087,0.004682532573246875,-0.08437421919523261,-0.08763406778542288,-0.07540554250807105,-0.06293792198203704,-0.0509366606864193,0.07559667019201341,-0.06608690369568905,-0.055903732335230966,0.027009354546743546,-0.07603303062641033,-0.05767327596947283,0.027065721863762174,0.04046610726974019,0.08067386963572004,-0.05050372245171975,-0.023220586806251654,-0.041531723250204516,0.0788397313900213,-0.10275442274924546
NO2,-0.09492828903009595,0.11874388682215552,-0.08267087914750282,-0.08399268970211694,-0.10656900349176986,-0.04081132030579085,-0.08302950906746356,-0.06559381234929927,-0.0543724813187951,-0.12070748277209875,-0.0413053554807369,0.05568237207439787,-0.006018453727438151,-0.12797745733969082,-0.04764349861616186,-0.07476128530019908,-0.007155634823060035,-0.09672915450259464,0.018388873536547064,-0.003577449545740876,0.08103604154169212,-0.053232533606724364,-0.07714956733543143,0.061672514353282304,-0.01885662422611107,-0.10114635521247901,-0.18034614330303134,0.1749720332803543,-0.11424652619370884,-0.11568459135049812,-0.017931467134798155,-0.04543979554428216,0.05113783212190215,-0.09632822021134871,0.01783621404058619,-0.10353810930346022,0.2801005150709869,-0.0708608432855043,0.2600004881312592,-0.0861991880239276,0.16300273437661755,-0.10275390942911308,0.07510875821766305,-0.01188156336605109,-0.14202706380732977,-0.06149537779856959,-0.05229690259986091,-0.037164757632349624,0.0027338176879910885,-0.0011647647659308266,0.05669861275657895,-0.03981547235229717,-0.01667500879417721,0.02802693978016368,-0.09927912550788831,-0.10868582379130734,0.012847860735112807,-0.007090028678337785,-0.046349701072354504,0.04812255735060218,-0.09709886968355762,-0.1381789838685568,-0.04178127404764364,0.16363651577408855,-0.004083131104444198,-0.12370577781441697,-0.0970611630586082,-0.045717634969869664,-0.048220287174524985,-0.1052210261144016,0.05977546031494188,-0.058861604324885027,-0.025853293388350768,-0.014539903864811925,-0.010806831978965304,-0.05486493843525652,0.05017892812171089,-0.0030595026611036497,0.030696859816166547,-0.04597985957806067,-0.048208265698840444,-0.03668039546643037,-0.07304642385082896,-0.09883366001760845
NO3,-0.11153503485050076,0.13118302621256278,-0.0642955323294307,-0.0664922623236702,-0.08051469953267235,-0.05775310490587036,-0.06856870268464405,-0.07649112322341621,-0.05663054094840925,-0.07786574943563698,-0.05952847754074198,0.01712080845152996,-0.02031864030044354,-0.08926077074359873,-0.06008047583331658,-0.0777950915667103,-0.04011546225540543,-0.06477313919266056,-0.04161862643626031,-0.0099054832170105,0.07666641478917818,-0.038934993186892905,-0.058438185409661295,0.07073973167642898,-0.04318489617101399,-0.07043168430549507,-0.12131166218847575,0.1666671927023994,-0.10688824085368344,-0.07433547368069615,-0.011701923926396724,-0.020383508623626086,0.024206739285655924,-0.0643592268627946,0.0036732261454256654,-0.07941044830184067,0.26492309315507384,-0.0817980119826098,0.3874326570199157,-0.08936297868701759,0.2583413290723694,-0.06911822929654579,-0.015791211989499995,-0.020163066261807392,-0.09831385160421849,-0.06297855146195047,-0.059976082795852106,-0.06529120640710274,-0.02317217402311303,-0.04087111983050837,0.03352095608745567,-0.0550724328682018,-0.05425669932072713,0.052997502575564896,-0.057442898725364414,-0.07269831643211677,-0.011056657770555254,-0.011153505579241116,-0.030506508989341704,0.014711633986044104,-0.1028177767254899,-0.12040015067332105,-0.03937016975557167,0.10489190852897412,-0.01508328241822061,-0.08214742725370505,-0.06964245332171724,-0.05897749838694988,-0.04901220433466952,-0.0738077232066447,0.02514505091900329,-0.048322410883814525,-0.019335844903447263,-0.0023592289963520296,-0.020291456404808082,-0.04881221537385883,0.010641544549281609,-0.022013829075858856,0.012385333346003865,-0.03760075811365905,-0.04629947557315747,-0.03394544582825536,-0.06550672822853915,-0.06640171851774493
temperature,-0.07573471815527794,-0.007486677708973491,-0.08540892055367663,0.2933829610477038,0.3183643210176827,-0.034114247113225735,0.3520001458351756,0.3103780306696966,0.1291636939652714,-0.09469169736214139,-0.05888683110570041,-0.0904935330103755,-0.40052119145716136,-0.047633571948045385,0.2749769688144956,-0.2161014798320362,0.007770026827385134,0.1942821516212871,-0.36725330871767875,-0.0352419444711718,-0.25171942766091226,0.2284303768916978,0.26928971250526235,-0.04471411650640454,0.10160543906036956,0.1678489517335251,0.16116284532387287,-0.036051172399303014,0.003234062346692962,0.07808534854569482,0.0029928512665388643,0.023296164886576924,0.05637748406811662,0.16937929130814827,-0.3385557947468849,0.027831620065247725,-0.27176016003009984,-0.20011322222538147,-0.2982759225266056,-0.10127420820492761,-0.1283256317801194,0.28242675417889473,0.15982428860846853,0.1398974273315507,0.35714049675839526,0.2664645379922776,-0.05736843910757644,0.32010695884995727,-0.05486384787671396,0.13393194659759045,0.05127886962445613,-0.06053313113765267,0.260395194381712,-0.06209413918641172,0.017348331916011907,0.19355947816643293,-0.1727666249794818,-0.24022669726564122,-0.11625724428322892,0.07475136617969769,-0.09622146027160504,0.38593112404686225,-0.25474045675614576,-0.27308399650548143,-0.022797073894105978,0.2632884940501101,-0.12719560392964518,0.27881389390700506,0.2557950669053252,0.22404643972519145,0.11725935181216196,0.2404461537732787,0.21194134173069196,-0.060001955511563204,-0.12734450032449413,0.1578003866123975,0.06806836906341959,-0.19105317925736975,0.013525706685946144,0.157625672006045,0.17652191059464728,0.054140071833180405,0.27178647779687165,0.23085559033119485
salinity,0.1971719779268062,-0.3941635660805416,0.033387094296746134,0.14295671681214928,0.25917938943095137,0.18714683430352402,0.23760817790436486,0.1977167128033362,0.030225795658687292,0.11156035029589612,0.13777804576257766,-0.1594342357708134,-0.039715612160034205,0.04979499346675975,0.11104925514679667,0.16823898334694115,0.006016078817532513,0.12645156728368656,0.1012974984256978,-0.0063135106125669326,-0.1394915988477555,0.07341031908410725,0.16039523761536317,-0.04829063158185348,0.05710839172999454,0.23029689095169653,0.238261995573994,-0.33476173174767415,0.1837828461827787,0.10986402300297297,0.007513801493450255,-0.1523356779652289,-0.03136471366473054,0.1494095668153274,-0.009828500481510362,0.24722156836486742,-0.39477116175678784,0.030631422184478414,-0.5399432397279553,0.35025885625261877,-0.38081744150356756,0.16094858966194447,-0.35434075205788296,0.055114512417983125,0.24428277335591153,0.10674331967324349,0.0932334552662265,0.18227389598162083,0.04735839631737664,0.07191151030481138,-0.3774366585559067,0.27251454934260855,0.18461908071562905,-0.06641205478231199,-0.004805130717197998,0.1516445791706003,0.0587616671081403,0.04572702870809493,0.022766757055106987,-0.2764671891827084,0.09521313126128277,0.33327000808802204,0.035114561956587825,-0.31620337757523714,0.05629197251155244,0.22518696729891063,0.05317121270671918,0.08433316558006793,0.14844454946109842,0.14450732960329138,-0.34841879664069014,0.14335191009154233,-0.016252357885088786,-0.2229694792781271,0.043697138576974284,0.11236779542945949,-0.0663946712349625,0.0572028835816772,-0.0892265276107071,0.11635890655491221,0.08691220180598348,0.10909210236157299,0.0858172688379724,0.14061809274910642
Chl_a,-0.19403992593736968,0.26919569886258865,-0.15484935472835462,0.3693941481144766,0.06584687516329737,-0.10776179167280242,0.0347057186112879,0.12343514986909071,-0.021539586424808282,-0.17471451426390222,-0.022856219045666724,0.11479637770814771,-0.17480611360037734,-0.12285989314662701,0.09360675824258391,-0.1780812027527592,0.13583031562520997,-0.0887331637594672,-0.16647001376337203,-0.015862619815205304,-0.031662828692421215,0.15834235621992832,-0.038675251596580154,-0.056476906339518025,0.025774521868647746,-0.07738699130594472,-0.1345953897363149,0.17423114828894642,-0.12795742832526474,-0.08652367722806618,0.12960628480326167,0.17897756000367385,0.0065674860390413465,-0.078570940855006,-0.14733173608394468,-0.11171293681439917,0.008750333189605233,-0.12828349893336485,0.11130776263144788,-0.1814545065904229,0.14631193732752873,-0.08258769668744675,0.24879312287855457,0.06362398638547861,-0.050924410094347485,0.15440870375002835,-0.07178980587837071,0.15968481809580065,-0.03168613962480716,0.08666073519549199,0.12512266685126955,-0.08269519311088185,0.04094637553745008,-0.022101312931586972,-0.09803774143396785,-0.09952976234018665,-0.07592394023492585,-0.09766966408672305,-0.052501253194301684,0.21258857150519483,-0.16936995154145815,0.020357281696242072,-0.11339191651374918,-0.00998653238693328,-0.0267370039246344,-0.10333383448125089,-0.09871349016717552,0.34931952343512285,0.13567867265564426,-0.05411037302427347,0.04698633131893545,-0.012813541561274913,0.10040125131057796,0.15245046624832678,-0.04622940561897348,-0.001530688590285689,0.05989561967772612,-0.09115416378244573,0.03260408209694921,-0.03806540396728296,0.12800958702677484,-0.04478469168754131,0.19243845784240593,-0.08729705819127864
Phaeo,-0.12759002933539035,0.131493651472265,-0.09924543661903679,-0.0311536211967592,-0.03487732105190777,-0.005289132442716707,-0.025398963091827056,0.11883654246378489,0.001916342027407592,-0.11024302779678577,-0.02017408863492313,0.005709530874327778,-0.11258030878397031,-0.0774956512195116,0.04105174300502497,-0.10449845833695152,0.4192379439516194,-0.05964432571631325,-0.09884128554984267,-0.013488011214335873,0.03811584106211548,-0.010482596670133414,-0.026664022845840206,-0.03561076222265699,0.03083576012174828,-0.05971829256662642,-0.09972820201105984,0.07617981752995497,-0.0537073595189097,-0.059112058033227985,0.1921894493266783,0.15127272220345928,0.034696568236704486,-0.04570640862125591,-0.09506799969337784,-0.0740079989443505,-0.025739747868306982,-0.08491971173071909,-0.009887055708517707,-0.11639674860831582,0.038399850222404386,-0.04607562503820434,0.34855957809208216,0.12760453306159153,-0.06253980037469241,0.20851422140420023,-0.02919852524949562,0.29849946639529196,-0.009414735399896354,0.07387524127321993,0.10812427889217183,-0.03657294835094792,-0.010342409510015728,-0.017045208197068208,-0.06727833229461684,-0.06562444071383272,-0.04878628604375013,-0.0775327258780054,-0.032237432667519696,0.13633053898975422,-0.09888601900568914,-0.046521213346501486,-0.0729750488060739,-0.03322430535263433,-0.012870117422793063,-0.0769080615520041,-0.04228000274051702,0.2840148986035951,-0.008609226543633889,-0.04905103581584616,0.057859191887411704,-0.03227008229674119,0.04329722373289592,0.061064260947996045,-0.005239269900148004,0.07628743854208532,0.18714903896302393,-0.06776403431146696,0.03651422256459287,-0.022258795279121626,0.08228829315564143,-0.02422859688929009,0.05511639363968752,-0.06460019364193974
Chl_a_conc,-0.1975451042730599,0.2616931581835372,-0.15694700983531387,0.3016143861193099,0.045798011301701996,-0.0918947265189306,0.02223245407601555,0.135899662011532,-0.01756020767882659,-0.17661009757309917,-0.024666907305684316,0.09791393670927262,-0.17732197637384484,-0.12418536135931112,0.08972857789604952,-0.17787550117777112,0.22791695125164235,-0.09068876632264218,-0.16659186558753217,-0.016979854363776876,-0.016223282834926606,0.13006840905735959,-0.03970894891975696,-0.05708271054459387,0.030013142521913172,-0.08118461723296495,-0.14007651161293033,0.16695011904034374,-0.1220015934479717,-0.08868946581658152,0.16100823956993499,0.1913354697641271,0.014939201663349742,-0.07837172972831408,-0.14950162545537146,-0.11388082489704415,0.00035230874202680216,-0.1307550187207368,0.09074825938556981,-0.183939637253834,0.13325008468235902,-0.08184379716655096,0.3035388237242719,0.08807483473839987,-0.05973784559373633,0.18626305771043897,-0.06819465426838914,0.21513897667457432,-0.029155869390921383,0.09281534972758261,0.13440591560512888,-0.079352362626788,0.031561544952474506,-0.02318317291062641,-0.10057324060946013,-0.10137635188739631,-0.07698651047558189,-0.10305016243862264,-0.05282899378700097,0.21548987947348808,-0.1690382947303575,0.004449584589557276,-0.11500957000609047,-0.017409248009863307,-0.025940200148669566,-0.10763509276740982,-0.0943489802206418,0.3703876721717628,0.11155293325014098,-0.05874761535607047,0.05516051053236045,-0.01952306451449525,0.09604208336882429,0.14456033541774224,-0.04022944652189541,0.0194407336985081,0.10112209681800083,-0.0949269580998865,0.03728875029632227,-0.03800022441230842,0.12981019170263197,-0.04417570475460898,0.17651129139650507,-0.09082966650167351
