,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
PO4,-0.011221826279811092,-0.00691139952051219,-0.12886258436994644,0.1919967338704756,0.02812950272721737,-0.07244907186724212,0.07784271681830796,0.11543760661716497,-0.01774309847509468,-0.0650708748533737,0.14204169031330688,0.004984673507974498,-0.08278975697628141,-0.05866215361073471,0.013895813059597176,-0.09579139915708099,-0.11029105495353708,0.09362433800834752,-0.033907371153931234,-0.005776621466016792,-0.01409615958580256,0.15244181153767553,-0.05201706828070246,-0.1670548817070463,0.05169529122095605,-0.05273902938997002,0.03861543051776657,-0.10035730332893086,-0.08205825494618937,-0.14114050811871526,0.024745599833316843,-0.03637877479840476,-0.07624996188849426,0.04291948832892535,-0.007561698394767672,0.03752499743176518,0.10675194133831814,-0.015497590499195888,0.03949556839521192,-0.041922899394920436,-0.05343548384183107,-0.11565166319652241,0.0996723009774764,-0.033346061880132935,-0.007203137891783121,0.11288006595517658,-0.05614000355160158,-0.01678027360408901,0.0015823334084829098,0.24445946401904128,0.04834680347984591,0.09799539721326204,0.149688953091422,-0.009652134840023365,-0.15772816138683335,-0.09921588706244613,-0.03240636123985489,0.0510168937598888,-0.03479037414290906,-0.08072693627158559,-0.08996967547682137,-0.01915581406289253,-0.09603900595057369,0.05356909699935411,0.012558915692468572,-0.10186309751989689
NOx,-0.1089921896854479,-0.005970333852404208,-0.06947740097936356,-0.07330404151989953,-0.09707420037406139,-0.05496226512780232,-0.06687161626230528,-0.051084292147099614,0.01532922883974221,-0.08473108906743097,-0.05966141288779176,0.03756334025104556,-0.019038997423453358,-0.04791588027227349,-0.061794352275094555,-0.08229331627464312,0.001659378092028387,-0.058202107588446794,-0.045965454815280686,-0.00976061686658782,0.07843284048144111,-0.039724063557309064,-0.06757036096434478,0.014954870546230209,-0.040075956120208714,-0.07261214421667445,-0.12992995036978872,0.18262977840512795,-0.09825577255102699,-0.08178898138621826,-0.012513375134432833,-0.020870317561701372,-0.05568161117760832,-0.11819217194708385,0.004732633823732683,-0.06893811837339114,0.19231494203517552,-0.08542048169434031,0.39830256737955727,-0.09703762283413621,0.25609883272908973,-0.07618487374536112,0.020978718991032028,-0.04628383637929882,-0.05065480450997327,-0.046163681136175375,-0.06422350178704858,-0.05906944722724779,-0.022952654816409245,-0.08050173521652829,0.04897538847462421,-0.010985207419931604,-0.06020713954567706,0.05498014488646934,-0.09443725261314016,-0.06911440784302852,-0.0202623541391539,-0.013451765779948362,-0.03477174931208564,0.03283908945904162,-0.10561832811774273,-0.03884734148215295,-0.04024308959435445,-0.010226402378146919,-0.01510966950722587,-0.07329021551890524
NH4,-0.0874607096638622,0.026329654996349785,-0.08860372214817011,0.06914483434751989,-0.11610130927154187,-0.0724803983211427,-0.06909264926974176,0.05913006582309048,0.07878874254590645,-0.05845721584266972,0.16439888997209984,0.07354023556864525,-0.03755105289891416,-0.057984305076062406,-0.048325912113471564,-0.1315238522511923,0.016939735836811565,-0.0753013768103456,-0.10412312355933968,-0.00910363332035082,0.13184458321939924,-0.07952667279786779,-0.09256930848879426,-0.05779918223075424,0.05155621418453322,-0.09398487953045936,-0.02983606438363571,0.012992281351067557,-0.13769424119143295,-0.1260126228236946,0.05944334492010346,-0.022057090473185992,0.005302999207478298,-0.03214808108844633,0.007136077852164021,-0.02934098578016836,0.4581936289433553,-0.07211467174043468,0.17253929526098505,-0.050952883702597804,-0.01827630851840758,-0.11788220168142727,0.06677782292011616,-0.06929973573821352,-0.0684481444769302,-0.025744543014543795,-0.1026772818141061,-0.010389720042851111,-0.0347561613387919,0.034578651339188936,0.12571189206916522,-0.03428676362012104,-0.06030046221169322,-0.0005232092561530313,-0.1535419749983341,-0.10701418541266308,-0.07627210001290394,0.14549209210284272,-0.003144745099556784,-0.01857176809194883,-0.13439417526207426,-0.051204818596408117,-0.11712345510497975,0.06237982938379777,0.004999080668746605,-0.11074235529410188
NO2,-0.1303865557122606,-0.016161742548659788,-0.1068642421479972,-0.07710564759746719,-0.1278516623781164,-0.0658563735734653,-0.07966353958416822,-0.013248863547481398,0.03394184850961283,-0.13009936472433434,-0.041692749511913464,0.07732774510240194,-0.004916107974746488,-0.08549360614139634,-0.054493696219619615,-0.07282210770748594,0.03825443039803003,-0.0494316981551078,0.007677720313549199,-0.003443735654190699,0.08283706572359371,-0.053457392555511504,-0.08728361795963932,0.000877986398569534,-0.015117003557744512,-0.1022339409718644,-0.19213729784435152,0.18127928531444915,-0.0987724136505886,-0.11833155991591993,-0.017952979250776425,-0.04544011703662429,-0.0508871119994036,-0.14726929715859244,0.018354659738936546,-0.0549870935450669,0.2518020622748534,-0.046615139248660925,0.2727716228112964,-0.12945973965019544,0.16203429557170446,-0.1125885689861735,0.05477103105693705,-0.047330716665746494,-0.06170945979474601,-0.04683683761628663,-0.0562564338950564,-0.03161890079763048,0.002397698143186946,-0.0814165429957333,0.06628676703049151,0.012362992411642602,-0.06218881611587274,0.029317399255688763,-0.11388923534704513,-0.10226748654185337,-0.010917525297133836,-0.011241496529319744,-0.050053563664232,0.06204113097021166,-0.11897048170304246,-0.04875468597041514,-0.04359942318157391,0.08077110664593043,-0.004184147383899718,-0.10977188385954036
NO3,-0.10835531372717733,-0.00578374180471946,-0.06867197085474205,-0.07305378099837403,-0.09630979511926435,-0.05463933003402943,-0.0664864901203232,-0.05159083327270779,0.014977206283399117,-0.08375264245561455,-0.05981199899216435,0.03679903668210617,-0.019228149332554352,-0.04716204287203235,-0.06176008363806268,-0.08224345318827878,0.001039640135998274,-0.05820169034409476,-0.046750889220309594,-0.009842056580817705,0.07815940807170352,-0.03939210468363757,-0.06706704358367016,0.015153629366148162,-0.040393898023553865,-0.07192935269428932,-0.1285533916053379,0.18218829952072713,-0.0979973440494715,-0.08096645896593006,-0.012390076753558028,-0.020404012725403268,-0.055620726443743565,-0.11740268997948322,0.004491485478807631,-0.06899754993733093,0.19082557164444547,-0.08585606354629678,0.39940159488393995,-0.09624564783725736,0.2570300447264276,-0.0753789313854058,0.020357018108735966,-0.04614858751701742,-0.0503401174169119,-0.04603502362257242,-0.06419426782304996,-0.059381021013716784,-0.023320702630688066,-0.08028173544579548,0.04855973335554795,-0.011349997390818881,-0.060020778480943615,0.055272042142596,-0.0938700416736956,-0.06838111124698099,-0.020368030747624024,-0.013454751365619026,-0.034426332673384005,0.032264450113796805,-0.10512529571828574,-0.038581963161888104,-0.040084350154287435,-0.011730966688508659,-0.015255029694093722,-0.07249031908187845
temperature,0.15301687601179143,-0.06030573973389364,0.04580534537209002,0.28289536488318445,0.428296790024159,0.17406502469891555,0.3442282611394235,0.18895513343547082,0.016460162944421788,-0.08678025302549258,-0.052352590423651785,-0.13058706960154287,-0.4020614794883478,0.020856282697606667,0.27776572781121966,-0.2376602814370049,0.05989338497026962,0.2836493950242045,-0.3505996033530756,-0.03514207798334865,-0.24797935024448026,0.2305401051989436,0.29663465750270707,-0.06665789375713621,0.10387530375704276,0.1695976955321728,0.2597938159046611,-0.030840099854152814,0.0020928436579194,0.10030706642182788,0.0037780742241004758,0.023131404487905197,0.15933337117312568,0.3830440143159881,-0.3426847332072046,-0.1164927733469728,-0.29854137349410786,-0.2848299197894378,-0.3020605927543619,0.12764800446130276,-0.12654405709853764,0.29992277854170435,0.12323149130026423,0.25187004155944237,0.24800677111109484,0.1780523054015093,-0.04546716642382604,0.30354988828622287,-0.05499078563783207,0.3382851382650776,0.03437804364230071,-0.1749982333020874,0.305783979474635,-0.0611961867717383,-0.17276371386104897,0.24225966579237818,-0.12678628030239192,-0.23771936787851558,-0.14819347311291348,0.06696510071331191,0.031173981780459277,0.1591767493897862,-0.2535181381142954,0.13045938492796738,-0.02269229154437196,0.20413929564679253
salinity,0.2375931951760627,-0.22226630125151522,0.03790361934034304,0.11359379004348627,0.2872156852811376,0.12808451657698453,0.2329821279678696,0.11234661959025943,-0.09566567361832246,0.12013578198501931,0.13944568132258306,-0.2067024028865997,-0.038648676964016415,0.05321731676114547,0.11169650093371941,0.16231309757398643,-0.05555953871261812,0.098833869650639,0.11335946575650696,-0.006617523284810473,-0.1411479626766104,0.07427718347246472,0.1780624326143173,0.0003144996896844044,0.05627006187178331,0.2376535736486479,0.25723950788139616,-0.3518410388665339,0.2118878072718453,0.13009659363128148,0.007957226002708732,-0.15258612264628424,0.036755567083467944,0.3016976829036089,-0.0041948313065639205,0.3224067122187524,-0.37107358839217774,0.013248703189894713,-0.5628983654492785,0.29158933725880176,-0.38218537095625915,0.17312501774319694,-0.34729145773997455,0.049757442298100966,0.14759172421694627,0.08545978779183785,0.12126488341061517,0.1641610871021822,0.046726049192620404,0.25911020045866895,-0.39383390348758285,0.05916052560795703,0.18525378031811837,-0.06998119667519606,0.018042955659667258,0.14644207588059288,0.04367917798615308,0.04564455396861956,0.035018262377907415,-0.3041938066084212,0.14172980157058296,0.11890409631842108,0.04095016891033465,-0.35629608209572483,0.05731676341420552,0.15040344811707151
Chl_a,-0.1420784563725629,0.1562020200957922,-0.12641712978219072,0.17883643181926548,-0.003790649966920044,-0.019478661747918073,0.03704910247494092,0.09986546947037782,0.033527786256806316,-0.1828681876129119,-0.020502808611621414,0.11815871571763154,-0.1772218032959863,-0.06369711339948572,0.10054843755831769,-0.1914590210612872,0.06065310704303131,0.39782040288377096,-0.172961215968174,-0.015900021438219718,-0.02959857070206086,0.16031253064354536,-0.027416169046150546,-0.07310494120970147,0.02560778382047012,-0.07773326299469724,-0.10505456634527097,0.1839798716563762,-0.1205862488441669,-0.09104626353125436,0.13454770780756461,0.17911606796852753,-0.00835338963562495,-0.02104165874397866,-0.14727855992368905,-0.13496423145890163,-0.024209056825953344,-0.14969493896550945,0.12590739704991905,-0.15561803407334768,0.15089411582345935,-0.09056429682980716,0.05222320580796706,0.15396049461689862,-0.013789985139051348,0.13027086782450606,-0.07895156181256721,0.1547947081412477,-0.03167351092786179,0.07506735026370921,0.12004712168465165,-0.07719203123644452,0.1490095578133368,-0.02128485179855858,-0.13801918441166156,-0.08879063596094913,-0.045823891753052924,-0.09762824065259273,-0.06293342892331627,0.24916791681991834,-0.156930704284342,-0.037971894484543384,-0.11197341502111374,0.2498327906056655,-0.026197293461741173,-0.0982005755313485
Phaeo,-0.09435659013267414,0.06489061639590306,-0.08216943209595043,0.07144693167735353,-0.051348436283646104,0.04751209629978605,-0.023470559071763306,0.09365363003962997,0.04043218160934552,-0.11527348505829199,-0.020607834598792084,0.005037480632357731,-0.11363784376671657,-0.04625476690948442,0.05342068311537783,-0.11450737165495074,0.20308492651189886,0.2164682867292691,-0.1021620209281825,-0.013602024761684582,0.0394708448706875,-0.010158253378981536,-0.006333432074661159,-0.020112437351458973,0.023559475020265955,-0.05893381841306987,-0.09805902781798098,0.07598045813247224,-0.036062156850601906,-0.0613760524878333,0.19937438966827606,0.15110097560875854,0.012590772004939186,-0.051073873688069274,-0.0955010369950931,-0.07514115751090081,-0.04094483104167568,-0.09427696117011103,-0.004117923842839444,-0.10655924424972138,0.03789844297636065,-0.05487296565241373,0.06195391330469798,0.17164266394286226,-0.03345777910966024,0.09215347526296738,-0.026207865909430854,0.33108675548861777,-0.009692076901998081,-0.027630339677133044,0.10100536381668505,-0.04955686465325207,-0.002134816425668526,-0.01674260953050128,-0.07810732553655994,-0.06715896547388725,-0.003829097482454632,-0.0778168207494683,-0.03961081425081144,0.15071706614700014,-0.08896524845370489,-0.019507551315496932,-0.06770261367077815,0.3657652180383395,-0.012423943533820734,-0.06521600306828855
Chl_a_conc,-0.14489862436492146,0.1487490151829782,-0.12844115365016212,0.16953008080654974,-0.017132208702886852,-0.0034428490787138145,0.024723450884162897,0.10927307049779815,0.039128553156434584,-0.18482114822781787,-0.022809238482492836,0.10055378102716149,-0.17963707231555795,-0.06603526576829002,0.09891595762909927,-0.19182435979994777,0.106087381902026,0.39274951400925384,-0.1729429047578302,-0.017042225155603462,-0.014122371161331988,0.13181033683336457,-0.024734432795175385,-0.06683011832704455,0.02789637104521925,-0.08126216135806014,-0.11482577086834862,0.17507926534587442,-0.11102023594435792,-0.09310090904122678,0.16710817762841185,0.19140507681440838,-0.0035913943400343405,-0.031538518932928916,-0.14957463490513412,-0.13370636341449849,-0.03144546793937295,-0.15127044571003387,0.1045708832569377,-0.1595792590584128,0.13696025179422883,-0.09092958828203997,0.060668912579736625,0.1758696241040205,-0.020665385506998597,0.1343885184068393,-0.07339390402013068,0.2198873574854946,-0.0292206161900313,0.05550674161881659,0.12821132986790745,-0.07826032528201007,0.12450214781022031,-0.02241560677043395,-0.13707660586688647,-0.09277857322596136,-0.03950593561075534,-0.10309257300031664,-0.06358919431141391,0.25010394807364766,-0.15590124120745086,-0.037174277496573295,-0.11238644106567242,0.30908594162205527,-0.025365938786195176,-0.10014963760706355
