,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
PO4,0.00236313154932463,-0.008032359230964705,-0.18243643035741847,0.19879959012039577,-0.03813581347997364,-0.10406745014798968,0.0771081850357277,-0.031320247068072925,-0.017183586641485008,-0.06582134758654498,0.14454807739504993,-0.10788928847918887,-0.09430503031524458,-0.032687759044322834,0.16802450147901554,-0.03234792096903703,0.02537583880704835,-0.10123339404657157,0.03312798356122594,-0.005819246738300982,-0.01712188180001767,0.15284619597026172,-0.05378491412314916,-0.014125129723325436,0.09556083316692729,-0.06764645501699426,0.01322907620644168,0.036522881676623056,-0.11196032706045,-0.14617249916527694,-0.003678388582186675,-0.036764847985134005,-0.10407908390390655,-0.07598902215475231,0.049409530562214796,0.011975811390118272,0.10817649406494995,-0.06677638997775563,0.06400929315318665,0.013244818838883825,-0.049254386602537864,0.12282384600688132,0.10186197100666297,-0.032852644589481325,-0.03307044413031708,0.11572991949070902,-0.10479337536241774
NOx,-0.11387704724128248,0.0162494198475051,-1.6089842072887495e-06,-0.0722904822792538,-0.09797820665565349,-0.07306849636160716,-0.06799885681646547,-0.05509757122494901,0.012743515850867377,-0.08530870184755272,-0.06214283636439453,0.10838921192571939,-0.04401081762308933,-0.08654056306123926,-0.08073183259914497,-0.0456016657707152,-0.013143153101535732,-0.06890716037318177,-0.018173178677960693,-0.009932104895640866,0.08265494532496134,-0.040411665879784425,-0.06263620385041216,0.062306030116639585,-0.04726970388050461,-0.0811753949618903,-0.1290955428527235,0.4054905357691704,-0.11323846850621275,-0.0921514668929351,-0.02891173029742675,-0.021157302064635654,-0.01211093684361077,-0.012572567852939679,-0.009921819418735075,-0.09717245353652942,0.17780520477550316,-0.10678743276238287,0.05599684369000404,-0.015885176829779475,0.2515537231471134,-0.05658673114557733,-0.012788162063885332,-0.057066996613144794,-0.05695854764710056,-0.046441646615741274,-0.10027294950583915
NH4,-0.05455755199783797,0.032853189790208626,-0.07795491056342857,-0.03136360634555879,-0.12680735304315333,-0.1117810635819704,-0.07073151146145171,-0.015324446226375358,0.07814258750234965,-0.05643314515446076,0.16274554644778289,-0.0020774571015247222,-0.11955232582102474,-0.07907951949900664,0.033699084052001727,-0.10596327238019343,0.05990902436060101,-0.10827021716590826,-0.06373983169215959,-0.009347057167093515,0.12721585698262722,-0.08062499859473207,-0.09034050419518558,0.0008469403809723448,0.06662170925828008,-0.10632710266919555,-0.04445119826320958,0.16885312848099077,-0.16252470762521598,-0.138817376087031,-0.04427715777551798,-0.02213205980133927,0.018200139555800597,-0.02510838805206916,0.09857056533121264,-0.03120031213665276,0.4628409590462723,-0.1244301736292312,0.13252405060812164,0.0042525092503696155,-0.0043259434085203986,0.05126831406868252,0.06116279630849325,-0.0785964696935503,-0.08231076471707675,-0.024176717698064648,-0.13492111289242306
NO2,-0.15508859782548168,0.025486507362050978,-0.021818581056923726,-0.07469923416178069,-0.14042004690639717,-0.11014707951375372,-0.08118260192652788,-0.027063081569901164,0.031159350882778915,-0.1330197384981288,-0.04428539144519787,0.14129421858433927,-0.04541775539426153,-0.07493454515107867,-0.08538100326976972,0.008921291162561797,-0.01809318419885579,-0.10230062885995646,-0.0027353332731240372,-0.003414769128727795,0.0859885579817849,-0.05385153710395521,-0.08649931594606117,0.03580825193090948,-0.02467933629205761,-0.11596542548563069,-0.19083420972361764,0.2782335071771751,-0.11856410551607097,-0.13502431094510794,-0.003385645858582577,-0.045708810354145424,0.01657613509791899,-0.003531066002189231,-0.0006568566203287718,-0.10419115900048527,0.24507539161176578,-0.10571821792723535,0.07658749945872402,-0.004769874050667266,0.17197287341045314,-0.022801634982745872,0.06384671564926872,-0.056310523538726454,-0.07305458859464142,-0.04607848478510457,-0.10705163474262969
NO3,-0.11289443489835745,0.01605275269613761,0.0003653515086603724,-0.07206622542617029,-0.09701531153643306,-0.07225912350422695,-0.06760427519250209,-0.05542906219978714,0.012401375326324498,-0.08428938240964313,-0.062285244715061895,0.10756026226633914,-0.04387529005606755,-0.08651581165769065,-0.08044843686863226,-0.04640282255146373,-0.013026488505523997,-0.06817034724188861,-0.01838664851016137,-0.010016480334271194,0.08238878895952856,-0.04008289520474942,-0.062075628119385794,0.06259335207321881,-0.04752952223802938,-0.0803839095572702,-0.12772898801792576,0.406600325798835,-0.11286107198382472,-0.09119613233418813,-0.029267587569642466,-0.02069057544741359,-0.012562664113803582,-0.012692687859849658,-0.010052435448707986,-0.09680741531669032,0.17622180470989646,-0.10653399289307615,0.05550818531266369,-0.01603175796028696,0.2522528752843848,-0.05701116095789732,-0.014044638974023561,-0.056934671955385055,-0.056543043264449463,-0.04632971322486329,-0.09990406777609283
temperature,0.36759769724356295,-0.08846856575784401,-0.06369326119185548,0.35194352729498035,0.35051668111990064,0.20339749817440045,0.34938762005458224,0.2966608262215471,0.015478487702481177,-0.07554030334035998,-0.04813953308508409,0.018698131499235122,-0.26062786662448645,-0.21314735910202548,0.34030613170668106,-0.3554475107425856,0.004901990860795086,0.2433584149361237,-0.1648370728677096,-0.0362569957555139,-0.23695618838173782,0.23241901411506158,0.2813335727250229,-0.06080314261712954,0.1302923873629979,0.17948548205394158,0.29796263756769137,-0.30093648530266304,0.009988064271167892,-0.00626466309451679,-0.05924265423446362,0.022819144344611852,0.07931326415285053,-0.3933982074414592,-0.2935664508853835,-0.04574366869134093,-0.3022738786923159,-0.04407425015836501,0.045430337165493856,-0.023048808705881444,-0.1405682038540154,0.20560606486892063,0.1793300216760576,0.2912263071267561,0.2689825342488422,0.1789075443562118,-0.10311289306642413
salinity,0.28969890176473845,-0.23284432688280465,-0.007446695582008772,0.23350452429707735,0.24164665593861817,0.1454901488569177,0.2359083895300812,0.14243110085390248,-0.0893590066394027,0.11548730752224567,0.14557349414867504,-0.368120534424579,0.05126560209045774,0.036075512812663434,0.1318839545890913,0.12069823216804368,0.007285294936077481,0.14667351216138208,0.057628211312469105,-0.006766497564153075,-0.1448189747571522,0.07407553119107019,0.17331465439761606,-0.08101428259638002,0.08853564494037644,0.252046234169922,0.24572903971737656,-0.5698998785594629,0.22030844555010676,0.06167538310149332,0.05740695467994202,-0.15309838019123315,-0.040732408517813,-0.05067813646468676,0.051165164470031624,0.3657086045010952,-0.3679414654591783,0.12127391999002932,-0.42921515222383255,0.062050961375952014,-0.3893776832968291,0.1312011226399855,-0.3902289802265456,0.07987537960837328,0.15755081747596011,0.08566391345959046,0.17611135225623392
Chl_a,-0.07060209297356185,0.14608968062876637,-0.08180980734036108,0.14571536010244973,-0.05083487305148629,-0.09821922713643683,0.03640828957474334,0.16010320859573768,0.033015974138543604,-0.18350612310353684,-0.017467829489575284,0.27173961023734694,-0.1140944946550774,-0.13924107698152355,0.1890307368095649,-0.17198848072768125,0.14088204224366058,-0.089059106964759,-0.0683892467589581,-0.016273223852475913,-0.021487194278936878,0.1721721611181751,-0.049566330876319405,-0.01634289981485803,0.02861390020197589,-0.08905501177434422,-0.08879928305789903,0.12980019308192403,-0.1461142545786821,-0.11895161338952498,-0.037839420817880755,0.18010162410080466,0.032274590827634606,-0.17916389726106136,-0.1254356067880201,-0.1766766057772785,-0.02171584293903716,-0.17225683920749152,0.11389967670608424,-0.026184742674068902,0.15726008582529963,0.08559892384400032,0.1652196193372637,0.1952766404129725,-0.02846625369131533,0.13678533182727803,-0.19655607140376571
Phaeo,-0.066152724345376,0.025200720455185545,-0.024781903613233455,-0.014167480430281322,-0.0608233465389096,-0.06513070108969171,-0.02452393974506958,0.3518123931866334,0.037640189322677306,-0.11641814692964349,-0.0195447295885522,0.15396328401500708,-0.06681777980369599,-0.09079041695161803,0.07357001536120501,-0.10105952193478093,0.20676749654769255,-0.0674035685077896,-0.032015086147618464,-0.013835947282194196,0.04480444602327006,-0.002954810891019211,-0.03374619692183131,-0.014884245909360305,0.006107738066986347,-0.06702229874415105,-0.0997573892565859,-0.0026483811730898246,-0.047905213507843075,-0.07554934301685581,-0.011668463126615809,0.1517953977565774,0.13031964069872193,-0.11600503646822138,-0.09072031415309907,-0.11115030295021733,-0.04338743173303562,-0.10006297616552084,0.09637760199948575,-0.01209264336325581,0.03335717055784484,0.06267457947239621,0.2405532157752449,0.18316197928367378,-0.03945497273100971,0.0944721844310272,-0.12152476244229816
Chl_a_conc,-0.07723730832959885,0.1294776020956105,-0.07540577981381108,0.11846790887277958,-0.05919636309922238,-0.10014211952021616,0.023899356943313865,0.22997414052758614,0.03794040273207512,-0.1856676259098265,-0.019972783162334584,0.26993308535189936,-0.11392653522134058,-0.1415480099951185,0.1786642158426635,-0.17182684301644824,0.17443391263301616,-0.09307038740517823,-0.06610534292652306,-0.017419051684251636,-0.005864467972162991,0.14372260773797552,-0.05077524917285478,-0.01776233915306736,0.025678520394885662,-0.09296336714407423,-0.1016421110830023,0.10823783051493982,-0.13566654458743566,-0.12037588992270368,-0.03493336704997758,0.19242103515404202,0.06249704949174827,-0.18191042623048254,-0.12994032791146984,-0.178503610210558,-0.030016206731150068,-0.17178136973673125,0.12179375808850283,-0.025265396344011093,0.14107023241647593,0.08888106526928986,0.20404228929817084,0.21368091575523102,-0.034614297268940164,0.14048685545663092,-0.19800941555785356
