,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
PO4,0.04367809667420218,0.004226813986563549,-0.1704336407356444,0.1979383543714664,-0.039552375126583106,-0.10130072246486196,0.07716556279367745,-0.028843720033512973,-0.01761984940181042,-0.06332624208452205,0.14497868292912508,-0.07683685119117743,-0.09583831286342465,-0.030377496926778314,0.16664719240287224,-0.07168557417723141,-0.10191900141876359,-0.10078615894103177,0.035986939044450925,-0.005765437907731737,-0.012268718935056485,0.15173872945049083,-0.05838619173638769,-0.012657618455720719,0.086022178779526,-0.061899653543680586,0.05564132431191205,-0.10066996877950465,-0.0859620849842039,-0.14044851447921508,0.02547521848735049,-0.03630362280667267,0.08932994437554014,-0.030171962488230647,-0.03504979768939704,0.01232523548356142,0.11341960786480788,-0.07551345090479877,0.03907789317239553,0.013280987491114171,-0.05393782098461421,-0.12834980019485476,0.1128413374400565,-0.034615411684281394,-5.0068697586077345e-05,0.11474344515017917,-0.150033063213223,-0.003091392434678922,-0.0026163127531089337,0.11689432633172266,0.06293856734508513
NOx,-0.11885257290222219,0.023096692854199713,-0.0017938103080131617,-0.07159448004382449,-0.09781415498102163,-0.07398558865419999,-0.06777756722373492,-0.05496152245819527,0.013309502270787914,-0.08480973871625046,-0.06054011245774014,0.032637319462642166,-0.042743065937838234,-0.08593801266783388,-0.07975759569898763,-0.0965273809838012,-0.01597652645437849,-0.06954876550082045,-0.018196680574995797,-0.009875647525522262,0.07369776052700132,-0.039905665069281615,-0.06499718314540705,0.056925857731015786,-0.04555853890793758,-0.07857429953308749,-0.1280262243142679,0.16735915751601013,-0.10754636274075571,-0.08816586441350961,-0.012505590179087617,-0.020877792732849357,-0.05711298654650092,-0.04427712368605709,-0.003296343756379537,-0.0968595507418073,0.1799629345055358,-0.10594262673713255,0.39924721621075143,-0.01584674305502837,0.25855878011231465,-0.08652266892745558,-0.006725368549803332,-0.0557004471696569,-0.050824230359245215,-0.04587174126685517,-0.07819615875678314,-0.0049667157665095295,-0.028315036274964914,-0.05844856742204711,0.06067712266526372
NH4,-0.0351326209545709,0.06404919853713831,-0.06898548571485004,-0.0298501666724078,-0.12696337906955063,-0.11160982449724681,-0.07051541218622107,-0.013473577983531104,0.07886149958706151,-0.05516825179783266,0.1645541166809995,-0.007900484015001801,-0.1199086495849992,-0.07535933480892626,0.03803654897717268,-0.13125648657950656,0.02050674993649486,-0.10825092142137914,-0.062240849981079135,-0.009326294739153685,0.13330141136682302,-0.07988379689878099,-0.09365541035828115,-2.9690778716747954e-05,0.06738575295938731,-0.10172560081119665,-0.013315017161726565,0.0224004869163048,-0.1489969954664283,-0.1340259451388226,0.060515451999238766,-0.022018781274652677,-0.07499490208727393,-0.10182745406577548,0.014533320266541472,-0.029253700304361044,0.46632722196980014,-0.12879789684038437,0.17191996735191006,0.00436331264898702,-0.018356382942486225,-0.13239361007697442,0.06318095545060629,-0.07231344363457301,-0.06507976029441051,-0.024336352596554936,-0.10656416026756052,0.033154245465815954,-0.043396588990599505,0.050294448528441,0.13286385754654484
NO2,-0.15363385368842952,0.06147205253791227,-0.019133351023867887,-0.07444190631470782,-0.14011466536746392,-0.1103519310171487,-0.0810413347813981,-0.026084571256330062,0.031684545351039886,-0.12897620906927812,-0.041334608716297405,0.07055685876765687,-0.04429060428796846,-0.07356784152325699,-0.08443462385499352,-0.0872625948276177,0.010775498876476337,-0.10333372576596957,-0.0021982359254299963,-0.0033721634433236695,0.07879582297783566,-0.053712757312842474,-0.08992668934901507,0.03140030974595101,-0.023374877277820127,-0.11191785439706811,-0.18908509586274802,0.1821741358407692,-0.10163598160598128,-0.12830787904987062,-0.017683812833926015,-0.045536255723206666,-0.04828670586742302,0.010280771624119077,0.01422754757490629,-0.10407623221878033,0.24391685222098575,-0.10560331388668409,0.27340562976653876,-0.004809372563995741,0.16301482791036548,-0.12653604748520916,0.06485986083447556,-0.05532354192389059,-0.05894468269755811,-0.04604013400651157,-0.11537012080047962,-0.01169934740326174,-0.0024616586936222437,-0.024257067461792656,0.07912127989338605
NO3,-0.11796546980795079,0.022392522877647727,-0.001497603895715188,-0.07136461383260957,-0.09685405397081087,-0.07318586452913142,-0.06738220209709793,-0.05530752923853854,0.012966609278071957,-0.08385130628509613,-0.0607092685210337,0.031916566672090856,-0.04260839577226937,-0.0859276456589434,-0.0794762076500103,-0.09643786690535451,-0.01638588144136333,-0.06880373678778787,-0.01841951982103871,-0.00995993348089172,0.0734246931866797,-0.03957200393465608,-0.06441266996351415,0.057210501896244575,-0.04581586586891061,-0.07781375477087793,-0.12667382138783642,0.16668459280806258,-0.10737242117631207,-0.08726659205910979,-0.012386707960870734,-0.020409977597017445,-0.057116277284882055,-0.04508223473805355,-0.003582713153921886,-0.0964919779228789,0.17842982897029872,-0.10567905734681499,0.40034906760597544,-0.015992111070465984,0.2595086230282426,-0.08562973674579027,-0.007912321474817487,-0.05556521165600464,-0.05055846524510951,-0.045752315791706626,-0.07737214856361108,-0.004840850462399652,-0.028677915171294845,-0.058875100584290074,0.060212671933506205
temperature,0.3798741519497797,-0.12307997387248487,-0.07124521575944999,0.34934344215759633,0.3435280050089898,0.20261264425430314,0.34795941983886025,0.29055732425097947,0.014239290746372337,-0.09785378403073813,-0.059305713955334856,0.06581367713077127,-0.2608320525083506,-0.21611288119889,0.3340423590892422,-0.16580953638458776,0.07676845310708603,0.24521284497345966,-0.16508299318860548,-0.03672586120429305,-0.24984260719430773,0.23038396137419875,0.2876855314826904,-0.06366780805592044,0.11449375871540862,0.17154846082597175,0.2587648141097668,-0.0206813215939531,-0.05177500917082642,-0.02311560127848353,0.0034281637150235383,0.02296879397989937,0.2755191532794224,-0.35846445714814834,-0.41452093859524614,-0.046863170988830805,-0.3047379918587312,-0.04077801312877356,-0.30311894877609025,-0.022889937103134427,-0.1252821690287431,0.300112493606592,0.17054341851868493,0.27516733918512026,0.24961203460674314,0.1774500124763104,-0.011242375094732136,-0.055832559746424926,-0.05961121930392531,0.2107155368650594,0.043739025855645174
salinity,0.3065320647927864,-0.19765098499085587,0.01244251999540539,0.2314669638569305,0.23981037341197772,0.15271698255788202,0.23507841136782798,0.14105765472594103,-0.09007737625346088,0.12254605754685836,0.14717386532415122,-0.3289067086215529,0.044763232200056034,0.036650549332185804,0.13278574523943187,0.21086445120379071,-0.035011249719588744,0.1488076236986965,0.060743874468497834,-0.006918121674370064,-0.13362806595514448,0.07384636833544359,0.1774659832141738,-0.0734801688457221,0.08313774227222634,0.24666663877167597,0.25774122553288153,-0.3252791340470173,0.2105190044888492,0.05507021788422674,0.007000622209177026,-0.15234220391984435,0.09055926509583205,0.11808312411958072,-0.03518025854343931,0.36533172896553073,-0.3590020451564125,0.12147513150318529,-0.5646904417967461,0.06189872048192516,-0.3810800447400652,0.18666279159744725,-0.3857635693473048,0.07706788197942888,0.14609265480387035,0.08514297280153268,0.027263207187422152,-0.22919315852469724,0.05786831118778626,0.13002905695160033,-0.43507331583015063
Chl_a,-0.0464263732592296,0.12049254245742191,-0.07736065022475766,0.13468834961978837,-0.049995608711683986,-0.09858715307180718,0.03650916409454465,0.1569261869105974,0.029191908773468177,-0.1862800865276002,-0.02427632148833113,0.26872912155627715,-0.11438234959361554,-0.13976133363479423,0.18030084824349688,-0.2033198345143276,0.02688839168464508,-0.09057423163799673,-0.06800756595415357,-0.016225268317940335,-0.03241726730038002,0.16077794269853865,-0.05029372020495174,-0.020824892058206108,0.020201601067983046,-0.08592898026681349,-0.10448585990150058,0.1705104022807677,-0.13196766370011914,-0.11567001641103122,0.13612081781735688,0.1790224861750805,0.39062186458249776,-0.17287122897336846,-0.17305089951392702,-0.1762605923765684,-0.030403851580991154,-0.17230718492488856,0.12526393177208478,-0.026103269033157094,0.14939086611273128,-0.10128770687231886,0.13233684699606163,0.14358187453821072,-0.007615174384604462,0.12940156580319592,-0.14225841163016495,0.1504112577312212,-0.03736624643665672,0.09643869084871307,0.11899782119895194
Phaeo,-0.06083371976701166,0.004332115043735036,-0.015111115499419608,-0.013830689846272184,-0.06182085121686223,-0.06516417100323874,-0.02439636993020489,0.3490583242557471,0.03645362762564699,-0.11765901690886259,-0.025355553200257744,0.1968632789023944,-0.06851745500073969,-0.09139217620812501,0.07057259121780195,-0.12427180960845133,0.12486544601132168,-0.06811375087914745,-0.031560067944742795,-0.013812302254769558,0.038933830024914975,-0.009890752021111735,-0.0321458311843247,-0.01670246279842382,0.0011264423272073013,-0.06574171700734881,-0.09795266274280565,0.08490495700446576,-0.03633679202320808,-0.07391130421004413,0.20237158751654208,0.15089349344025096,0.2187641537011863,-0.10196226140664974,-0.11382134011028658,-0.11144002019172966,-0.043660984742453134,-0.10034430128371033,-0.0048512895469344525,-0.01210744002741066,0.03828415324461039,-0.06084718836286239,0.1962714150373035,0.14747643670205726,-0.030109468657970154,0.09089194004193266,-0.09049745801545919,0.06987946950231036,-0.011448852071811675,0.0768852839608418,0.09929473470454792
Chl_a_conc,-0.05549858276913699,0.10232121772075313,-0.06904371082135133,0.10930307531932423,-0.058762865074469886,-0.10046005825599086,0.02401869132056918,0.2265590533960008,0.034408029359474,-0.18833327336522343,-0.027266665405613143,0.27906100128217914,-0.1146299320368008,-0.1421482105157505,0.17052180723444882,-0.2044333902201167,0.05649396163922922,-0.09453515975335233,-0.06566133257255516,-0.017372372842432413,-0.016634346639787967,0.13227368894144595,-0.05095105250556842,-0.022018598746451734,0.017263729278740703,-0.0899913966345069,-0.1143194882248578,0.16619726694935222,-0.1206486758869876,-0.11717622082107965,0.1692429563539115,0.19127015368339434,0.38733062837141663,-0.1728130972598232,-0.1761857694366048,-0.1782331086108609,-0.037383444090150916,-0.17190006100319466,0.10383150392084144,-0.02520102538205653,0.13580317764782024,-0.10155413685921874,0.16440931862614708,0.16059213030758535,-0.014572441223782321,0.1333160742774394,-0.1440012411924132,0.14524347528356235,-0.03447650981118603,0.10184095870477032,0.1268657817950691
