,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
PO4,-0.09855969287226576,0.0670034486268923,-0.18140936212514197,0.16861229815979942,0.19660197028605927,-0.1039686815282618,0.0747532016533089,0.11139274947695067,-0.011341747667253568,-0.06226178176048604,0.1474810099197743,-0.011975387913197277,-0.09387121221385877,-0.14167982679308355,-0.03019854514628259,-0.03133677460258206,-0.10280247300682638,-0.11422468867540367,0.034737618467912526,-0.00536032559740231,-0.013081808438425777,0.15364148094070473,-0.04971740466932629,-0.017230820912473903,0.11622157961723613,-0.06836431577099553,0.12373228936617507,-0.09042027904112462,0.01350576223888556,-0.11348709081010896,-0.003206388255052941,-0.03632074115583567,-0.0404965833746153,-0.03251495658359256,-0.04449533256954004,0.014507324086770369,-0.05141694563549637,-0.04553563094206753,0.07064782329577335
NOx,-0.07693895793694658,0.07780329364290237,-0.003609009493246965,-0.08276165683098802,-0.0713115857403537,-0.07320341733038999,-0.0704378101263213,-0.06476213961600927,0.011738764264254093,-0.08632187539781183,-0.06331970671109188,0.023979106270283178,-0.04397755932482841,-0.09138066528183596,-0.06026394536200662,-0.0446943932562728,-0.011963078676550668,-0.1033609737963049,-0.01751143514089818,-0.009979061295375263,0.08005704748078528,-0.040711656022555845,-0.058719774214449884,0.06251292759053242,-0.04658294821898134,-0.08146267230167153,-0.055249340906593475,0.08801223154950705,-0.01606316131546621,-0.11522832889104148,-0.02885819898144656,-0.021064676338662637,-0.048973802672791125,-0.11817020891054418,-0.005386948482954424,-0.09567086111791819,0.25697893333347777,-0.09497144281253936,0.3980581009204256
NH4,-0.11138942877172234,0.11807764848211605,-0.07835590861738215,0.03420826327109846,-0.032541917559820985,-0.11176062082271457,-0.07404277152242722,0.0348396064910549,0.08883242361478837,-0.051585013314433936,0.1631075775915345,0.05207033160518839,-0.11881810365331924,-0.13639296247766491,-0.07804687979681138,-0.10432648334678857,0.02132760026413036,-0.13819750828116514,-0.0610425589263522,-0.008644692648291194,0.13717998177500762,-0.08055287864415195,-0.08785352294085705,0.00019697787304300343,-0.023571377943089642,-0.10715220037270093,0.09179606743373367,0.0016412603286156298,0.004554364153104142,-0.1637011347432865,-0.043735424241545494,-0.021610848496297484,-0.0039919290176041325,-0.08722243140996214,0.011322975797368115,-0.02672250457358539,-0.009334159123386043,-0.09900064207484041,0.29901399616597124
NO2,-0.11223027984872333,0.08843249166744148,-0.026925089537673454,-0.08801056281934683,-0.07437428077378451,-0.11007470899810043,-0.08506005241889952,-0.033773999480473826,0.029476778029856907,-0.13533976257904903,-0.04632673382490815,0.042667100949440095,-0.045052849337398934,-0.13366550800379723,-0.058238747132225724,0.011042979147356703,0.01595664884944458,-0.11561916157186373,-0.0015966148872495044,-0.0032496411539445604,0.08698761973744802,-0.053840381956337016,-0.08166070333875691,0.036505832883514826,-0.04606115944853223,-0.11646245704563302,-0.033366609583704285,0.13917097298998704,-0.004736900846165092,-0.12155577618137822,-0.0031920277389740365,-0.04625502669358868,-0.021938606985309715,-0.16892798287055716,0.010254403345652603,-0.10278230834546531,0.17312131430736682,-0.07911633975550966,0.3111823933060899
NO3,-0.0761498087667358,0.07742675876886221,-0.003207665348383029,-0.08246301444571505,-0.07107881779681922,-0.0723971881362329,-0.0700128341760406,-0.06511874567366166,0.011410578333762567,-0.08527799983343805,-0.06344458356736841,0.02360383035239335,-0.04384769452938208,-0.09043717993121067,-0.06014483461630171,-0.04551828225639803,-0.012402275206034362,-0.102892079211608,-0.017734609546439108,-0.01006688459388135,0.07973699422066605,-0.04038735624792501,-0.05818466385659299,0.0627914704893954,-0.04647332374719836,-0.0806669287010587,-0.05547697497890652,0.08692805090070338,-0.01621283831849936,-0.11482902448333357,-0.029216548542811173,-0.02058743997498417,-0.04930405066367767,-0.1170161192902181,-0.005636340270242771,-0.09530807963149338,0.2577362303685904,-0.09499673109382241,0.39850757768233586
temperature,0.26900266500782294,0.03484913180512857,-0.05578288432122454,0.35150574340026497,0.3545517596696185,0.20124538879183426,0.35591993000558253,0.24171681800055206,0.005498821511637263,-0.07095835483483957,-0.04897376717241737,-0.09717870837775275,-0.2630614931949504,-0.0048540097863921956,0.30138799279286016,-0.35647561528812155,0.08457328756091095,-0.09715246526756967,-0.16639028831670102,-0.03733870570322183,-0.24216689591897614,0.23374584724248554,0.2819855472415621,-0.06268587710158383,0.1779119005720004,0.18404692257538785,0.1284968977680502,0.05464456997118061,-0.023079450818790873,0.02147808347848352,-0.05981396258883484,0.021924500086988357,0.21975043264829724,0.3649098907916191,-0.41069059396728014,-0.049091627531105485,-0.13797246804610436,-0.19598473018429674,-0.3454111347190601
salinity,0.16270762890721502,-0.4604582944423568,-0.0012380709511938563,0.11494997770660098,0.2335347029741507,0.1451571426057812,0.24025938993949614,0.15724346378007958,-0.08079663063775289,0.12185149699117857,0.1517837296271919,-0.24579386051105162,0.04870727397454776,0.06214150397206375,0.07995557213072468,0.11908238724815866,-0.03997281261767348,0.16593539410175967,0.05746871862508878,-0.007143792206889132,-0.1421577555232834,0.07209854743149396,0.17049333903969432,-0.0832947356439209,0.08564045029094054,0.2510999540108938,0.0959434697006232,-0.3903878433733088,0.0626004419251496,0.22165353088285975,0.0576637212685209,-0.15132610118995077,0.08507523338404675,0.28942772944820255,-0.03948494611382584,0.36043732327308153,-0.3913282602657123,0.04254993920579368,-0.588913898156656
Chl_a,-0.08802170789771913,0.11676095811434796,-0.08504174466621553,0.19651550893964262,0.14716365246572238,-0.09856900581569834,0.03433030168953593,0.09967853530551535,0.046928912176024205,-0.18285991836085688,-0.020752652391014967,0.14860545122899152,-0.11451889059278306,-0.11821618140892823,0.19310558885539275,-0.1722162058509115,0.027071989846004306,-0.19993830059097029,-0.06896099269151101,-0.016163743422628128,-0.02325354324327162,0.17267552999950217,-0.047837073206972704,-0.017536658494136475,0.1392311522515391,-0.0893390850822397,0.030523957405063078,0.283966470695416,-0.026350422096361317,-0.14692473370375342,-0.03797969846926662,0.17847876643743918,0.1747657336193323,-0.10907966583211487,-0.17612594846194818,-0.17412071931882128,0.15983489705508325,-0.15903648136247667,0.09789652471640761
Phaeo,-0.07226663762350344,0.09566083635733291,-0.028710448958763318,0.0893733838949955,-0.014303764430851854,-0.06522650888181082,-0.026413551655654538,0.09511953669915531,0.05586888158544416,-0.11662775535991587,-0.02475026728737691,0.02419776581492771,-0.06805751529776391,-0.07786056894392654,0.18631463183315605,-0.10107514193593367,0.11575424757736183,-0.12478865058231364,-0.033515637279499376,-0.013904653699739809,0.04458262510521709,-0.0018302431515348683,-0.03839768646700456,-0.015349910069337218,0.09749769585155989,-0.06823040163947287,-0.005502171772021945,0.1968405590364925,-0.012214237372675131,-0.053660758232806666,-0.011791924262538656,0.15026177391592385,0.3975487592674569,-0.08189355170871891,-0.11573591817217488,-0.11020073735253239,0.03536372568297454,-0.09653770500275488,-0.016766082947527405
Chl_a_conc,-0.09352075979905489,0.12400085550263205,-0.07918604399987356,0.18924053961023274,0.11964661419348364,-0.10046176086116472,0.02164167873567773,0.1095144083600266,0.054571587742639344,-0.18518213246539197,-0.024144371658387363,0.13131691830761766,-0.11461959220092388,-0.12038646057574842,0.2127149907616895,-0.17202224445886408,0.05417276477523653,-0.20173526543427972,-0.06699294686914349,-0.01734581726609594,-0.007407446771164807,0.1444506679037483,-0.05058737762329306,-0.018890919066477378,0.1433619000279432,-0.09353004011902714,0.02412770861673948,0.2918454183725203,-0.02543750598630453,-0.1379105355554192,-0.03508466110523344,0.19064211814741555,0.2547077802777074,-0.11381272758447215,-0.17928718693059142,-0.17610016272780626,0.14377672675115893,-0.15972615100354332,0.07762166920073163
