,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
PO4,0.24641872689970176,-0.006936650106798763,-0.1360911180936612,0.14608221908084418,-0.04441974241701363,-0.10126338835617568,0.07715204758902783,-0.024670829818871722,-0.017769294405401388,-0.06592644630350757,0.14081916986181042,-0.09746375928036788,-0.09554740897616418,-0.03248188976507696,0.16425865615513657,-0.0775889294213841,0.04997528726993466,-0.04220234993753585,-0.034580776810322546,-0.00578285644691392,-0.012950335857955075,0.15213023860236216,-0.054121921668680045,-0.15837567869831304,0.05395663722466966,-0.06161802979668037,0.05301376240023599,-0.08215037103156228,-0.07228700109612442,-0.13871541186733855,0.0251215487254212,-0.03650768471696708,-0.07638144374752331,-0.014857187394558333,-0.06953912777140145,0.03173076947234637,0.10770815480724852,-0.07622227249931879,0.04706377864253015,0.0127137250228049,-0.05353327327549514,-0.1270615360768358,0.10039433229782899,-0.03523684451595781,-0.006805065784343317,0.11351470258895796,0.0930913119652369,0.009733026543159606,0.0018936284663304216,0.1311349204470204,0.0472667778365021,0.09276535918698127,-0.058532749923827496,-0.007550200115314024,-0.12951378132299407,-0.09812240003417397,-0.11076511497613949,0.045562781967188395,-0.028984573193600514,-0.07347129174152692
NOx,-0.08195734759638804,-0.0034949269792506955,-0.07551523857105567,-0.06019183816589971,-0.09748789439413617,-0.07368048792815135,-0.06756594645600951,-0.05828780285808305,0.014662839321507562,-0.0839170670255878,-0.059233247852817125,0.16319128418592987,-0.03958147263871603,-0.08587299561026585,-0.0804051619379902,-0.09581478237094915,-0.01632938816684311,-0.09382757200174263,-0.04559554668162827,-0.009808656158517242,0.0779337979344909,-0.03980854535515765,-0.06657255042822327,0.0434221410864204,-0.041675696082598315,-0.07765505964666633,-0.1284499165153259,0.1286188679476157,-0.09211491108805717,-0.08660251851980177,-0.012541925910282104,-0.020894153372632784,-0.056176033424687515,-0.11467005023939937,-0.009949427188244167,-0.07354689599314976,0.18499777289684438,-0.10798575907556704,0.39335134568836017,-0.01514215128231293,0.2587412604629475,-0.08512295627531087,0.02076679425839225,-0.05400461040537091,-0.051472518553375174,-0.04628456716238699,-0.05714544463822131,0.02015531398634772,-0.022914179055777736,-0.053591897077935324,0.0550170233570646,-0.013052424539630583,-0.06469835388822841,0.05384013116428797,-0.07846678002774463,-0.0697770215386266,0.006608408796120479,-0.0055674511318061,-0.019876987718152217,0.011759109466729705
NH4,0.03888145852631748,0.026565999475306377,-0.09886471387911894,-0.059617991797130135,-0.12568595442238328,-0.11098462642468027,-0.0702574946667626,-0.013710967700521094,0.07858236787355335,-0.057541354546629384,0.16303493855368406,0.02150964268186793,-0.11706222630512365,-0.07558228110626704,0.04597267081687181,-0.13109206308138055,0.04835259967752243,-0.050736220240727964,-0.10361765289538657,-0.009197074831573296,0.131655682345496,-0.07963733263988568,-0.09302395894268908,-0.04461176588293081,0.05199353841191136,-0.10092662675493788,-0.02085180837785302,-0.0014263937647338368,-0.13390152030837985,-0.13362443059962928,0.059725174044060164,-0.022128356490202113,0.005112695744979488,-0.07248637175780012,-0.0249583899297147,-0.03778898663391962,0.4628052125404738,-0.1313100786224934,0.17630631034825653,0.005235019220561854,-0.01868238946977753,-0.12956589604054677,0.0682601123755041,-0.07232718130997431,-0.06895376686975739,-0.025566360302039178,-0.07646172102944535,0.06664311939401693,-0.03470727122668811,0.06617790735624775,0.1263428736511969,-0.03359242268068266,-0.10375750448627147,-0.0010158078174571858,-0.08954508890210275,-0.10665489620950633,0.016737580306097437,0.11112708398398423,-0.07596010570048348,-0.010585810159218605
NO2,-0.07611082737658179,-0.014633212078744474,-0.11492113038191708,-0.06415134898923625,-0.1403633171874862,-0.1100331913932219,-0.08074399389461165,-0.03135678099084431,0.03306653429411752,-0.12818973717459958,-0.04079177554511734,0.17686711478711792,-0.040153329045420266,-0.07365472268288534,-0.08301430445476171,-0.08683478081706952,0.07333183003152122,-0.12539681766029703,0.00739343036251101,-0.003331243067771554,0.0821203754187537,-0.05352459826961172,-0.08645016902066399,0.034099312493969025,-0.01827684061928315,-0.10964525977279573,-0.18965017906836806,0.11602607902445244,-0.08498964374452903,-0.12673064280652155,-0.017998855943189646,-0.04540702460621334,-0.051410078453416816,-0.15673624029083952,0.0034405306600144257,-0.06214110063377759,0.24757523738229847,-0.10713491268839988,0.2694355795556219,-0.0042168801782706735,0.1632937244247915,-0.12491344238912419,0.05452956116016361,-0.05556184212074777,-0.061816468897030755,-0.04691133391653711,-0.05038467785421944,0.062465781322748465,0.0026988816563339596,-0.01620023081380772,0.07095654424701078,0.008861066129649202,-0.05788376729184927,0.027723838588196027,-0.10454911544352127,-0.10265631637774875,0.04426146095379779,0.0018870794799801301,-0.010378261517817528,0.04437936877848289
NO3,-0.08184737203235427,-0.0032987004829447054,-0.07466050198754831,-0.05997224928021144,-0.09651895275400946,-0.0728817686869689,-0.06717256100272509,-0.05859262508364404,0.014316024605996099,-0.08295911726052861,-0.05939287476949015,0.162546473247504,-0.03947124910355733,-0.08586023896383313,-0.08015690931276873,-0.09572228950818557,-0.01779596429134958,-0.09305810115188667,-0.046370917829922365,-0.009892673879200994,0.07766529473619949,-0.03947666233207904,-0.06606900467922253,0.04346858194891308,-0.041963331423098126,-0.07691961444775974,-0.12709405851785271,0.12850376251023257,-0.0920006260655842,-0.08570745338627356,-0.01241826354342036,-0.020428745472161555,-0.05611341190069567,-0.11367104746709242,-0.01014935450569136,-0.07355180316367,0.1834750218329474,-0.10772560048904095,0.39443579088860337,-0.015287424687498824,0.25968901786733223,-0.08423733077122657,0.020146128972347386,-0.05384115350042259,-0.051167706951757645,-0.046156382654701206,-0.0571139114132027,0.019392432576178474,-0.023286743348072354,-0.054084600593089116,0.05460908641765635,-0.013387828747342177,-0.06464852851514746,0.05414255457102683,-0.07782864057477676,-0.06904664574465275,0.005958296475161263,-0.005678683700318127,-0.019986232338205984,0.011180555910728352
temperature,0.33982747309896916,-0.059951135818656645,0.05729900056749433,0.3003726152307754,0.3545251116362881,0.2039020719478965,0.3470393504623039,0.30835474464797175,0.01509378536140947,-0.09586785054719091,-0.05282652016895811,-0.02987654984805657,-0.26171208630018505,-0.21192024648430413,0.31811544406933895,-0.173579813975762,0.14501798704607977,0.13437132788402242,-0.3536703547975812,-0.036383990686149933,-0.24772791693499294,0.2308028772094069,0.2942296087333295,-0.04401348496010819,0.10386317005768662,0.16819380817211121,0.26758909813195264,-0.01104365502811902,0.006519248403878632,-0.013713913025234541,0.003886953836269299,0.023297202737673425,0.15721492239911247,0.3802370668142882,-0.4074640440335543,-0.11962901882225585,-0.30021352913018096,-0.0423217286339278,-0.30698329646628775,-0.02259784926357742,-0.12695229525980817,0.2977924289403783,0.12058493155064438,0.26967468766479874,0.25395710323740933,0.17895853829683567,0.2772938003337392,-0.11515081371298651,-0.055703088612942896,0.18824497026021525,0.031316304402537964,-0.18314351096416198,-0.0459102839075102,-0.06231044550094009,-0.12495839657977997,0.2409262345036952,0.059196600248213174,-0.27656510406863477,-0.12771604471862852,0.08017259691048739
salinity,0.2578621646499811,-0.22063521171267964,0.043918254034148396,0.18248337430888398,0.24347886400899602,0.15209814023926305,0.23456937201111372,0.16098163069198912,-0.09547792402437202,0.11535576641823772,0.13876081184034939,-0.32754493206455587,0.03482409502483137,0.03381509010121936,0.13113724810938587,0.19929177568614143,-0.34390444615246973,0.2859292908146786,0.10980000309508742,-0.006939720162464014,-0.13949791929606897,0.07430211425383686,0.176943283501023,-0.01059126092367105,0.057706482009924114,0.24419155371885237,0.2621397691556253,-0.39672082844342393,0.20776976432913768,0.05790852874329146,0.0079936968729475,-0.15278292882994604,0.03552549740536344,0.29378669530176504,-0.04391116163656858,0.32900733186275993,-0.36609526917184915,0.1276709252288189,-0.5442282073395217,0.0576824500973012,-0.3799217169483859,0.1850265642118786,-0.34552410437247105,0.07414937458831244,0.1488781510880235,0.08606857323025421,0.0968727186512249,-0.18272266654484084,0.046748452310027735,0.11866863029544993,-0.4051863017867371,0.05737753053779838,0.11894760400985702,-0.06885353465063368,0.0407116959782203,0.1459964811373711,-0.056050040797997566,0.04130973911048576,0.045592224256081795,-0.2626558823955308
Chl_a,0.07466875213258165,0.1530227885045903,-0.12899514128360015,0.14481873891077993,-0.06001392712438968,-0.09846600167095917,0.036442170835313314,0.15664732352727134,0.03286445003214113,-0.1845436987279469,-0.01936926181770587,0.17242714368711165,-0.1144303747327827,-0.13802754015233024,0.160688669751112,-0.20513009787332356,0.2513030187013407,-0.15098912408954202,-0.17437973047332714,-0.016091947662963162,-0.02987296872246301,0.1601255216496058,-0.029264318354015828,-0.06912249273068877,0.02645860005038904,-0.08429650391100332,-0.10342128066049928,0.26706177800909897,-0.12097036927990273,-0.1150351125587902,0.13516049103775496,0.17946446177275963,-0.006985904369774062,-0.057322773771099136,-0.17840373729384512,-0.14139572847880094,-0.025484900854062204,-0.17149690848986127,0.10720290005950947,-0.026351342835559212,0.14606917081064968,-0.10064782797992927,0.05019927998912645,0.14214142008286174,-0.011456072522763035,0.13019365257305543,0.3937935427592525,0.11012640256004227,-0.0319352286744764,0.0973541999707969,0.1259109532143486,-0.07987775796817273,-0.07933312697463972,-0.023789878534527586,-0.09263040131721698,-0.08839137390133309,0.06139602217537615,-0.11662398964212725,-0.04657813225846329,0.21008805307549244
Phaeo,-0.02360960915503659,0.06024948478944263,-0.08358608088188207,-0.004201116148876792,-0.06648436736118293,-0.065277942446469,-0.024227232935712745,0.33603294535373746,0.040776391800541,-0.11600478141462825,-0.020109772238336602,0.07502630213440112,-0.07159268983500514,-0.09034193154666656,0.06912867816965979,-0.1258677688513441,0.3729435797748097,-0.10349083059569819,-0.103135530310761,-0.013714311991323086,0.038858454139159636,-0.009963939285922575,-0.006867656803456293,-0.03543102143651169,0.01967286176227489,-0.06353816303727018,-0.09701155873917956,0.13291963196441206,-0.04074802000355415,-0.07471512911272887,0.19958472372402403,0.15133482560703,0.014170060411490151,-0.06364025157357084,-0.1146272782308094,-0.07911154322033026,-0.040990374319267095,-0.09993983763410602,-0.011939904093331215,-0.01263979845561167,0.038276343627168787,-0.05909471379967157,0.060479804991898686,0.1410811632575314,-0.03228175033926045,0.09106601642669193,0.21472253558288004,0.0012459003485078704,-0.009755506599142198,0.08555085791684286,0.10234059454091933,-0.051772505736581695,-0.02817412534968928,-0.01795705158926184,-0.010200729105322479,-0.06698208972860213,0.2033422837742679,-0.08640523154137417,-0.00547260250785676,0.13460216051083151
Chl_a_conc,0.05626449357081,0.1448193993183474,-0.13099006970864546,0.12042290728981545,-0.06843945281089078,-0.10038927013257316,0.024008406426427053,0.22278625813823882,0.038665247499343254,-0.18642628893927268,-0.021722399960165388,0.16512241018604537,-0.11550571956226484,-0.1404074949293442,0.15366660328537549,-0.206386555145919,0.3122702896929736,-0.15486002211787625,-0.17439812045029282,-0.017233838533109922,-0.014519080496994985,0.13170614797354463,-0.026430950015834155,-0.06764888181741695,0.02755465834078983,-0.08802240009663045,-0.11317017795860096,0.2602893025167844,-0.11261572228680829,-0.1168616492386581,0.16767970546377495,0.19176105870905713,-0.0020144368712730456,-0.0654077512323187,-0.18089802325727072,-0.14018378044341673,-0.03252881456531754,-0.17111001195454256,0.08674482706730238,-0.02555389452176034,0.13301274671033858,-0.10054089841581865,0.058569498589719916,0.15764552290525696,-0.018386742998502757,0.13402826330835024,0.3888949903895192,0.09278117877245508,-0.029457540690248377,0.1049637056661753,0.1334963211041942,-0.08111672878529338,-0.0742483885158243,-0.024848322550214824,-0.08052745470178554,-0.09239536997953948,0.10678092069710478,-0.1213713354018249,-0.0405855672425869,0.2129213227792045
