,0,1,2,3
PO4,-0.07033508834851485,0.15162715963945272,-0.2257142135801684,0.10998679116498342
NOx,-0.10213907532970576,0.24084329383608533,-0.13427220548845564,-0.1332250895243968
NH4,-0.021684300831884253,0.25241290888759327,-0.23322765495379794,-0.15277191354373487
NO2,-0.10919731516784162,0.24840096390238878,-0.11568667490285545,-0.1611361251858862
NO3,-0.10176074838609783,0.24010401922665742,-0.13424352736970388,-0.1324170114363647
temperature,-0.2960925485722386,0.07644575854772771,-0.2605854137669004,0.6204136151067752
salinity,0.29265659114408893,-0.6192099072395884,0.20373459557786927,0.4432209408023003
Chl_a,-0.3892712123916975,0.4561335553751876,-0.2641122161150135,0.06042483837529077
Phaeo,-0.22680827577827464,0.30561638571689825,-0.1386239408989629,-0.06107270464915068
Chl_a_conc,-0.3883822712841374,0.46591853710512576,-0.2593631068908586,0.034129912772733445
f0,-0.5844858200653172,0.707060137083603,-0.4092304945062132,0.0638613240772334
fa,-0.576463321111192,0.7060219966249367,-0.40198889507216595,0.04418539037054292
