,0,1,2,3,4,5,6,7,8,9
PO4,-0.11748576630024882,0.0654509595634266,-0.20358833776427815,0.18280001633245385,0.13464890365422186,0.18660705715910023,0.15702243337689215,-0.12584006879581783,-0.07023438107008154,-0.0297774011331313
NOx,-0.18892296351479215,0.38782572750474814,-0.13353169098337153,-0.10813548683824126,-0.10900084241307295,-0.05877577867512572,-0.0787779673773166,0.14279682490392442,-0.07986367450386732,-0.01607283354742231
NH4,-0.20916556010184295,0.26741779676230154,-0.21502127746258387,0.05117375652791782,-0.1130050668345717,0.26536460197610723,-0.11502561314283632,0.07045964880841246,-0.00875003010956801,-0.030012805715623564
NO2,-0.2167713193825924,0.33876740675589445,-0.14719551693447247,-0.07183783390160622,-0.12595930777506947,-0.01663308546731783,-0.0754881077331215,0.17991312696399564,-0.13155734628779553,0.055500866320899074
NO3,-0.1879743712542852,0.3876651324366493,-0.13296246835852377,-0.10847115473923524,-0.10843855528093249,-0.059335217381558,-0.0786330704722884,0.14180958769627955,-0.07879120780598597,-0.017235833904590513
temperature,0.29498493732221653,-0.2146118679738519,-0.20304906807074935,0.3998731730119416,0.5341797366477905,-0.157747169921529,0.39910594843338015,-0.05619206309000151,-0.09730727041673257,-0.6227321854394599
salinity,0.5802942615096321,-0.8416505418497724,0.048389766640110785,0.14423161279060837,0.36872875479819417,0.14078958481867496,0.1403842633401588,-0.3303395685160322,0.11837963863057299,0.039682668482433535
Chl_a,-0.262237633575628,0.23437320497343586,-0.2007016869306683,0.2371627173520706,0.06843159096201508,-0.04600489615731172,0.3322639008807059,0.19238778541832927,-0.2462526950308731,-0.2612033562222591
Phaeo,-0.14783940210108887,0.08918982714102733,-0.11985577042809475,0.21885165456432917,-0.046177894466815736,-0.03868816554717869,0.11569206202483456,0.22491517122601934,-0.1455920623410047,-0.15610390146442688
Chl_a_conc,-0.2602931775745691,0.22096931253934893,-0.2010359141729391,0.25853717956052513,0.04489756377703925,-0.04912832189260152,0.3103411451957434,0.22259937256938445,-0.24626449075095486,-0.26167026466602206
f0,-0.4085023003175994,0.406697874689699,-0.322310960569302,0.3674339002039559,0.08578174000045305,-0.08808077544133854,0.4039748163951008,0.3162110554323919,-0.36819404694093255,-0.3921055369419839
fa,-0.40207410009844036,0.39037639498278776,-0.32221108352393396,0.3820085253220943,0.06882983796733519,-0.08926000206526165,0.37965221745430283,0.33795565796373095,-0.36319662643634903,-0.3882250734811226
