,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
PO4,-0.02177660438744388,-0.08410049533726369,-0.11415991778957875,0.0848913675507954,0.17219009274291275,-0.126813669579029,0.07469598967794594,0.14749205555863293,-0.07850609493179275,-0.06099241340399804,0.1403931212852148,0.0020675927361780214,-0.08544276921537963,-0.0456876916152451,0.027012122939744983,-0.10193700994846017,-0.09476767573754111,-0.08571318917566054,-0.04608212155526405,-0.005895701262835975,-0.013996434804000356,0.15180462603672457,-0.046849532009872595,-0.13921526160705533,0.04592342221313471,-0.053518806058651384,0.07115414591138904,-0.09744479472365139,-0.02464617058926843,-0.13541949953861843,-0.060218598368258575,-0.03665011330577975,-0.10679993432837151,-0.04755487849430834,-0.02428017636746078,0.025452563490560097,0.06599850024665016,-0.008121043661944608,0.035639118209802166,-0.03379710758028512,-0.05334970496027672,-0.10990649787391847,0.09293655016932617,-0.031884831763473814,-0.038354398520976385,0.0587474602528866,-0.015507907330177215,-0.026819184435985268,0.0019503026134955908,0.09791004800949712,0.04394317301949588,0.04648968975236267,0.16975285368982237,-0.004444160643216757,-0.14855083112178144,-0.10175504908785594,0.0983675837103844,0.0407989466217277,-0.043158696034627166,-0.0676829121848348,-0.0927274662067064,-0.09974323673900344,-0.09584897178444406,0.1016637174176873,0.012579435320534852,-0.024179914733380534,-0.13854866529067245,0.028171832459920068,0.21629813829909103,-0.03902546131861008,0.10085802849866354,-0.0051992463557957724,0.19840757721699856,-0.007479441311322461,-0.031393113794468096,-0.0645388645144443,-0.09993876019840583,0.04556668171272562,-0.016093260445679464,0.02398322100968693,0.10863409101352688
NOx,-0.10756205426643672,0.13849869447652124,-0.06830245317678149,-0.06641656963030351,-0.07895722357290688,-0.05870215036900423,-0.06851023516862832,-0.06084555261695569,-0.05218749617828296,-0.0807849914497962,-0.06031113984296224,0.015704760716361784,-0.019638401440962516,-0.06411773621458805,-0.06189393147656471,-0.07860291073653242,-0.02589998942506975,-0.0667925438688877,-0.05177999508918166,-0.009772596575280297,0.07686354409050597,-0.03951409914282628,-0.0659224974998556,0.06938094133900756,-0.04219132600801358,-0.07103288507267606,-0.12835171800989525,-0.06934358023292028,-0.0570247638138167,-0.07586989814511674,-0.06024091326019025,-0.02078379808989758,0.019393534179525964,-0.0857814854547274,0.012120494899372253,-0.06860303602383112,0.2642266933760403,-0.06882264905445684,0.37972197062771706,-0.09596313950097302,0.2575045178391844,-0.0688201726359906,-0.03353909438297102,-0.04455989858791145,-0.09718989493391442,-0.056493849102048216,-0.038179064627538464,-0.05490204409247214,-0.022761536351433305,-0.05175837329021156,0.038966442320582634,-0.0212315902283215,-0.07518619442985444,0.051829087921203006,-0.09390887972835335,-0.07394729652001543,-0.011371764762382294,-0.011839595488969797,-0.02998989724109636,0.015882899819623784,-0.1001229506343373,-0.10750170214831893,-0.03806807244602188,0.10340077982365076,-0.014835557961973594,-0.034400119412290764,-0.06808465913351369,0.001607418086104258,-0.051467514245272475,-0.07606487461023156,0.1889204028936366,-0.050142581519556945,-0.07702983826069335,-0.002004007056430222,-0.019900712869161234,-0.04711465022545498,0.16339637650336208,-0.019969542926939407,0.013404568456488143,-0.012221997145099753,-0.04550457846535283
NH4,-0.11359544791208548,-0.008000419271182484,-0.05697687908711592,-0.07454775919162382,-0.03621943824328014,-0.10518853718380745,-0.07187346056269078,-0.054443552406485664,0.008820026261386745,-0.05952250435856421,0.16243556948678137,0.027137110249999145,-0.04197389799276962,-0.05538437108200453,-0.04364208315794657,-0.12483943575378983,0.012149234776465932,-0.10687307648607941,-0.11122397893872608,-0.009854870170208849,0.1310464227303188,-0.079419303227131,-0.09069051506459555,-0.02041050263455028,0.04824336125461817,-0.09319078312100486,0.00819858964047674,-0.10509884766213436,-0.07821017792580695,-0.1215473219426596,-0.09919425523925518,-0.021946530138537892,0.019655887221138202,-0.08996816712375148,0.015070937700414774,-0.034942045726741866,0.300710009427277,-0.07834055287649763,0.13656650926155195,-0.0415029030680628,-0.01713320897445339,-0.10967975053351034,-0.0430457842574021,-0.07128583089005239,-0.1263363938533278,-0.07081898929627196,-0.04985828859946528,-0.02471770924972548,-0.03401414602314176,0.04786450030004241,0.11654571743515448,-0.023016439125952762,0.11447020617834053,0.001390048631474009,-0.14576513944124336,-0.11151864553433076,-0.033380813794935606,0.14606791842032577,-0.019455951989427706,-0.004478698489897026,-0.12709410813456684,-0.1535408879727974,-0.11492374445979255,0.4273191294535314,0.005020414986850104,-0.04322512430641207,-0.09251654272467413,0.05441166336314269,-0.0023677567611371667,-0.049846609326428065,0.31102745382736924,-0.06707979825498475,0.06702077658310338,0.028462221243441332,-0.0769296302780305,-0.05726094350555379,0.01344122351044279,0.075076658200395,0.0793241330507161,0.05890216824087939,-0.029282607562187816
NO2,-0.0926781773162909,0.12012534388155052,-0.09138322046983215,-0.08258644597614487,-0.10408731748680869,-0.0995462846193005,-0.08242556178086881,-0.057213844777068444,-0.04653353350445446,-0.12476760971139912,-0.04195314845021044,0.05449986501067183,-0.007396757520820651,-0.09201861243436492,-0.05276288845065306,-0.0794378540574159,-0.0012158581990751472,-0.09917657928042414,-0.004798538151042421,-0.0035933581555814735,0.08144197576021558,-0.05348360353934067,-0.08694082296098678,0.06674245788609617,-0.017288182153876164,-0.10110661094413693,-0.19119496245727552,-0.10241422116544166,-0.039822652453600116,-0.1124686223257951,-0.052543254885384666,-0.045293718067484286,0.05829442147892254,-0.12276099127991427,0.015503047744642107,-0.06151769390953148,0.26223720473296896,-0.013255368356074711,0.24498003272961313,-0.12879737151593335,0.16336608530724556,-0.10145805492952684,-0.028714306926290387,-0.048444228260926495,-0.1383499734969253,-0.04035435725938024,-0.04671338096136482,-0.026882549994699263,0.0023399779967915443,-0.015673994959160546,0.06068923553279773,0.029546300400648637,-0.0739453690899633,0.027538355767295873,-0.13206207540333997,-0.11000462235144765,0.011450158074768037,-0.011621651186698514,-0.045715632437237363,0.04818568042495623,-0.12993976713126335,-0.11644714587424154,-0.042921069636405434,0.15531521422102457,-0.0039153629915596715,-0.03730376132904088,-0.09550591522277382,0.09983528940949112,-0.017441871100748848,-0.10726636935215234,0.2412318831658262,-0.06067527001276511,-0.07793131038683183,-0.014387806662294413,-0.010111810569512183,-0.051181457792232904,0.17418959166999398,-0.010045835943377934,0.03151870432618113,-0.01766058665780865,-0.04746721004074218
NO3,-0.10753900493404292,0.13845570498560433,-0.06774063428116592,-0.0659757837043715,-0.07833385403039547,-0.05786595705383146,-0.0681020487328309,-0.0607519847066577,-0.052149948484773556,-0.07983988115103771,-0.060466622929790284,0.01501231895891459,-0.01979438771967037,-0.06348548058747738,-0.06189019642076411,-0.0783890805486804,-0.02624934024351656,-0.06607808393174698,-0.05243860200480333,-0.009851690720632472,0.0765911702820341,-0.03917870152467816,-0.0654014175791521,0.06924897305210571,-0.04250295254268845,-0.07034650624296782,-0.1269684750317025,-0.06861108772877827,-0.057169158316505486,-0.07506147602365057,-0.060217270517864865,-0.020318720321158903,0.018689937345110534,-0.08494146618908713,0.01203279423490266,-0.06854784008477391,0.2635885656911639,-0.06958234986751413,0.3810231515856316,-0.09516696385855272,0.25843339988080033,-0.06809628938750412,-0.033534999181332494,-0.04438130625409095,-0.09625056241671195,-0.05662172002808881,-0.037938478894973995,-0.055233779820854305,-0.023125884527795355,-0.0522337488310757,0.0385020281758635,-0.02203169778592945,-0.07501596252689996,0.05210591733560529,-0.09302846170681972,-0.07315286730914312,-0.011726720355702065,-0.011813168318117337,-0.029649168088672472,0.015299204658962267,-0.09936695414261013,-0.10707800257472472,-0.037889687757576035,0.10226477520512497,-0.014981525262319832,-0.03426384533848738,-0.06745038779602261,-4.8837503782960586e-05,-0.05190900162085728,-0.0753467370587286,0.18756035307058289,-0.049837975714414465,-0.07681888738445874,-0.0017906207972339682,-0.020014777881107802,-0.04692649519105249,0.16279952919969704,-0.020085700375587337,0.01306582223077846,-0.012099456431051684,-0.04535590753494381
temperature,-0.07047328722460162,-0.012306915134017181,-0.03429481728641198,0.29445020033110114,0.3642789860933916,0.027631849422532963,0.3499775090044075,0.2818874338495415,0.13013149565675858,-0.08601843052876729,-0.05313446962932189,-0.08967099090712127,-0.3922100453759696,-0.010156584178096485,0.2775397663043103,-0.20085124518535633,0.05086071204706209,0.2048611712093484,-0.33128141039356196,-0.03464919744263872,-0.25057226043735187,0.22965036562340946,0.2919732625692725,-0.028240409080244385,0.10394813845747383,0.17008026158682993,0.18431985602098122,0.2412115123976544,-0.03493652670998683,0.0672002863594926,-0.05719530361798225,0.02316484142474819,0.06355605816312902,0.27280327251846315,-0.3079870088915878,-0.04160416614542094,-0.267178138408325,-0.3279855141211727,-0.28869321751748056,0.1125235870626325,-0.1282413717707092,0.28102450087034714,0.20795820518758787,0.2559107602905557,0.3743615682332799,0.2728873764436034,0.15895889182402456,0.30466207256593114,-0.054155144507224834,0.18258550076486196,0.047274952540014445,-0.3149852714257208,0.204292016705163,-0.06187030193332799,-0.06140922335089166,0.19950353395115802,-0.17098989862213199,-0.22969337786896699,-0.11206610586267855,0.07302046805863255,0.1087364750704748,0.0325306715604676,-0.2436434314267499,-0.26695982402165275,-0.022837770190143998,0.05451506890677447,-0.12610819230880055,0.11946345292797411,0.2646602214463694,0.230971896209147,-0.1676768605270239,0.24583051788726035,0.29511400070189603,-0.05967497904575554,-0.1273832084038384,0.15985806584231366,-0.031044592237670407,-0.15947140543986177,0.012301357944854914,0.0030949580217238372,0.17619778036077743
salinity,0.1945210206332701,-0.40161336898285216,0.052002980220163496,0.1413856518315763,0.25828131155883804,-0.0012912864543791287,0.2363773932860811,0.17171409591517872,0.022936759962315225,0.11731551270821897,0.1402820998191706,-0.15625650860287002,-0.039897855760088544,0.07352785589483532,0.11163615891749121,0.16533144302770747,0.014354541952965236,0.1368654013216708,0.11884943627484577,-0.006348944786297941,-0.13857154574951713,0.07363112681614005,0.1768186452650844,-0.037592466137984275,0.056316892634942294,0.23069810407752211,0.2662775240248155,0.14748945960722004,0.18708596455774407,0.11379769320307269,0.09418542587241367,-0.15229027095773232,-0.07032093547922331,0.21450930228949844,-0.03829682239572908,0.2908325493523212,-0.38567333008432153,-0.022090434571390892,-0.5340462963525591,0.2925330721586732,-0.3803469077268238,0.15855657271407433,-0.26617853746125875,0.04540516700966618,0.24975595645427787,0.08001561960701295,0.11856012037377649,0.15238296098902798,0.04728367617385527,0.09951742748189082,-0.3832187766809749,0.1637364977206075,0.1821125118865029,-0.06525832216296588,0.050184695801660295,0.1513231712969732,0.056885008221975376,0.03042342315021497,0.02202047326107108,-0.2808360097659646,0.16413555414866726,0.21083878521952074,0.03544072443799767,-0.31401177270749964,0.05687275924676126,0.11178216131525102,0.052747189792481594,-0.34795908433105704,0.1852288044569978,0.1493729037001243,-0.48504339831313636,0.14638300126733506,0.12738613354985778,-0.22408962231325846,0.04412751136012151,0.10886660671395279,-0.3257554502074883,0.05749491860560642,-0.09084490833022867,0.007514072140567797,0.0841690906329953
Chl_a,-0.18765581740716789,0.2711714774596977,-0.15139573026150735,0.3635157673002442,0.10578591975578316,-0.09655164508278576,0.034673904655026296,0.14310865705041603,-0.015238388211085722,-0.17676629777637468,-0.02164671280126379,0.11315918519119059,-0.17272219535121722,-0.08183340127146391,0.10170048860820509,-0.17326535638080587,0.07149220716378961,-0.09080581336227972,-0.18062347802143483,-0.015854898649123563,-0.031796431359943866,0.16039511097297315,-0.02932004639596548,-0.05277827056382817,0.02067530335556035,-0.07745366096586309,-0.1354429274439837,-0.08928872091584042,-0.10460452202870821,-0.08969241593341293,-0.07223314259640735,0.17910370229358186,0.059850708519423944,-0.08451742393010794,-0.13517046877356817,-0.10220629299941889,0.00621135298688396,-0.13485382180150868,0.11729863675743082,-0.1534493295826999,0.14586924701664056,-0.08176673295049666,0.06047318702693437,0.1342706322753448,-0.053889031352746135,0.34045359131273983,-0.036874442819198515,0.1410976740451534,-0.03138146684022302,0.0958890066724142,0.12464940868865901,-0.14716603168167564,0.10035465653589823,-0.02266206455560691,-0.12966095043979348,-0.10000577901354232,-0.07536683770261385,-0.09346471356677294,-0.051084281191421735,0.21313733157489168,-0.1379501124010279,-0.12163749939327076,-0.10837470069632843,-0.0038672635773069237,-0.02649023355610959,-0.04520080430509796,-0.09895104051407884,0.25435856297157317,0.04450269359772273,-0.05119282446662023,0.05243573841815674,-0.013000101960032586,0.17820270459164428,0.15100160061769524,-0.046634593033722624,0.011764345731547539,0.1727481447443272,-0.0736325170054345,0.031089677112098757,0.13221327262870147,0.12806308370494135
Phaeo,-0.12492550440344385,0.12851562496744345,-0.09689049448963843,-0.026111713320757457,-0.030957108372595056,-0.06579914923588465,-0.025221096250540177,0.014160535230638784,0.013891602662901001,-0.11197765573727306,-0.018166770371329796,0.005814220261914745,-0.11130808070797348,-0.057761371076558814,0.05491689815253298,-0.10231919042966955,0.24798056599643625,-0.060952007872303114,-0.10720585788950315,-0.013533475666738223,0.03799398483525375,-0.010171889620467599,-0.01411913222816019,-0.03421187155592276,0.024986554005871606,-0.05980233842971232,-0.10450498543622076,-0.06707657378809435,-0.0038354649651469418,-0.06010746966817436,-0.02952406112529346,0.15130748758096838,0.17841269592575762,-0.05342785957829817,-0.08824601218973625,-0.05473932344022685,-0.031236407716291992,-0.07999826889610477,-0.007555286504295316,-0.10536344278047569,0.038005891328068975,-0.045661361689748575,0.06743315381754077,0.12760543757557177,-0.06148588779898381,0.3390426044869508,-0.02270557366662701,0.33286100570275046,-0.009189759277179726,0.11071087857332854,0.10754225971881727,-0.08970045008273071,-0.0026350957284917388,-0.017058482866783332,-0.08100480572746671,-0.06622784332428443,-0.04853694156790461,-0.07495608203790977,-0.03010869713329436,0.13524950389257573,-0.08110442812798735,-0.04907804720849359,-0.06957915472756526,-0.030198046130046313,-0.012650741141942808,-0.02466600002075297,-0.03977761109670168,0.3614016011953633,-0.014062212253456236,-0.04415802165234422,0.033664709721834926,-0.03290832769767397,0.08044180978738459,0.06175447260042225,-0.005234325925712591,0.08942529328895471,0.07606827879092032,-0.05769063002538586,0.03713412400778087,0.2006083645187857,0.08808682890891897
Chl_a_conc,-0.19146224009073898,0.26254260853675054,-0.15340816984581596,0.29804971105190575,0.08038882167384125,-0.09892391463848824,0.02225407122554597,0.12397588369091274,-0.009017416970032575,-0.1788036734559727,-0.023106274789364976,0.09656808058669944,-0.17522704977359543,-0.08438538563536346,0.10028950532644312,-0.17324090689869692,0.12738314173703014,-0.09278386585452383,-0.18074508817422924,-0.0169857247332582,-0.016368537732871336,0.1318759520371901,-0.02844779683298207,-0.053597940581686127,0.024143636994297286,-0.08126341473914034,-0.14208570237393003,-0.09317429344258987,-0.08884951036927533,-0.09161981126931681,-0.06865524252907289,0.19145080156513442,0.0987109238701272,-0.08546109707949814,-0.13743978647204702,-0.1006658462716381,-0.0032722933595225874,-0.1349332539566221,0.09641063089294871,-0.15743392432973882,0.1327714499923499,-0.08104211458106839,0.06908273092866883,0.1473775381811302,-0.06194009345760648,0.37789522504793954,-0.03712188351051912,0.20887176961869328,-0.028838998787478327,0.11056921564071995,0.13385052967314312,-0.1479042833614912,0.08352416330350487,-0.02365748746254098,-0.13084768954479908,-0.10193986279075093,-0.07645112405029887,-0.0988204101632659,-0.051061223210136814,0.21565682798564564,-0.13783287246539117,-0.11543881334236589,-0.10987541073339845,-0.011450421222975349,-0.02567345555103785,-0.04464383235287331,-0.09386854045608847,0.31169948216430365,0.03353621294775017,-0.05496923140460068,0.05316175912308621,-0.019853065031303366,0.1714418270457444,0.14353163891945236,-0.04056822720685899,0.034170166494382474,0.16567494831484458,-0.07748215152173403,0.03618593677401863,0.1654838417800666,0.13143043350678135
