,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
PO4,-0.05772233531626585,-0.010769062265360941,-0.035609424825163855,0.18515041078444883,0.21492266779594382,-0.1069397203308638,0.0730092300703221,0.026164662788660132,-1.3825676722920184e-05,-0.06594184434743654,0.1507450159549593,-0.03621787808952527,-0.07836194995824353,-0.14571828950424126,-0.028974127131527982,-0.062118666704800665,-0.08566421793417744,0.014407532599290182,0.03271807830608946,-0.0051884187472795405,-0.018064913800944923,0.1542371271382028,-0.07674583733742812,-0.16383666723996276,0.11981013205740962,-0.06037442489248054,-0.04098161778519398,0.08413307229952391,-0.0068838225084586376
NOx,-0.10884816228799753,0.01548055212255953,-0.021137204354579983,-0.07970335291652245,-0.08210295100165041,-0.07263616121467315,-0.07128258023028018,-0.0641286523391782,0.0010623496457530966,-0.08571673425053435,-0.062468490589062405,0.3203009207454913,-0.028848492014240456,-0.092819392512178,-0.06271131721928583,-0.07895405007018216,0.08556387003326685,-0.09591779399252527,-0.019596061904418868,-0.00993220072469377,0.10805059807341313,-0.04126245340974635,-0.07772825599563511,-0.021856893725516226,-0.047829807206063335,-0.08460201879442426,-0.09532276206904503,0.1734775580458594,-0.033518129225268034
NH4,-0.09947229033746208,0.044954476828963294,-0.020990108333041425,0.05332270596189674,-0.0024175338514108623,-0.11388885379582096,-0.07584115372096216,0.016823768611367695,0.0849300773362239,-0.05943874611079523,0.16741996362362016,0.03919595618190254,-0.06564870503563801,-0.14220211819255113,-0.07947687681549137,-0.13069461773235982,0.013836885216966587,-0.024744165713009948,-0.06502954602496558,-0.008473059470552902,0.1350702219592079,-0.08114425723953012,-0.11576656033963484,-0.03065297574891051,-0.019282863162470555,-0.10483753547781727,-0.09147797056821047,0.18862680162928444,-0.05151700975227029
NO2,-0.15793104843628414,0.032335264080732895,-0.04646817033663425,-0.08152543352543593,-0.080892513025231,-0.10967669230490654,-0.08655820668377051,-0.029033687487115135,0.028785248679332073,-0.13120349547179122,-0.04479068792190126,0.21741242190936727,-0.013172792228312814,-0.13699725232587473,-0.06153009559377218,-0.04418740591021542,0.1419311024635517,-0.10417618083662081,-0.0037930841835518087,-0.0032043375128805018,0.10268136700381802,-0.05461662973879938,-0.10215040332487042,-0.009541760533645062,-0.04661003040012447,-0.1152714423618322,-0.07997009336013311,0.16298986067253315,-0.007797741135404036
NO3,-0.10774593792933108,0.015157712544153068,-0.020657418522761154,-0.07947012229222264,-0.08191462752784101,-0.07182852725927297,-0.0708444673406107,-0.06455594438239667,0.0005933567266938108,-0.08473378950440674,-0.0626070496767307,0.3212173659611318,-0.02903882883838755,-0.09184041021112571,-0.06257179044771741,-0.07933813781723513,0.08439830682651434,-0.09553509361375953,-0.019812056605807406,-0.010020116942481724,0.10786627286523776,-0.0409329616387787,-0.07711991764242895,-0.02200847728923183,-0.04772875356379401,-0.08387113152151807,-0.0953387065659019,0.17321302720213216,-0.033865546460856745
temperature,0.35850941473355036,-0.09203691871785236,0.02204682859894241,0.3348862185812933,0.37285960975148447,0.20388072698464943,0.36083991151915784,0.25673622798315565,0.049256168499482986,-0.07324738297958744,-0.04881058114680682,-0.18598681978890433,-0.405685779747188,-0.01236009497821564,0.3076941721222266,-0.26968680042290893,0.05093028016193619,-0.03635379923391524,-0.17370904070050014,-0.0374071843221566,-0.23878063452473608,0.23482598327290047,0.26990286031630445,0.031801411445674624,0.17927126693316003,0.16333592326941676,-0.1994588809385635,-0.06069129580029543,-0.06601563377557296
salinity,0.2563277360580465,-0.22945872602066503,-0.15212603385746692,0.11970592574143359,0.2530491238805954,0.13995763190060323,0.24272293721813254,0.14689885296575447,-0.07394550454285051,0.1316394328390275,0.14955425789981072,-0.46617559878644244,0.0031666943115526295,0.06421846211221593,0.09181440632692318,0.17561406561522264,-0.39222849782942504,0.3589118611784782,0.06271732084912751,-0.00667022145370688,-0.1721271266203162,0.07461048499194713,0.20320524266066492,-0.002822276998974394,0.08513734330334237,0.26935014714915095,0.05562480574873756,-0.5632497914547641,0.06823059509256928
Chl_a,-0.10557667130824164,0.14573798733251958,0.17726955336908973,0.18038341154570448,0.1276757299378859,-0.09665340159337868,0.03314299625895242,0.15740827402983887,0.03916121224864676,-0.18908211037372197,-0.0188605501455422,0.16290754554326398,-0.16888999907146984,-0.12195663874041496,0.19302264899852606,-0.20602548310254176,0.28150374084411844,-0.17394439126226707,-0.07107892259637608,-0.016291751316524872,-0.033108295990954606,0.17366758387927167,-0.08153769001872505,-0.01935616791171695,0.1433355352197041,-0.09169039301773103,-0.16682409105684254,0.1191133104691257,-0.0439057087945948
Phaeo,-0.08548552841510382,0.025917318299311272,0.14997038196380372,0.06728927769093129,-0.01782544628678267,-0.06462474426370506,-0.02733230313593414,0.3115646101981261,0.055585263879981445,-0.12163605163445178,-0.023501903202003554,0.028555916466044592,-0.10578401594839129,-0.07959735073489521,0.18840161892351986,-0.12295126734028669,0.21078120369479467,-0.11104767847144129,-0.03275496207006291,-0.014013167755898016,0.013833525799946208,-0.0013568796576649946,-0.05105155528139701,0.08986970051366193,0.10431484503289853,-0.0672153629739039,-0.09992011588674789,0.07230970108466053,-0.01284653926930834
Chl_a_conc,-0.1118480930804398,0.1293770664357627,0.1895479114060288,0.16969910828788132,0.10233122925227742,-0.0986902712855119,0.020395421908758652,0.21677750601508966,0.04797414482639273,-0.19176583156027271,-0.02221694325200687,0.14450644725289466,-0.17050944633688578,-0.12399813417075145,0.21321235787316767,-0.2063458128679016,0.29356551342942855,-0.17618224419757672,-0.0685641282617637,-0.017482751003170677,-0.024033616463816684,0.1454120238007097,-0.0823142483444475,0.008167610440809311,0.14865928615478552,-0.09522801953294457,-0.1671821810272144,0.11963148234962788,-0.04034560952898985
