,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
PO4,0.0896690274731638,-0.006723265769716467,-0.1363575770266368,0.16936446853992315,-0.032377586330449834,-0.10090076783553749,0.07754572763015789,-0.026519854188877545,-0.01787855587967768,-0.06593216600415927,0.14440029489297207,-0.08267946939444011,-0.09263834570259244,-0.03007211468772056,-0.03303244655760089,-0.07631172258882442,0.0511855090420594,-0.04340043185221403,-0.033847527223275026,-0.0058139684462674155,-0.013224188567708389,0.15183999214592592,-0.049548256669309024,-0.15310219240234013,0.07754331869396819,-0.061105383273171665,0.05556652421892336,-0.09976953215122458,-0.06850690286677828,-0.1395272670927244,0.025135907666567987,-0.03639433131589277,-0.07535668964398327,-0.07813270747786488,-0.06942302909388832,0.03709917365287349,0.10696084706494219,-0.033235406808064596,0.0401547932796766,0.012595548027298469,-0.05269607611817279,-0.12729798547477134,0.0989477089704059,0.09082668405987293,-0.004232567710645022,0.11458271792439537,-0.057720777278103076,0.0028218742893639528,0.0018838563680638792,0.12344935070168347,0.04862078684097112,0.09274020625584149,0.19748077589980506,-0.007831111323864109,-0.13459010686068085,-0.09809422509073273,-0.11085061207462366,0.04397170951586601,-0.029111145404836745
NOx,-0.11612316821911434,-0.005740196949632587,-0.07430680547256222,-0.08105878773916993,-0.09764316157996179,-0.07311183788728481,-0.06739209847198978,-0.056615856779806774,0.014483972053853178,-0.08437000474668244,-0.060200607286452414,0.028407467531944435,-0.037098837312676894,-0.07597729352410522,-0.05442135819507177,-0.098509593710678,-0.010984800410539626,-0.0936823117573524,-0.042648120571444896,-0.0098745344351789,0.0788067802428639,-0.03996379959956503,-0.06758248672354328,0.05188700614865207,-0.04739555607697222,-0.07706651856575306,-0.12662628913715052,0.18503768475059384,-0.08995911756383376,-0.08636513646916386,-0.012505900990155167,-0.02085127787436958,-0.055632851694703514,-0.1029528780648602,-0.006601090100466981,-0.07355617156677835,0.18977353692925708,-0.06484022092184705,0.3985232499879782,-0.015119840857194635,0.2542390267826808,-0.08540486363013483,0.02070909515975767,-0.05679276966894055,-0.05083208410229277,-0.04593714149738345,-0.06402833491798347,0.04262536080751288,-0.022772146657183658,-0.05379011079218824,0.04792565166588901,-0.012371842832434183,-0.07040261658255886,0.0529483294551313,-0.07616696768517714,-0.06955725909559873,0.011111089192580546,-0.004779091279957614,-0.02008374427098659
NH4,-0.003155532341105346,0.026767532711038225,-0.09826495341222655,0.04601374319407335,-0.1292029126483243,-0.11052617317666247,-0.06981126393726865,-0.014602023916810222,0.07847065868546563,-0.05758886403280454,0.16422596599114714,-0.020349694573639568,-0.11240233990640286,-0.04874391455246194,-0.07341341931927728,-0.13161852841149024,0.05746794697409971,-0.05141754612775655,-0.09854276233298005,-0.009122747743623013,0.1314867715148826,-0.07993051410548029,-0.09325743066975298,-0.03771022667702581,0.057772476383758264,-0.10062958629167576,-0.0196263668944342,0.009144958644150098,-0.13069008506335383,-0.13073251556766582,0.05975833552816135,-0.02204363860878686,0.008232245351110463,-0.11696707835213928,-0.01985204087828437,-0.03356926485672888,0.46059505417882596,-0.09562220281669734,0.17337938410543224,0.005124738452985529,-0.016747331399881132,-0.13062304306569178,0.06632470195622055,-0.0772358606069594,-0.0665981060229811,-0.02488578041218274,-0.10311583602294694,0.07516065465560942,-0.03452356348385676,0.05727254055259208,0.12547987842208158,-0.03265652102589453,-0.029850835985190637,-0.0008950853070498737,-0.08771983836615814,-0.10689525955127172,0.0168562927786384,0.1090605502592345,-0.07654410661931058
NO2,-0.1394443442618527,-0.015150794984188629,-0.11440789672005974,-0.08053914828082129,-0.13844207423334123,-0.10907140653551592,-0.08046378980743929,-0.029254653560768888,0.032923997094956275,-0.12903514501375668,-0.041623789652098425,0.0585322871402363,-0.040227321573342675,-0.0969122297856514,-0.05641605433331963,-0.09301401889672223,0.07847494134021296,-0.12487500941233201,0.004764765457812549,-0.0035175365283764827,0.08309887383128328,-0.053837306276359714,-0.08693660408212711,0.04490008258575197,-0.02412883840434152,-0.10862850420235728,-0.1872498075645937,0.17857624672549058,-0.08640915881538117,-0.13082770702590596,-0.018027118898744983,-0.045394405400915966,-0.050874902384097885,-0.12959067896874343,0.003489995684239834,-0.062059529195851046,0.25007999421459975,-0.009848007637007479,0.2734133558424722,-0.004152270741005296,0.16160234062368029,-0.12521598439509976,0.053363405784660596,-0.051205332708561264,-0.06045067408051933,-0.04633088963308178,-0.05641927420952751,0.08289761621225566,0.002545101926548772,-0.016110518334062806,0.06591152762037644,0.008743668188903632,-0.07490696931479407,0.02674173215354597,-0.10397362114362271,-0.10240856752537153,0.049784146600333166,0.001810546843377241,-0.010272095020859422
NO3,-0.11543575880905091,-0.005567322899634413,-0.0734434472952548,-0.08086149916596735,-0.09670875171232055,-0.07232117643192237,-0.0670009437766563,-0.05693216417553529,0.01413700090564088,-0.08340430248426568,-0.06036005192271446,0.027828571218033123,-0.03695192205606733,-0.07543205970848593,-0.05424948398370198,-0.09835164414199025,-0.012461572196630456,-0.09291954356841461,-0.04333719469748764,-0.009956359356264185,0.07853428341111592,-0.039628873627865754,-0.06708517916785649,0.051872642309406684,-0.04766643060471431,-0.07633977174207943,-0.1252847669931411,0.1846760505478852,-0.08979017610590179,-0.08539777031488849,-0.012381248881435821,-0.02038547004761356,-0.05557147613353515,-0.10224315899231999,-0.006754041693219587,-0.07356258318701739,0.18827684502134495,-0.06560037145407246,0.39961463460851354,-0.015265882428807366,0.25515094976487457,-0.08451817452628782,0.020107220505837055,-0.056742397710018114,-0.050541100698975376,-0.04581375936770095,-0.06399357541595058,0.04183964906843762,-0.023140096464850365,-0.05428715335517951,0.047501319794859984,-0.012695555056322855,-0.07014791063696114,0.05325453847712858,-0.07550567108354293,-0.06882791260125234,0.010432376064825414,-0.00487778034813713,-0.020197726666678194
temperature,0.372072196092466,-0.06100859118695727,0.05586574938854571,0.32303403470307746,0.3816836898631087,0.2022480848604146,0.3460204895631307,0.2998112704820516,0.016559861630853778,-0.09291016463165727,-0.04954180527757186,0.06979451405940482,-0.2469489062973622,-0.03257853508448551,0.2778097339245039,-0.1477977250330292,0.13133650164844374,0.13534824494464467,-0.3224192729358999,-0.03530031338890812,-0.2471407458582089,0.23068687975874747,0.29776901986150867,-0.035227824412970114,0.12250190627209925,0.16925034013045898,0.26758211112465713,-0.033008832707730765,0.022779868133104765,0.00330491404892709,0.0038053889891998018,0.0231867818476508,0.14784490578736514,0.14470624031978904,-0.39266854731822615,-0.12118594006343518,-0.29912667531481596,-0.35774390824460434,-0.3026947809597848,-0.02275901702015766,-0.12834988618050147,0.3008650073640675,0.12419482746973629,0.27514035865165715,0.2505292292446432,0.17841006076248758,-0.04849591122155499,-0.131233845977979,-0.054907851598017136,0.2016930792868344,0.035381821098857034,-0.17902369157742692,0.35008686859673777,-0.06109474303922123,-0.10472384084033914,0.24178227371199795,0.058679291536307764,-0.27392828362432,-0.12848067177687494
salinity,0.3038018568367327,-0.22297525263006904,0.04082026984275752,0.13159436226205923,0.25504798045044347,0.15102711701713473,0.23402466796335603,0.15443328088540018,-0.09609847951012968,0.11637466086495586,0.14154252687018573,-0.2933429008251117,0.03973925742478322,0.07822209432080558,0.08019691153098202,0.21170498127902276,-0.3560567189367211,0.2816396753801773,0.12278450588763254,-0.006696642828449322,-0.14066918945888982,0.07413092789843648,0.18093055673278174,-0.01858121565934851,0.07790913037372897,0.2441932040166344,0.2591970479890297,-0.3655823058991294,0.2159648891127675,0.06389544756509241,0.007990979056764528,-0.152689489887195,0.035513184496124776,0.18637837110527838,-0.041822479279818456,0.3324868074841732,-0.36854716320832864,-0.0245533950574634,-0.5611628706236234,0.057681010248731956,-0.3835321086296599,0.18697461155960501,-0.3471997449995813,0.09602620938608639,0.14716325394099036,0.08575279671166083,0.11637312720673057,-0.21200227892805773,0.04696738110902565,0.11850553774225767,-0.3929042791025281,0.05773628512420059,0.22826258602779492,-0.06876683014162421,0.04333260746958622,0.14644040187474322,-0.06052952623540443,0.041636546426344644,0.04511938137293639
Chl_a,-0.01191501626255222,0.1558332835959191,-0.12726037835460965,0.170710167657538,-0.040566466996119446,-0.09767543585630525,0.036584598935498286,0.15536175708061478,0.03350295410232714,-0.18423839362273847,-0.01988903362179449,0.2422234825695441,-0.10977682266461168,-0.09486025994199138,0.13971549888362197,-0.20363393297805316,0.24670503321013976,-0.14928236154981467,-0.16920705713878736,-0.01595473156856803,-0.028822252193893158,0.16105852056240727,-0.030285101635870896,-0.06332419122831823,0.02296745873172712,-0.08370315084364219,-0.10115043355497765,0.1952146460301289,-0.11398106301425837,-0.11191399369585994,0.13494673118322792,0.17923693281710507,-0.011482919127679438,-0.1412282180074877,-0.17510273454251948,-0.14272999683318538,-0.02489858722748846,-0.14658742378391879,0.12433902083871691,-0.026226517619235785,0.15246399363707375,-0.10026364590750159,0.05279162892101616,0.3927817128828277,-0.011411924027795985,0.12958866878666478,-0.07848947895361065,0.12132089503149353,-0.03156792994316158,0.10733220549362801,0.12023727922541859,-0.07876519787219244,0.13617862623985144,-0.021981635345013035,-0.08729865161002402,-0.08764890976920589,0.06376259305114171,-0.11665994156023174,-0.04665960271381574
Phaeo,-0.048923210020087815,0.06327129859525991,-0.08258727732011542,0.07506826983212096,-0.060636771343358965,-0.06490337739420038,-0.024057163051323424,0.33635752734812935,0.040842153866911035,-0.11580479737764293,-0.021014531860202856,0.1472567376206551,-0.06865565741497723,-0.06442245802844784,0.13451480796315857,-0.1250049039585842,0.3614967338283025,-0.10270746511505158,-0.09945613339265263,-0.013633839365521686,0.03923226898220586,-0.009914079335170623,-0.009972683519620537,-0.03367098329883333,0.011141783895603276,-0.06347510700809143,-0.09654961990853825,0.07999024818299028,-0.03604360277264932,-0.07204188150551498,0.19930988378368647,0.15117153617103135,0.01305222970617034,-0.07958266057707195,-0.11251036925811389,-0.08091088557089926,-0.041359348768874746,-0.09273576499318277,-0.004650132723901364,-0.01250170105249699,0.0380605004523458,-0.06015915184396252,0.06125503027621597,0.21259009705407933,-0.031644305654138255,0.09042881055119775,-0.028009178999735436,0.006698821955220716,-0.009536380742215314,0.09926333527387768,0.10134413970805307,-0.05096760306343638,-0.014312581700756428,-0.0174445256836161,-0.0034489477194109205,-0.06671917117404408,0.20332822367607808,-0.08640539934020838,-0.005603397295280024
Chl_a_conc,-0.023293112062505183,0.14799955582917412,-0.1292625157685072,0.16369254179242734,-0.050526132917138936,-0.09962388943812625,0.0241741681973216,0.2217953052323324,0.03921908896352095,-0.1861156773544852,-0.022404512063961886,0.24333453084701157,-0.11080149088584135,-0.09713010922062265,0.15382521231899976,-0.2048962175776361,0.3053007745622057,-0.15321450218175345,-0.16905644495262276,-0.01709679345952239,-0.013535526984331836,0.13250287508427788,-0.028131387429894544,-0.0623034871389916,0.022306404726636822,-0.08750719461832032,-0.11113847675421026,0.18559937176146468,-0.10547064672359256,-0.11351544563932142,0.167425602404633,0.19152570337629404,-0.006093027098342395,-0.14017116049953152,-0.177551965935059,-0.14179263870186473,-0.032136891398081666,-0.14824321499289703,0.10310976182173927,-0.025411595250363246,0.13832207166300226,-0.10050759149249444,0.060956189078249526,0.3874662996286642,-0.018176503923348297,0.13334731076588383,-0.07349539818775264,0.1036595389141104,-0.029089689782148195,0.11706485880388567,0.128462990589769,-0.07996414518452938,0.1104231291131555,-0.0231911985607664,-0.07421754704119332,-0.09170069888311891,0.10876365618207158,-0.12140155987552899,-0.04068948954589821
