,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
PO4,0.1342147715429418,0.06113675532267311,-0.13421441125338954,0.1650656662822807,0.20567051463909872,-0.10358340151275149,0.07493163368497535,-0.036574428281839995,-0.016161357898719638,-0.06215763324868216,0.1500517952722337,-0.006861437180818503,-0.10179607424614379,-0.04992841976541965,-0.02588974785047101,-0.02922842734771305,0.025306831504343517,-0.09927367589538724,0.03498158261516057,-0.0051805580236400015,-0.011348445678602546,0.1530981939127713,-0.057498199682518056,-0.060041739760860156,0.11791641931988638,-0.0632049934718204,-0.13070905619701323,-0.10579332933811857,-0.09994591785002184,-0.13520699423400617,-0.0031204560623073205,-0.03655205187265012,-0.12163288303288651,-0.016992163419228424,-0.04175738255966607,0.015118673212828735,0.10723626431856942,0.0041265035768303935,0.07165316204441227,0.013234083552187718,-0.049409808425365846
NOx,-0.057731351605634154,0.11469914906858891,-0.09406674956498415,-0.08368888950851557,-0.07490406537462851,-0.07344521266875768,-0.0698919816297578,-0.05360992825584774,0.009672524505014513,-0.08481513291926629,-0.06244471229450881,0.017782431612302974,-0.04540109367320179,-0.09315169227932732,-0.059182070066590056,-0.043213179928580765,-0.013339348524721413,-0.07137484803602179,-0.01746727900270817,-0.009816438814290833,0.07924013387129727,-0.040601915914583224,-0.06365068000344029,0.07396396139119854,-0.04691276989117742,-0.0788007994374969,-0.0930120096986774,0.10520433880451927,-0.10925205980040487,-0.08729841345947231,-0.02865842232418852,-0.021295331680473435,-0.004469177073895325,-0.06468317245015094,-0.003755132340003366,-0.09792721145386785,-0.013794834917971847,-0.12370998443413189,0.3970418037595044,-0.01593482127922795,0.2540492472640289
NH4,0.0637370225349735,0.13115700294037477,-0.13328754152944355,0.030937010126916662,-0.015964115259250282,-0.11174136598054644,-0.0734942518772532,-0.013505447040359733,0.07772477051229208,-0.048993149672667435,0.16604121068567307,0.053745788640788106,-0.11612090723250967,-0.10291541393699032,-0.07808881719057893,-0.10325405037136744,0.059508020579727254,-0.10722597730854036,-0.0608877280113829,-0.008211336487844145,0.13397384103889082,-0.08077677698737287,-0.09108850591462765,-0.010798000536742222,-0.022061921531014467,-0.10270990420694028,-0.13603108433773353,-0.004236667398120314,-0.15223261311714797,-0.13048219961778437,-0.04366391328106298,-0.021916657112156696,0.012749086541366951,-0.08682714486455323,0.012195937724726427,-0.026802107436081295,0.08436232062175755,-0.061754234526675535,0.3016415756078223,0.004568410264273492,-0.006331305810628493
NO2,-0.023293070707309092,0.10850984244562734,-0.11703807005963338,-0.09125023118859278,-0.0757276154608707,-0.11038756569013788,-0.08442769171431269,-0.026329915836401423,0.028798796145531748,-0.13391787222546558,-0.045021345114335636,0.03708179737857604,-0.05435839491051461,-0.07788288385098015,-0.05882563698043948,0.014087494252308166,-0.018317533339554617,-0.10588109402836954,-0.0014132796037566314,-0.0030442855977450543,0.08411420861924505,-0.05416941413992393,-0.08768663930469396,0.04919823822625735,-0.0462953060380426,-0.11266574121716678,-0.13457902643603048,0.13872795367915414,-0.11019118482932358,-0.12732505998709168,-0.0029967657828111898,-0.04581683120460844,0.020622891386064685,-0.08378322470667902,0.011762031440016755,-0.10581980346669018,0.06944069682591758,-0.17269413098987296,0.3100868655613091,-0.004713221551758702,0.17149516061670078
NO3,-0.05816385852813465,0.11451171858193135,-0.09344128589698766,-0.08334899572560023,-0.07469982824968008,-0.07263717366295053,-0.06946984847463655,-0.05393251027154605,0.009326240203588718,-0.08377365988020946,-0.06257905227415894,0.017412622790164624,-0.04513503705301358,-0.09317174451848581,-0.059037640903432304,-0.04406712813190735,-0.01322171171577688,-0.07061304607303313,-0.017692906601713534,-0.009905394214100983,0.07895674678777927,-0.04027051502060291,-0.06308461850765308,0.07419251938086871,-0.04680391633753593,-0.07803090936899115,-0.09207645159273672,0.10437307935614343,-0.10895857572777987,-0.08640328638780098,-0.029017203725768506,-0.02082875897100156,-0.004879860438466896,-0.06419750745720286,-0.004006582933814713,-0.09754555628151249,-0.015159774614806717,-0.1225716462534178,0.39749519630483343,-0.016083064117401,0.25479206563062284
temperature,0.180222675843009,0.004039027457797926,-0.0918847181211867,0.3475044749700811,0.35551180734619187,0.20261821067471542,0.3538598996982483,0.29630174691393585,0.01930466013646178,-0.07684722310091814,-0.04689653419668223,-0.0947030843863125,-0.23589570036386442,-0.19740427442053265,0.297785667985088,-0.3593081312768409,0.005252065617188575,0.24765350469591083,-0.16644110309296026,-0.03873987287801013,-0.24442319600611306,0.2330541734314665,0.28507429875522133,-0.07213121486955229,0.1790820158935782,0.1746882288915016,0.31111253261202837,0.02021590655052006,-0.05901510322276135,-0.034135025513969845,-0.059109773631553175,0.022720514096372227,0.05718919056400837,0.29278353668225054,-0.41081378134268837,-0.04807752632636862,0.17055510172495195,0.34450489701376397,-0.3508943976265337,-0.022822044748960615,-0.13975624549170718
salinity,0.1246084438822867,-0.49878647447248636,0.12079431834530469,0.139393838246838,0.2370508101568397,0.14600733922239725,0.2388829572748336,0.14082187909892752,-0.0921174950783771,0.11574016137317866,0.14959095208788786,-0.2374387154438536,0.04762102977652416,0.04527627962616515,0.08728001101271779,0.11628640838478672,0.007601673445618486,0.15268676178008872,0.05732250128327685,-0.007755718048450842,-0.1426454879264368,0.07467578567742876,0.17592963888907975,-0.0848417818356374,0.08684447807435992,0.24707632465391768,0.19529050595838893,-0.3673227230498369,0.2015230462338463,0.05028122472371893,0.05764894806861703,-0.15300030312731963,-0.03823879801313442,0.1780899661789232,-0.03985167831464827,0.3669692303293377,-0.3974815099486812,0.29887557440559687,-0.5847714207049761,0.062101102514413864,-0.38916635288711077
Chl_a,0.07761592662488556,0.1330671247268529,-0.17875082694366445,0.1804232289836707,0.1433727732470374,-0.09864909344894962,0.03472275755363964,0.15343606094181478,0.032887520776260136,-0.18089418274976893,-0.019382787607064158,0.13925968612144168,-0.10610479662330952,-0.15871877109108723,0.1951423731725856,-0.17231125395812913,0.1408611648241177,-0.0890932347398814,-0.0685166603768625,-0.01620404980754514,-0.025926463267744213,0.17230441346615086,-0.05217536705386514,-0.03221039031313542,0.13604238788606893,-0.0856826255089535,-0.09849742567424102,0.2742774135085616,-0.13506150580460996,-0.1155402855539257,-0.037767371987933576,0.17979597838332417,0.01386456248104589,-0.02595610983887819,-0.17436139635042366,-0.1782605754342777,0.15343960079731167,-0.10629675469173111,0.09159026159074829,-0.02625554451735126,0.15665867076703377
Phaeo,0.045733327288241615,0.09272592663551907,-0.11106579142348136,0.06339679906771023,-0.016478763125608906,-0.0651877033006033,-0.025969210874354682,0.3506731139178867,0.04493942957612615,-0.11531799996251199,-0.024924572395707494,0.02156679844621031,-0.06076958003759687,-0.09748849678849639,0.1827337520319365,-0.10149281789668288,0.20659163324762286,-0.07190956013864368,-0.032358035994133116,-0.013881636652506036,0.04053868930085695,-0.0027136356204881485,-0.03493934018896603,-0.026316248966261287,0.09244486504260549,-0.06589267820035982,-0.06595050490865584,0.15912460258963151,-0.036648352771388684,-0.0745328554664477,-0.011642443162038793,0.15160814832521433,0.1076944974853418,-0.04235825277186139,-0.11466021533451565,-0.11285157335830612,0.2278864218072123,-0.08402822571419916,-0.020322418959123345,-0.01220389322237747,0.03355159305175099
Chl_a_conc,0.07757738151433266,0.13689128480606194,-0.18022180035367552,0.16867503061360978,0.11587356132412582,-0.1005184456776285,0.022091833106005602,0.22406806255295095,0.0398156200025922,-0.1831762158007269,-0.02304182979808937,0.12275708672817956,-0.10557663091316151,-0.1597177668702445,0.21345186868767427,-0.17221550350759576,0.17436860942054783,-0.09432321450753234,-0.06630546889482038,-0.017373398165798682,-0.010749807739923057,0.14389914552226715,-0.05328948651027536,-0.03418770960200781,0.13931243245283115,-0.08982561350791371,-0.1005983687023549,0.2734655946145823,-0.12333036402987459,-0.11723618357745835,-0.034865818510273004,0.19211359736531858,0.04089648137056035,-0.03329598115988376,-0.1775137353967722,-0.1802954296174873,0.19071257333398484,-0.11205663073110717,0.07136186470441844,-0.0253550532333415,0.1406182108005551
f0,0.17357335142934815,0.2539763613188545,-0.2870213229040304,0.2962710047483673,0.227214456340456,-0.16117532008702723,0.05356727924011363,0.14188119955480516,0.09688427979670812,-0.28067169821595206,-0.025309533018256735,0.13092014239997385,-0.15726691716575036,-0.24451733220172628,0.28520404416518597,-0.276029466308605,0.11508944417603953,-0.1417004248549966,-0.11217196305142202,-0.026951335315589943,-0.005102131261254677,0.22743104782883355,-0.07045453729798765,0.005841750461626766,0.1777042744121114,-0.13728450306471812,-0.16877755686322152,0.3459148767475768,-0.17924517379999122,-0.18791670145175352,-0.04344946113473367,0.0689462650881064,0.07983855306862365,-0.030838817528408134,-0.2743170641429127,-0.30270185816142064,0.3079031963753051,-0.17215417858450766,0.21557667624841714,-0.03583758606756034,0.264888276999781
fa,0.18144082576847725,0.2599349650491273,-0.28729232168946606,0.2858955439498133,0.20201990405574077,-0.16294293227707765,0.043723877177315976,0.18147003568107833,0.10745252666060401,-0.28097920472639365,-0.029306431799986418,0.12251622184513303,-0.1573815326232199,-0.24373249402527125,0.2918967109273536,-0.27328916951865934,0.1192045568857002,-0.14680476630099148,-0.11198352767263571,-0.028523586579505787,-0.000915816675858409,0.20114010226949974,-0.07302159925863212,0.004428314648731723,0.16570789449224113,-0.1429319564937878,-0.17125787801951148,0.3399519830331159,-0.1638457648066702,-0.19087917453024986,-0.037808646550089156,0.06738228030538523,0.09999871186577762,-0.037791138116278086,-0.2760256823517151,-0.30552570551991104,0.3340062593518893,-0.1734716518720634,0.18884850769070902,-0.033978311848360344,0.24315938006093313
