,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
PO4,-0.038880375776657074,-0.013831091625030146,-0.11956181577446402,0.10537212826854601,0.17940086975540293,-0.02711970233770141,0.07553933000554278,0.12294259507697029,-0.014893201901430753,-0.06300886467896259,0.14310718599166172,-0.04338620028094019,-0.08996946475217335,-0.13854743432946146,0.025244704694829097,-0.09332444922828478,-0.11068365869066926,-0.0873308920044685,-0.040648624323383814,-0.00593774572528709,-0.015797545581163527,0.1515118438754452,-0.046110662621329686,-0.14429258875100875,0.0560143647961257,-0.05382502160034209,0.05725861646986111,-0.09802869027605063,-0.11164225101481141,-0.13230529880738778,0.024829238367888543,-0.03664139836178876,-0.07545945140221022,0.07557130898068418,-0.022509732102868996,0.024347111404367294,0.06892665480188136,-0.02719901638673685,0.030966637998604735,-0.028934555986858818,-0.0505137719629898,-0.11001793778675573,0.04423805288899999,-0.04888435411053106,-0.037970788104526226,0.11136696083592812,-0.06072740338133609,-0.011384190337100778,0.0019214973530306142,0.2390089335127531,0.051849923531288464,0.04709967011230856,-0.02451095950988395,-0.006864607782355809,-0.1251851058073581,-0.1016168726160729,0.09740956614306592,0.049102326018609484,-0.03169864835949629,-0.0998263158773668,-0.07828728636592935,-0.01573034348315881,-0.09782553087141452,0.11461933369780754,0.012596959951225834,-0.027236737805479392,-0.13331760706290657,-0.017253454664087335,0.15274144733771783,-0.03670572640532192,0.10904963879910223,-0.0054667205764674055,0.19226364573867266,-0.000983918340188903,-0.03129457109262892,-0.06155586643699727
NOx,-0.1106421002121036,0.048025591717181154,-0.06792966828672245,-0.056424208537953394,-0.07993767225477261,-0.057930298503518676,-0.06894945967369492,-0.05306919679274323,0.012421962033379266,-0.08168782554765633,-0.06041176770812154,0.10133586258586444,-0.027728808090026563,-0.09083542482750331,-0.06057636557841298,-0.07457312815411996,0.035952213611825976,-0.06741484986103094,-0.049231368420357594,-0.00991813265975064,0.07885567711684494,-0.039152684316023215,-0.0625923198716023,0.07746267595047422,-0.043024321815897174,-0.07145302069083581,-0.13180508135319768,-0.06930709965525,-0.11342854753790578,-0.07789519170248524,-0.012356811406137643,-0.020884427922034574,-0.04513605633157687,-0.121439132922433,0.014758207296453718,-0.06841280693698978,0.28133217737546945,-0.08350744497731297,0.398020589031151,-0.08813844494679385,0.25108494121737046,-0.06929558445503481,-0.011731379853887634,-0.04491263626282205,-0.09761187386789058,-0.04543806472726518,-0.06041472259166412,-0.05727954757741201,-0.02287260399953636,-0.05829217201942691,0.04440934577532371,-0.034368015912456876,-0.03470712677901415,0.05866510951059639,-0.0577674709740782,-0.07287380172116428,-0.011280702595016113,-0.011424273910912691,-0.033908693396431294,0.08084337075453853,-0.1034285109117711,-0.03843625757206566,-0.040381955155645965,0.10912553461156208,-0.014846259359105812,-0.0711568843510378,-0.05548048579106318,-0.0360684262617772,-0.06412036880504367,-0.08378520616723537,0.019988893221479093,-0.04990513807543477,-0.07081007774580536,-0.005643400936002291,-0.0197546081019255,-0.046705254503454544
NH4,-0.1277958627803505,0.08289692509988064,-0.061741034775894564,-0.07700898249951477,-0.032340960098493035,-0.08006334347138633,-0.07240369564564932,0.06625462521871847,0.08000046752465967,-0.060962368498820266,0.16380937938382573,0.049993703494682504,-0.05809008680548495,-0.1369698499495075,-0.04624172888706808,-0.11918809700117507,0.01697178191125645,-0.10704733528300563,-0.10806169609068893,-0.0104199267305439,0.1297916352127543,-0.0788076898843764,-0.0897710730433865,-0.026938069765784736,0.053270475577623544,-0.09376393641537831,-0.00523121860466228,-0.10525614402962552,-0.15949612397790158,-0.1169636928023714,0.05948146112094217,-0.02210898997739682,0.019611969232154004,-0.00666594373144282,0.022796721427656236,-0.039180741274765625,0.3071990318988308,-0.06870557118123408,0.14983320127027086,-0.03470410156328882,-0.009698781234384566,-0.11003006491444964,0.034831578554514166,-0.030644937476515165,-0.12497307729464853,-0.026431571873227224,-0.09955484960630943,-0.006887975843388042,-0.03421444557159044,0.032123209207194116,0.11410623222069385,-0.03448503124859099,-0.043007661099415354,0.002911173847594352,-0.1064333162612387,-0.11066037488358163,-0.03271627663002016,0.14809021760991814,-0.0065900278634450395,-0.02317504932714918,-0.13021802103572197,-0.0501729886597867,-0.11885599508122088,0.4558700398423313,0.005040303816261079,-0.061069285589678834,-0.034934387472238614,-0.07059421008457539,-0.05691523314117761,-0.06215287863449187,0.06821332833368195,-0.06726685617605922,0.07387979404985622,0.023428129364327296,-0.07708777808492616,-0.05444772449395781
NO2,-0.09513647995759489,0.1407815217451205,-0.09058520835568767,-0.051760538465103687,-0.10182270324034948,-0.04157115992321653,-0.08284900515914642,-0.01612955596357781,0.03077944566767974,-0.12567042686651014,-0.042784309829560885,0.13941679162518844,-0.01066673346358116,-0.12879742143383216,-0.05159222844252774,-0.07323293276428301,0.0772133095244719,-0.09993558040349909,0.0035912760273663696,-0.0036519902688218284,0.08296015593489407,-0.05313190825488751,-0.08521143786688229,0.07049094823454974,-0.02069640027245052,-0.10155193407008159,-0.19470901965687493,-0.10216000461440393,-0.12393448027684272,-0.1170458950925445,-0.018158007139122988,-0.0452784613485556,-0.03524485422358219,-0.14718890508932042,0.01974376611087728,-0.059265482618619136,0.271551796451341,-0.07308670500933226,0.26741366975690184,-0.11322609043693735,0.1699471215466442,-0.10380968158123846,0.0745746262339905,-0.023688233799978753,-0.14088001634267286,-0.04673622027472554,-0.0529120187856061,-0.03060213061687616,0.0023455645107022544,-0.0268036623762092,0.04518024668442079,0.018144582523442844,-0.0378659641178971,0.03324735827340124,-0.09775146330731191,-0.1085429744597199,0.011324610771627087,-0.00975172532172461,-0.04811774419749853,0.09722362234388651,-0.09959656019351319,-0.04715515182199995,-0.043175511031585206,0.16974584675522184,-0.004006643178903748,-0.10750304703019223,-0.059760220393443184,-0.04648041171029336,-0.05824124613125272,-0.1160327988696904,0.03928796960982425,-0.06060529160786894,-0.07699086680050424,-0.010758092351224137,-0.010233949015331825,-0.05116070656073016
NO3,-0.11062167984155177,0.046343390882269894,-0.06737594912928051,-0.0563592358139353,-0.0793663918904681,-0.05805821278368139,-0.06854042228682539,-0.05355562590313072,0.012081620265744492,-0.08074042078187277,-0.060554707622992206,0.10043778275725397,-0.027945309340668575,-0.08996603459344212,-0.06057350848400714,-0.07440612587549089,0.03516683108056202,-0.06669650901559407,-0.049994700650107145,-0.009998318597655861,0.07858621163977067,-0.03881804183292986,-0.062052779373238644,0.07738305031457565,-0.043290516466820736,-0.0707651503457534,-0.13041204003379148,-0.06857836214304561,-0.11296353651669153,-0.07703869815311767,-0.01222782907949923,-0.02042104356525589,-0.04518770081096196,-0.12069736339276416,0.014636840116022107,-0.06839277656889356,0.28078161332878115,-0.0834704668126835,0.39920570996136384,-0.08749245327768429,0.25181147274000104,-0.06853893534481315,-0.013153208942254281,-0.045155470411428665,-0.09663601165275242,-0.04530073918865794,-0.06038735898401737,-0.05758266693052898,-0.023238631968884704,-0.058673639025717775,0.04428350325340034,-0.03516391172910963,-0.03456578005054027,0.058943519867536584,-0.05694812074002757,-0.07208862967897822,-0.011632246321933399,-0.011423368477733141,-0.03358351403848406,0.08036237746868816,-0.10323007705913588,-0.038191913569222774,-0.04023232854852414,0.10782854842427589,-0.014990844142953876,-0.07036468941947877,-0.05526748575702865,-0.035801623223742474,-0.06405627822262125,-0.08302985056546358,0.019613481057750515,-0.04959831906211244,-0.07052613887819525,-0.005543029066037566,-0.019864532682820193,-0.04651160312851244
temperature,-0.08224790763903257,0.022361663413268236,-0.056816610452255785,0.27592713527109647,0.37071728972438495,-0.02762367264987884,0.3523578604960119,0.1828154847277475,0.013002400964142777,-0.07819327201394144,-0.05148248196321161,-0.09804923741855452,-0.4002872762945423,-0.04918077961191433,0.27771008016823484,-0.2163007891573273,0.06415719024568856,0.20034400988781967,-0.3524918860580773,-0.035325292536570255,-0.24485087023091048,0.22822800198523374,0.2850965744039506,-0.04922829005727612,0.10410330323822632,0.1697731174653826,0.18374710858469395,0.2405712582259587,-0.021704796413109614,0.07174438191478794,0.0035631789461055335,0.022892168387713012,0.11198376053247194,0.3864261245570014,-0.30958223856940836,-0.05257187182702074,-0.27708937923904003,-0.19561515816899797,-0.28930951710745634,0.06909435228776939,-0.13696395542930356,0.28085823192579074,0.1546579572228727,0.19004755373706134,0.35569129095165514,0.17713691768885134,-0.05864373779521698,0.2967549177256972,-0.054514246969235534,0.27193737985082755,0.032018837245966485,-0.36797137901519594,0.05674021107349592,-0.06173440823623605,0.0051734664665993675,0.1970640554973429,-0.17160652004916763,-0.23665004744532075,-0.14370175180342448,0.04722787695499147,-0.0860492351156815,0.16006230991888487,-0.2547759650931369,-0.2769721615633503,-0.022561740957553342,0.2103920959362343,-0.049880798443880686,0.2611623925369617,0.2706272954206801,0.2786248963465695,0.12071101680689358,0.24603634623353518,0.2782385573129874,-0.07112989246161197,-0.12794599046721675,0.13992264321020528
salinity,0.192162232876523,-0.33994393354616576,0.04022911092001952,0.0946412002323419,0.25719943166231446,0.18945831523872464,0.23783337102715876,0.10901013927143542,-0.09049556434877132,0.11762860745947437,0.1418990060302487,-0.28711030515057495,-0.030372295587038366,0.050568523886729506,0.10946276434047375,0.17414825370457304,-0.08345626972616356,0.13185142003251155,0.11116598124399825,-0.006190264463067817,-0.14104645896866508,0.07341591362400905,0.17242169275284863,-0.06371619564348908,0.060323492459502887,0.2318871026184744,0.2673119997852203,0.14670949611142228,0.19176524264185937,0.11304868478407688,0.00790242033336977,-0.1526700328125341,0.008054417205339488,0.31965157509137154,-0.04305626779267284,0.29948840472963334,-0.40173888751923253,0.035679454513838804,-0.5645664613634671,0.28753944683753874,-0.38851036993772553,0.1615570175302981,-0.35290480256085893,0.06489488902764737,0.24035070059027072,0.08377777410267176,0.09394643906927015,0.1661612908625681,0.04740489974371795,0.19869747917233632,-0.37825873052220627,0.1482557479808153,0.11198298080453102,-0.07869018831209706,-0.006023292083747732,0.14863445713599516,0.056933708546737447,0.04055817705379389,0.040682207439792395,-0.35114970347816243,0.10059918196167844,0.11899856883396645,0.033933958638879276,-0.31525237548620855,0.056870226561040745,0.16545241652681394,0.04559333894829175,0.03680123548570707,0.17190602882080724,0.17527759168992357,-0.3311704409048617,0.1463977496399001,0.10814719694379935,-0.20720840933861148,0.04330765187256661,0.11542447869954581
Chl_a,-0.19605810134054535,0.133791120336444,-0.15059159706088524,0.41169343480757115,0.1259895389401839,-0.1042927375834306,0.0351080122179606,0.09651864545303343,0.03260975650258461,-0.17620984156799757,-0.021125536806386996,0.165791492011798,-0.17356359726409964,-0.12407153923395643,0.09644109696179924,-0.16986766495890304,0.06720972160996676,-0.09096283940571065,-0.17872945104775606,-0.015845563985808914,-0.02800299918597151,0.1564820241961083,-0.036791647522874824,-0.04637560937218023,0.02290632609664131,-0.07756586072989746,-0.13874339765254368,-0.0891266723900064,-0.13690121278435555,-0.08293692657301116,0.13284839621843264,0.1798307385438324,-0.010573517146885352,0.004295199980664841,-0.1345762568153432,-0.10918751024453453,0.006816393535615493,-0.12886392667601973,0.13734758750123116,-0.1522878019843624,0.15901817525776413,-0.08460812058047769,0.26084846672320183,0.17664413763718773,-0.05330667037226126,0.12920296185721414,-0.07245891741046474,0.1475398702483377,-0.031478674427097175,0.042217519704204225,0.11149298071546655,-0.16240325294853064,-0.04485104560939406,-0.013856020258981729,-0.09727763121692455,-0.09874121596526743,-0.07581072504066422,-0.09612659244129494,-0.062267702161216534,0.2690494546962313,-0.1685219411714746,-0.03662743824312596,-0.11312166286543551,-0.01189512568526882,-0.026314950625846958,-0.07946946233972196,-0.03455807337962362,0.12145971139302908,0.14506104109313472,-0.027183033580699536,0.03586385322189607,-0.012249181592048302,0.17796779732939844,0.1352431775212644,-0.045802814543520795,0.0032544914911193995
Phaeo,-0.12752609926662992,0.10925631624053592,-0.09606753322928244,0.14986145508749,-0.026650360693787983,-0.0028409695590156728,-0.02534304026290888,0.07779261111241784,0.038367731913605915,-0.11134064923668638,-0.021740345663478378,0.03475762711989193,-0.11099756249906816,-0.07909831177232271,0.038506064689736594,-0.09952416775061362,0.17369283227219373,-0.061080002075794525,-0.10602360705337241,-0.013428148507601684,0.0395208539510271,-0.01021076335643374,-0.037703639672486966,-0.03193955061580589,0.015093105790847567,-0.05948891448355319,-0.10655865126171776,-0.0669279201570353,-0.06388978517227387,-0.056793598722454056,0.1964577390513339,0.1514671897486165,0.02970123363850346,-0.05009841586475873,-0.08741703271689208,-0.05898626743694167,-0.034079795543777616,-0.08424161942404404,0.0012942673972643436,-0.10457657720271209,0.03501687805855996,-0.04840454858747967,0.3516468045011334,0.4014639176345287,-0.061970689985481206,0.08844030656705715,-0.02958140668173019,0.3218733311386561,-0.009152673856890736,-0.012555294636997524,0.09444803750097006,-0.10120128363842301,-0.02500250868868076,-0.01347951017471252,-0.06616314256029689,-0.06538557101974504,-0.04881679382014252,-0.0770769711532119,-0.04097682896590939,0.14628583132243064,-0.09863230013051391,-0.02211271400915166,-0.0732021958226362,-0.033574955002412234,-0.012544029988879723,-0.049974441104762346,0.09277920660344427,0.038147314893139654,0.019656638310799352,-0.05538537717940537,0.05039433928472664,-0.03312058678365647,0.07569546437174941,0.036594545466350145,-0.0044644432036830845,0.07602511950166212
Chl_a_conc,-0.1992218398154328,0.1419899693372793,-0.15250958091846428,0.3862992431836773,0.09851826446323361,-0.0883176084995062,0.02258534181053887,0.10215457543871916,0.03779707150637528,-0.17816351027072017,-0.023639649693744144,0.14861216905365066,-0.1758489813365816,-0.1256378534542178,0.09141618338159448,-0.16962945815681524,0.10360596890368376,-0.0929504504397339,-0.1788340056305489,-0.01694927390997922,-0.012769424494026625,0.12858065373130656,-0.04112702993015547,-0.047606056111271215,0.023328576353596593,-0.08127244742637951,-0.14541413088633687,-0.09299788015246879,-0.13227555918127262,-0.08504878815514039,0.16488934524854199,0.1921044804978516,-0.0008064831740133178,-0.010005152674041161,-0.13671577536067744,-0.10767984624126198,-0.003536894407688588,-0.13105802057267,0.11564442251663314,-0.1562451365393169,0.1429969203284692,-0.08417250617476427,0.31449709509326734,0.2573482197910195,-0.06158295609916617,0.13248330621674592,-0.06886034275748465,0.21129438973654363,-0.02891052182617318,0.032027380766172696,0.1192493003138704,-0.16381929072211393,-0.04444165872020811,-0.015293157910736271,-0.09963221352138556,-0.10064953182130419,-0.07689976327231111,-0.10163105317494765,-0.06340148393781073,0.26558910935925395,-0.1682575249889594,-0.03675347504287087,-0.11484442361139283,-0.019106630002273924,-0.02549732784486743,-0.08028550096027685,-0.0038027776732071153,0.11231993283827779,0.127107931904603,-0.03786507481727664,0.043796003272491876,-0.019280390951023237,0.16995516204497307,0.12346824527692296,-0.03966085245140998,0.023386260160265265
