,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
PO4,0.12854581908010826,-0.006768543664920967,-0.13619788559418045,0.14596794365889898,-0.0427184292539091,-0.10245822753005596,0.0772304388250836,0.1253209266503273,-0.0164438421476384,-0.0675377399692938,0.14092228161364942,0.007053975761262902,-0.09380333215420622,-0.028377221042276076,0.16285255428327994,-0.0809078248327922,-0.025755879039366485,-0.03986417636252649,-0.0376069092532064,-0.005854195705743408,-0.012751774425016075,0.15214836307022583,-0.053825517976147555,-0.1471550902481366,0.05360380149731506,-0.06224665946117909,0.03737918812002156,-0.10350242138909624,-0.06790840305346729,-0.13925601562235085,0.024935836133483165,-0.03633509875173126,-0.10365357095377309,-0.017701773382860834,-0.06811800942528526,0.033024807846269585,0.10717723785419445,-0.08027242297924835,0.03904460415315398,0.012767096360838672,-0.05405471189671979,-0.12598021661897396,0.10079802382498243,-0.03621581640223001,-0.005327920704671997,0.11283209234392841,0.09242419571435305,0.04378215286827254,0.0017771023886248413,0.23958921948275505,0.04845133299322742,0.09739602678910311,-0.058488343591284804,-0.009663581868772222,-0.1405745705219103,-0.09857804335379924,-0.03570103068737291,0.0465211871652927,-0.030502715745000464,-0.08260205050275415,-0.03297488313244433
NOx,-0.1180190223394242,-0.0057823439942611575,-0.07407830151001446,-0.060742080885537786,-0.09831141785340802,-0.07313373849675762,-0.06755174772357672,-0.059586991505495686,0.012579404501286326,-0.0833041290688308,-0.059943865011266154,0.0315089358787901,-0.038735358770400574,-0.083425664326814,-0.07924759147840992,-0.09609557337315595,-0.054586149404088034,-0.09393564295757877,-0.044291303358764474,-0.009801583457878016,0.07688679468609255,-0.03970766807342481,-0.06609429900294314,0.054587201321482884,-0.04303238623483944,-0.07795957103426986,-0.1252677667599807,0.16935342619971971,-0.09170383179356698,-0.0870479392753275,-0.012516876475328908,-0.020869764156087565,-0.013073599822215693,-0.08822696035810333,-0.008338468905633386,-0.07165768238925921,0.19097904170751928,-0.10344224626633282,0.3990374253886045,-0.015149842226660066,0.25786050834651186,-0.08414456693852188,0.02006405450032231,-0.05371008207590112,-0.05152067739463878,-0.04616290277124188,-0.05772803929948969,-0.009863882722073836,-0.02283842995088367,-0.07914236158074882,0.05125625302869756,-0.011469411059866633,-0.06470077606334015,0.05384555447489435,-0.07471622177553723,-0.06977012745856759,-0.020202803329486967,-0.005928862954806587,-0.03527274384737954,0.03152887820507362,-0.04602722491514104
NH4,0.02054566030016141,0.026279378879774128,-0.09497205997201266,-0.057767388006574875,-0.12658333727109178,-0.11121315790725081,-0.07036804037555552,0.05955386743132305,0.07960853518168531,-0.058896732693308154,0.1638423102517989,0.07284253754233022,-0.11561139667373703,-0.07055961266127911,0.04849932110344547,-0.13376338834710902,-0.01316815843302913,-0.047639904682056346,-0.10540066832736039,-0.009217492967119047,0.13082309929893535,-0.07952805480527839,-0.09288099009207008,-0.032328950385239245,0.05077097727440846,-0.10134411410856328,-0.02018519003277266,0.013005508437554103,-0.13060651350012886,-0.13396969738955247,0.05949544846271522,-0.02205273702496413,0.021746351574965544,-0.06468285661444087,-0.021012613735923377,-0.03693354181450876,0.4597547207247398,-0.13083737013592367,0.17161420735415994,0.005321947091499546,-0.019543848430080446,-0.12842108385639361,0.06583090992209836,-0.07124516748156222,-0.06832789899652739,-0.02618467715213,-0.07613623954767844,0.05587440882815425,-0.034640578496701144,0.014478059353623717,0.1268687098722669,-0.0351917230688035,-0.10363681429050942,-0.0013010217593900416,-0.0994315571972218,-0.10716261312733455,-0.07593461058412528,0.11126513854861182,-0.0007295799700350256,-0.021131736854031954,-0.05979243176296981
NO2,-0.13018387915862634,-0.01636577466309908,-0.11248418817423406,-0.06253159884671339,-0.14165313950435843,-0.1092833969665605,-0.08068901016696384,-0.02405553835618996,0.030747865339470312,-0.1263960175016292,-0.04180630014331724,0.07165923305011619,-0.03936114139378469,-0.07153680858742942,-0.08063710070141628,-0.08754245042542769,-0.026180586354699692,-0.12345902751049981,0.01080065905743992,-0.003314568586112172,0.08099395175873092,-0.05344442587705342,-0.08662671368957717,0.04863765053300492,-0.0192568231652295,-0.1101719653934164,-0.18477780647431985,0.1775647363645876,-0.08330342881967992,-0.12719072027799933,-0.017948080346100216,-0.04545572332986794,0.013752283615270675,-0.12646768847580075,0.003648094905485265,-0.06022975503769315,0.251530042412744,-0.09687675632562262,0.27351758354600636,-0.00413645263595174,0.16241535583028843,-0.12338519511248638,0.05379142900564486,-0.05479173383271439,-0.06156363588983762,-0.0468308921280563,-0.051877149098774854,0.0812010048815007,0.0028795321039965004,-0.07860581086017424,0.06864394325073674,0.01194392465238684,-0.05800810099699817,0.027535930054507017,-0.09787290132222376,-0.10265001297644055,-0.010891027244789391,0.0019297238638734896,-0.04877957863814615,0.05933950245314839,-0.054528849063720554
NO3,-0.11751444089623359,-0.005589636045733993,-0.07324403707330918,-0.06055759221257183,-0.09733254000827757,-0.07233982410951506,-0.06715908435364984,-0.06003316881326415,0.012241841878422442,-0.08236759769501523,-0.060096574085135676,0.03075353029478648,-0.03862637879382564,-0.08341358739205179,-0.07902279502257897,-0.09599518681911301,-0.05492518163859956,-0.09320030833019752,-0.04510536125468165,-0.009885780655117226,0.076622288510373,-0.03937569320078104,-0.06558095531719971,0.05454852597148636,-0.043322909382519315,-0.07721961459711063,-0.12394842605359199,0.16878486478278582,-0.09161203910494581,-0.08615149548414416,-0.012393710485203498,-0.020403188924010204,-0.013491575513735792,-0.08735951191255518,-0.008518886067118545,-0.07166776366782682,0.18947517257978738,-0.10328975499712253,0.40013439834400244,-0.015296578216094764,0.2588104642863829,-0.08327067670958464,0.019445770674264555,-0.05355537292411615,-0.05122080599968958,-0.04603433414583889,-0.057679721368823954,-0.011370501748161054,-0.02321295119245843,-0.07895022847083771,0.050833517044764354,-0.011834065890787275,-0.06464889401014562,0.054151215893812873,-0.07413682404586502,-0.0690397592523394,-0.02030807535977333,-0.006045973047011778,-0.034955908564545946,0.03098097236593369,-0.0457672412270971
temperature,0.3800880812991395,-0.05979079892887393,0.04421893838288122,0.29406944011212566,0.35663056526864906,0.20256533374031233,0.3472207169050746,0.2071009972402312,0.013486735206968796,-0.10771375887393403,-0.05110897325293894,-0.12888030334528605,-0.2599457722737886,-0.21113504702024527,0.31599067847738094,-0.17792349835774146,0.3015968172193361,0.11235058050255267,-0.36302599322642093,-0.03620704088751098,-0.24944516108365056,0.23059852027682015,0.29395434314856467,-0.04256190027626206,0.10595554728624298,0.1693228518083906,0.25282838527282125,-0.018465248130886038,-0.008497951285791052,-0.013061528662081264,0.003879801229226191,0.023038880980272722,0.07571757566288079,0.22560660415457598,-0.40347047083349025,-0.11363895944347074,-0.29897159570286835,-0.10385493478156502,-0.3027744956392288,-0.022913489885610438,-0.1248054905547145,0.29373893338761026,0.12650968437598215,0.26623283132747766,0.2540182996469863,0.17911751253182306,0.27901936124085025,0.13160873273996743,-0.05533907059302934,0.35082769954557264,0.031063251444334545,-0.17604013897113582,-0.04485805742564667,-0.06256471407609024,-0.1076877335718221,0.2418112036065703,-0.12548470848725163,-0.27803524888325626,-0.14576981841028902,0.06536453463710559,0.1636803202340123
salinity,0.3195000762235026,-0.22187301183747704,0.03406371063066353,0.17707364824129324,0.24525234701025334,0.14913065712124185,0.234546000396688,0.12400534472739562,-0.08944778825851071,0.11236100097307301,0.13919108742234,-0.2002916717814444,0.03437363999088111,0.0317350971126064,0.12326738028407042,0.1995907197878416,0.15203212901525356,0.28852735417397035,0.10304849573834654,-0.006937113388213603,-0.13752044460391832,0.07418434221763953,0.1766332832488141,-0.017518783106695898,0.05896484354683624,0.24450344729107742,0.2418939207467364,-0.33600358146064785,0.20430351218759057,0.057985613333207564,0.008028162547597001,-0.15258574589067309,-0.03595173249481183,0.20660871541314943,-0.04698451555649054,0.3250302963444528,-0.3703677931954067,0.095714515341592,-0.5643961447404178,0.057492075017904126,-0.38094892509071726,0.18212835971909272,-0.34678315216104505,0.07164350863423417,0.14871880644013713,0.08571555621863461,0.09799112627126226,-0.34636715302225296,0.04657688315881252,0.25779650430639134,-0.39702297820598137,0.058496653011092824,0.11917459304532654,-0.07215844413193893,0.037139672905575544,0.14611897151593817,0.04366891071960764,0.04194040631612793,0.03686686857140961,-0.3031932819356188,0.12421985246180287
Chl_a,0.027718464409373735,0.1558131068545921,-0.128022601800569,0.14883969739794445,-0.05861948178666642,-0.09821768781738503,0.03683727095396381,0.10043052891274758,0.02917859228884721,-0.18570385423282207,-0.019607798902130495,0.11660463432562192,-0.11353792254700268,-0.13334322757671932,0.16826492813167832,-0.20730449976770698,0.15620948389569883,-0.15454178281539335,-0.17300424962939248,-0.016072923028050298,-0.03157247206582171,0.15986696629521333,-0.030985935227923554,-0.06287235705250072,0.026351957860261607,-0.08464041782533874,-0.0969430672520378,0.1824755844112092,-0.12124315581106293,-0.11519923198091422,0.1354132860784667,0.17909715753703853,0.025198105944023122,-0.09911450375191544,-0.17597071375101841,-0.13623795160363067,-0.024207090186491628,-0.17238652751432465,0.126707891171238,-0.026372110187243045,0.14938941689230137,-0.09962785659990447,0.05497493813489196,0.14090297843780814,-0.010934675386590854,0.13024309266737327,0.38880591714838686,0.2529330390941589,-0.03167550360370007,0.08024063064849268,0.12044656304726734,-0.07759838273690234,-0.0791385207150626,-0.020473064305726,-0.08498987308944002,-0.08769480793002554,-0.045242926334118395,-0.11705698388478847,-0.06386403248288891,0.24922967305171978,-0.035076108356444466
Phaeo,-0.03994866613235798,0.06404398311366322,-0.08348817716721593,0.0025719690823554327,-0.066543869288131,-0.06518554945567337,-0.024161887276708795,0.08417714204401394,0.036271007384322804,-0.11739404575691828,-0.020733139308584357,0.0024100193220733127,-0.07182348929599901,-0.0877207507661697,0.07542673423743723,-0.1273256622227124,0.3429665836030433,-0.10632238797824414,-0.10248708251648977,-0.01372234137381338,0.038067166027516766,-0.009981979787138797,-0.010951557092586803,-0.03742200685541018,0.020971712095017216,-0.06384424210470989,-0.09545151731891295,0.08503730716746938,-0.04389529446671637,-0.07544335666343852,0.20055865841896392,0.15107589461552,0.120079387293059,-0.06315477414614949,-0.11328588163109238,-0.07536287109569342,-0.040827099032001296,-0.10122102146936049,-0.0038891914772035564,-0.01269538924728903,0.038077707100733355,-0.05924228743383543,0.0630094306720296,0.14081791237097468,-0.032079753368359304,0.09068371191143762,0.20240842758769872,0.3910363986923706,-0.009514742522335862,-0.026140894418074313,0.10093307060658555,-0.04997183273438298,-0.028144988236939623,-0.016989931380019616,0.010795950501883238,-0.06681743872602784,-0.0015384199327003068,-0.08653871884244946,-0.04151144639672999,0.14944670198198898,-0.005349872290302172
Chl_a_conc,0.012414352084570448,0.14819254049359523,-0.1301470988717817,0.12563829373115182,-0.06728508793980936,-0.10015572848185342,0.024357815754748904,0.10717284002311227,0.0343472372605157,-0.18777758354061413,-0.02209198881327404,0.09853542470791332,-0.11481927735689706,-0.1357632551461204,0.1617373371136214,-0.20860787705101963,0.22430244321678183,-0.15861147974334133,-0.17306734035523852,-0.017220050214425554,-0.01616065929847866,0.13148420931232788,-0.028985622201721867,-0.0629432780139059,0.027818009623971497,-0.08839424452571118,-0.10730838395693462,0.17627707915772484,-0.11369975140868362,-0.11719725845485116,0.1681565043427754,0.1913823889953317,0.053774828445182256,-0.10035681962234441,-0.17849125787879794,-0.13483578882487485,-0.03141183188199796,-0.17220484875373637,0.10530497845204677,-0.02558642992878659,0.13574587423280843,-0.09972480295858532,0.06326554247519829,0.1565344263209637,-0.017894191805587635,0.1339659007061666,0.3813627860254891,0.3185539906528736,-0.029174111013854333,0.060253964685921396,0.1285269898660729,-0.07871416405594639,-0.07407711552344017,-0.021801365179168492,-0.06840947648385261,-0.09176592402600177,-0.038395932535255375,-0.12177106654480288,-0.0648867250617556,0.24981065752954018,-0.030897154483638136
