,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
PO4,0.13625167198589894,0.06564806370272881,-0.1364238381228729,0.1734773989120536,0.2076836312619848,-0.10369897955695492,0.07437461161417006,-0.038468915936694145,-0.018493594791564472,-0.06176767516530213,0.15047307583536995,-0.07557418618733197,-0.10220857666992453,-0.04612638088676524,-0.024316043610101184,-0.028875592620519863,-0.12256277942200397,-0.10234504882437782,0.034820423835257575,-0.005249505692837173,-0.010304050166400696,0.15381621156688552,-0.05597456731335479,-0.06119296875953994,0.11885304778888366,-0.06834601054432834,-0.12155188515189669,0.058561219585012134,0.013299288087126227,-0.14192395095903007,-0.0030833200504107594,-0.03681042334007701,0.026811223976300067,-0.03811740110140554,-0.04117539224070449,0.015841903984205298,-0.04583719805432551,-0.015342219737507516
NOx,-0.058905739612398166,0.044801119631034225,-0.09279073236626459,-0.08249621507673749,-0.07605771337867842,-0.07345211002590614,-0.07060589454466507,-0.053076798262231314,0.010173825757824637,-0.08624565103808526,-0.06255101477460831,0.07488198935227532,-0.04594822129605909,-0.09428560370097142,-0.06088031638135395,-0.04404844708761289,-0.003515040227994537,-0.07215133035244298,-0.01730503530633728,-0.00983325598266828,0.07974687103768421,-0.040823364030005665,-0.06125077302351001,0.08131966839251062,-0.047172544660857366,-0.08094837448504336,-0.11539761853874378,0.41381080154616057,-0.0160256764203937,-0.08871069048834279,-0.0287026859361997,-0.020941875524466677,-0.013665408883113753,-0.06510521716418152,-0.00319731209471381,-0.09688590564643337,0.2249825543320667,-0.12279389003992919
NH4,0.06271961267778423,0.10358898228518901,-0.13272606699994854,0.037801122767727055,-0.014736049281490263,-0.11185801707231997,-0.0744851717025759,-0.012730802664261805,0.07462626831623823,-0.05046413058162519,0.16617409368863978,0.023052834598901666,-0.11668399993851428,-0.09791973121605875,-0.07957605766794926,-0.10334924207182057,0.012438194004712553,-0.10921734759120896,-0.06111912967383572,-0.008249328625507917,0.13806208391761182,-0.08072600423241524,-0.0886895733662999,-0.011722403374355355,-0.02160985333242818,-0.10694425258888049,-0.16528449624342573,0.27302674073055666,0.004751409009861162,-0.13505965484100863,-0.04370481483865504,-0.021630965065213684,0.0601608227246796,-0.09326937781761835,0.012814428285837908,-0.025961117187745242,0.00216502515834501,-0.0752862785298154
NO2,-0.02534553305665726,0.0655945815971482,-0.11675683118144495,-0.08562077927815782,-0.07709954302764879,-0.1103864826175286,-0.08542018393626702,-0.02481586446496619,0.028958669677668348,-0.13586599912617925,-0.04526830950496011,0.1296864734132482,-0.054636034448604036,-0.07767656831355915,-0.05889024275485408,0.013207031974034953,0.02148390578708391,-0.10683177567089198,-0.0012485967110759618,-0.00303769681575516,0.08552934840454406,-0.05404455904564352,-0.08543342937648679,0.054793582043377795,-0.04589237322125634,-0.11596416384006734,-0.12468712618389086,0.31547310485179214,-0.004683213319702744,-0.1301821490508078,-0.0029273628148326915,-0.04610790270451809,-0.0173782998244456,-0.08689155352918099,0.012602509650725593,-0.10383986143775834,0.15689246031192022,-0.1743218673071283
NO3,-0.05932049256223446,0.04433750650269622,-0.09215178003711577,-0.08223397830571025,-0.0758468725913174,-0.07264418771791947,-0.07017726118315798,-0.05341723421515738,0.009832010023657922,-0.08519183596220255,-0.06268271866239172,0.07376986156600399,-0.045685306757334565,-0.09432531616032881,-0.06075904820508067,-0.04489951210381052,-0.003926582443919028,-0.07138462479617086,-0.017531116310198547,-0.009922562320584789,0.07944691684881272,-0.040497225016353514,-0.060688344010321,0.08155913913030033,-0.04707417742003091,-0.0801536688919293,-0.11494806267682543,0.4144130273391349,-0.01617572122405265,-0.08778767240022703,-0.0290632666775229,-0.020465360396296053,-0.013568225268937363,-0.06457329677668619,-0.0034549347530483158,-0.09652268482571646,0.2255559711132662,-0.12161509367341833
temperature,0.18746415417799817,0.058359145067204035,-0.08905462058503337,0.3481476800928518,0.35740956610289715,0.20372062008121278,0.3570435866188699,0.29447538013327956,0.024138115906615472,-0.06897466499187754,-0.045461449097772305,0.0045869518657922215,-0.2381066981584268,-0.19481410772284402,0.30539011918771725,-0.3589649731781782,0.05849184463806956,0.2523301324581333,-0.16632078958280347,-0.03872389952382067,-0.24590594108855268,0.23372537130678414,0.27821940489589025,-0.0716531238659667,0.17964005257084859,0.1817632430302104,0.0011058712644499164,-0.33412309576544297,-0.023338250156619993,-0.020631124096097797,-0.05974996604614576,0.021109849369704087,0.006476246556594616,0.2944888152645883,-0.4114083375278149,-0.05182385098332424,-0.14547535016636384,0.35153468009690125
salinity,0.13130224957275785,-0.41800470978806287,0.11350756257683164,0.11427145975151504,0.24175462448506074,0.14641874699492058,0.24079223902439872,0.12927300721767312,-0.09522153152768285,0.12150301808972806,0.14872493083458665,-0.3789351495122842,0.048387100972212084,0.03898715345850753,0.08124069918633009,0.11785584754902045,-0.038803547247615824,0.15341060751110047,0.057141346289071755,-0.007866290968241043,-0.14405482244936452,0.07309978487120045,0.1719450283521063,-0.09936107698008743,0.0854282177120755,0.25025052707777523,0.21712290101450954,-0.6121526008012219,0.061630594714971634,0.05395831247984087,0.05770659684738853,-0.1529402890075426,0.004844530837504087,0.17466143960893601,-0.03996603492548448,0.3652462290349049,-0.39371081843905614,0.29470033750964353
Chl_a,0.07961851887932707,0.10467276443421478,-0.17563742727385712,0.182958051485,0.1405073950901336,-0.09852151220303808,0.03410119162366508,0.1560964551829052,0.03414491827401935,-0.18173459664119399,-0.01807841518182889,0.2765482319469943,-0.10692023498770803,-0.1582807915099448,0.1986075073255541,-0.172800720824595,0.01321121821592701,-0.08857492172353898,-0.06831031240103778,-0.016197394246314344,-0.026824525640489934,0.17286581791511585,-0.05134035745509036,-0.019550484225900264,0.13713511373508763,-0.08837870772452483,-0.14674819131776776,0.12333279063168939,-0.02600340663713281,-0.11605287634619613,-0.037802276649844146,0.17916384154553416,0.1426204793402381,-0.03611723114917617,-0.1742831480390969,-0.17728909595819337,0.16064586359365707,-0.11180768224962938
Phaeo,0.04538568133935308,0.09418887134528309,-0.10895711822182469,0.07021917946836102,-0.016824598565446297,-0.06518208542927219,-0.026534482617006354,0.35907370934597393,0.04654163801558754,-0.11622443693790258,-0.02496959256003754,0.16732396055368015,-0.060740568856956965,-0.09590597666912273,0.18908411637000494,-0.10172313634362162,0.10436037606758841,-0.07244498300284072,-0.032354955623176,-0.013846115456106943,0.039878499443014005,-0.0016317076665220214,-0.03592660096837288,-0.0204726776596396,0.09441022360777247,-0.06739779546928565,-0.04719118208266881,-0.003901845027414336,-0.01224116843263113,-0.07461812059817541,-0.011500080326292843,0.15040348147166438,0.2104967363214274,-0.046768639685881554,-0.11462897440686594,-0.1120359397575742,0.031994743027361466,-0.08642727305166487
Chl_a_conc,0.07916395679098251,0.11345384042727868,-0.17703545895358896,0.17265631194233594,0.11337433951266035,-0.10040982472346568,0.021416504053564326,0.22858351828616758,0.041306394079166295,-0.1841279381214042,-0.0219591398718307,0.27759935942695646,-0.10625324736936849,-0.15892018036968086,0.21808583906999535,-0.17268894600647838,0.03944224089391196,-0.09403359304977528,-0.06613141867665406,-0.01735816099829704,-0.011683021593033565,0.14466433781197147,-0.05285677697195818,-0.021973115787312383,0.1407636372230457,-0.09249767585674513,-0.13600469927764702,0.10246840191031639,-0.02515352962086768,-0.11768962902853844,-0.03485644143416543,0.1912556851667979,0.17690635059911233,-0.04302367133081918,-0.1774395644448919,-0.17925835705185617,0.14354219219916808,-0.11733440178884219
