,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
PO4,-0.025409470574993355,-0.08019035419580937,-0.011098813030410881,0.18489414689262082,0.1737063192009787,-0.08203970070757288,0.07365768231740183,0.16065061380030826,-0.059097396826416626,-0.0962916356550279,0.13517294940200408,-0.09566384226952732,0.00423532935885418,-0.04909166297187685,0.02316336970005635,-0.10225130583532563,0.05554293799660355,-0.04512022099372887,0.038497901229384485,-0.005711451075877894,-0.012510807422207844,0.15161394755253146,-0.042581844626427494,-0.13241408729173126,0.044436728650443146,-0.05501598633333496,0.20793019490709158,-0.024106364730364968,-0.08962486661293473,-0.14066759521711614,0.023537101117608407,-0.03681131371667004,-0.05052112688893333,0.0019833863421156034,-0.017283217412075128,-0.04670670196090436,0.09142884299260369,-0.012484389714880379,0.04462739297514775,0.006723449639671024,-0.05410573926346812,-0.03492508580517176,-0.05072211602564583,-0.03642646561119987,-0.005826214384808687,-0.040354957203465186,-0.005828640741464839,-0.023066508924009035,0.001981230184291638,0.07392125290372738,0.05015953629842239,0.0234600384705375,-0.009860865795404697,-0.0080827907058797,-0.15921822946960063,-0.10026125422341867,-0.08085273353590633,0.03646064841232907,0.005349315420286234,-0.08078073858636349,-0.07978819070439824,-0.0710118828037496,-0.09220981049656753,0.09837842534974614,0.012199265857752467,-0.05411896569517406,-0.10128074504319953,0.0893421321415997,0.12545936294236398,-0.08955564374119494,0.11287538325100471,0.002673532692463175,-0.034950930624191426,-0.008436935131884352,-0.029766624437053094,-0.06294664117180601,-0.1044700106461493,-0.04455005104500402,-0.01597152984369132,-0.014203124811024639,0.1060982320030886,0.0924272292757272,0.15841055423310463,-0.09616445365946032,-0.11001908608076802,0.04277911357696364,-0.0868261236472545,0.09843557929356168,-0.04827806169060711,-0.09045546198876994,0.2108898981880541,0.01534393558015859,0.017188510200888796,-0.1167056700498531,-0.08494089807837446,-0.13749731600577272
NOx,-0.11565170311779413,0.1582579257090393,0.033655276027361146,-0.07042752364045624,-0.08338511945378635,-0.06721745889331954,-0.06831001924553104,-0.08309085891460283,-0.046170705997003465,-0.07732791642613436,-0.05829929296911934,0.16048099213289402,-0.04394998572599114,-0.0461294745969441,-0.06025209516267411,-0.08620615343503094,-0.05537540743143306,-0.08510517483180893,-0.020291291505772753,-0.009606339495374318,0.07576637474423331,-0.039413861021430595,-0.07858831638674443,-0.0651157785614159,-0.03972127008714695,-0.0705598349077532,-0.06056083399306893,-0.03428520050397827,-0.10956651727117575,-0.08156474785901967,-0.012072040586159695,-0.020702425006611992,-0.03188787034091681,-0.13216769340810844,0.01680637233368253,-0.04532650972877619,0.19353430218608958,-0.08338709492698294,0.37839391184002247,-0.09808130046909111,0.26017212887271524,-0.0627784220686756,-0.005985398408439344,-0.021273290117546466,-0.10016036086916942,-0.07248902084485481,-0.049161153361209686,-0.05536553821351185,-0.022577704133860177,-0.03698202759182195,0.011498079885812806,-0.06364001109777531,-0.11788943889337303,0.0531918863198234,-0.09531068099749036,-0.07290892397754885,-0.06235299842052618,-0.011266427667078171,0.010918253623981574,0.0631502761152464,-0.10639571020516161,-0.0484498626786975,-0.03686161289552044,0.10022929787000023,-0.014896139651411533,-0.07534532337054597,-0.020681156655680776,-0.06529046624295437,-0.04731124802302204,-0.04705347736074499,0.10983268504791088,-0.04752367429172255,-0.036210943887840054,-0.0004782379573541201,-0.019853290017910287,-0.047844197377511444,0.022843140252103558,-0.029635815739136668,0.014327316273464844,-0.03552209016089865,-0.04466613004384598,-0.039464138168688975,-0.05408865013268724,-0.06563615584081796,-0.06762598065182704,-0.01876150451943453,-0.05404902987115981,-0.01117863569962822,-0.05420055367306296,-0.03947576110593349,-0.05050894326079529,0.3212949955488478,0.020043942524624884,-0.06501780485967987,-0.019239448653681542,0.07605858295986241
NH4,-0.12346396801275185,-0.0018845657100494805,0.07028628551277499,0.04611735009556096,-0.018406835822827327,-0.10664392117681158,-0.0719085875973253,-0.007779996618728359,0.020828982878811422,-0.09274163890037168,0.15460117479214264,0.024963427591362393,-0.07681519913304867,-0.053862410315067465,-0.0441158083268172,-0.13382030094010502,-0.0694857952629041,-0.08140060050876152,-0.016875932335047698,-0.009473050058051543,0.13342780214309236,-0.07927997467123017,-0.0974210286873322,-0.082438231768866,0.03996008230529462,-0.09388222423647624,0.24124203655295634,-0.044064487523426246,-0.14764043447311595,-0.12869586231576663,0.058464765668698,-0.022132691175221382,-0.004384569904161825,-0.07202558870203485,0.029511897202702385,-0.06537688062374206,0.39539644564076076,-0.06589429502142075,0.19524003844951063,-0.03160298948902705,-0.015699280888548228,-0.06083780975932085,0.00427948667564144,-0.022883170938391612,-0.12267530003913527,-0.048131325256374785,-0.06446332489642453,-0.023270276921215822,-0.03374318771885759,0.03556563136634636,0.08936916134032644,-0.03806551309918266,-0.09640683923584406,-0.00035763947340944173,-0.15362470680314488,-0.10989568506540784,-0.10128730287260426,0.13405708942427225,0.022408436528861396,-0.008494947028756703,-0.13215814663461561,-0.08019208831470222,-0.10908291844386295,0.40096216977346943,0.0045611029620823106,-0.07234879382275028,0.01113852517062566,-0.0724851727117243,-0.05932251140163856,-0.06300841866855855,0.1989954568047595,-0.06251620997941594,-0.07062416754344154,0.028114187557821278,-0.07709041946630892,-0.05660153635182612,0.018563414927841138,-0.020908571011382496,0.07861062345617387,-0.04693489907368419,-0.03268496436353381,-0.04945553145791608,0.14172363758189344,-0.10188221817389921,-0.10709953956689688,0.06477565961413904,-0.13693212509799557,-0.03358586826098907,-0.08985115339673985,-0.07223213133092667,-0.0036936203192461815,0.04685331110979325,0.06199868188232763,-0.06259961430661587,-0.04256836805603391,-0.01725913365935689
NO2,-0.107805631938577,0.12443410601597335,0.13341719839291555,-0.07173138728471477,-0.1054736533134685,-0.08881379297114211,-0.08244700645067266,-0.07025922540827993,-0.03559265736339118,-0.11916068731166096,-0.03868397951774364,0.17151052133296552,0.008802564124138212,-0.08355244570272086,-0.05277091456524685,-0.08772565110024622,-0.03966171323574238,-0.12097641600346869,0.046538880338165084,-0.003399753960287481,0.0817984521822793,-0.05337800745944986,-0.09570244610697906,-0.08100193362122654,-0.011086494772190389,-0.10071528607105748,-0.09110904907637354,-0.038124564644971194,-0.11387226332245534,-0.11733511064152789,-0.017555616369270586,-0.045308389075326166,-0.03568874674952869,-0.19174532710458392,0.023820804595853062,-0.051945294040123505,0.23783870408508312,-0.043767497403201065,0.26310373667961257,-0.10722435665033078,0.1637461134626063,-0.09626179486700702,0.018710389359182497,-0.011060356262714295,-0.1363178493549676,-0.10218711035018962,-0.020477017838086954,-0.027401326707011085,0.002386358151406591,0.0018631797050210502,0.027718721951933093,-0.06238835259829251,-0.15189871090852647,0.03025792217924249,-0.11924480502258812,-0.10841120296824988,-0.09259341383704711,-0.008497969161508166,0.04803731171983034,0.09864302503386808,-0.10838551305329022,-0.0703396706954047,-0.04250281987006724,0.14956835307710736,-0.004110303486193323,-0.11043300190306948,0.0065455078146998994,-0.08108511255844049,-0.04877910363923589,-0.07249265579491804,0.14859333152130844,-0.05590110583732108,-0.043013621681699955,-0.013888261403610594,-0.010076593531421138,-0.05369624904971347,0.06200713648237459,-0.04521069922209255,0.03278425821553452,-0.04264251134066155,-0.0463538274029444,-0.020464309554407374,-0.058156885634520775,-0.09666118699422319,-0.10075330957057084,-0.006194331906307916,-0.029381395558775017,0.01157474827107537,-0.04078567557394159,-0.06680387808725789,-0.011654976426595971,0.2074881744582399,0.10895619437882398,-0.08745345804727042,-0.00584888809611714,0.07358394378342137
NO3,-0.11548971789996855,0.15842458707550827,0.03189176135546187,-0.07022658587122445,-0.08280165377094184,-0.06668336557191401,-0.06789861342297183,-0.08309549026472407,-0.046231273285091835,-0.0764277529796412,-0.05848103747354452,0.15988758017449528,-0.044725562779922894,-0.04538278067993272,-0.06022478289313855,-0.08596148388372647,-0.05549895930614382,-0.08428551531286912,-0.021363784681885465,-0.009686316191895928,0.0754723396494433,-0.03907880830019505,-0.07810071115924944,-0.06468307100903829,-0.04010193998826679,-0.06987328383895182,-0.059893091392660455,-0.034133479891437446,-0.10921560815182918,-0.08075578386722107,-0.011949124361162026,-0.020235938626206422,-0.031742890426485294,-0.13082967810114332,0.016645674109858292,-0.04509997599170881,0.1922972023188908,-0.08384154066121671,0.3793712942206932,-0.09767822112862315,0.261132707205214,-0.062055674307961245,-0.006385562612846573,-0.021390998533943398,-0.09929762066084474,-0.07180525904133803,-0.04951865994406745,-0.05569516602900651,-0.02294020764857535,-0.03754139697650569,0.011196027547333254,-0.06349930857773357,-0.11701776882485435,0.053442431358627376,-0.09466586147161235,-0.07212646977847914,-0.061685877757835864,-0.011284356385212389,0.010266168537868318,0.06239278596578632,-0.10609181401815941,-0.047958535179154216,-0.03667303718462323,0.09914467155224407,-0.015039693086132936,-0.0745636500084372,-0.02108653710739905,-0.0648588538391299,-0.047166307060156246,-0.04650599949640673,0.10890157598148884,-0.04726197593825411,-0.036004486326314485,-0.0002514689302073388,-0.019967270266550843,-0.04762416064687456,0.02212635005186342,-0.029298523853730413,0.013980458762126717,-0.03531203910310571,-0.04452421454470174,-0.03968340406150274,-0.05388274512172678,-0.06494749325490906,-0.06689690032710949,-0.018925194942097982,-0.05432655622021311,-0.01153292936524402,-0.05428842614489347,-0.03891577217121871,-0.05103407833905345,0.32239255774865605,0.018497512997248722,-0.06447518529168456,-0.019415773469901407,0.07590688615121384
temperature,-0.015402115454870826,-0.030044406751585248,0.04146962951619614,0.3201941874071822,0.34231030723115374,0.08573199360746521,0.3493329206946897,0.331292856217536,0.1369982663161623,-0.10020845911815464,-0.057469789764024025,-0.03980205103810387,-0.41421494700042494,0.031227871799506732,0.27429423511332784,-0.19120289974874655,0.2655820378055128,0.24297457007645112,-0.2827398900597401,-0.035382955329012616,-0.251145936374811,0.22867692620127333,0.33462785424117103,-0.11087065026704374,0.10175600241906865,0.1692043192060674,-0.024169212353415966,0.05397148416008858,0.017541767740636698,0.06343725914172921,0.0027596321984778367,0.023178946621616448,0.045986959736873244,0.17757213098526145,-0.3053754543718591,0.10322642111161887,-0.24833144319063422,-0.2752046788386101,-0.30168476049346893,-0.06310777739922412,-0.12632963638585964,0.1532973666721119,0.07432215729763841,0.1487853333972391,0.3949490225935153,0.21852358815310857,-0.0876217048902487,0.31886835697422633,-0.053176865709519475,0.16790030787350102,0.07416474891900254,-0.007068113102260003,0.4015621200556756,-0.0638164812587404,-0.13192224809920977,0.19427365507887867,0.19708683267118426,-0.24535114048573942,-0.08832296110247573,0.059754128315795234,-0.06405242812908704,0.2254115847121918,-0.23577677213582945,-0.2598825393868428,-0.02255428908491783,0.2396242376769806,0.05501179855147516,0.2921925653238733,0.2568964851788549,0.01937800979892356,-0.020082908771744387,0.23442293990841886,0.2544135157939986,-0.05965586601679205,-0.1278453138522202,0.15684026307704171,0.06070081595688945,-0.11347454872072103,0.013168899573694416,0.14843835164520236,0.17414509542183332,0.22218343982203317,0.13380795956026845,0.22747580229683684,0.2593980766228833,-0.1610729059068548,-0.30312732537912324,-0.17092427906450888,-0.07308405236338666,-0.08856464154803736,0.26098664007564043,-0.24020531162292644,0.09118249666355473,-0.056030875965343285,-0.4054314958331059,-0.02670907144344854
salinity,0.21161698158735365,-0.41110652901190925,-0.27910884642097744,0.10468392782291404,0.2735032557453876,0.11118359098390553,0.235882945853798,0.21444714263837367,0.028408989516999897,0.09935063799431847,0.13772911364425564,-0.3231525969104744,0.1189040882724291,0.05745593966410277,0.10900147000312811,0.17738308782929818,0.07545089859706627,0.18344566196023873,0.17639718532710924,-0.0067980956985276685,-0.13632612247248127,0.07320856560300733,0.19267671556522326,0.08724093627236537,0.056520675107815804,0.22689805203096092,0.14520631639571746,0.11101660814413625,0.21975948948881371,0.12167936101233781,0.007293028305172084,-0.15209354227836952,0.0004309109178670884,0.2832914862719034,-0.03616269819599023,0.1367653518750077,-0.3103261553613358,0.011747405742158901,-0.5512661795404726,0.36100325563630475,-0.3774135912107625,0.13348866198397621,-0.26256987058785497,0.04367962991777065,0.2672772994229181,0.13863801127312758,0.18065310358204523,0.17297367158747096,0.04674228056153019,0.06487115189215116,-0.349522249044395,0.27618938738000365,0.31154677064148406,-0.06860516409120009,0.0335865722368268,0.15001335526184853,0.13569487301043334,0.03536646838209696,-0.14710011874156598,-0.2530268107205739,0.1194842030619952,0.12513468830661947,0.03722790348020052,-0.31390164451860947,0.05629117173536199,0.2125412299927731,0.0006727822706603199,0.14003794278380882,0.14469328719932423,0.010531131724814952,-0.456092840717525,0.1406192255361898,0.021469823212448856,-0.22323472026279434,0.044136490338238944,0.10976754884561202,-0.06990592866390219,0.02335540630376779,-0.0911853080545699,0.11252833427179106,0.0824448163423718,-0.27065437102562906,0.11595086520911319,0.1365585737278941,0.14848731684919753,0.053745446329552554,0.011674623312864663,0.056844561992283126,0.0887376375662822,-0.020303032846029186,0.18087861383243342,-0.42130074078756097,-0.3577725083507477,0.027610519069482246,-0.04039579745095648,-0.046355289391113844
Chl_a,-0.18101414855122394,0.2587793420155312,0.11995144112546724,0.19084813026024888,0.058287705762983616,-0.08530635654744015,0.03464090954885634,0.13655839672127196,-0.0017537712735643564,-0.1788438469406843,-0.018479902332174874,0.159350310244009,-0.17926370929484015,-0.05629349780355074,0.10330557883475563,-0.1884076171793702,0.3426576040032681,-0.09714247626510773,-0.13990618875932467,-0.015663868073344443,-0.031990417574294695,0.15966131459764682,0.01955809470422879,-0.08746878621980739,0.03009215941555412,-0.07741671252304014,-0.09745202906200143,-0.04459430006900481,-0.12826350245544021,-0.09748769448349431,0.1313718708157688,0.1791069894163761,-0.027842571915091496,-0.14846810725648574,-0.13381940194131645,-0.05011006087419885,-0.04192140589051761,-0.14339622231875893,0.11412091484064232,-0.17871624278912573,0.1402168982120383,-0.07276810789071525,0.16032243902419052,0.08146872603617768,-0.032406900787943546,-0.0437124401671492,-0.09808080720929077,0.14930502006740368,-0.031040306189023138,0.08588354487663809,0.11349017601472214,-0.07580112669611462,-0.05938695222986643,-0.02006928286587892,-0.13840325625436464,-0.09849446029263134,-0.08900096349715513,-0.09889685233879161,0.11124932908054355,0.23100989511348907,-0.16523067335035224,-0.06352751741281737,-0.10389804957245893,0.004434471961098235,-0.026480458348972523,-0.09782982219341604,0.07503913602377668,0.3673422448106455,0.13962909046520594,-0.07991930559308698,0.0500154648271236,-0.005180262926222262,0.12144877551181549,0.1528336579343493,-0.04636503815851467,-0.0026145563496915445,0.06459018591851516,-0.050978489204165596,0.031492163815079285,-0.03315063414053028,0.12582596897952253,0.07969230795303447,0.11619255508232523,-0.08433875050555203,-0.077376021555873,-0.07357371663782256,-0.14824583042058517,-0.07512581008901408,-0.06622994594847427,-0.07136042479591312,0.04343883971525564,0.09526463009020893,0.2584762022441311,-0.1420470511268107,-0.17705918843894436,-0.04693980800219724
Phaeo,-0.12192575237810549,0.11382561904074509,0.10777414487856024,0.08348896800597655,-0.03858655233590691,-0.044994555660851754,-0.025115991153981453,0.1541903564730795,0.026417946358684212,-0.11426942335191925,-0.016221534120624673,0.07090222289789663,-0.11301081985600586,-0.04185407539129492,0.05851596981041926,-0.11212153777519909,0.3448964884638255,-0.07761824720038493,-0.0786260681952189,-0.01341500001013078,0.038888684797722145,-0.01022734730855453,0.03108896408081807,-0.028745200965445,0.03835735021632467,-0.05971678512382121,-0.06237984303672449,-0.024363816220184055,-0.057488093868687945,-0.06574964509585222,0.2005755183677651,0.15133162389342092,-0.01138517304450374,-0.11543730617353327,-0.08655148923438685,-0.03170296604841547,-0.04578749548570675,-0.08862351450314784,-0.006477005028963089,-0.11562399930221176,0.037430745969606806,-0.040745067232448445,0.12181568302133683,0.16489842308439864,-0.056949784147457806,-0.037896514725657776,0.006534154297816128,0.3268121300678284,-0.009280364897259348,0.09643639973055068,0.10479151956614162,-0.03664020664945928,-0.06116274334326792,-0.015017077898683772,-0.08198872059824061,-0.06521283879374017,-0.05995373131892277,-0.07833668160678338,0.0018430319617025199,0.12694961660745668,-0.09729845592406824,-0.036525011145460445,-0.0662282396289167,-0.027130367801975974,-0.0127279362660912,-0.07238534151772642,0.2519386815776221,-0.03015518995092745,-0.005261317632608842,-0.05431287872192783,0.0490674826639633,-0.029683015615779615,0.0919162353146889,0.0628989368989234,-0.004813765111389553,0.0717130871184088,0.18792497971410652,-0.030563653082027447,0.03712396838072797,-0.017677726072671384,0.08704721021494767,0.07711001112478941,0.005345328219941209,-0.0615906569985831,-0.04175697453271942,-0.05693205794062947,-0.09252226467637895,-0.04840760717690175,-0.025029207577599244,-0.03685345147442607,-0.01141274377657257,-0.0027068578345872877,0.37250694418558605,-0.09203331448250472,-0.11387189142738748,-0.031090509266337083
Chl_a_conc,-0.18507209983291684,0.24814940476241032,0.1299699432320831,0.18288454133770282,0.038444949478951745,-0.08383220133276086,0.022254929114253415,0.15652048294739695,0.00570502174898182,-0.18117024030635692,-0.019919501354521574,0.15302498614837567,-0.18118074758855676,-0.058624924837665016,0.10261464495845876,-0.1886147606250091,0.3813356975224657,-0.10263086284439356,-0.13880153278258295,-0.01679318192422253,-0.016288303902467445,0.13124491944309952,0.024863717196217442,-0.08123280117746444,0.03568092076261367,-0.08120915638302054,-0.09875076738429045,-0.04405262168474679,-0.12328566217059145,-0.0996962073487905,0.1647686257088581,0.19146011816196992,-0.026464813013793054,-0.15598941755492235,-0.13584530431459116,-0.05067656776137361,-0.04762927681357519,-0.14444723677453825,0.09403612181709074,-0.18143113505799768,0.12787048091586242,-0.0721528071074754,0.1676730882981582,0.11318606413271827,-0.04267512711205013,-0.046988906139897535,-0.08055615165172499,0.21411786177752778,-0.02857723607206647,0.09829233154039178,0.12373589107858587,-0.07358359358953144,-0.06646738638650407,-0.020926440360057388,-0.1384534950210183,-0.10039547173001032,-0.0909976224668855,-0.10429871034806673,0.09388601733799985,0.2284045805959775,-0.16513238097889696,-0.06324954091405946,-0.10520723399609622,-0.003648327819135454,-0.025686222240118867,-0.10178617109279939,0.13143585081904682,0.30016322212874313,0.11577856063948205,-0.08184176865823167,0.05531472126322938,-0.012412661252392796,0.12691859352312107,0.1453804368977291,-0.04022769931721498,0.017288158278965397,0.10527363238219054,-0.05109602051339362,0.03652103452583233,-0.03263007453651545,0.1292701050631012,0.08784470412175283,0.09898697496433242,-0.08752876805605578,-0.07629571141392608,-0.07722670565259446,-0.149577317195643,-0.07621366246988852,-0.06239486446628269,-0.06991389783090982,0.03336299163299218,0.07923197908101795,0.318173004481514,-0.14424107884497384,-0.17956415521044583,-0.04784899174527878
