,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
PO4,-0.041109469133106265,0.08339741056643182,-0.03610866248310777,0.21425481096739324,-0.1885671717279496,-0.10686229853998559,0.07427230596201334,0.00858343877805546,-0.013350481988860963,-0.06094741477547806,0.15129793599612304,-0.07125292258687402,-0.07556847711277023,-0.1416767264660873,-0.030816020094029957,-0.04973280229428788,-0.03863015273992657,-0.01879668494201501,0.03138421134997817,-0.0051169237584617125,-0.0022471687339588294,0.15929254839450144,-0.037552007482537106,-0.07143747439303735,0.12892545047509077
NOx,-0.09811035176870275,0.17875571707043225,-0.021699684278241843,-0.08549501365190168,-0.10761423028410953,-0.07722585980083016,-0.0714535385272564,-0.06406979080584307,0.11801159909974329,-0.08850400971060236,-0.06413278225197705,0.06993480267635754,-0.024239335149371165,-0.08926310888099875,-0.06227686262557344,-0.07572115400014377,0.2847704088514926,-0.09522472907429624,-0.01812480960932098,-0.00989173617039222,-0.028758470924335394,-0.04273129244138325,-0.09226941090602261,0.009839084577185991,-0.05059304927721608
NH4,-0.09322772506645724,0.188957567417954,-0.020659621429616255,0.060309494148044346,-0.18071688200613595,-0.1167078525807503,-0.07565225683265386,0.00451158367617299,0.1399247511080004,-0.05584372239883967,0.16632605466627193,0.027526883643341243,-0.057933336488667955,-0.13696176501317991,-0.08399269314483009,-0.11779463787444214,0.031059111415263598,-0.057574128841325664,-0.062388948050317326,-0.008110211730412096,-0.04375680810099114,-0.08229281667014249,-0.10493116671336672,0.06329432808422289,-0.018808060877586116
NO2,-0.0851498169332413,0.1661837195218148,-0.04660938467059185,-0.08588223444893126,-0.1341437200534492,-0.11602446545857864,-0.08645917355046945,-0.028488633575672977,0.11051093224992464,-0.13909511474087055,-0.04697262477755736,0.12421334964232902,-0.00813617411537887,-0.13211526073746677,-0.05965968828594128,-0.03915149594039851,0.19998064354817605,-0.11727541469429763,-0.0010079015824197934,-0.002949503061601971,-0.002228498497253509,-0.055586272176046087,-0.12208578057359648,0.03963922749472282,-0.04941720063103236
NO3,-0.098078975855299,0.178512828066209,-0.02122555436901069,-0.08527119625316439,-0.10689448512487573,-0.07637698970820835,-0.07101953230251866,-0.0645054101015134,0.117837806065156,-0.087428126611717,-0.06425840450337164,0.06884409539601508,-0.024448576961248462,-0.08831546375915134,-0.06216259250733473,-0.07614378514068479,0.2854727462054921,-0.09461180701073534,-0.018366643825519835,-0.009983360889650041,-0.02913160290186185,-0.04240646366281374,-0.09153338343333906,0.00931284489072173,-0.05048423338428881
temperature,-0.18248314037598964,-0.060576052818428205,0.020882952705086506,0.35948243591446677,-0.013021493795326106,0.22860201375570843,0.3615843619110871,0.28444341185318023,-0.2387946467000171,-0.024507266133332106,-0.04615339524131759,0.00021694010314629066,-0.4009472907362312,-0.004126676975328566,0.3289663563072649,-0.2634994806448339,-0.18333887881461894,0.05550514862137067,-0.17239550987753294,-0.038694171211467156,-0.06213330858909526,0.24357630781118955,0.3842286531020007,0.054386718486928075,0.19235945825178294
salinity,0.06281420691743561,-0.5684377313561382,-0.15663932724254592,0.16049556259859837,0.17726717497680833,0.1535719493321523,0.2439655324141693,0.14480212905591927,-0.1851853062922153,0.14139806219002593,0.15407207847794036,-0.3807564221813368,-0.0053938498005272565,0.06123848910861395,0.08874503510263615,0.1830300157893715,-0.45699790298748577,0.35177695217592886,0.06005397130530072,-0.007245288302179034,0.05986741528209559,0.08309618314388845,0.25373076134957917,-0.07615907997576679,0.09900595407320721
Chl_a,-0.16811404269276958,0.12180620497433145,0.17914580047202383,0.17618806519509245,-0.15341431360800736,-0.09942691542958038,0.0339218710463601,0.1627348971607671,-0.024433768307105717,-0.17978172758204708,-0.022647195717353633,0.2836761907177078,-0.16685337107822973,-0.11436674153042559,0.20750528381533498,-0.2022342885281603,0.16803709094272418,-0.14724308593554208,-0.0700186872879568,-0.016314977302797146,-0.03852394714092922,0.17748033256028767,-0.07045126689385542,0.02015008389735241,0.1401053565746539
Phaeo,-0.10098103124639912,0.07211833437519921,0.15027177416370283,0.04886096106102992,-0.05228920912609249,-0.06802902035701988,-0.027313582991600686,0.32391949394187025,0.01800342773043933,-0.11631568367104203,-0.02767775871643359,0.18182110096345805,-0.10721321309792636,-0.07497262918597952,0.20080882021892416,-0.12154649511293193,0.02582551816065268,-0.0964166683674651,-0.03180550785847246,-0.013681247679037532,-0.011514195983174567,-0.002559685899834487,-0.062451474235006195,0.07206730417504037,0.09310478970888597
Chl_a_conc,-0.1685532243143045,0.12183997124025617,0.1912047590679573,0.161170864930827,-0.142985421787032,-0.10194329150471212,0.021054313595462282,0.22460535075775923,-0.015619142494002956,-0.18251344360232208,-0.026530031366284408,0.28752129202790194,-0.1691881344829811,-0.1163705600048783,0.22874018790890746,-0.20278174897890056,0.14807051887490674,-0.14979361423646984,-0.06741619582577574,-0.017412072012291717,-0.03546606354923999,0.14828575863453192,-0.07610515260601791,0.03649356625456335,0.14290227112815765
