,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
PO4,-0.03855319222504171,-0.09884787518532184,-0.12031590618394639,0.11299231190232725,0.017515402388353838,-0.11968607676997166,0.07653554763031703,0.18337958990934988,-0.01534400023889853,-0.08422214860361371,0.13844701202735604,-0.007402870803874688,-0.08437463064450437,-0.042754005218395875,0.02542277651110765,-0.09827596279840725,-0.10711785875414623,-0.08488609312912714,-0.025821433100530533,-0.005779713565635503,-0.015643360001853245,0.1518027873708268,-0.04380465254783429,-0.14774977461005614,0.05143285359460636,-0.05494253727356292,0.163259960780127,-0.09727157184420197,-0.015938843276806614,-0.1393497969689329,0.024519958711590732,-0.03652203145282621,-0.0730400495980081,-0.03407686342965201,-0.011850460315561159,0.029827234401704643,0.06963984790112686,-0.006875441376720865,0.03690306649347723,-0.024299756382205148,-0.05123941338780991,0.15363487297277512,0.04514619654790982,-0.05040475324050924,-0.10963787585427312,0.11298276178274108,-0.06137379182951869,-0.009776406121198877,0.0021599596341426008,0.0975056624166462,0.046525025183949104,0.09996888678847726,0.23169544566896555,-0.010343102057389596,-0.1608496425569678,-0.10131344173700853,-0.0332408517168468,0.04651499366959602,-0.04435880194829327,-0.07956220232791344,-0.08021676120770248,-0.07586695259507303,-0.09694621754123736,0.11084901988829492,0.012713291733510226,-0.01765066501768935,-0.11417079052288837,-0.020757366188558914,0.1326520124555437,-0.011473571901230259,0.09992255304725829,-0.003479874843634377,0.1718160897392438,-0.007296376057949226,-0.03202822073383289,-0.062239738976815624,-0.13054912020064582,0.04531889622735623
NOx,-0.11186329004370243,0.19745425663852242,-0.06664173436277991,-0.05568713779420828,-0.09798094552363422,-0.05243951764471695,-0.06694892562648078,-0.08303284327411388,0.013641259028231437,-0.07886072432807961,-0.05899882559408294,0.046606492304506024,-0.02125809621393078,-0.05360192776267607,-0.059211747672466716,-0.07535836887634922,0.02885926613735131,-0.06585240768357664,-0.037897749608895796,-0.009729039254023939,0.07683273344000435,-0.03918194689432038,-0.06706304884076283,0.06167977798928626,-0.04183521621149122,-0.07187876298187362,-0.06770434741573199,-0.06883571277014225,-0.05485557503922327,-0.0786764825500435,-0.012324373112411689,-0.02088930397811918,-0.04900929001295325,-0.06831298118009914,0.009961484172816485,-0.06504474768139466,0.2508481625983381,-0.06867940808225487,0.39318284038232765,-0.0898871371589404,0.24999424254035438,-0.11784416028362668,-0.010769129593510887,-0.04416798913019597,-0.06882770956405253,-0.045826292155283777,-0.06190250796727216,-0.05711266352370924,-0.022603583778316345,-0.044289100773232844,0.028873704201173727,-0.0103759114706382,-0.06761288909037805,0.05368105145704286,-0.09537194747926628,-0.07309546568934248,-0.08288841435889832,-0.011251155984454048,-0.03205015439186464,0.031049965756706065,-0.09913940616540967,-0.04440735609627175,-0.038742312750475176,0.1064315514937898,-0.014982940033307432,-0.03765157128535217,-0.11072089456308436,-0.03514505614607482,-0.053748186139558826,-0.13202133425475374,0.02540946458346907,-0.05035261291767644,-0.06520701291123078,-0.0045592844942834694,-0.020057108690467423,-0.04654930045406042,-0.04538218465352195,-0.01692143164275652
NH4,-0.12729449448709773,0.0011902310646413564,-0.06704470194078797,-0.0743298470169791,-0.11754398773215631,-0.09874504592603717,-0.06918490239001157,-0.00303490839412308,0.07965191132332622,-0.08742810458934733,0.16270881576793986,0.03685531962810108,-0.042026875263395914,-0.04928105605545001,-0.04532012485347277,-0.11591472758385747,0.01945591336707852,-0.1050757558128915,-0.09482076721891627,-0.009704490314650305,0.13026870745790645,-0.07872239629771242,-0.09120566825468386,-0.03613420919018499,0.04287513681580413,-0.09493279371480406,0.1906936590711938,-0.10531807820733341,-0.07218693887880286,-0.12551995612234074,0.059200130853121855,-0.02196900801480903,0.016054168223200226,-0.06706332761133976,0.0070271436190506124,-0.04060214742567436,0.31880881712222087,-0.07169493285186981,0.16243007271057675,-0.030833306565654334,-0.014655718323086632,0.03203534013314743,0.036514699199147405,-0.031469230628191035,-0.1086135743014209,-0.025861485692989006,-0.10109305878989516,-0.008721744305425976,-0.034135759722698535,0.06405385799950075,0.11039889149219777,-0.03373292881270332,0.03147374674801044,-0.00048382164347872056,-0.1560260523335346,-0.11010096208249161,-0.05932048193405794,0.13709140792437863,-0.020179910218954752,-0.016869159721673275,-0.11901442778824742,-0.08014710840077298,-0.11581642253292389,0.44927033653299786,0.005182463115003482,-0.04917602679466312,-0.1561832417704145,-0.06913038912647589,-0.06401308717011797,-0.06858537887066808,0.07304612177982771,-0.06677772653603731,0.08266462557392318,0.02657294030669881,-0.07663361288708473,-0.055385910333972874,-0.021724289123945736,0.05243690316046133
NO2,-0.10031621603947535,0.1783329489566828,-0.08876504025059725,-0.0480956082050866,-0.13080593901099197,-0.09278189784179157,-0.07982528869842367,-0.07042669137449302,0.0317732974032474,-0.11875016153615921,-0.041368907985183064,0.08036419216315555,-0.009472380010750412,-0.08733071338295964,-0.04987301689329983,-0.07877961254836455,0.06965395283102278,-0.09791372438232124,0.017979604938679988,-0.0035974925309016437,0.08117093067002235,-0.05295501039958436,-0.09077626575227371,0.051871531697596354,-0.014518117217081473,-0.10200353216504672,-0.11326998576625394,-0.10163480398602937,-0.032486464796856164,-0.11063196665310207,-0.01801602707027541,-0.04541293849470949,-0.04075619315631611,-0.09991333496825108,0.025159029623489784,-0.05195009568364345,0.2684073592446847,-0.008828242247374267,0.26651305195059094,-0.11404723023215094,0.161336871230945,-0.1296017754813368,0.07818179065619887,-0.025535366679117707,-0.10279124685250011,-0.04681008535486654,-0.05579296528388007,-0.030994460855032706,0.002682114425673678,-0.0062149575098000825,0.052638792132564755,0.013135528658903321,-0.05269821288125194,0.02929114396007675,-0.12964712573890105,-0.10900127067492643,-0.11449623645031633,-0.006873011780345453,-0.048354736786630804,0.06135619273116541,-0.1160041111701233,-0.049091405731583854,-0.044417379658778136,0.16602299417497474,-0.0040691772548488185,-0.0464828153087736,-0.12493058403275757,-0.0449949753122347,-0.06415746418012418,-0.19347874674618507,0.05939147658606204,-0.06033152472498065,-0.07600564229135916,-0.013872097466614587,-0.010585463548245064,-0.051115516498569435,-0.03845950476962828,-0.003243228849581041
NO3,-0.1117731839212765,0.19727399904700899,-0.06610024082880142,-0.05567328441513078,-0.09717979657202772,-0.05162768157860715,-0.06656218272871225,-0.08303382953552524,0.01330161008524506,-0.07798935133332775,-0.05914539818508263,0.04592023495289367,-0.021402297082806193,-0.05289837629963502,-0.05921832323818884,-0.07510928443604595,0.028099756791327545,-0.06514576536371497,-0.038741268245139404,-0.009807441946655502,0.07656447863107793,-0.03885069760454229,-0.06649374250894677,0.061687977653459666,-0.04218835004258041,-0.07118937563023536,-0.06676585842874878,-0.06810907852634386,-0.055092390734805624,-0.0779390250949776,-0.01219731570206821,-0.020423727367533274,-0.049023537264738015,-0.06760783805906415,0.009680545678726993,-0.06509967111359241,0.24991523505394764,-0.06951152692690289,0.39431403589142167,-0.0892523020190931,0.25085002342639806,-0.11734687300041209,-0.012237891295079852,-0.044369122825879334,-0.06808150994966941,-0.04569326735271752,-0.06184793017840984,-0.05740680119494661,-0.02297143135565996,-0.04481692850173957,0.028400592053689697,-0.010744995765472547,-0.06769189740926433,0.05395484180386735,-0.09455303810059235,-0.07230575013985152,-0.08214609894440425,-0.011296198058538657,-0.031694452566016565,0.030461301720932546,-0.09860376107606698,-0.04421570037880895,-0.03854838730984809,0.10515871800421459,-0.015128424541636452,-0.03740733203868863,-0.1102004693111188,-0.034890053881186794,-0.05343649163013649,-0.13065207350910618,0.024773311275081283,-0.05005678766665141,-0.0648596444669858,-0.004391056715800942,-0.020165439996232812,-0.046354182446193326,-0.045383273689117,-0.017108486286093676
temperature,-0.060927260293438666,-0.04548979976325662,-0.06035348427946227,0.27072710964556046,0.4226688074754965,-0.0033586014833901813,0.3437505756769257,0.33733335425295213,0.013300153175883378,-0.07999926153018543,-0.05463447680382655,-0.10937146481974977,-0.38999807892902927,0.0026765571721247697,0.2749278448126858,-0.2033364373815555,0.06482656889196245,0.1969421004631995,-0.3527743824118125,-0.03527964076467607,-0.25132700293218835,0.22807647219440857,0.2942502388757319,-0.0589592372722102,0.10866477216562875,0.17104855293618265,0.010376500972624568,0.24044874032061786,-0.06475085855183915,0.044254334291440225,0.0035313371796059506,0.02332266753216182,0.12645881051101038,0.18752749817499867,-0.33701651096313334,-0.07702684612603491,-0.2658225511441924,-0.322875427363013,-0.29528290461524287,0.06626524526141611,-0.13165899261668934,0.3762789641909169,0.15300462295418682,0.19067091971851888,0.26613905281544564,0.17753797672036276,-0.052394978965701916,0.3022172662554863,-0.05447633558977742,0.16283962034289312,0.052301100196052934,-0.17207308742104982,0.2991235594518028,-0.06331250547266587,-0.06918703756858133,0.1964636782998761,0.2676798689965919,-0.24073653816031887,-0.11883779758050356,0.06806379620931502,-0.002863224763855138,0.2247808398901917,-0.24364908692170117,-0.27308621063613703,-0.022756703623764404,0.1529756818705436,0.0013047151125134757,0.254424439007272,0.29999920847718364,0.19484850096051753,0.1208820556087552,0.24471384289083956,0.2688797982082082,-0.0615923309621628,-0.12704005464176282,0.14906994527748504,-0.028686120383930057,-0.16521415637730696
salinity,0.20702099725452644,-0.37965802151173167,0.032382947373021546,0.09346264987657776,0.28302877693253975,-0.013116723784045579,0.2330193984511771,0.21582386567990516,-0.09300494040801909,0.11013577665523028,0.13800618224333516,-0.20568415374082732,-0.03695240134566642,0.05678530928740991,0.10936168806143981,0.1648069158349587,-0.07784533825445693,0.13129851216061184,0.10683801448091765,-0.006607845467165422,-0.1394367979485733,0.0733011266670992,0.1827696245700215,-0.040096541968640445,0.056881691166614366,0.23461222089631523,0.1439252061881791,0.14650181582790697,0.18709643868525966,0.10851289299205519,0.0078061278148384965,-0.15240821244315927,0.01906177975799603,0.1568880482636219,-0.012470778811318941,0.30252038142527216,-0.37707773515676707,-0.014390475087721092,-0.5561265036333227,0.29287353208431244,-0.3848431215509419,0.32465992113335373,-0.35829351757451994,0.058978244156871265,0.15444593591530936,0.08461111300018995,0.09878106546465806,0.1673312191787702,0.04732651455858604,0.08263698384363918,-0.36728339212164873,0.059572883922129866,0.2342934497117154,-0.07003436639412308,0.05087926023783152,0.14840818691643443,0.17053249819657945,0.045675899313916864,0.02724230945029217,-0.2976434555264788,0.1264754052923125,0.10345647596185717,0.03684632741155734,-0.31675769091329464,0.057051535769888514,0.11541410247180313,0.1941406388145581,0.03660836188607926,0.17705550355740846,0.27003173930857144,-0.3510360034303256,0.14654492384889042,0.099629639674539,-0.22426481684036814,0.042755637338232504,0.11478311988554095,0.030915057150035723,0.05872571451279978
Chl_a,-0.19672007203694525,0.1949925799781161,-0.14675113827805203,0.40880716216739355,-0.01534595733581434,-0.09217060316615003,0.035539929669471386,0.14976745450024015,0.03234717115203892,-0.17342894317007085,-0.018467115614505588,0.13384090134035515,-0.17227789634256624,-0.06648239725664574,0.09438063929180342,-0.16342256200283606,0.06697170718615268,-0.08903545866136728,-0.16341307703096208,-0.015750794479565088,-0.03197234804265233,0.15649121258375015,-0.031176004452925815,-0.06119660173318251,0.03526063904624299,-0.07788190905227943,-0.09060185596670728,-0.08910110406760888,-0.10312904404835803,-0.09135336400108335,0.13305261977873056,0.17902319782828374,-0.01087551921340894,-0.07613184554602012,-0.14352418384672277,-0.11524478361021329,0.001133294680475968,-0.13168520723670563,0.12759818262038403,-0.15787814418216423,0.15547330159972636,0.039867524919287724,0.25337170871563075,0.17049001554107315,-0.0795202092619885,0.12930382177840943,-0.07363741183833389,0.14418459761134428,-0.03132632810019514,0.0986592117773293,0.11944593601176477,-0.0759262855687658,0.03735880251043627,-0.019363852275643363,-0.1344410891979529,-0.09954300898694277,-0.03686916728131323,-0.09853328686964002,-0.05394900468883479,0.24371122856434532,-0.14980554043370567,-0.048797465491550396,-0.11019678605945063,-0.009696664162735177,-0.026440765199529172,-0.036008346097564335,-0.1334782198088873,0.11922998470453033,0.14358522488414288,-0.1431632963739367,0.05000651384932958,-0.010975448489506122,0.1667092616619779,0.155458703538574,-0.04587681426557101,0.0034762976269508174,-0.010914357130859708,-0.07880901091383731
Phaeo,-0.12834256788211554,0.07521908273202924,-0.09415496669146903,0.14770699098699666,-0.051783640684060536,-0.06305415907668661,-0.02376982935369464,0.13950871056224248,0.037143707335814485,-0.11034919238492134,-0.018730732573901766,0.014144361207674871,-0.11067576918546046,-0.04763619135422631,0.03484380526146272,-0.09572636435976649,0.18389968547870011,-0.059289695449112396,-0.09720505821963607,-0.013462923278133249,0.03711363115596407,-0.010052347404730114,-0.03833124614745129,-0.03979341870710283,0.029094379530912068,-0.059442370092586475,-0.056738604683329044,-0.06694304501317115,0.0015604230166135508,-0.061297801725376244,0.1970950232970307,0.1512220719755072,0.017798572023644176,-0.04787681426656836,-0.09304674891979295,-0.06282030254457734,-0.028068952631548735,-0.080697701828245,-0.0024289648523699056,-0.10787104978239925,0.038059380379965244,-0.04089947200612425,0.3505382208818547,0.38155425511615493,-0.04499719289179619,0.0880551760794603,-0.030212197259905184,0.2995425905231175,-0.009239739631525915,0.08635332117380796,0.1052047926905533,-0.048826254750958614,-0.022287153654310613,-0.015632804815190308,-0.08243593638350108,-0.06590161569144556,-0.05648672162577535,-0.07740283329570505,-0.03341128561431092,0.14938780115832156,-0.08790771987982375,-0.024972465731358147,-0.07187233794643964,-0.03231498358065259,-0.012654504041654493,-0.02176585360059861,-0.06539558343709762,0.03915050267350631,-0.013503172469247579,-0.11290094833629641,0.06130697037738336,-0.032485573713682644,0.03208354215345954,0.060961413501830874,-0.004631444186672326,0.07697271821033796,0.12628716192728542,-0.05996011735690211
Chl_a_conc,-0.19999933028027536,0.1841167429137289,-0.1487662068771728,0.38329111717280945,-0.02695024126445738,-0.09450061108367985,0.023375310507835506,0.16361979469519455,0.03724411045553859,-0.1755598015306309,-0.020590462262147596,0.11619191724009983,-0.174682309505101,-0.0687486014380971,0.08869163086120041,-0.16318750682882113,0.10617915293131311,-0.09084617448694515,-0.16358127372397008,-0.016879169700523933,-0.016755379191638983,0.12863140483198984,-0.03658363389760867,-0.06218087031987939,0.037502917553208885,-0.08152510073475411,-0.09146796965560924,-0.09298052659357287,-0.0861450145835072,-0.09333743738335137,0.16523391151409794,0.19136001866856095,-0.004293683838033212,-0.07691394748345518,-0.14575634681165522,-0.11380608764647639,-0.006674406728763464,-0.13246346493723968,0.10644902171317194,-0.16183283758351058,0.14084785131206065,0.02235424631143835,0.3079197504652163,0.24677328465812748,-0.07897588956329445,0.13246333887283435,-0.07002097073778488,0.20241112072483278,-0.028806292600956233,0.1062771750273669,0.12884757350467982,-0.07699933782822474,0.025304925772604972,-0.02050156486160911,-0.13524905747213628,-0.10146277381809618,-0.046295054689589256,-0.10373981875808266,-0.054363180664386314,0.2451623432464932,-0.14963290353186498,-0.04774621446004929,-0.11202791984372917,-0.016918882946883512,-0.025632952945563097,-0.036139560129244394,-0.1298113107726723,0.11072079195882195,0.11686030117750475,-0.15084736142505367,0.058632408910876246,-0.018038670226380595,0.14865607606254766,0.14705757921504398,-0.039768340077336664,0.02382989131109943,0.025147693482173824,-0.08244399247893575
f0,-0.31762729255362143,0.3557151929537723,-0.23663872862434956,0.2804362999062572,-0.021557431144724748,-0.14071803536453334,0.0550453698803814,0.24854907600985426,0.09960410813967126,-0.2711762571316994,-0.022284503553704017,0.08197780023128526,-0.26729011349567044,-0.10066762589645593,0.22464097409498107,-0.261145566886399,0.14411753863583288,-0.14635639157911487,-0.26219856690349774,-0.026298238930352796,-0.01487075350772897,0.21968976652493297,-0.03172738562924454,-0.042826505761874606,0.07633222359000807,-0.12527121149669154,-0.13211975247789895,-0.13974522504576492,-0.09958280158471473,-0.14809394772703374,0.10968838023525548,0.06881772991036995,0.059758633055498375,-0.1184887024461131,-0.2278075339251899,-0.20782139932671453,0.03704011737954936,-0.20433344397543143,0.26706614089634706,-0.2651863528213819,0.2631157557716272,0.05734319978131601,0.3834004719972133,0.1892406963076838,-0.12955217068176134,0.17607006684947105,-0.08577302066598821,0.14428033599285686,-0.037118315764966325,0.20789134524615047,0.19183606536594822,-0.11988146070040896,0.1208686225118837,0.008682456792165286,-0.21954275541981796,-0.1630157153396365,-0.062426922810893556,-0.16032038728524695,-0.07661130145594264,0.2365731573021261,-0.232830385671159,-0.08028924728386003,-0.1609135317015406,0.013312302834856618,-0.03515639949029019,-0.05385980333515859,-0.1841174489966117,0.21333548298728736,0.2093674101874454,-0.21245274465106972,0.17159695577825107,-0.012804755002768833,0.2515079363231738,0.15853262883426564,-0.07978551340299142,-0.02867781204544973,-0.012892247248124877,-0.1296592034391661
fa,-0.31951205156103824,0.3402709565719183,-0.23768550885664771,0.2646670913027178,-0.032237806467027834,-0.14263167621600653,0.045735500453004896,0.2515945664327432,0.1089807184561827,-0.2714200425161784,-0.02525105679020312,0.07353295331768347,-0.2678713695961481,-0.10298473726783783,0.22236550733735896,-0.2586770279416519,0.16695936923110313,-0.14796197704193736,-0.25977264123846233,-0.027801446646113122,-0.010434944972139697,0.19362372625304292,-0.037278549350342284,-0.0427546081191241,0.0788296452757459,-0.1304954499318511,-0.13043355567357978,-0.1439068441931221,-0.06999424791665726,-0.15124945038252294,0.11315089018220421,0.06727175798299279,0.0714768802353763,-0.11754035017469316,-0.22915164209014643,-0.20830296265259404,0.028078240795051498,-0.2044433626673862,0.23916285573128276,-0.2697664625471815,0.24204811855672242,0.04717629186764369,0.4107457548082248,0.22793379818665913,-0.13099074149700354,0.1638465924500671,-0.07811386873172638,0.17867436627414257,-0.0322804355056455,0.21993010490051235,0.2032453427108658,-0.12018077505289272,0.10661276520334934,0.008551825466282817,-0.22201201237920273,-0.16490096917859157,-0.06942947841470895,-0.16458759148766616,-0.07623022810621921,0.23589587756860889,-0.23001094586776244,-0.07897361305621889,-0.16181609584245982,0.002132683159399239,-0.03329310518956196,-0.054936518852140695,-0.17736700910369158,0.20588263110309418,0.1837913070993821,-0.21941906892528987,0.18647496223438206,-0.019021700635849445,0.23465546614630461,0.15380250467337517,-0.07837680064645937,-0.02188751766439784,0.01032731680620359,-0.13313189911139153
