,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
PO4,0.24612862527231436,0.0001225269023778469,0.09108687987679441,0.16160570014760692,-0.04094442346333568,-0.10097612657639027,0.07648594669605797,-0.02598704925706891,-0.018302406169588416,-0.06403040956166482,0.1430316277913793,-0.10630348869780358,-0.09911924355267274,-0.03125739067378172,-0.037430762057699074,-0.07581279305465508,-0.11183277536919328,-0.0427475745356209,-0.03791149668465468,-0.0058401732942804955,-0.014215412118362681,0.15212464790308844,-0.05468728878166172,-0.17469330288670426,0.053821289804187634,-0.06206474149292475,0.05347376208103108,0.050488868343471,-0.0961984563575646,-0.13928935621707442,0.02497073158185115,-0.03647788430127049,-0.07736241466161055,-0.020828628453429275,-0.03878982011635758,0.043481326234297756,0.10832068218164498,-0.0766469848789956,0.0351234415498525,0.012579933785394633,-0.04958354702248462,-0.0988404051868061,0.10007967153202846,0.09266017301121106,-0.007382188402247588,0.11331436239403146,-0.1272763728292948,-0.04041721541202803,-0.002586801303346514,0.12755867054105174,0.04874224009964209,-0.02812305655769124,0.1461127262433548,-0.01602604410793816,-0.14393856338572525
NOx,-0.08229171488139898,-0.0056600956808632525,-0.013869186879418396,-0.0777412030917258,-0.09780970380442341,-0.07384612620705588,-0.06787986994069695,-0.059291179017529796,0.014593847232783553,-0.0847381155728276,-0.058106402400489955,0.08064556285572783,-0.04069060162017788,-0.08565514060024154,-0.052201721213449556,-0.09682595580818594,0.013530237910085435,-0.09572730463066934,-0.044649666874962,-0.009835556817533207,0.07683313237543629,-0.03972661344206533,-0.06615800600663263,0.006156509434642601,-0.03788233593993669,-0.07805139961026471,-0.12846916200224046,-0.01399920320984656,-0.10677772136349627,-0.08819305782339124,-0.012695285024079902,-0.020899081317243565,-0.05292576213753618,-0.11292089278761039,-0.001963134940070436,-0.06774343640667799,0.17798331375531895,-0.10786203958913147,0.4060643220333141,-0.015196922908075793,0.25105984119233593,-0.06856848584299227,0.021242083054823318,-0.057224950326471735,-0.05171656975423198,-0.04637319921010976,-0.08597426838734006,0.11404397528381721,-0.028266764189136016,-0.05130903756274839,0.06973120870348384,-0.019791998884556655,-0.05945399531906063,0.06742969571111443,-0.0769823278559443
NH4,0.040348641213858505,0.025979004090128315,-0.0330627768739349,0.04516746711886819,-0.12404154298675939,-0.11159891270893382,-0.07077138678001986,-0.014572536233961734,0.07816766874343077,-0.05417892067325848,0.16425635584514753,-0.026771106726493847,-0.11842946841486415,-0.07319986527519054,-0.07349814473102212,-0.12986025884106275,0.013020724586447721,-0.054208629636236114,-0.1039477415693516,-0.00921757059175913,0.13259229391394856,-0.0796436160700378,-0.09216172943442087,-0.06749510395364836,0.05758315102734419,-0.10110916910191498,-0.019827707862355527,0.05997809620834798,-0.15111241682508422,-0.13302043562577404,0.05976267721638403,-0.02208011925970858,0.011151630424553338,-0.07328982237851425,0.018916764461527995,-0.02169821458214681,0.4651362643648689,-0.13224552360984154,0.1651050295607917,0.00481748045559957,-0.0035159022074856697,-0.10635218448342951,0.0666107385740432,-0.07620614749938434,-0.06949424540085243,-0.025900294788657907,-0.1305912128171103,0.08414041763817948,-0.043365849695785205,0.06436129276263364,0.13297496461777736,-0.07675195660224979,-0.059676972270960325,0.0008198681404712064,-0.10591342674875083
NO2,-0.07587278535090365,-0.010547159745223656,0.007386156063565607,-0.08031817733301921,-0.14061432329288237,-0.10993494832023812,-0.08124748263736764,-0.03284958882951973,0.033163086012565415,-0.13019583327705206,-0.03931649072411554,0.10127437736653042,-0.04178181084398062,-0.07365316846700681,-0.05349936494464025,-0.08856036952325914,0.05263472159826096,-0.12700258269949666,0.007926994557449064,-0.0033604711554262997,0.08196879900868032,-0.05338181518153427,-0.08638777286654542,-0.011010455571923847,-0.01611443536060579,-0.11033062801785498,-0.1890851753541936,0.07500169402738657,-0.10400055213450515,-0.12815379114510073,-0.018166260713231512,-0.04533304932608478,-0.04823345554718107,-0.15611921336969103,0.011973113089966523,-0.05270626584818811,0.24231439830474852,-0.10690415696261427,0.27812627228644304,-0.004302135789799955,0.17084785801611438,-0.10149395650738678,0.05467983331113857,-0.05014721601805605,-0.06228276500801842,-0.04698372194020628,-0.12562898172934994,0.1572400587270688,-0.0025729301227431795,-0.014001569751385189,0.08016671510888693,-0.00999444847876035,-0.06367399889051895,0.04146810361428262,-0.11499832927522127
NO3,-0.0821905172408228,-0.00556351001669722,-0.01419144521358812,-0.07750026256842495,-0.09684113510984305,-0.07305142438270512,-0.06748249813801974,-0.05958521881409223,0.014244423467494051,-0.08375814670713483,-0.058274754112685,0.08009361250067118,-0.040568823595307696,-0.08563929955124737,-0.05204721295865125,-0.0967188765261956,0.012838119492434134,-0.09495794965789754,-0.04542050713258871,-0.009919467017449418,0.07655146330237717,-0.03939596216964618,-0.06564959086164304,0.006429605672360085,-0.03815218065958195,-0.07731008563735228,-0.12712308202398795,-0.015460595568184094,-0.10655303357408452,-0.08729676546055207,-0.012570996616528033,-0.020434988025229014,-0.05287016314627198,-0.11190729371219095,-0.0021925496547876054,-0.06782417323727208,0.17644889600431363,-0.10760399578765584,0.40718410827628626,-0.015341544365533116,0.2517708641574041,-0.06784040514239922,0.02062567642195926,-0.057198546340354914,-0.05140739973488493,-0.046245062645236985,-0.08508876275223728,0.11302755927467045,-0.02862708229475195,-0.05180612727047077,0.06937844866182902,-0.019906485676211064,-0.0592319003961898,0.0676949762159702,-0.07614723997500791
temperature,0.33785049325293803,-0.07317989545289039,-0.18356223896098645,0.3183558861643895,0.3430172175980634,0.20175597577060905,0.34836628118100765,0.3059327667348064,0.014839844310227899,-0.08548280157417557,-0.05861072354788542,0.05314696144748199,-0.2683225738903967,-0.21281705537069673,0.2701689028063026,-0.16858845621893534,0.061960701312604075,0.1278775483333133,-0.3592223118775492,-0.036472123856294274,-0.24312799054524015,0.2309622591561744,0.2921206966466907,-0.06693905618713877,0.0947699839391106,0.16864576752217308,0.261367947668946,0.1325514598940466,-0.03962281328396527,-0.024422009877786987,0.0038040708603627065,0.02304964082328348,0.13173411381339223,0.37369164248538356,-0.4031683021749598,-0.14947169783914885,-0.29972065557258953,-0.04097162196364528,-0.2991598365947732,-0.022274219346882455,-0.1402016007758024,0.23981110295399627,0.12107674386604354,0.2770328241731244,0.254892543390026,0.17905444654734726,0.29644253854034586,-0.11065396508444642,-0.05962570980848211,0.18401294869022633,0.014955077244742345,-0.12851410905438682,0.3008363129543429,-0.06422601377423387,0.00463539667801342
salinity,0.25856618525459074,-0.20760499286404008,0.05730724455839844,0.12144355546286663,0.23889004372761388,0.15281058612031315,0.2353789271974708,0.16060960092951243,-0.0932761492782343,0.12295289344848348,0.13997722334243684,-0.3458030138620551,0.028789188567779685,0.03386597576144741,0.07066029715963071,0.20272333205337786,-0.0674771415502266,0.2891163428752179,0.10139014654281879,-0.006988178290357807,-0.1379800188066853,0.07421845846189562,0.1768065830577137,-0.0012614982828866262,0.0556087317387057,0.24507299938236476,0.2606896726449065,-0.3572449607263013,0.20041536332032486,0.05518875550827858,0.00811848496578363,-0.15285892645662516,0.03257855111165568,0.28886385718755603,-0.04175360146032023,0.31904209618387697,-0.35832396592213217,0.12794412250939236,-0.5713967305460464,0.05806383676733233,-0.39068830493249906,0.1451882861626072,-0.3480132999539157,0.09685275215411486,0.14963399755517204,0.0862703871301094,0.18569870908862976,-0.3063993947774783,0.05734070964478232,0.11722322610652053,-0.42136565350192967,0.0448586595186259,0.1817472027323488,-0.08691551307043496,0.030977602427672443
Chl_a,0.07174928007174765,0.1333143431378911,-0.08051238598336849,0.16924634775349082,-0.057407267514659924,-0.09841490448263746,0.03581941957769356,0.1559933971445595,0.03226481700997714,-0.183074128404863,-0.020316402513004404,0.2706775036564993,-0.11621242197267545,-0.13831622342910224,0.142294022656968,-0.20529607634510666,0.0690911285970264,-0.1535848392421521,-0.17527969576441088,-0.016078688368405807,-0.027188642960825078,0.16032333542403934,-0.031164349326123594,-0.07375881450912429,0.022195301203726966,-0.08447320428345304,-0.10290570779540756,0.24375837716566706,-0.13471815558656874,-0.11528250237605428,0.13518369891705045,0.1797988118093598,-0.015637620553030585,-0.060691012521155566,-0.17038152020788985,-0.1413806133526713,-0.02843581725652168,-0.17068490700676575,0.1327202454791318,-0.02624788319657788,0.1583547824370629,-0.08884002380485854,0.05459961598478452,0.39301300256032856,-0.01185531918746521,0.13031007668018002,-0.1023351199964927,0.16366840360275597,-0.037306409836245724,0.09333565164498955,0.12541626692630836,-0.04629944111547203,0.14539248070534075,-0.013051185243141666,-0.13703399491520507
Phaeo,-0.02376505706458871,0.033736367201280565,-0.05233273081833153,0.07320583074502018,-0.06572193472176559,-0.06501145208282437,-0.024535939705731282,0.3377211722872423,0.04078067777138222,-0.11547599221809461,-0.0213153129763413,0.14876632424141084,-0.07106856287431992,-0.09051471550437265,0.13757777902576007,-0.12587720176920603,0.20793105105023116,-0.10440577312496635,-0.10417163101639314,-0.013686832290499305,0.04146546025324294,-0.009906270380105116,-0.007698427677821425,-0.015394993525614922,0.011097800243351857,-0.06354070928217916,-0.09593442618587425,0.3585537505587067,-0.04067405816568956,-0.07288675283051813,0.1999118330515534,0.15143578367846033,0.012275335574129211,-0.06451106894594866,-0.11265154474924029,-0.08079177075775308,-0.04257973991659021,-0.09886793418875849,-0.0015970150388096502,-0.012471988496698819,0.034278706970276164,-0.06692806085781217,0.06283681961695714,0.21582908474910018,-0.032591065682518065,0.09141864610725257,-0.059987584842524935,0.034870226581550444,-0.011394103005998413,0.08069572950427424,0.09949272917122566,-0.004854502243624196,-0.0037904379660160686,-0.013049499906357575,-0.0872444657234491
Chl_a_conc,0.053771588193845164,0.12107263172024679,-0.08180165139210502,0.1619577929090293,-0.06604422508451077,-0.10027397834231029,0.023401785477712322,0.2226959912984622,0.03816306582872918,-0.1850490365461715,-0.022844971227729723,0.2676296276968049,-0.11685921812789701,-0.14069676409297185,0.15682182817164705,-0.20652844410017845,0.11448704196190036,-0.15728749641315992,-0.17543505841940285,-0.01721524273498574,-0.011557527675688805,0.13188786489400392,-0.028251583033370456,-0.06609736858347467,0.021646288122666328,-0.08817141830819356,-0.11244476058490843,0.3020277378756366,-0.12413584394479404,-0.11657258419983246,0.16778805515909523,0.19206914810246425,-0.00979164643985741,-0.06847171218112003,-0.17362722177234463,-0.1406275735500708,-0.03543767915938618,-0.17013718605479372,0.110974624440655,-0.02542145776694583,0.14223950782590206,-0.09275729880721062,0.06290359357552841,0.3885404117953078,-0.01880591426628015,0.1342217942219373,-0.1021998246043579,0.14686058947466382,-0.034411407435540234,0.10027140932035797,0.1323073670093831,-0.040183703003504906,0.12101609194568191,-0.014500736059475237,-0.13873197590062655
