,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
PO4,-0.008686710537044664,0.08073730020119817,-0.036189068341034004,0.14990341873160407,-0.075320627807897,-0.10955377388857918,0.07453790375860188,0.008323765112985618,-0.06284903964715846,-0.08967942841078003,0.15154948360585685,-0.10936715936725933,-0.01786189055942839,-0.14496251203572383,0.19264653949391958,-0.05799778103433713,-0.06080900743412312,-0.02055663172733014,0.02561430802505915
NOx,-0.03627122309892047,0.18594160713326682,-0.02178480582625224,-0.04539938070044937,-0.10863411878733638,-0.07907378342006771,-0.07174352971885817,-0.0695006715160645,-0.08840056285563005,-0.03372142282060425,-0.06549060790346309,0.0069572886458947,0.11935841824392102,-0.09688567097860298,-0.09728578026880325,-0.09502966429645565,0.22048517806367704,-0.09707950730537399,-0.0211384531867557
NH4,-0.05299656658250583,0.18764949387371352,-0.020625005602899794,-0.0751183074313856,-0.14139676198619283,-0.11915628047611665,-0.07571740921557205,-0.001709731587624307,-0.057141996120341834,-0.07253812257905895,0.16540199058137772,0.03361761488652767,0.13541252766583833,-0.14655636983339282,0.028292604950480405,-0.13654606692975813,0.0338897933282462,-0.05971343206711438,-0.06828937301091378
NO2,-0.008399881896793552,0.17203469345317962,-0.046314850354358714,-0.05533538920608952,-0.1397370425862032,-0.1185274943902812,-0.08681811083841925,-0.03366494302263687,-0.13773200154081489,-0.02053541832275749,-0.04878162392400646,0.0415931130870619,0.1088669920546526,-0.13561387532238356,-0.0978541114895683,-0.05364662731959667,0.1898811103633184,-0.11970508806255224,-0.004734250534686073
NO3,-0.036647821270968536,0.185702906583752,-0.021316845285293172,-0.04511686680521042,-0.10783485725831617,-0.07820919770276273,-0.07130762676021564,-0.06992676886004232,-0.08734612998511114,-0.03385749791976811,-0.06560519030806794,0.006357038639286413,0.11923150584889719,-0.09598801527325126,-0.09702894780075091,-0.09548417851467375,0.22043951966206743,-0.09645220131114153,-0.021360640024202925
temperature,-0.0743966168299559,-0.06828023725334106,0.02175353029585421,0.24259832345824942,0.3734747826835788,0.22864106494773895,0.36261343919688616,0.3125330635966251,-0.03744485736312706,-0.39906586889833895,-0.04057441734477753,0.09630611706772603,-0.24366947027335875,-0.037376007242695616,0.3872119870370512,-0.2990353487501425,-0.14305268880653946,0.06757834266138966,-0.17238978221881762
salinity,0.06706178303480886,-0.5841698068995214,-0.15758308511328772,0.08186142983253031,0.26838028249365714,0.15468425273277098,0.24450224083266853,0.1499654500887023,0.14196484188326686,0.009066195086724977,0.1565316952027883,-0.1053219640402673,-0.1878641589833433,0.06340435759784425,0.1675922404097629,0.16937124159064748,-0.4910983142772216,0.3580912078589724,0.06552970110602235
Chl_a,-0.04798421275713487,0.1277861361661321,0.18040087895226434,0.1808581333967474,-0.07261115439465123,-0.10244913942772568,0.03355741581447427,0.18145960574725536,-0.18511506953518386,-0.1728620911525972,-0.02024097208018268,0.060348836315383445,-0.029403245258738053,-0.12799666726484205,0.19738928568847702,-0.22657094207366843,0.2587812223688807,-0.1485426849765114,-0.07255948416599674
Phaeo,-0.013730106617720228,0.07534534814343977,0.15107777884339593,0.02733790037185139,-0.05324460412626272,-0.06955749559478533,-0.027661387051594283,0.33794180188236833,-0.11951551324221295,-0.10582854056723748,-0.026635845388688784,0.10738822305958491,0.010974551646152303,-0.0805376382434966,0.07510478738070255,-0.13483146832246898,0.09212303989822065,-0.09764665179612347,-0.030892850752728105
Chl_a_conc,-0.04400924770786899,0.12773637537291116,0.19247727534669634,0.15924368493327265,-0.07541690763580264,-0.10489547079341527,0.020653890532303182,0.24413286655781416,-0.18785970015398235,-0.17385581030563013,-0.02422712551911336,0.07983326708089869,-0.021700230448490017,-0.12932373187247553,0.18609754256071645,-0.22681974576116218,0.24225486674737717,-0.15121868788171705,-0.06930105155115432
f0,-0.0562050003100579,0.2859990540943358,0.06940443708430168,0.24304441462931245,-0.09414041857307873,-0.16801213382661845,0.05220526233662669,0.2147491883369966,-0.28810639136166705,-0.26826791159592944,-0.02797866402233534,0.16314582025865865,0.007879619210997939,-0.20919062194666505,0.3246477244239073,-0.36216622803591625,0.3496525156619305,-0.25369986910973996,-0.11802819812267631
fa,-0.04900740484563572,0.2876755384591697,0.06791212891196842,0.2181923219870201,-0.09590842201388522,-0.170161779419295,0.042047779279320754,0.2508928693761281,-0.28888367731701214,-0.26794555328367287,-0.03234462848525223,0.18139992513888115,0.008191005095718873,-0.21205568790171503,0.3132376415423408,-0.359346005741799,0.3279346808521051,-0.25776302839483256,-0.11703229857901652
