,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
PO4,-0.0134685492937159,0.10084338877454621,-0.03450864519650126,0.2702972861337961,-0.034263234017925484,-0.11906190010187528,0.13709581460679643,0.0013707308565671077,0.0191492154841939,-0.06287327876107297,0.1649381022198967,-0.0625997249701076,-0.05508036629150641,-0.21511450877487473,-0.02881355847449326,-0.03569624390768057,-0.01608028932539691,0.04778712046947703,0.007102686726211635,-0.007970068583314298,-0.017586197016780256,0.16365374977221878,-0.20139032369495763,-0.07580842583253622,0.16141215970578388,-0.05727408655225076
NOx,-0.09920305468539636,0.3486324739713088,-0.028763978397529828,-0.0746293907453695,-0.13356701411539276,-0.08332814197739496,-0.10583147288151723,-0.061698231854214414,0.1939677266152673,-0.07154026104496683,-0.042351200209774675,0.1068696538081551,0.017711808837393907,-0.11954097061008184,-0.06341186672053661,-0.06320794451513978,0.3918611861531538,-0.09020446232540211,-0.0016634759521734705,-0.0074832223188858096,-0.04526749878284703,-0.05314381306561906,-0.09881259748295837,0.026192736632747148,-0.07234839446868035,-0.08569342769245435
NH4,-0.02735076083828611,0.28972891152008207,-0.029683404375912856,0.10548218982584817,-0.13786935051197047,-0.1267182239223936,-0.11260355941723889,0.01681040539336154,0.22732688517238336,-0.020550839728586803,0.21236622748460476,0.04454763369582701,0.016243664996850534,-0.1935263093511327,-0.09316080474476991,-0.08495858305439333,0.051437068124305,0.04618359303131654,-0.04204823960012098,0.01625947395616677,-0.06388841974791304,-0.1000254649710054,-0.1779873889007686,0.07083691942573668,-0.0002767139112564779,-0.10597095318770434
NO2,-0.06517050808326694,0.3219973561718108,-0.04888464292704898,-0.06484585909022295,-0.16553863236280525,-0.12423209182605471,-0.1242644882520801,-0.016657710272256033,0.1832548650027141,-0.11206983192749884,-0.004638640022967976,0.16822630155918036,0.045490121181469695,-0.16817643302757146,-0.051192274386779646,-0.004107331939268112,0.2731900825988319,-0.06621593058652196,0.03204856755725381,0.005487827154866843,-0.01840406016835252,-0.06637088997312422,-0.12862645879195672,0.06245958845218498,-0.04927533530889862,-0.11391502477659532
NO3,-0.09952332777046038,0.34819434413610806,-0.028352443497581523,-0.07460426041797576,-0.1326897688945678,-0.08242835018831307,-0.1052524398124298,-0.06229898330151912,0.1936549026988063,-0.07067672772259284,-0.04287787179663555,0.10556601644560903,0.01719956560640885,-0.11841909368378618,-0.06345622217954544,-0.06404134615978557,0.3928612049160424,-0.09037866932049077,-0.0022262766033464437,-0.007682372098412312,-0.04560427824849354,-0.05278625998116174,-0.09805998124836512,0.02551616199061337,-0.07255258856258415,-0.08500093823604314
temperature,-0.2783677216546012,-0.1828311569469077,0.03431418114307916,0.38881420472930106,0.5525166524486476,0.25129492487769445,0.5362903086798638,0.2520978892960483,-0.3021825874345331,-0.10110050145437582,-0.09093037602938449,-0.009005414655004733,-0.4558380851580521,-0.038603078158895965,0.368812531255871,-0.3037266418186336,-0.21880584443772416,-0.10922621169720556,-0.25421923038625327,-0.045855527866617625,-0.09218132032101936,0.31003408225078016,-0.025825061188819238,0.05113104586344605,0.25741109485202884,0.1665038389866736
salinity,0.07717768375959311,-0.738992755496809,-0.21456709531660317,0.12155330713747152,0.3643877278632316,0.1616650830341353,0.3721213485131671,0.11549540448259552,-0.24791281373394805,0.11974488747114045,0.11128666926189876,-0.4308282325658569,-0.027700013427224418,0.07100551697860097,0.07144271301866431,0.17786018547296056,-0.5113788045409592,0.3984575206890787,0.03154759608980028,-0.016392547668045335,0.10637706277322184,0.10616413676714288,0.20071315683534377,-0.09698001637198375,0.15507624673739934,0.3028473973783206
Chl_a,-0.22309712770095932,0.14075108847395243,0.2219109991933673,0.21396877978919848,-0.09165303723524987,-0.11000839420774583,0.07241210312430199,0.16135543086383425,-0.038447621487589255,-0.21499086139822948,-0.010597680589632383,0.3215361641784338,-0.18508193572285164,-0.15838473233040068,0.27128275840592997,-0.2078971794561358,0.16551077278640558,-0.20301210830038563,-0.08899164637086548,-0.02855777568996056,-0.06249777323996703,0.22791849625071217,-0.17237506464328628,0.023013730475936633,0.2270851766550515,-0.09541200849723158
Phaeo,-0.13130270984279602,0.054449203616055014,0.13490452953341703,0.060736417070253304,-0.0827715567420713,-0.07581271817691185,-0.047489251221339415,0.32228087247695014,-0.011391069804649483,-0.13236654203533757,-0.026532850783045313,0.197046682900203,-0.11677979546613157,-0.09995605375926019,0.24633374219608997,-0.1190441432602521,0.015692516254441843,-0.12305693967254211,-0.036506011723793655,-0.024172920243671285,-0.014499165258102327,0.004867252756636005,-0.05298223635286837,0.07801866891868733,0.15666414431011216,-0.07036106577627013
Chl_a_conc,-0.22294505764158973,0.1329424357896754,0.22292792913840975,0.19611118803675007,-0.09942294006497066,-0.11294029447717274,0.047882632424728344,0.22300221663426004,-0.035368543307290466,-0.21642948682724852,-0.016104338238596683,0.3234383028875092,-0.18708865212315626,-0.16010774816942958,0.29464462783602113,-0.206855478630525,0.14319695278648928,-0.20384502398196822,-0.08461956850413357,-0.030539323328380868,-0.056401208476131955,0.1926424775512132,-0.15908980292633662,0.040514234337484904,0.2331828672721225,-0.09920664987965772
f0,-0.33279962307008126,0.32281892725108347,0.14733527658699136,0.3524014933415668,-0.12489007683957204,-0.18188860931910206,0.08793308472927619,0.19323004510417682,0.0069911945610413966,-0.33011425584532245,-0.04133568091460666,0.372073926700504,-0.2853881112576784,-0.2707052405103204,0.37893339607019294,-0.32996204298402765,0.3286870132028855,-0.34755621906417894,-0.13826972754029504,-0.04503512013124773,-0.0646418889437903,0.293959668486231,-0.22868499914091195,0.1119631045711485,0.24856728319403043,-0.15339479811666157
fa,-0.32913511868634976,0.315232353774229,0.14353533399418036,0.3396666384064799,-0.13023155672267533,-0.18482473544292083,0.06912804252068142,0.23700000992590067,0.006587976381148487,-0.3279385010562187,-0.04392791818872416,0.3698520799666175,-0.28531403407092165,-0.27474674934836935,0.39403189229303337,-0.32517564647554825,0.3007167500050295,-0.34743202198622414,-0.13520331928480925,-0.047878428655218803,-0.0529997102995321,0.26418251900281864,-0.21135717963264722,0.13296435961680397,0.24041432886405492,-0.15867065948338946
