,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
PO4,0.06934152952887467,-0.013719794179515426,-0.11873175450670904,0.19053053205155224,0.17900648787896126,-0.125884412144592,0.07696567702680376,-0.0250429747256098,-0.015018332870922867,-0.06376926422350225,0.13913743777877072,-0.043212747382309166,-0.08620184213647905,-0.027535646589860678,0.03132125141119558,-0.09351407949972061,-0.13372047372636967,-0.08729676249431473,-0.043083971648790555,-0.005920665521196508,-0.01569745192715743,0.1495203788793673,-0.04699210766690871,-0.1437519228845694,0.05553508301668377,-0.05387068002887599,0.05535887399717989,-0.09788514565037484,-0.027647326805430646,-0.13222764744894122,0.024823128470612327,-0.036676788171023586,-0.07539068504277219,-0.0286255005260456,-0.023744848085723913,0.023775990006979372,0.06896542373533265,-0.038785605442717086,0.03095971054126646,-0.02901361742833078,-0.050502085446770796,-0.10994989321696771,0.04498269120219698,-0.048003458345830904,-0.0377509444827326,0.11262969146735247,-0.06070970394389445,-0.011241747977150301,0.0019245572074889415,0.12256142072105208,0.05188800694682928,0.047972784673415474,0.2325684726237089,-0.007078745153865586,-0.13906040349421028,-0.10163191323292169,0.09726227573115051,0.049653445163264226,-0.03157390790291506,-0.09992064456542181,-0.07860349434644155,-0.015906710772030555,-0.09798106899934361,0.114577813970685,0.012636199115432989,-0.024522992657255018,-0.11264790418169748,0.09890958342980616,0.1505843471259711,-0.03768470438838328,0.10907122565302524,-0.006645611518726597,0.050433929459572965,-0.0010357769980768967,-0.031258184544079186,-0.06149233791546726,-0.11076161293743496
NOx,-0.12206272699456418,0.04831194844289336,-0.06716275954177918,-0.06933612397190166,-0.07995438352960843,-0.058192328946754496,-0.0678013885296846,-0.033188987314580115,0.012417805162371454,-0.08246879531088305,-0.059836211207611116,0.10108134526313599,-0.023502944284810184,-0.08362971120433885,-0.06270975049259417,-0.07501492195488896,-0.05589750787332208,-0.06731927797539713,-0.04923047635682353,-0.009908696582369628,0.07882451138555202,-0.031495253730682925,-0.0628335686461037,0.07839809354585438,-0.042966405334504104,-0.07142954137294388,-0.13176936089189595,-0.06962995926674304,-0.05780841554267386,-0.07792953868940952,-0.012301502522321215,-0.020865337226373556,-0.04518529340933436,-0.07191938550386331,0.012931154695189248,-0.06859548542750898,0.2813640857489279,-0.11029982544858766,0.39796711347843367,-0.08867512164298672,0.25106372029717794,-0.06931293825120166,-0.011823189688308295,-0.04543075459370018,-0.09780435759562026,-0.04696249761973022,-0.06039494481168838,-0.05746668013646755,-0.022872033319147965,-0.053498979891648306,0.04421572437775954,-0.03349207799994636,-0.058809200775720855,0.05876174746171482,-0.09088155915829631,-0.07296125966298077,-0.011356424388742875,-0.011127610478859917,-0.033918041011996934,0.08090329420935868,-0.10352555566458818,-0.0383256833703616,-0.040461344611013306,0.10914451871870273,-0.014844594029783558,-0.03471662713115754,-0.11262835122236425,-0.057659508230248506,-0.06573679458587219,-0.08318542951232491,0.020142802428402017,-0.0494660421176151,-0.03281764692113539,-0.005647057119409599,-0.019761767365847692,-0.04678068795898015,0.036176254702854044
NH4,-0.013380940667438983,0.0832735728423068,-0.059765137661855934,0.07869375435253488,-0.03517029060996523,-0.106860593753328,-0.07075789675555705,-0.0660719530730137,0.08008649019647143,-0.06216306962915538,0.16247738183039162,0.04998996925235442,-0.04861273057009305,-0.06873819578139229,-0.03940075620546552,-0.11972523586413406,-0.036998672882131045,-0.1069113827870195,-0.1087695790559946,-0.0103517497283099,0.12983886088112592,-0.06291353752576322,-0.09004593351677401,-0.026213562607313244,0.05224498808724746,-0.09374795802463462,-0.006223271169041214,-0.1053785091383754,-0.07992687562778061,-0.11699179783418433,0.059523266296502016,-0.022063274719080074,0.019063231178430902,-0.0625266843979902,0.01747172362650395,-0.03951403704475839,0.3072239357357738,-0.12731401989539673,0.14989532181872328,-0.03563661405892846,-0.009686023924104746,-0.10997316241269875,0.03523702210726903,-0.031629661443657094,-0.1251926379605279,-0.023911354143436484,-0.09954489852096439,-0.007534071845486524,-0.03420368193039384,0.0663460763191297,0.11387856215566008,-0.032162071232907055,0.045333440608206446,0.0028962589837008305,-0.1373005501902212,-0.11066514884964887,-0.032982797967548834,0.1493000786578385,-0.006546122228858234,-0.023266802958030068,-0.13037149526037642,-0.05020293530065146,-0.11903358575538137,0.45567733159712714,0.005059198745325307,-0.043000981251939935,-0.15860068720155557,-0.07648623764783355,-0.052594899633973846,-0.06098451258444256,0.06840483920158806,-0.06617225822448874,-0.06647999882583092,0.023435963428977986,-0.07705489980589407,-0.054652933409908275,0.0173715920740143
NO2,-0.1478461412462902,0.14098687822770095,-0.08882892773285825,-0.07597353020335258,-0.10177354411387415,-0.098283000126722,-0.08098161431172396,-0.04399482104706437,0.030781217843392796,-0.12729604537164468,-0.04313236252936775,0.13910914032487395,-0.007995727450545054,-0.07319211533011985,-0.05196943162596198,-0.07349745094876776,-0.06157437080131574,-0.09984194745159253,0.0031297310623962737,-0.003630967504800301,0.08299863917815173,-0.045768364207546985,-0.0856685719634859,0.07189790574779603,-0.02071243863756019,-0.10150498896412544,-0.1948578237127293,-0.10259238697437303,-0.04164784373754778,-0.11712110073938833,-0.01813691574116004,-0.04525908352716427,-0.035428529204998664,-0.10834164175906807,0.017822115082697175,-0.059723880258609294,0.27155879611924894,-0.09461457784528471,0.26739388098602934,-0.11446752905391991,0.16993108855065103,-0.10387034300571166,0.07458670667017116,-0.022610783265753505,-0.14117348234796112,-0.048317572279538326,-0.052887589880149785,-0.030990810957925122,0.0023426247863007205,-0.01670685682681613,0.04488919159702204,0.01949966797443664,-0.027811774950438087,0.03335765187604313,-0.12897110127918424,-0.1086602128999768,0.011177596390658243,-0.009297640445185365,-0.04808078037607262,0.09727611789427729,-0.09954994354935005,-0.04708375188953522,-0.04319038779420668,0.16974748781257054,-0.003991558810628852,-0.037869931609667284,-0.12315129796971097,-0.05123061078930728,-0.05740900470240221,-0.11559638090310925,0.03950761218090837,-0.060138940504036106,-0.036464196640137156,-0.010750857859302035,-0.010234975716762094,-0.05131431152418522,0.07742475125323556
NO3,-0.121318806610961,0.0466303821744791,-0.06662763065727459,-0.06904825128805468,-0.07938416861476458,-0.057370104529029284,-0.06740736800920769,-0.032922878569083394,0.01207737423515244,-0.08150519874251798,-0.059965079134037064,0.10018480604760285,-0.02370403415346418,-0.08359270578555322,-0.062731009498706,-0.07484977849456236,-0.055659948511728494,-0.06660114743457295,-0.04998603277053074,-0.009989101389525124,0.07855395364348208,-0.031175131193110397,-0.06228978381978882,0.0783081591479082,-0.043231503289597586,-0.07074212539483204,-0.13037330670439823,-0.06889855898843006,-0.05793329976822393,-0.07707227060642835,-0.01217208524524546,-0.020402006222196834,-0.04523455152750969,-0.07112397263116274,0.012816022495507704,-0.06857035320967722,0.28081385955871274,-0.11028329633513133,0.3991518037247119,-0.08801591195985185,0.2517902184977778,-0.0685555166082294,-0.013246532831953284,-0.0456991089280281,-0.0968263076421764,-0.04682034003243178,-0.06036770970448219,-0.05776593386402605,-0.023238003694813124,-0.05398183539895737,0.04409201279935927,-0.03429825935632516,-0.059181093723622735,0.059039682507099664,-0.0900099063777251,-0.07217536442607764,-0.011706576527259673,-0.011130106873363271,-0.033593616842637314,0.08042227355045799,-0.10332929150264036,-0.03808096151413133,-0.04031260130658863,0.10784777598519057,-0.014989408751552033,-0.03457534931686966,-0.11216508790491558,-0.05762108643394982,-0.06570978151455693,-0.0824288507200168,0.01976589345055759,-0.04916079758874704,-0.032672899513520995,-0.005546859135077983,-0.01987177689817083,-0.046585530026664386,0.03539051464008749
temperature,0.38895624462668016,0.021766186422358134,-0.0661272321544905,0.269676340577106,0.37170195882801366,0.007476216991183299,0.3483926380818877,0.24366982806693308,0.012614293142958458,-0.07605165017884383,-0.053736576157481945,-0.0982025184050353,-0.4046086874281017,-0.197530458864268,0.279817986155995,-0.21647233502967667,-0.05244121543290217,0.1999936780843457,-0.35288808945398453,-0.035355276228747394,-0.2452084261480077,0.18696616118732054,0.28550679267112017,-0.04796276013025265,0.10417461058028515,0.16944831605424468,0.18244740365315182,0.2410905633942213,-0.02813798790094455,0.07189811775830465,0.003454061947913227,0.022755776547027574,0.11239980601450202,0.21176551001717703,-0.3102277620305034,-0.0516727092175271,-0.27713044174757573,-0.08506385280632561,-0.28935142800042063,0.07457363864206354,-0.13697944352776376,0.2808442335323099,0.1554761887092891,0.19779979380051388,0.3576130682941227,0.1784786830570541,-0.058723111550396764,0.30037469352374785,-0.05450219125572893,0.18300198765958542,0.03226180889717106,-0.3659056863170165,0.2625970949634599,-0.06216386574925855,-0.04889121804602378,0.19732890677193787,-0.17151964081497778,-0.23681210799965757,-0.14364448273578131,0.04709221596643262,-0.08732523711668985,0.15980652534123485,-0.2548836765319005,-0.2768661018488735,-0.022552171488981018,0.056684323335972064,-0.023921270849303036,0.2775534715029745,0.27059594858851865,0.2759186911332605,0.12044026205770192,0.24356344540749233,0.21017480146749282,-0.07109739990186331,-0.12784229007273717,0.14143179987413046,0.06338763971536233
salinity,0.31975606783629235,-0.34037185515498525,0.03823202053094183,0.10300722116316163,0.25711525484581077,-0.005355856412336907,0.2353228297089545,0.027892899948321222,-0.09058962653536462,0.1189943536047156,0.13954760797449436,-0.28694959476215653,-0.03623438930727581,0.035698041718336515,0.1145589529645636,0.1758089343676788,0.04660554620761176,0.13134761263977948,0.10859245262584241,-0.006249809043683677,-0.14075478777902414,0.06012035527463566,0.17265485632536556,-0.0643501802221264,0.05973726477798304,0.23179994056546105,0.26663166942990707,0.1472083716441699,0.18910695494447097,0.11306990213592272,0.00785234265523213,-0.15270668474914656,0.008411776740990503,0.1663602851474434,-0.042081804083657505,0.2992971574347201,-0.40171585750848754,0.1895702819467941,-0.5645491178731106,0.2884436897775847,-0.3885215873613499,0.1616130419121414,-0.3527301694528133,0.06579411396330773,0.24072483619961918,0.08689680827425525,0.09386705224156272,0.16704269187482848,0.047377575004799194,0.10957812587053214,-0.3779902646785219,0.14998724959504678,0.2038196374931596,-0.07890738882074283,0.050657941258462916,0.14886755942576935,0.05685615263330953,0.04081703633486985,0.040675050345656834,-0.3512154385112553,0.10032802798002373,0.11871674741574365,0.03358275613193608,-0.3153285612364418,0.056890823412337366,0.1119165905389718,0.18967716627356368,0.09605464145805581,0.175877470698792,0.17386227471658938,-0.3313565596801337,0.1458145074850567,0.06783884487419473,-0.20724348408904303,0.04340075307059266,0.11543967442762498,-0.08357053664980812
Chl_a,-0.0012674065472351517,0.13339188708579222,-0.15211093835350886,0.17125794977210718,0.12716263801817654,-0.09775928827448455,0.036557620689930764,0.10674464140672041,0.032312422438382504,-0.176023154580234,-0.021561911881552168,0.16571287054842984,-0.17572625055875998,-0.12961279926643487,0.10083398836684807,-0.1706946918544448,-0.037805623212076145,-0.09097354139270783,-0.178482819710411,-0.01584512597577718,-0.028113687271134884,0.12335989811138115,-0.03693776535240764,-0.04534275913379375,0.023977815854825165,-0.0776110001794253,-0.13917075878767698,-0.08929603520748797,-0.10566845879540232,-0.08288310099057752,0.13248514565854225,0.17974524341389242,-0.010615311157085298,-0.07986474356287353,-0.13564422913724544,-0.10904577896344167,0.006775533417242219,-0.19612225485212942,0.1372978259255958,-0.1520313829298238,0.15902106873414112,-0.08454177807095947,0.2621271847444929,0.18555481670226853,-0.05151575065974082,0.1298997671843495,-0.0724393835524927,0.1479450504562002,-0.031467104799834604,0.09643141572148256,0.11145983014859848,-0.16139930971484662,0.0328950688815611,-0.013853839222274672,-0.12419337033127004,-0.09881511634956687,-0.07580006185790632,-0.09592640964259713,-0.0621303489062595,0.26907600407843413,-0.1687692152459443,-0.03647367528948174,-0.1130169294079738,-0.011800131089246033,-0.02631290618068469,-0.04496358569123502,-0.1396413996171243,0.41830821649522837,0.14434204095348113,-0.02951702909618303,0.035845894610592836,-0.015354582923512721,0.12897230243594726,0.1353165520267313,-0.04568386820859528,0.0036300430036766253,0.06593183665264338
Phaeo,-0.05086921295725777,0.10910034436944469,-0.09697382572129495,0.07734236453374205,-0.026944060276051826,-0.0664841804654057,-0.02430022252095789,0.03862398099776482,0.03843250568855257,-0.11112159256237271,-0.021532315628131456,0.034634957912641345,-0.11275992460679359,-0.08479339123879379,0.04133256002415326,-0.10001872446141828,0.08736412300121373,-0.06111513801223186,-0.10593393517586719,-0.013427927080310728,0.03956611328827352,-0.009925993142411636,-0.03727873750057912,-0.03139243996224539,0.01596956291779063,-0.05949118857535472,-0.10664223510182257,-0.06710693197209507,-0.0038627728945069256,-0.05673074526676321,0.19593976635431865,0.15146905115239498,0.029354982338737096,-0.05068089514347697,-0.08796590952231237,-0.058904571455849666,-0.03411125825977213,-0.1274662375682947,0.0012562855499312965,-0.10434850118151573,0.03501200225162041,-0.04832926932092345,0.34996054315759295,0.42100880313133077,-0.0626158304434024,0.089239749823247,-0.02957405843113918,0.32271106050791154,-0.009142278997696315,0.07796371783173248,0.09435903048154821,-0.10045100025180956,-0.013017560734045953,-0.013417631912512495,-0.07913621920837499,-0.06541957190101658,-0.04881098408242744,-0.07702452005180954,-0.04096065663235325,0.1462030924370502,-0.098756473431101,-0.022058983301342865,-0.07305170409895517,-0.033508491974202026,-0.01255345423413534,-0.025013484591661098,-0.06593290995417378,0.150211836631766,0.030863476570102286,-0.05438176876914713,0.050371359225666254,-0.032782205090365966,-0.002465179676151856,0.03671873994674352,-0.004304895084150218,0.07556642581902585,0.1709974066248542
Chl_a_conc,-0.014883944270805567,0.1416124693995299,-0.15403117162987484,0.16477018482364175,0.09942319968862257,-0.10012374677686331,0.024085488077212787,0.10009725643593763,0.03756507991209465,-0.17794728790747857,-0.02394943599091219,0.1485128458038239,-0.17814315869178188,-0.13183654619754684,0.09587157685068856,-0.17045804425203942,-0.008000007319860926,-0.0929689796055723,-0.17860261559057042,-0.016948846077091552,-0.01285004270574945,0.1008545271860741,-0.04113424804256387,-0.046590419298976865,0.024466124327170366,-0.08131095636401563,-0.1457955757865723,-0.09318868088628363,-0.08975002290575115,-0.08498652978389204,0.16444370231589225,0.19203321957579872,-0.0009356349606605184,-0.08080923744687352,-0.13776137430157023,-0.10753867865476976,-0.0035797410852659957,-0.19925942866822455,0.11559233264076962,-0.15596792907818516,0.14299802453047628,-0.08409636497901346,0.3151123607509939,0.2701379717935505,-0.06025488649350065,0.13328541227267673,-0.0688419492181572,0.2118621003021395,-0.028897985952623443,0.10212783870449449,0.11919729168575283,-0.16277272153900088,0.02407630848336626,-0.015274516125732109,-0.12575041996730257,-0.10072080283995827,-0.07688923396691277,-0.10144876520317078,-0.0632817927124935,0.2655889171888528,-0.16849882784021003,-0.03660980534074271,-0.11471562256936815,-0.01900883274986427,-0.025498172050930832,-0.04453910942725019,-0.13513080886682227,0.3919470376636178,0.12954903928257683,-0.03955162712882643,0.043774685211585306,-0.021795207024757512,0.1075926514594279,0.12356357849014186,-0.03951766036062716,0.02357688989254844,0.10180099394889075
