,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
PO4,-0.021709309290729416,-0.08312641620954775,-0.11419029977070876,0.17559948705327733,0.15441457199108563,-0.08976122216317975,0.07406365699314724,0.1667240289100082,-0.06913242767802545,-0.06085963670759838,0.1423577507294712,0.0015970626488965322,-0.09069002875169171,-0.13921674393610878,0.03232933745462428,-0.0979698550625162,0.10828118085041344,-0.024150418547501894,-0.044820219493586076,-0.005944005566351874,-0.014978992149311983,0.1514169685075341,-0.04961590159056398,-0.14079615379864135,0.051483001573408925,-0.056764505243644126,0.07829521192985786,-0.09955266281018876,-0.10211357515984427,-0.13046005642064376,-0.06038983362700212,-0.036559051508521234,-0.11210252261587961,-0.11078203458609001,-0.024583986028701262,0.04991798244148822,0.0719387513589537,-0.03254429399856243,0.04315703804467684,-0.03466181622525976,-0.05326225464736954,-0.029174919149143035,0.04653019494760495,-0.05004202074364879,-0.03370939162607781,0.11159035716679983,-0.028565836159174577,-0.008261118652750019,0.0018665658998636503,0.11270576613008215,0.04378695902248672,0.039194228887861435,0.24838903980620786,-0.004647349954913614,-0.1293515399747121,-0.10114428032423527,0.09943215902999321,0.048029008705112966,-0.04357225680685617,-0.06815618921030306,-0.082089118187623,-0.016471173143176025,-0.09609710193550669,0.1096893348164082,0.011966292255293012,-0.034439280251332596,-0.13047555256246224,-0.023355013011108688,0.1321420598944457,-0.048505055733162446,0.1027532661379898,-0.005989441209230004,-0.1002569715735537,-0.007585923267137689,-0.0300903552826284,-0.06351787376450119,-0.10208219802456653,0.045123148184426434,-0.015057335625774266,0.02440317163197118
NOx,-0.11077721758618543,0.13171532419843412,-0.06959098000188382,-0.06641125966052072,-0.07934259571553544,-0.07039971743252157,-0.06928104536487494,-0.0813659595754971,-0.0591322602498302,-0.07946208739056151,-0.060173376615473034,0.016627529630583057,-0.028386215438884314,-0.09031126472658792,-0.060193236079697954,-0.07891559163539529,-0.05472488085264306,-0.03484245222985603,-0.054381964724051234,-0.009843926669695607,0.07697541468499909,-0.03917822044421279,-0.06328922445308117,0.06670992561479434,-0.04268478560979185,-0.07163027241081485,-0.12798184086651812,-0.0689015945693596,-0.11148248171138221,-0.07476307321271339,-0.0602893683053134,-0.02086180915393778,-0.010481210538913023,-0.06925658160430523,0.014494884852670566,-0.05855989792160743,0.2655892616387554,-0.08555709431769179,0.3864642680449468,-0.08217914804712062,0.2572993203038262,-0.10919118526182726,-0.015398914751005584,-0.043810270594087056,-0.09867323989200004,-0.04575679458340824,-0.05756880781733889,-0.0578175536822992,-0.02277348353833867,-0.04631927525745988,0.03259159354419335,-0.0361527232488522,-0.06886276400819447,0.05234561242663187,-0.06064422040884286,-0.07446193107512639,-0.010876920581455524,-0.012192890403464801,-0.030307859008887904,0.014958642726565698,-0.10539536956955102,-0.03794702639096977,-0.039679352576549476,0.10639136920014367,-0.01483723191136364,-0.09112364331715456,-0.07039773078047834,-0.03499091583379622,-0.04921077646858192,-0.08357978832107199,0.025375012259785727,-0.04973120952010468,0.1666871116479134,-0.00266113566702271,-0.019636465587169895,-0.04606676012646137,0.013160382650439211,-0.020090606723068415,0.01313103047566828,-0.012353477899926427
NH4,-0.11761368223803587,-0.006033735547188532,-0.05720328984953399,0.08695290893500182,-0.024267410480325515,-0.11156211296278881,-0.07278489586388356,-0.0057983561710334055,0.003504848940437656,-0.05829394707214346,0.16350122171227016,0.027293091408695673,-0.06267416005942841,-0.13667407594102238,-0.044444216567457034,-0.1262336123813114,-0.0758459611673972,-0.04290960121244754,-0.11311892904836054,-0.010248859180514663,0.13024156402664283,-0.0787722338118578,-0.09051308356587162,-0.025011765367378272,0.04880850351871106,-0.09575296085528777,0.0056552554994564325,-0.1055033390051287,-0.15816088614722718,-0.11729423699032024,-0.09948873780407642,-0.02199177355785917,0.006675327676819928,-0.10994450659159759,0.023842623775915246,-0.00806173081471609,0.3268900772927874,-0.07768786389619711,0.16418070915500682,-0.072736417638316,-0.016922428471376365,-0.07965289805689929,0.031971036616929197,-0.03419805194596056,-0.1252178325507513,-0.0266313778522386,-0.08130987866189035,-0.006617553320473096,-0.034134933072865206,0.06827372558068519,0.10913886788967375,-0.043655238773626606,0.07706504505165235,0.0010000905389327425,-0.10991349101915958,-0.1112660824200688,-0.03214920169060925,0.14676973688568476,-0.020492560785078003,-0.005594985630769541,-0.1343748962687636,-0.05074143880430518,-0.1180891139070144,0.4437221339465599,0.004374823369091585,-0.044658091081344636,-0.08894319673300555,-0.06764275022251832,-0.06172974566278988,-0.07115682227898684,0.07761305379862171,-0.06770527658033627,0.013420934361487058,0.027371284159922078,-0.0766592200217044,-0.05633352126994784,0.022918793810441804,0.07302079989126214,0.07983078516763545,0.05924366934683625
NO2,-0.09610747776246836,0.11937856553119461,-0.09298337860921811,-0.07650660518444362,-0.10628054799266687,-0.10483357252581976,-0.08345509695073994,-0.07063712160916179,-0.05681791356991496,-0.123358636377493,-0.04280808062185676,0.05436788657869299,-0.009946292563480256,-0.12834689679120853,-0.050991358955359084,-0.07650339948685564,-0.05055923435457646,-0.0379974804594106,-0.006783983961846362,-0.003583676096436555,0.08140401971245613,-0.05306964157693936,-0.08464330703569845,0.061717198858031314,-0.01928385517728752,-0.10230210369229747,-0.19165035801395375,-0.10165084574462697,-0.1174547939186254,-0.11510911245172603,-0.052670215878956164,-0.04546096542219477,0.017147121249683636,-0.10179361778587541,0.01787642304938645,-0.04951416773879119,0.27981029517458567,-0.07458109084042523,0.26017610118196144,-0.0854244487080156,0.1630991672300816,-0.15366833616386544,0.07384264248818603,-0.027325359549839674,-0.14144574160049742,-0.04686040461672758,-0.04071725645455199,-0.03279814081853024,0.00246441540290079,-0.009586389203774175,0.05509036871230307,0.020071491916770566,-0.04347594963357548,0.027627134505805267,-0.1014661294318891,-0.11096249619700449,0.012309397086488476,-0.009885434175172344,-0.04598492494676482,0.04792376722070911,-0.105317483488725,-0.04577453397138476,-0.0409766517624844,0.1637624422150034,-0.004045911003259178,-0.12409746847226068,-0.09857683253706157,-0.044132726678663824,-0.04929562475442614,-0.11531665438823421,0.06020655198252377,-0.06057601916837849,0.17561611545083344,-0.014627824918346377,-0.009804035916563758,-0.05052290770040044,0.05191439020541944,-0.0064587785329641234,0.031121845059794043,-0.01800444414234392
NO3,-0.1107423944703115,0.13158804206506133,-0.0690206444648014,-0.06607265942866526,-0.0786878389069268,-0.06964161157715595,-0.06886654805097826,-0.08133960660514122,-0.059020889341230724,-0.07852178720947345,-0.060312512951869894,0.015950483057803295,-0.028624220831287364,-0.08944196822973075,-0.060195015129455846,-0.0787555827645204,-0.05465585070389645,-0.03470082561023429,-0.05504432794746182,-0.00992420211948737,0.07670527658206149,-0.038844989878224184,-0.06276919021984415,0.06662434412910119,-0.04296989102718288,-0.070932315195334,-0.12658565711752354,-0.06817563117034484,-0.11109867149012197,-0.07389443536197701,-0.06026428195198316,-0.020395032169188934,-0.010919272354498251,-0.0685332853343486,0.014401166218567615,-0.058563202105268795,0.26467501346793587,-0.08552424592043831,0.3876061215013992,-0.08191568641267738,0.25822976202541725,-0.10816555643177372,-0.016860797279066114,-0.04397618950327431,-0.09770301654358224,-0.04562193113293398,-0.05770592317445337,-0.0580914183303956,-0.023140095305469233,-0.04681938321495713,0.032130330647465545,-0.037006511369528254,-0.06911473442608511,0.0526283235645294,-0.05980346471746128,-0.07365873862509598,-0.011239262966832468,-0.01220071036096807,-0.029967140292118798,0.014366156298789255,-0.1051287940164848,-0.03771891879384062,-0.03955667847887652,0.10515598394483835,-0.014981027325201192,-0.09033742039753806,-0.06974483347308642,-0.03474821556801687,-0.04908426929728592,-0.08283354513745489,0.024724657660627408,-0.0494223995022971,0.16611325581721495,-0.002453094869809183,-0.019751934362139054,-0.045874719927382596,0.01247509922867179,-0.02026882619885967,0.012795053742453155,-0.012227030871269928
temperature,-0.05674063868192195,-0.00872201143763,-0.020056285227839914,0.25278217509319595,0.3244687510984534,0.21380858944871128,0.352388690265096,0.32120157466000265,0.15261227085475015,-0.08003900498797968,-0.05250087340742822,-0.09014413154943518,-0.394187056157954,-0.046994663437512255,0.27737943718840696,-0.20921523751059817,0.2660074385671623,0.058256432689062373,-0.3271106678103616,-0.03539963122911569,-0.25059220549412864,0.22791063952310914,0.28597144859391155,-0.031184651935913577,0.10137708603563596,0.17139405923744538,0.24128290368581,0.23888649713051793,0.003720516768735827,0.07809394782847656,-0.0569827782723665,0.023354255489383316,0.04464728869521149,0.28239476503262906,-0.30468976601212816,-0.03157708429726108,-0.27193232881326035,-0.19486989035930907,-0.2985301360663207,-0.10975447838946792,-0.12856674308493338,0.3586576692766909,0.16232080402062277,0.1920036300375485,0.35699676048524576,0.17761919990388042,-0.032412357040733634,0.2970851411623784,-0.05426487095435872,0.16757468842506695,0.05552035259046816,-0.37888622360930435,0.2748869098764936,-0.06162097923687309,0.021339236520860342,0.20341393187288054,-0.17109338141244862,-0.23802695924819012,-0.1140627879480896,0.07497452462015963,-0.04583669890415176,0.15939912736062,-0.2576297298186035,-0.2717251425373443,-0.022835470128615736,0.1493660854060653,-0.1255290899690664,0.25722485668414813,0.2569036897875242,0.27658221974958264,0.1129747902367291,0.24544874950752366,-0.03295873357483963,-0.06002406292463921,-0.12805970205433043,0.14804065950580156,0.06756461918806321,-0.17132984247952254,0.013118609150191108,0.003351224336493451
salinity,0.19713637619905372,-0.39665076971604674,0.05792445958296057,0.08965955503285458,0.2585075168384935,0.14591506113943015,0.2380516955167954,0.206340688319688,0.04181874117311434,0.1132977468933839,0.14063641111456265,-0.15900799748640404,-0.028657091163745693,0.05014221684093484,0.11207770836563617,0.1660885209948384,0.09087782715506873,0.1134311412292176,0.12431347531889694,-0.006292102052593071,-0.1389911530805854,0.07327228227122189,0.1725002932785978,-0.03438162943094865,0.05789220629368612,0.23013664659395816,0.26085930627921483,0.14602013343173256,0.19626862089092922,0.10900340944307774,0.09351214768578733,-0.15234156211588773,-0.01569297551471042,0.15986815874715926,-0.04492669225664814,0.2753236557450246,-0.3943637715400309,0.035930510729040833,-0.5404631983988455,0.3034039734918569,-0.3812519554778788,0.27938631316691437,-0.3486407790748023,0.058127943504266325,0.24224461530473598,0.08443953930157624,0.18637822989682612,0.1698956074565734,0.047211150451406114,0.09836124966666072,-0.37467573970683377,0.1451802947133892,0.21050307818563502,-0.06594943486027448,-0.002711203060393902,0.15411167159094774,0.057476874951526404,0.04105822883579672,0.019596740758433026,-0.27747005039452666,0.11510954917636151,0.11729516586425347,0.034452860291258755,-0.31749479148231585,0.05634418474911446,0.28390031703892094,0.05159701071366653,0.03538897788545542,0.15067887195573226,0.1728553087770951,-0.34958943637392625,0.1460231184659181,-0.33173443138212944,-0.2228800225402725,0.04432951992436623,0.10741611936789333,-0.06697531160899814,0.05258379807167843,-0.0903188401610984,0.007836591086787574
Chl_a,-0.18540309161566332,0.26891697295937633,-0.149583423179877,0.15717060923814935,0.056412035313684564,-0.09385580293429521,0.033587413982543834,0.15409459862116853,-0.006936577220647524,-0.17373720827886713,-0.022264073114853487,0.11543227653946173,-0.17099565642040304,-0.12297243806269674,0.0946034101373829,-0.17926957957337325,0.41497005613307225,-0.044664512123268184,-0.18219442827003862,-0.015869475814397113,-0.03166172945615199,0.155383726778712,-0.03614949486107398,-0.05656080063663281,0.024398780039341157,-0.079033259449691,-0.12562232713427113,-0.0895115469289672,-0.1280947942506963,-0.08626534323312829,-0.07221825026769539,0.17901133391893193,0.04831381867075909,-0.08221301260562709,-0.133044185383736,-0.07543942516250345,0.008229566733901307,-0.13277654061841382,0.11161039058391481,-0.15631920712161768,0.14679373325885378,-0.06002278823029039,0.25187243775690843,0.16798507682339936,-0.045729440978067734,0.13007648850368475,-0.1067573371875577,0.1449080502875023,-0.03145656160845478,0.09178131931252394,0.12508375326977636,-0.16686352161878226,0.06500545485505174,-0.02233758479362374,-0.10061094793991879,-0.09986997443639249,-0.07517115399538576,-0.09684590907969487,-0.051364629624323706,0.21307811990016612,-0.16602909081844983,-0.038148128150319094,-0.11395883580720143,-0.008644854556295463,-0.026799637720586127,-0.14252847691610115,-0.09773973408129452,0.11971253215005556,0.13341451714632774,-0.030984540373590885,0.045696751033145674,-0.012128825259248674,0.17317777814503094,0.15237988619300244,-0.047594746766915774,0.003947212330305255,0.05824705152389109,-0.07759928056466373,0.03152765613055587,0.13272675428411634
Phaeo,-0.1219839651316898,0.13275585195078365,-0.09476186865252709,0.030486566093548342,-0.03654037389360248,-0.06322095169931925,-0.02570648900384115,0.15064097291163517,0.004777077869127667,-0.10947947471578243,-0.02312583215339981,0.006979065401656364,-0.10918491491592795,-0.0771815358157554,0.03191793409327554,-0.10570564060198595,0.13769318857416302,-0.024923390930887947,-0.10749978913902175,-0.013437970961782324,0.03807393887372339,-0.010064149734507163,-0.034063948959622385,-0.03612091463316008,0.018076457741799598,-0.06089187014025527,-0.09845113727241231,-0.06664839020044146,-0.05085375844006021,-0.06028609211036125,-0.029515583037170143,0.15127189594053503,0.19356660922220537,-0.04612470433829338,-0.08653523318006248,-0.03323596518525959,-0.025922925096303538,-0.08627329253014294,-0.009518916220821943,-0.09800919367101676,0.03850889512466481,-0.06227430470100343,0.3551246353415304,0.3680526057534449,-0.060607080764041005,0.08999305352365831,-0.004909451312816449,0.2924018952275605,-0.009220404510525842,0.07096316812636719,0.10755076135729366,-0.1038457176028568,-0.01013605344683051,-0.016906646499663204,-0.06844258469732345,-0.0660158562959474,-0.04832189045400288,-0.0775287802867434,-0.0315749082634173,0.13749099652318467,-0.09532213125604486,-0.02343794527401309,-0.07256224560853589,-0.031036275775094983,-0.012869774356301038,-0.09737777968300444,-0.043680903618887636,0.04491223118190206,-0.00960100842507499,-0.0522803098827883,0.058467247438168016,-0.03303609309657735,0.07501261528700426,0.06092646355952859,-0.007237597542647236,0.07879162811403308,0.17760329793548682,-0.05898304157205193,0.036503994692774974,0.19719034279006425
Chl_a_conc,-0.18877209709750206,0.26180210138241844,-0.15130857549927518,0.14021524316891484,0.0374263695093401,-0.0959605213518219,0.02121017477469386,0.17027649371578402,-0.004524898567572417,-0.17558228323764247,-0.024971770272745365,0.09879262994295857,-0.17320093460689384,-0.12419449592137738,0.0880837347039713,-0.17920101769506458,0.3857438641960695,-0.044263583555010116,-0.18214363549225487,-0.016972014607946822,-0.016233744018908605,0.12769854874002812,-0.039599167449752226,-0.05729173065280524,0.02539188884990508,-0.0828853688462606,-0.13219736104478175,-0.09324501072121213,-0.12134164059394817,-0.08879157357901188,-0.06864043824651193,0.19136359590611413,0.09314357397573034,-0.0815426123007219,-0.1351901528715267,-0.072355114803396,-0.00013460013002748218,-0.1348943220050014,0.09110230786612361,-0.1578449783471068,0.13368414064612666,-0.06730310902089785,0.3079072556963756,0.2410024770840452,-0.05485198854156763,0.1336384124598768,-0.0909484127125979,0.20107843308565843,-0.02891036074392176,0.09632254195436665,0.13421743844913192,-0.16828178015865325,0.05181336495695385,-0.023343860889052936,-0.10304955266061572,-0.10176827298913946,-0.07622843785215966,-0.1023576111621716,-0.051694891803588675,0.21621608887027371,-0.16526566717943014,-0.03839001432148151,-0.11537330580062288,-0.01568857223808087,-0.025992683227833036,-0.14609717337404476,-0.093912180589205,0.11269118935371453,0.10938290235232678,-0.040212570192312364,0.054243201885143144,-0.019156405923761336,0.1657487920039739,0.14446365231893668,-0.04191844796961799,0.024719346266533652,0.09714488069118077,-0.08116306620859706,0.03638239430993871,0.16498626856945553
