,0,1,2,3,4,5,6,7,8,9,10,11,12,13
PO4,-0.05927582037443689,0.05083425120735252,-0.14903973855370514,0.1920606307265896,0.07257335942262626,-0.11650858682468918,0.14716544434442985,-0.001853263756740331,-0.06089944619171269,-0.10729498774881863,0.14928345759591546,-0.05553740569281678,0.023733680728977774,-0.07164112571490103
NOx,-0.12114559706567501,0.13327570892806362,-0.10084079880726643,-0.09680790764070218,-0.0726617432958454,-0.08923291101647801,-0.046976643395950604,-0.07305304290284352,-0.08366241696816104,0.03033467631388384,-0.06296703412693813,0.24665754166594606,-0.02108539406535226,-0.048127028572984745
NH4,-0.11969324739491957,0.1440919140245522,-0.15421100998208875,0.02747410587332232,-0.07727392306452224,-0.1318678307656013,-0.07797630580119916,-0.00969322921176368,-0.0515144886359656,0.05823984887569404,0.16900140321082707,0.05810094392124983,-0.06571540536996658,-0.08743498519731058
NO2,-0.15437265281296403,0.11264317840095298,-0.1387738797405087,-0.09746928926378447,-0.08802061773615097,-0.13020646156019444,-0.057245285752904024,-0.03656598063196078,-0.1315101869375287,0.05580145210060102,-0.04549216912474033,0.21165915584330713,-0.0065855553761069285,-0.008296392221973118
NO3,-0.12027880744890537,0.13328399368871885,-0.0999464640632523,-0.09655072470518267,-0.07221872474723837,-0.0883169402869401,-0.046684525715548604,-0.07348106639425873,-0.0826449821037283,0.02982922878901799,-0.06310091269184853,0.24661927183963145,-0.021275684804692923,-0.04867464516724343
temperature,0.2094276996354622,-0.03276980302102035,-0.039629372787444085,0.3938430404109939,0.3672628385829568,0.24823692780204681,0.24937382246867462,0.3428877686702292,-0.07983056229586785,-0.020321227093632592,-0.0609541676389246,-0.16674716978320406,-0.1814649216889503,-0.47128726663298703
salinity,0.3919550929493945,-0.5494139142179124,0.0697148224991338,0.16035685982746242,0.24640612541199158,0.1754315400116141,0.085832475973215,0.1537609294857655,0.12322966592848905,-0.12723546056593452,0.1537066614696491,-0.5317956950493766,0.06705715654060793,0.051544010356221207
Chl_a,-0.1603697977104095,0.18514698404662513,-0.13407743013928033,0.1936842050495064,0.03207722616861328,-0.11381943512438555,0.17890800477782698,0.18042122656891213,-0.18559255937358843,0.03524235609758093,-0.028414716235831992,0.25853074124844677,-0.07634152659302222,-0.2220899526735651
Phaeo,-0.10400676648514764,0.13660472692835893,-0.08386438983281921,0.07212011557310694,-0.02836844883319708,-0.07653293060366134,0.02525648844895681,0.33739364504262936,-0.12006066449375488,0.09145829594530197,-0.029552440917125757,0.09065066607966182,-0.034289192944941746,-0.13632284009699913
Chl_a_conc,-0.16287454889778352,0.1925292558079581,-0.13533187307943922,0.1821765405502369,0.01921929126457481,-0.11633503791679436,0.15704122693236905,0.24311230439723963,-0.18840862204566858,0.05443048349824883,-0.03188073404848647,0.24164459521138182,-0.07339849894449785,-0.22346347088451796
f0,-0.2626613946312304,0.257386166282768,-0.218342179870533,0.3228259012479192,0.050655833052601545,-0.1845634770750862,0.24209110918450472,0.21830944671147684,-0.28831562317806025,0.1313650248869291,-0.04120994589945905,0.3626663774671609,-0.12306532761550307,-0.3457857464424911
fa,-0.2653187592468292,0.2597154546289908,-0.22097275216219286,0.31155212905743096,0.040521545915270726,-0.18648917645881274,0.21721824811241988,0.2546636601639693,-0.2891856033410008,0.14778561153947484,-0.04540065822879157,0.34032871649943575,-0.12235668302000414,-0.34443451830291716
