,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
PO4,-0.039572569260475546,-0.006635615388961768,-0.12472497946617303,0.1924289160943191,0.02770641652063495,-0.06319877223749747,0.0774651086726283,0.1166872164710636,-0.01700240893450944,-0.06212311081921318,0.14087179896982333,0.002488315806349746,-0.08066038826570587,-0.044316518149022946,0.022767322871551872,-0.09788472616293356,-0.11017924979166313,-0.08516780175926256,-0.029087907217063613,-0.005788027200234814,-0.014052985203205363,0.1524945401420633,-0.049693700193453566,-0.14454547614776714,0.050076866313903026,-0.053702220224351796,0.057767695139195496,-0.09857295948729088,-0.06717204621986238,-0.13915795186413307,0.024653198897052656,-0.03641813937059351,-0.08191422200847849,-0.03458306111136851,-0.011320822726586554,0.03835759087049976,0.10682819255607759,-0.002484843011692278,0.04030102189544098,-0.03047809655750576,-0.052452466426627056,0.14725635048762498,0.09995644282109944,0.0961086024024573,-0.005227573045235332,0.1122654030882259,-0.11074652377834789,-0.021866300667277287,0.0019306308741570113,0.23436567351759177,0.04864094696326649,0.09766937501019667,-0.056576488050206944,-0.008441018711263067,-0.15955077836093154,-0.09739662052751172,-0.03285117793271125,0.05588981526617541,-0.030446510796866475,-0.0801438051765939,-0.09056240856159285,-0.01803042140510675,-0.0933511249087523,0.053046740847693626,0.012512771355040128,-0.101284903015764,-0.13634367243932352,-0.03394821112356728,0.1460088606517536,-0.04162698200205102
NOx,-0.11200867063174881,-0.005798232007693461,-0.06326591921034955,-0.07308351784714173,-0.09717766282796057,-0.0473635892401293,-0.06695192177945586,-0.05484554229618694,0.0141670248235191,-0.08134475425134677,-0.060000972255665246,0.04363704158904194,-0.01889600509801672,-0.05459589535107527,-0.06230247266657965,-0.07498558301043542,0.016552666104920417,-0.06654488597804324,-0.03886925819458789,-0.00974062967653135,0.0782052597126694,-0.039751072010837496,-0.06549023455616151,0.06308614477859037,-0.04255262015030219,-0.07261173091528034,-0.1312120633454102,0.18730606016039592,-0.08835631929311753,-0.07807406804783021,-0.01242658113136967,-0.020840600172683472,-0.04900370645365583,-0.06695451421741597,0.006853654927200443,-0.06593169862811425,0.1930522231229284,-0.06949971706532404,0.3983552516562635,-0.08963075761550543,0.25375953081468433,-0.11290963839261783,0.020504301436988403,-0.05617460061414141,-0.05087814744989254,-0.04598666330677056,-0.07073814745639287,-0.056014748114068966,-0.022676498983414128,-0.07694099397163329,0.04863065399710911,-0.010933452583978012,-0.06276932039708269,0.05336011729183948,-0.09552194899825973,-0.0687443831281684,-0.020305492372654575,-0.011595519606435569,-0.03177463111822232,0.03096421296872434,-0.09678330136362046,-0.03890997315384307,-0.03785274239269183,-0.010081350728658693,-0.015099913803362841,-0.07292337919828037,-0.07232186031324576,-0.046302398452966645,-0.05887358528422141,-0.08540503448298965
NH4,-0.12475671847797137,0.026685651474070295,-0.08466595162552341,0.07088557837226732,-0.1159355046214421,-0.05617248661412485,-0.06936251278151007,0.059521772497230646,0.07918119048727848,-0.057073033274481946,0.16376003611636902,0.07570305236362943,-0.03372918348100974,-0.051957381452511865,-0.045651873971721026,-0.11501722103838513,0.019004182129711875,-0.10624146431007116,-0.09795547624950604,-0.009148547453344244,0.13127221212596366,-0.07959373606189762,-0.09088197418230054,-0.026817193522217776,0.049154891354219105,-0.09483495022476857,-0.005733684203636281,0.00908416956425572,-0.12952384071035955,-0.124152777946037,0.0592260636533742,-0.0220536711974808,0.0111712647332945,-0.06009788799787093,0.005258339989630618,-0.029231318735678538,0.45882285555991015,-0.06473435542767816,0.1730075003642856,-0.03801733979493659,-0.01633473794156133,0.041276084159463156,0.06561890119646772,-0.07256570943012997,-0.06843172111111301,-0.026171343986231815,-0.1091042593398418,-0.012457902932676552,-0.03429957992001927,0.01465235322822252,0.12605059503679386,-0.034328051008907505,-0.10133299968607609,-0.001398144872121686,-0.15428204700920944,-0.10513625535575061,-0.0763182255174556,0.14995603960153073,0.00172359167373763,-0.01824348440772634,-0.12272888226190845,-0.0504891687683279,-0.1141881327468271,0.06169024867879364,0.005037829237680362,-0.11064235469216752,-0.08963061767468491,-0.06897878461490228,-0.059123158962526026,-0.07340053554117057
NO2,-0.10160584932500692,-0.015101120608462942,-0.09758078673251923,-0.0776365109836781,-0.12895029756594023,-0.050427821768496,-0.07976263337750544,-0.01786327044788577,0.03252708476596061,-0.12345938638765805,-0.04188331406066301,0.08440998992388712,-0.006277621272651415,-0.08558574544633307,-0.051184977945659266,-0.07725719146998244,0.05635322043251272,-0.09853779502457191,0.016342609506625465,-0.0034625778351993256,0.08244228608728002,-0.05356192549388425,-0.08511461449055,0.05960447300291211,-0.017720163031250215,-0.10252060917234032,-0.1948426182815306,0.17869122239928908,-0.08376923083511825,-0.1114358253124276,-0.0178399216999514,-0.04538485361838389,-0.04250894426803904,-0.09907844855496298,0.01857995677820963,-0.050920801801727394,0.2522590925613589,-0.013126209306705864,0.2730277949125165,-0.11579509711857977,0.16154685364284743,-0.11966147713421227,0.05389943632686668,-0.045648504972370954,-0.06155580343385203,-0.04678396631631285,-0.10363051267361684,-0.02867082767467185,0.0025396055335906234,-0.08030589111704102,0.0671892158966732,0.011869234834608573,-0.05457267508948435,0.027435083793754617,-0.13145193590536797,-0.10159639095031717,-0.01065508340060805,-0.007466843634866284,-0.046122557946308554,0.06143038789961876,-0.12196230189845324,-0.048385794750227556,-0.04129351914273749,0.08013215997975084,-0.004188254337253373,-0.10844927318205375,-0.09741971570559699,-0.0479097883880554,-0.06002854565382597,-0.11706008809557333
NO3,-0.11189894892787224,-0.005627022096455224,-0.06252794681998164,-0.07282117967934901,-0.09639625602626009,-0.04719166455161085,-0.06656627550884703,-0.05532817347650906,0.0138222042609895,-0.08042964028474935,-0.06015320135326134,0.04284033690131503,-0.019060215018488938,-0.05393588575958264,-0.0623311108693899,-0.07475678268490722,0.015841157772861002,-0.0658376341726786,-0.039699114193278214,-0.009821467091610135,0.07793521799577338,-0.03941774054539404,-0.0649936991670903,0.06298435833735117,-0.04286213944175649,-0.07192411179920491,-0.12980830778907174,0.18697488006468013,-0.08820889598136197,-0.07731448857412582,-0.012303945103371489,-0.020374800547962802,-0.048988393116494125,-0.06624401743656474,0.006639001177785042,-0.0660165984718163,0.19156569252308026,-0.07027125751259782,0.39945072263398806,-0.08896286316135267,0.25466554080895515,-0.11250908928260066,0.019890486819404918,-0.056208866960240876,-0.05056923372216827,-0.045856367607233876,-0.07000510890817903,-0.05633229266771857,-0.02304299068102906,-0.07668883467606122,0.04819489776256257,-0.011289198709105044,-0.06274764399464722,0.0536605438264398,-0.09467482486051759,-0.06801709097377223,-0.020416199122605398,-0.011635490406686086,-0.03145254008774549,0.030373076605096624,-0.09611380031449387,-0.03865169375619025,-0.03769865823289077,-0.011573097050195474,-0.015245065619829083,-0.07214049105937984,-0.07171589825446842,-0.04615767476896877,-0.058704518916275435,-0.08465552810014187
temperature,-0.04822670456420676,-0.06136375011596562,0.02023094498382505,0.27895334613035433,0.4264085110775246,0.15080101929545509,0.344443426336766,0.19485657537504666,0.014175948369796083,-0.1048255801770131,-0.05361378571739555,-0.13157926394450375,-0.3931400761312992,-0.0006866384052414236,0.2781825951336502,-0.20523722460663638,0.05949321286348008,0.2041000285948062,-0.34931031407441426,-0.035122933009368834,-0.2486531636040862,0.23068750372664615,0.28896604453710023,-0.03712402215539368,0.10358011583930024,0.1703236378809376,0.20302533921595717,-0.03618312848884715,0.011723909784920883,0.056184050088047444,0.0038340410720835516,0.023180564780927844,0.116357840286093,0.18033223000111287,-0.3369124422568718,-0.10819075694968472,-0.2985706982288981,-0.33197818908055793,-0.3026109453966872,0.08640425512140114,-0.12887932911129743,0.36084214238160023,0.12621692826994746,0.27835496240478813,0.2490819815772947,0.17781671964814758,0.28454112396798326,0.302011776529664,-0.05446139230247292,0.3421523396080984,0.031136928039609497,-0.17367033481181837,-0.049588600927488694,-0.06256418393563026,-0.066080797389691,0.23889334716159838,-0.1277278870745519,-0.2405847515407517,-0.14234731021865224,0.06912134836395048,0.08471299822865289,0.16025989687236097,-0.24670567946704341,0.12828678931973858,-0.022852131368827428,0.19687613685134503,-0.09775196176887643,0.2507005857432363,0.3004607644449409,0.28455094414823
salinity,0.20575300261872093,-0.22246560583838002,0.01823181553399287,0.11390325982903152,0.2870815127222094,0.11032834080375738,0.2330106497124985,0.11352656468111144,-0.09611450079942148,0.11692239780018754,0.1397606111691792,-0.21322162924872817,-0.03861649865918904,0.05816008480344722,0.11085340583022156,0.16441896232278633,-0.06489134576704855,0.13540987802631776,0.10575401163550643,-0.006808049425016029,-0.14107462931922396,0.07436036621222131,0.17399265293115787,-0.029596743229848496,0.056568135605129424,0.23727067674494384,0.26454695840834264,-0.368373173068961,0.21076324781612749,0.11064184066574001,0.007859831195935823,-0.15266967998323133,0.017260942760202576,0.1529560262426396,-0.007942472081587323,0.3145070982139542,-0.3715203142668974,-0.016657689556422564,-0.5601479123076123,0.2840059958016221,-0.3837280358709322,0.3124742864053914,-0.3456371904541772,0.0937436004868865,0.14794507896122777,0.0852746270188437,0.1619307813864035,0.15941949757454096,0.046899571889529056,0.2569603428479315,-0.39586763777143197,0.05899134317981572,0.1139006093654785,-0.06943708894250633,0.049804123319635366,0.14624946432576483,0.04336027873645111,0.04876866457609262,0.03317794205628695,-0.3003718160315485,0.1524230652434263,0.1195471784004022,0.041147270085612454,-0.35859971895282505,0.0570581668728087,0.14934256667008194,0.044511087379139884,0.048984111316562044,0.17734650615107814,0.17881981028274876
Chl_a,-0.1930867757179078,0.1550544217622623,-0.11813197866338265,0.18380286091790418,-0.005084430697046214,0.0160867691197793,0.03701870270873487,0.10454070249204736,0.03300860855283706,-0.18287544089733088,-0.020764178048448278,0.12186888375398322,-0.17442357172529496,-0.06776577656433763,0.10377578685505888,-0.16384019434968555,0.0667261881679358,-0.09013501494685644,-0.16462629762681102,-0.01585617102356051,-0.030035626837705384,0.16046477172807616,-0.027363919542555612,-0.055497528590546505,0.024760759298773492,-0.07807316952719977,-0.13298783186884716,0.19451932812749778,-0.11390923683857093,-0.09007580315830306,0.1345705894716056,0.17918852079829764,-0.01848752434875654,-0.0770168131292377,-0.14563202998456407,-0.12730185749580084,-0.024188665561819422,-0.1374834887138423,0.12411387211889496,-0.15099718216374358,0.15259227262582922,0.03766285226306498,0.052625845431044094,0.39732400854006295,-0.010917664764581751,0.12965349159418693,-0.08314779455613486,0.15157856305924577,-0.03134454000016387,0.07588292168325558,0.12121576564215711,-0.07680492284955888,-0.07682277944864527,-0.021484519161690183,-0.13340592457155287,-0.08962024378094482,-0.045878157307010295,-0.09795356803514739,-0.06031713561891408,0.24557842315047304,-0.1380841872000992,-0.03930471194256782,-0.1107538614377751,0.24821279554366676,-0.02639270738579258,-0.09896437756245194,-0.08071609752056774,0.15219758508432557,0.15182127498388726,-0.02047938903922292
Phaeo,-0.12608802508583572,0.06261907116465462,-0.0783661066771501,0.07088416620065939,-0.051739329607076064,0.09968010808322054,-0.023541811196814318,0.1023139707256961,0.039752305108099566,-0.11567586651931125,-0.020525079063207784,0.00688321412249082,-0.11227264676261187,-0.04776507664949507,0.061754720942075736,-0.09561299772102647,0.20390942057822492,-0.0610237525239237,-0.09801555090070946,-0.013588215518110144,0.03838098099319894,-0.010275603544532916,-0.00635387063008409,-0.032061849202570276,0.025482712158948807,-0.059464746751588915,-0.10284021024649584,0.0787001603039253,-0.03673781962324986,-0.06040825250431258,0.199511414803439,0.1511494914347933,0.014840871699560158,-0.0462101739896051,-0.09442523900408492,-0.06941112197395403,-0.040900913223070226,-0.08575978552551701,-0.004846706067511149,-0.10482601214786885,0.037902459779493594,-0.03537557260912718,0.06303276585788167,0.22467686164438172,-0.03350529468274903,0.09147735590289346,-0.04681686685802859,0.3332709504188979,-0.009425917380900348,-0.029333683344555397,0.10155766004329828,-0.049373432451248894,-0.026947608025184023,-0.017022670391277653,-0.08262011796095303,-0.06685940149610065,-0.003330007949572774,-0.07805751004938527,-0.04075517517900459,0.14956780483179666,-0.08003003588683141,-0.024795371461042468,-0.06954813056962138,0.3607743435720967,-0.012644260159651057,-0.06570747361916077,0.011041348287854465,0.16467546623953444,0.0017641063345331665,-0.058776685895739256
Chl_a_conc,-0.19633694581276848,0.14716856493222083,-0.12045312236209132,0.17354612723002616,-0.018324435878352547,0.04058451949731708,0.024678574959634565,0.1155503964459533,0.03850803558315831,-0.18493655505414347,-0.023006155270522965,0.10416962887021189,-0.1769172766711598,-0.06986091555982189,0.1038892465375123,-0.16350727801452727,0.111409266187188,-0.09224027332666049,-0.16481987280102928,-0.017001664415554306,-0.014785338566433354,0.13190625010853219,-0.024696126040622143,-0.055296435702266306,0.027707860218143105,-0.08169172852920303,-0.13957255431668336,0.1846652168640272,-0.10559895768651709,-0.09202335165425649,0.16716461177032554,0.1914790761149705,-0.011486922684045263,-0.07720402036884276,-0.14790022811019093,-0.12571766090269978,-0.03141641952075248,-0.13870593641602713,0.10286736200471439,-0.1552295259014556,0.13838681586935225,0.022004314919399283,0.061299998417810336,0.39456291931141224,-0.0182672011079255,0.13368659141192063,-0.08251533570530031,0.21778104761540112,-0.02887216052398954,0.05572859022170168,0.12934236393171689,-0.07788554286860251,-0.07180792575384592,-0.02265929867051293,-0.13443015402431896,-0.09339358057490732,-0.03941589567612215,-0.1034310504863645,-0.06170391397293784,0.24677861340310453,-0.1376535291177634,-0.03972966101222086,-0.11186410568373174,0.30637016811607676,-0.025589829046494206,-0.10092431282045038,-0.06475529944405252,0.1724969609974017,0.127921621496189,-0.03315922223238943
f0,-0.31090464782990707,0.15494706151034962,-0.1892502009609803,0.2758811246269079,-0.007408500788762084,-0.014411845692742464,0.05728727820261098,0.2083659280110027,0.10056109752546415,-0.28511195773096687,-0.02510998428586996,0.07200259164314411,-0.2710865715729781,-0.10161263130788113,0.23594602204874965,-0.26246216372832526,0.1340650563405147,-0.14921677204398212,-0.26347395260490114,-0.026420346748267293,-0.011224484493700365,0.22222738053058155,-0.02866651270716385,-0.0368373670682796,0.06696414477847404,-0.1251718482794789,-0.18987028773086548,0.3509581643727757,-0.13289037370634957,-0.14642084589915202,0.11089652439471234,0.06888047133282882,0.048880363501266,-0.12264654810791827,-0.23062794512160523,-0.22501685981639552,-0.007178420849952244,-0.21474342652682377,0.26363575379692283,-0.2538738874455849,0.2664672677009985,0.05571711180600736,0.17359266248956554,0.29812281642614114,-0.014872667419500253,0.17579517217656943,-0.13475944770102677,0.14872597865630016,-0.03726356023879497,0.16064442146873975,0.2005028858817139,-0.12090785990852043,-0.08661653050664692,0.007496423354846302,-0.21769775077364448,-0.14102551351612003,-0.0798717420393623,-0.16227308067523732,-0.08821931834997143,0.23752775481730698,-0.21246804048916315,-0.058544446068252154,-0.16226218764508016,0.3758896478084121,-0.03510365313800786,-0.16219844892880247,-0.1314749573828718,0.24673205013967425,0.2331227522929026,-0.049869147779126474
fa,-0.3129130079111816,0.1503865875358003,-0.19087958405819866,0.2636218742358764,-0.019102540558413972,-0.005584185250552902,0.04779577543303942,0.2223035375541589,0.11011250325983754,-0.28504737205310293,-0.02806912445532229,0.06259149500698527,-0.2717243159638925,-0.10375574459196185,0.23748550895988732,-0.2599576893312775,0.16096618753026692,-0.1512857876461081,-0.2610034418769678,-0.027950101938647345,-0.006770548772720892,0.19590907252870993,-0.02930734942971463,-0.03567029498724349,0.07009614760985915,-0.13037706170855656,-0.1953307070980295,0.337173733776081,-0.11728638332465416,-0.14970102654204415,0.11464577968455034,0.06732663304528261,0.06051084770310273,-0.12069920535916476,-0.23208168679962576,-0.22482110126085375,-0.016378512109960358,-0.21508066539640708,0.23561644769290668,-0.25882196255445356,0.24540814203079087,0.047365618760582276,0.1886797499662989,0.2921769956923339,-0.02124067762581082,0.1640674312926646,-0.13565331957851,0.18688668295877103,-0.032497439556143606,0.13826163827893495,0.2102012144174849,-0.12120517506817904,-0.07661375938353492,0.007327678899052314,-0.22030985489420418,-0.14509113094948048,-0.07821251950311521,-0.16676467879651816,-0.08910821353373315,0.23678232766624038,-0.20949863232957755,-0.05987062621701581,-0.16260800770780554,0.4038960607591877,-0.033250898788930894,-0.16416219755041392,-0.12203508330816133,0.2544013634234977,0.21244125459193017,-0.059097932746945046
