,0,1,2,3,4,5,6,7,8,9,10
PO4,-0.11157161103257023,0.07874974312563408,-0.2097304433730124,0.22953719901678976,0.13244620020275175,-0.03661385411992677,0.1616997073096691,-0.10762952873092367,-0.07294138772281653,-0.06107644459480641,0.18714431433501366
NOx,-0.18714240927024484,0.3441060263072546,-0.1288646299281724,-0.09379835138300394,-0.10886321235238526,-0.02400311119466396,-0.0780302378771131,-0.03535934627001614,-0.07819932209576708,0.2956859675573438,-0.056524024724798054
NH4,-0.20682339154017265,0.279972937241248,-0.21475900352894098,0.07740417128927937,-0.11291945600791795,-0.04560347341667196,-0.11410989960246662,0.004870306389213863,-0.015296126080675074,0.11616721535653254,0.2655434279754191
NO2,-0.21372001271442242,0.31089335489941194,-0.13953134763300187,-0.06913144659966794,-0.12624995484670049,0.047869345146125605,-0.07684395214543686,0.02000786585730363,-0.12832414720350122,0.27629630157604557,-0.014052626204529132
NO3,-0.18621971644172144,0.3437900343612502,-0.12835768033303682,-0.09397483379340314,-0.10829407151550274,-0.02515098001648825,-0.07785185986688235,-0.03620073634121374,-0.07715747335336726,0.29526054612979613,-0.05709471550757925
temperature,0.28287469410815513,-0.18822621129499206,-0.21560221322885084,0.3840961833432882,0.532640297580528,-0.6055963377431461,0.39636184951020337,0.16083896383131904,-0.11502857647087911,-0.19349118829414386,-0.1655338703696293
salinity,0.5802925281747078,-0.7914669992641181,0.03841370855851732,0.1096755044002436,0.3682884167789241,0.04900473070330058,0.14153673757406893,0.017602281077754856,0.11253930995368443,-0.5451333042869411,0.13947683617207274
Chl_a,-0.26412322157280277,0.19758594318788172,-0.19965062807402764,0.21950535447743627,0.06574801991170094,-0.25645222115243904,0.32479213528154166,0.14607804455636403,-0.24479538176509083,0.2339664760120145,-0.04913064197006861
Phaeo,-0.15016760964386663,0.09034417877221616,-0.11796432016957477,0.12179644811448963,-0.046263989733356235,-0.15225086550774508,0.09547119191112094,0.34195553174686744,-0.14596045580024425,0.09693008428084271,-0.04099703197645124
Chl_a_conc,-0.2625085076342103,0.19040283106884293,-0.19963976492863894,0.2173473950955672,0.042621520859184296,-0.25663526437973166,0.29857560078475653,0.21552319383139779,-0.24514127213932133,0.2227307533701451,-0.05237941506030934
f0,-0.4132761356949583,0.3524527051408065,-0.31756209876580077,0.3640873735359699,0.08264703823772176,-0.38794712725061575,0.3971576864833323,0.21877050713752644,-0.36846916439690247,0.3751137256234013,-0.09475082556385558
fa,-0.4074883129996604,0.3427697030390373,-0.3169586196046561,0.3628426415515763,0.06575552650650207,-0.3838109622851562,0.37029947257199675,0.26978588254758507,-0.3640877279066749,0.36129182210630983,-0.09591407594858403
