,0,1,2,3,4,5,6,7,8,9,10,11,12
PO4,-0.05797489665213844,0.08052191703612062,-0.21013300202734314,0.22384879301118538,0.1309190087754702,-0.1416750904976673,0.16090854689739628,-0.09484533533626303,-0.06075182669276587,-0.06581480891992404,0.17403942726580363,-0.05820115743394748,-0.014484941223058115
NOx,-0.180533821824852,0.31787272200570293,-0.13214193271483207,-0.09779183070848532,-0.10808370923290195,-0.11089881834416189,-0.07776801034119732,-0.04784988062634392,-0.07249529434369563,-0.02758396238579608,-0.05634225921274158,0.31601670511178126,-0.00637180335519125
NH4,-0.1410820382173103,0.2727807930422157,-0.2133007760339406,0.06127151861498131,-0.11330964604467178,-0.1596870605847816,-0.11506881766929644,0.0006144075961257277,-0.000789748278082229,-0.053670502428329964,0.23979501934886593,0.13637435612608143,-0.04587890992105707
NO2,-0.19639849786951302,0.2900947008824144,-0.14827206246270885,-0.07205838594749432,-0.12558688422826908,-0.1562381635513647,-0.07745773685573637,0.005133782972244145,-0.11093035223916378,0.042623643172520334,-0.018575254907858402,0.29454439657284465,0.027137124751312625
NO3,-0.17980811512976622,0.3175319982332799,-0.1315347598100997,-0.09797610176505625,-0.10751459130750662,-0.10985434728000776,-0.07757556451756088,-0.048619432516758154,-0.07166456281553343,-0.028694727280988222,-0.05683428517455475,0.31557463819450726,-0.006919220399848239
temperature,0.20880292021141345,-0.16072139965889798,-0.1744450822301602,0.4048739184353136,0.5296740828039835,0.28054710782060693,0.39755900448170267,0.2016860289329722,-0.20096019382077163,-0.5776800196320656,-0.12097402876740362,-0.20882169734331862,-0.28349923663319043
salinity,0.6005882300454585,-0.7730497062736703,0.048210406777156364,0.12507946817111731,0.36256249068723295,0.20206968088397137,0.14094542762261653,0.03433161944438634,0.09586485728184241,0.011549755981423951,0.1304103556807469,-0.5757140170971192,0.03563481566782681
Chl_a,-0.2665406815682837,0.19400214029789492,-0.19825024189915982,0.22050686943680453,0.0686377002799973,-0.14568579376129664,0.3251519091871956,0.1572380916380024,-0.25172808657959433,-0.24870949917929,-0.02866898866943497,0.2376144525704344,-0.10734652790239724
Phaeo,-0.15302272903241287,0.09467244581934017,-0.11448422449257072,0.12101925476603356,-0.04511958300738654,-0.09214865943234933,0.09388362771833106,0.35406675062386966,-0.1510326692512633,-0.14649783887446627,-0.02857392976220251,0.10549802952717335,-0.03932736350349461
Chl_a_conc,-0.2653134540028972,0.18857039811335985,-0.1975187818704006,0.2179769438832131,0.04535809688411482,-0.14732686177668025,0.2984462969770222,0.22818155354850966,-0.2523387573065119,-0.24857286967837833,-0.03182833622052889,0.22812067423801868,-0.10079358778376148
f0,-0.4189802739506394,0.3426795126530613,-0.31490018748560644,0.366992483486678,0.08583086095237949,-0.22996367828488457,0.3966351550754009,0.2242299259605366,-0.3785441014351156,-0.3761819678578546,-0.061151743697227055,0.38868375645090686,-0.15298958950615638
fa,-0.4137211070295823,0.3352943770134247,-0.3139293535332429,0.3660835249789357,0.06900306224257692,-0.2297978174295404,0.3696189402811469,0.27596952071383896,-0.37429145889902815,-0.3717535942282397,-0.0622379912275173,0.3755511882302853,-0.14674980732954584
