,0,1,2
PO4,-0.16205086214120856,0.06156921311573975,0.12455313343701013
NOx,-0.15346493373769127,-0.14905659983278813,0.23511841741304162
NH4,-0.15349835547416796,-0.17973437259114408,0.25248481137641343
NO2,-0.1495259317788962,-0.1852795108396094,0.2517119272988052
NO3,-0.15314112185689482,-0.1480684786564666,0.2342417131125879
temperature,-0.4078387965343836,0.6212774639160548,0.02803100989584174
salinity,0.32544418501019234,0.4763876213161984,-0.6140056659851001
Chl_a,-0.44781603928327834,0.009366008344475166,0.43731552169772425
Phaeo,-0.26268633048786694,-0.08042193927207747,0.30521455330529046
Chl_a_conc,-0.44727346054944883,-0.013986835325574976,0.45001306754280257
f0,-0.6792780605472948,-0.010614244454195048,0.6774161191858661
fa,-0.6714839654790157,-0.028069412527615502,0.6796040812638755
