,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
PO4,-0.04322244830467408,-0.05260363967501249,-0.17575892244314734,0.19822567130945393,-0.04090778581471617,-0.1011411015852976,0.07682246955733424,-0.025594212324228895,-0.01846026710104221,-0.0618020845872097,0.1443982058919352,-0.10542694428846204,-0.09891609599586751,-0.03164679989198835,0.16702886652153598,-0.075040967776413,-0.10551759855544415,-0.09916536439620587,-0.038016634207980356,-0.0057078929950907156,-0.014454836076030174,0.1517485219861741,-0.05148522919485689,-0.014545010233648372,0.08266921772679034,-0.06125404225486914,0.053964840114520234,0.09964089006326399,-0.09358682029317336,-0.13928279289012532,0.025080433223376792,-0.03642334763627377,0.08730968234469685,0.05272806641562856,-0.03710163323489457,0.05348458581269634,0.11195043751057826,-0.07794840166517783,0.034808567630149355,0.012381773219921833,-0.04960847618100889,-0.1277872263176164,0.04235198465299751,-0.034950252568150125,-0.0055482537912404095,0.11455878027159173,-0.14717711333745664,0.0009756240747594843,-0.0028905487153637896,0.1174635314915109,0.04879624208219478,0.03435269207580072
NOx,-0.09601024023302984,0.12035824600744124,0.007141555650248533,-0.07078036914171998,-0.09802817449322333,-0.07366977451538692,-0.06797056546213819,-0.05644083622259117,0.01322785243843375,-0.08495638492559127,-0.05987789463875237,0.07743998658184449,-0.04155926082820587,-0.08562668923685465,-0.07983228815923644,-0.09669303008702546,-0.012640463444650677,-0.06905886407230041,-0.044400793017859444,-0.009853694825157612,0.07707222685501236,-0.0398273330975738,-0.06647392969912261,0.06539158834044712,-0.044696401926496945,-0.0783576934609164,-0.12753013978380828,0.020414076594349885,-0.10796921351603347,-0.08859907436954985,-0.012653592523416872,-0.020931977327473723,-0.057848788621973124,-0.1202256538201274,-0.0021348082774577054,-0.06856034518284956,0.17320292051339384,-0.10873603117790084,0.4064690602162828,-0.015172843123659255,0.2509503733184513,-0.08638475012814441,-0.010630752067243098,-0.05304818740883487,-0.051464602344462027,-0.04599094691770822,-0.07768004434700951,-0.005777996784362571,-0.028236425230137283,-0.05711087426923542,0.06703023254000363,-0.01758607721098168
NH4,-0.05440452337210602,0.07505162869729272,-0.06851874992688664,-0.029470193690767754,-0.12730094799005473,-0.11150540378277524,-0.07084052023770239,-0.014557183323852196,0.07797610661019182,-0.05487557689057941,0.16473078030251592,-0.026248089952917115,-0.11883799175063485,-0.0750903220970659,0.04487366241942879,-0.1302217768823736,0.018043331456368297,-0.1066155520796924,-0.10440789051527098,-0.00918582767641325,0.13232374873032293,-0.0799300173629468,-0.09274900573848653,0.0006640709327415464,0.06523128529792852,-0.10099152665914234,-0.015383331091196061,0.06618836270376849,-0.1519101515942177,-0.13322313679248193,0.05988702702528464,-0.02206560203614433,-0.07705438337695325,-0.03223236053997548,0.017838926550001865,-0.02098914698180637,0.46656363440993565,-0.13357694692307112,0.16512174928559842,0.0048009330072949635,-0.003692100128924748,-0.13154928898744894,0.0543131002565483,-0.07382525483792057,-0.06795870987275872,-0.024877814304077966,-0.10415574787300069,0.026817055513136987,-0.04347861685233391,0.05371579740072474,0.13248095711428926,-0.06304983785520485
NO2,-0.12748235516786338,0.1639791004253659,-0.009610794043971997,-0.07404952401002997,-0.1410739300916222,-0.10972133402181963,-0.08134693532265644,-0.028355495070898053,0.03131567365346503,-0.129799306453636,-0.04083466929004784,0.09950867141199485,-0.043093056518589835,-0.07323169102557697,-0.08193825314893835,-0.08885166796594929,0.01494549359771925,-0.10210307628302306,0.008047351216703429,-0.003326171917725448,0.08223887104646554,-0.05360349532670438,-0.08639061690813425,0.03911478546541153,-0.023053636205999567,-0.11061230450681325,-0.18857964925142923,0.05466755717798535,-0.10513650804631698,-0.12882053314022518,-0.018143745401512437,-0.045413069813029096,-0.05330526345273703,-0.1526997109220371,0.012433923224511853,-0.05260599556776223,0.2393639238807133,-0.11057361800892997,0.2785352543416907,-0.0042892709898841655,0.1706407721269174,-0.12653639269582762,0.07990478068896523,-0.05393953708805002,-0.06147857005405781,-0.04633520185680565,-0.11631315822330299,-0.009781832721272924,-0.002418427729150076,-0.022447592221721144,0.07792884336427412,-0.001728892149882976
NO3,-0.09523685536664651,0.11931863633736828,0.007405174442477605,-0.07054547879586909,-0.09705499465383381,-0.07287614767614978,-0.0675728158433264,-0.05676976830351667,0.012889997981842127,-0.08398620200909182,-0.06004600438982176,0.07687196562158101,-0.04142783071278065,-0.0856175311106286,-0.07959395494822519,-0.09657915331316488,-0.013072324309318732,-0.06832753976204312,-0.04517010421386845,-0.009938440905614581,0.07678942903526167,-0.0394943912965913,-0.06596997749140066,0.06566735091681333,-0.04494682245519326,-0.07761601503292953,-0.1261791552336582,0.01978605412788636,-0.1077424313931789,-0.08769736468460515,-0.012529087530687433,-0.02046700780023959,-0.057778174204076174,-0.11937386770436015,-0.002374424871625714,-0.06865443239832061,0.17164987437670703,-0.10842874678699647,0.40758774634694356,-0.015317337151765347,0.25166331643261214,-0.08548984292899309,-0.0121265183001507,-0.05289836144508818,-0.05116536109490208,-0.04586826049375413,-0.07683280337751258,-0.00569596714051081,-0.028598908849042357,-0.05754874273881821,0.06667654831625411,-0.01780809248668471
temperature,0.12844130757111133,-0.09591868648868596,-0.06649798616311955,0.3481924846814576,0.34721579303022204,0.20167423890900743,0.3488311618261196,0.29957387577830474,0.016395345546895916,-0.09002913150488724,-0.05662222828255885,0.055266989909696376,-0.26383479805429544,-0.21601875432089834,0.32707932496294895,-0.16573244650369667,0.07774147262192485,0.24111823577768723,-0.3578980819988189,-0.03675650073177171,-0.24407701780550561,0.23047099899070078,0.29449754003193807,-0.06357060756603924,0.11594059233664311,0.1695608896244833,0.2621990710186599,0.12043527134784762,-0.040667186039599276,-0.02308830467023407,0.0037206189221586274,0.023010381288681256,0.27809578670294754,0.38748999358444336,-0.40464823618438656,-0.15489438712981868,-0.3016615055349697,-0.019209156603377492,-0.2993401990181992,-0.022453232936082465,-0.14001863630643357,0.30037649437375735,0.1417700736649923,0.27919635742998994,0.25320392044941975,0.17829493459208112,0.007481911190444041,-0.0755646632635548,-0.059288765537784074,0.20294195080044236,0.018291293200516083,-0.1635957301364343
salinity,0.28943346251556223,-0.3078180982313181,-0.0016276929516925694,0.22759589996538465,0.24122520682681078,0.15250364638222672,0.23560128849654005,0.15143028846826814,-0.08827645600122559,0.12492794943848616,0.14337255221913248,-0.34345693035791225,0.03152923993396607,0.03319794546458562,0.12968397377304552,0.2041054467764699,-0.03977838743979387,0.14616977444117973,0.10183151471266849,-0.006963475743597033,-0.13784915372204362,0.07393290064809815,0.17995317587044998,-0.08487490392981138,0.07982630560723361,0.24636163579802295,0.2556674285343442,-0.3490506118696909,0.2031715054318048,0.05707164672036817,0.008096786591254266,-0.15271701272346921,0.09843914279358114,0.31137674721956315,-0.04170046879961839,0.32223529127920036,-0.354871294654441,0.13697538049025318,-0.5714684767136874,0.058053663187657534,-0.3903076199512613,0.1881365227426447,-0.34755078625326863,0.07608892280488921,0.1490695226900738,0.08576665702522801,0.029865990343357844,-0.2065609835583653,0.05715521691594749,0.12387948623478386,-0.41621886182649953,0.057881754353330914
Chl_a,-0.1537720711128639,0.1676474306915105,-0.07202729285911613,0.13640935850262054,-0.05186211518759486,-0.09813634795819515,0.03619089612473987,0.15761104368160284,0.02848372405935207,-0.1845171129098122,-0.02225405297906896,0.2699557705044125,-0.114762748913358,-0.13957602120799517,0.17232986711871254,-0.20419904377044415,0.0280563057090464,-0.0886932698157466,-0.17498640822570227,-0.016179033128430588,-0.027297242669938302,0.16091926656747152,-0.033448395596669234,-0.0139942967599479,0.021000212941396295,-0.08440562315662155,-0.10264246543434301,0.0549262020050731,-0.13349740371376284,-0.11665216305819917,0.13539357385073925,0.17963037250059705,0.38643924465893165,-0.03892095493277491,-0.17037873776351053,-0.14397176103937237,-0.02999065598240139,-0.16887238604302265,0.13276945435559234,-0.02620468019673523,0.15829919561319422,-0.10242873480133852,0.2500821374307854,0.14153074894418505,-0.011893660591018618,0.12960994799459932,-0.13622237476353394,0.13141675995839,-0.0371780919349137,0.09562139744188532,0.12368198185499477,-0.0672542418903361
Phaeo,-0.10439464462263359,0.0435979443826519,-0.011984933975964873,-0.013805658459212708,-0.06300889576953761,-0.06484083786917202,-0.024588559498857278,0.3426743269318673,0.03764239145886704,-0.11638072892312407,-0.02406439178165556,0.15130270718368535,-0.06894164119331167,-0.09123082213825953,0.07580631313959175,-0.1253536408365078,0.12272168787421071,-0.06697888666300741,-0.10397947056585599,-0.013784707813971247,0.04204069596687627,-0.009890263557161348,-0.010869214542446489,-0.013690006340619384,0.0018116975771828728,-0.06378514272577351,-0.0972286943262537,0.06235899641621128,-0.040183187839276005,-0.07363693526426587,0.20016987620787907,0.15134883963734383,0.201011642267655,-0.058799969242658026,-0.11268891597722676,-0.08345161110686752,-0.0433852775441818,-0.0977704393628892,-0.001600531595449645,-0.012379048284389849,0.034256714443594384,-0.060273652534446526,0.390174815152598,0.13765642541388157,-0.03212371236871833,0.08990292308514758,-0.08641308316488586,0.03040904518923951,-0.011242885603731195,0.076396363441389,0.09883908682454093,-0.03125082289781442
Chl_a_conc,-0.1574416398823398,0.15257180866240094,-0.06371744989700626,0.11075453117193017,-0.060652420290602464,-0.09999379928502791,0.02369931598876344,0.2253995457461646,0.034136523590749944,-0.18650610889911481,-0.025218345272992923,0.2677128677090614,-0.11506449029869495,-0.14194881852783958,0.16525266588689122,-0.20546532906831164,0.05689192393354657,-0.09264791831434128,-0.17513666016029786,-0.017326065129431356,-0.01149240985693298,0.13239245222901982,-0.031030298734669236,-0.015466417668654146,0.018120271760692797,-0.08818109634371268,-0.11257541311644449,0.0630479234488863,-0.12297775734474761,-0.11792611779212728,0.16803433380511731,0.19190413538558346,0.3789966693784832,-0.048645832366764695,-0.17363503906889854,-0.14352526440862806,-0.036961694357349015,-0.16831754793023385,0.11101497615843704,-0.025359942327392755,0.14218687204849784,-0.10235612541508698,0.31592680326416434,0.1562024847531141,-0.01871112926202265,0.13322230090308837,-0.13782481436763874,0.11857579505722324,-0.03426261190510002,0.10102207435912344,0.13067398695262533,-0.06494495949833291
