,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
PO4,0.16922323236446218,-0.008658853202171735,-0.11871173960363136,0.08641026832254842,0.17235906817537672,-0.08387548824196596,0.07441274911150848,0.15943930733776576,-0.015021722259982323,-0.06651875475029859,0.1399519086010202,-0.04372937891741447,-0.08399740955029501,-0.13829398131512644,0.024852302295455674,-0.07193388036579909,-0.11099924725850441,-0.06310574568702801,-0.030888524796493212,-0.005949178728321265,-0.014875936310066888,0.15171500416635503,-0.051305584819175847,-0.138969208492687,0.04596666092836907,-0.05398920686944915,0.1281311900759684,-0.09664399997640373,-0.081265265416464,-0.1319027019245008,0.023645778974561868,-0.036690966862202364,-0.07913367729928036,-0.052177357589437603,-0.009883131775929133,-0.08785409264912067,0.0668309933568944,-0.02692512734574249,0.031675302462343964,0.06861270851497614,-0.050344151990122314,-0.10935057873346113,0.04245864489913741,-0.03655324234759311,-0.03805557504813088,0.11008377335109823,-0.05547441376667067,-0.03437852158384727,0.0019526905296463808,0.0916035616891396,0.052725727988762724,0.048265805555958434,0.21130749031948742,-0.006653421413123925,-0.1279013707947614,-0.09955187915413385,0.09712079898896897,0.0466160594864367,-0.032754958735677686,-0.10138747590482457,-0.07488921332960696,-0.019511544503708445,-0.0963297131125197,0.11470928537741211,0.012161801680671566,-0.06423615177940728,-0.14158184932338538,0.050831733160760166,0.1258929764866022,-0.04860442116680881,0.10745367472143388,-0.005775327828522403,0.18535593841662876,-0.001375479042852296,-0.03204859544705676
NOx,-0.08186433667065854,0.05206536608488275,-0.06916695073842642,-0.06667808605359155,-0.07892476529016804,-0.06507713298662636,-0.06791664881859583,-0.0811948629124596,0.01298883758044996,-0.07899822841234977,-0.05981176279125121,0.10020626547947212,-0.021535113629271862,-0.09059463169865435,-0.0604800055958976,-0.09282104835595759,0.03198143621244519,-0.04738420857814927,-0.046394449847210584,-0.009908460993117403,0.07915937680848795,-0.03952647282681418,-0.06902807177225387,0.08407306036475465,-0.04274252382568501,-0.07140849000965618,-0.11644649912360944,-0.06751468869711258,-0.09616771211839142,-0.0777718389074634,-0.012289751380324215,-0.020916761886522806,-0.045717130498352854,-0.0789356336234782,0.0035643349372313626,-0.08782479674397844,0.2537479692488016,-0.08140562300681523,0.39884960868364805,-0.07620637795862698,0.25080670248556086,-0.07017093902778976,-0.013722619054923665,-0.03754356984791625,-0.0996087825161669,-0.045823687814626965,-0.06301480282519481,-0.052268397607220185,-0.02288898249102069,-0.04511328278926189,0.047876709875736015,-0.05762599185393087,-0.04935477154408553,0.05876643322268537,-0.060305998074948824,-0.07327880620849464,-0.0112862995869884,-0.01077333468240696,-0.033538162254384656,0.08263766668573723,-0.10215256843780902,-0.037933733651008605,-0.03928420261189165,0.11090196252692847,-0.014967293713421185,-0.08628750289248358,-0.06877827765978077,-0.055461255153014324,-0.051111843370354015,-0.07001778300454821,0.01940111657367507,-0.049391364170883315,-0.06763426458659043,-0.005503614389405099,-0.01968361093152981
NH4,0.1055587002760793,0.0924029291959639,-0.06255843116128837,-0.07310822226169324,-0.0007993539642858578,-0.10451796045289186,-0.07140957884933932,-0.0019672051620426255,0.07989886353994236,-0.06315759287516978,0.16211168643512885,0.04901791428418589,-0.04322531557800367,-0.13693309082306662,-0.04310139923204101,-0.13518948070685735,0.016801557927834755,-0.05626668076340806,-0.10436073785024488,-0.01041052270016814,0.13083141779941243,-0.0794202619958301,-0.0916258691932055,-0.019500645303669913,0.04721751589500371,-0.0935333092536403,0.06268659893241187,-0.10294773762210091,-0.1429501072511476,-0.11688194581299337,0.05911074913217996,-0.02218701163559743,0.01831704787795338,-0.0846432786642258,0.0026066802268966283,-0.12000478354473515,0.30384785448352014,-0.06713924706359806,0.15152709552574387,0.032915433558579746,-0.009344196462561426,-0.110091352925278,0.03686334091657329,-0.0675993305579389,-0.12654179018605893,-0.027574943092869272,-0.101055395270026,-0.023395994332193387,-0.03455400051714004,0.05626636222132462,0.11264184282457348,-0.02371612814239398,-0.005790096050566945,0.003154679363808484,-0.109822866659247,-0.10906862101507206,-0.03562370886565044,0.14181143515658526,-0.01012314193665315,-0.023363193136375755,-0.128499847103042,-0.05216497788525593,-0.11840401467979911,0.4562255878191289,0.004544739800954016,-0.0925704007099008,-0.07105721122780366,-0.0679590984742758,-0.06393637761667681,-0.0566923635817412,0.06653166402648944,-0.0671150954514762,0.07634528118904829,0.023060092552466608,-0.07564023428769329
NO2,-0.08744294822182486,0.1453628213604472,-0.09601367919215788,-0.08346467350338704,-0.10764727869205289,-0.0959428900130607,-0.08175541723081431,-0.06801639030296561,0.03148456941128181,-0.12093073195220175,-0.04110165436421137,0.1385166372110142,-0.007322798254359979,-0.12852159967671667,-0.051231612350538754,-0.07995861789550279,0.07314323764865091,-0.051311794693142086,0.009115328701368797,-0.003648082270849756,0.08327809353378232,-0.053477504689858096,-0.09030673301876355,0.0807986112371024,-0.017426341559724168,-0.10159263633923064,-0.16864482281876697,-0.09943536867610069,-0.090452886877346,-0.11610747946369392,-0.01752260446682836,-0.045300159899469505,-0.03595304958493131,-0.11463685801013229,0.019581044017678812,-0.1149723212609034,0.2555773729990526,-0.07016637275191517,0.26876856392460563,-0.06074691351470752,0.16977865933174713,-0.10456133005282413,0.07403931578555872,-0.04096902322658744,-0.14210519099364632,-0.04751358751028936,-0.054458363872329676,-0.024294326241061984,0.002568221092333396,-0.008147701983622514,0.04309233877146562,-0.04277183312545786,-0.011327737686040005,0.033565583658269026,-0.10076253582205841,-0.108559759113195,0.011932837283465402,-0.006111726656682253,-0.04752796420753647,0.09896189259509708,-0.09354246261191243,-0.04699792205595986,-0.041034222190694844,0.17084325403767858,-0.004062497255547858,-0.12800114147486447,-0.08481728956838015,-0.03814691612155839,-0.05092085188386925,-0.09628574768809316,0.03811879362595394,-0.05992610837587865,-0.07328780207776577,-0.010522609137982985,-0.010430595757607276
NO3,-0.08156242945150288,0.050363788943465444,-0.06853959193949577,-0.06622626248844937,-0.07824105458609182,-0.0643925702344296,-0.0675112588045783,-0.08121014710778289,0.012644729671018826,-0.07809214201943943,-0.05997443768174162,0.09930719759826807,-0.021719425231776113,-0.08972644266683405,-0.06048183814802942,-0.09280146628103804,0.031207816397810215,-0.0471977100742217,-0.04721018970274446,-0.009988574570128386,0.07888889993336713,-0.03919135446194168,-0.06849471956209227,0.08391444561164907,-0.04305969657968722,-0.07071929925069295,-0.11527256097992816,-0.06680618680036851,-0.096019402699583,-0.07692936805399933,-0.0121704988928493,-0.020453474231027707,-0.045765159900606464,-0.07813451499717484,0.003285878066943337,-0.08714495559413354,0.25307224266947126,-0.08138775423925071,0.4000237773903452,-0.07627270724166793,0.25153209479778055,-0.06941414571873514,-0.015163875353132406,-0.03739052925387969,-0.09864082510383994,-0.04567879308429582,-0.06299855412057362,-0.052606063329252675,-0.023258989345234307,-0.045620369914307866,0.04783549266820862,-0.05772936618498778,-0.04986893138373377,0.05904093780730147,-0.059472247510234576,-0.07249913452551351,-0.011648153456689868,-0.010824359040369155,-0.03321761239776459,0.08215305513993462,-0.10203774513359215,-0.03768485915606002,-0.03915491822314837,0.10961188212561127,-0.015112667178893492,-0.08536657045843732,-0.06833369004141024,-0.05561151130119362,-0.050985143779115005,-0.06939799629994169,0.01903697737574585,-0.04908863317373395,-0.06736726599745924,-0.005405207413488757,-0.01978921425894199
temperature,0.22970825317408067,0.020720273887566358,-0.03386445747518741,0.2939169830009711,0.31009131530128475,0.1975398482922392,0.34848521303653796,0.31895170096381475,0.013518116754134647,-0.09943123237323404,-0.055537646839245676,-0.09883796941917024,-0.40269764490828464,-0.04808854308708513,0.27327027156612316,-0.17010950442593872,0.06127717927001206,0.1504593593213405,-0.3580341718444503,-0.03536519003801654,-0.24615463016099315,0.22925118122659327,0.2985543872516726,-0.04016022733206996,0.10435231169858171,0.169132574235974,0.15822507437852246,0.23345283483139184,-0.021376768966861023,0.07684539449218689,0.0029327899948558478,0.022979169787069424,0.11230679337831781,0.23731339564785361,-0.34706686329401126,0.009330475344366264,-0.26407892949923073,-0.20454723360252056,-0.2907168230583852,-0.1404375242578847,-0.13726153596877247,0.28062742250227735,0.1509770988822481,0.2488027824583678,0.3528244020841381,0.17627004124818813,-0.04897619923682538,0.29346860814036657,-0.05524401780870516,0.17271210248901786,0.02987750045888414,-0.06163506817939002,0.25847740405748265,-0.06310892689034438,0.013963129584588832,0.1953948578728089,-0.1751576919461593,-0.2442070600797122,-0.14413350978111877,0.04657420647657415,-0.11125785900674598,0.1572451397938931,-0.2578654705660234,-0.27859550435237,-0.022869528195596026,0.2609357947095302,-0.08890008416750401,0.2660750897362194,0.26591632879460386,0.20777895000911956,0.122432544596152,0.24355532597162033,0.2848403454154398,-0.07093472279178696,-0.1269799101173722
salinity,0.20549496051782595,-0.34240861533153055,0.0509970057639359,0.14140194436721934,0.2534171136747229,0.12909212688881436,0.23503670246778102,0.20311545264307407,-0.09049742462549826,0.10963687517472817,0.13940094446394544,-0.28690206108221217,-0.03919355372904529,0.050638892265120854,0.10950216071038865,0.19524387070153737,-0.07714143139901805,0.11130050924280305,0.11277891560704337,-0.006196852086290054,-0.141283779561349,0.07326707914215366,0.1822833165856198,-0.06787835059315984,0.05668717101734445,0.2307090874336586,0.23628317922244343,0.1427511652627137,0.19605339138694494,0.11462094899183087,0.007360155352544861,-0.15269864131777108,0.009752028370655811,0.1952633472491739,-0.006077470759666296,0.24683569382868045,-0.37251179462133455,0.03174079864178832,-0.5643891549378666,0.33705955102688284,-0.38863106964625715,0.1635116108949306,-0.35470763631828306,0.02482168070597781,0.24523142708750376,0.08513731929228209,0.11872958846625215,0.14437387669419133,0.04691027309105648,0.08428288219639431,-0.38148324518277965,0.2851372005620878,0.1757483856274875,-0.07875228196855419,-0.00314448587390585,0.1517844551143413,0.05815906117621369,0.04157735258173264,0.03603966170594268,-0.3518339508979526,0.09051972597602703,0.11688877819225518,0.03501963106273383,-0.31756949054011663,0.05630743875448277,0.23220823680374314,0.05590516903558726,0.07588738809332643,0.15404755997950512,0.1363105844740884,-0.33098960050717063,0.14449293148022274,0.0897868087578759,-0.20775460739889545,0.04314510318033758
Chl_a,0.09435330555397742,0.1256037159823202,-0.149041015633487,0.36603553914967485,0.047960986199118705,-0.0883174718410056,0.035405604673901483,0.13523720139380807,0.0322369514431701,-0.17608658730790483,-0.021166152409139546,0.16424592567456006,-0.1763428622833017,-0.12395130497571669,0.09950902914183453,-0.1997555492982407,0.07002691006895016,0.010454185658735071,-0.1728482311592487,-0.015885198826927436,-0.028826523040576098,0.16031037734191594,-0.024250252378913567,-0.040097445315145114,0.022088602994582346,-0.07752139226871074,-0.1244646567139099,-0.08736887962662458,-0.12843121338670085,-0.08227860443883539,0.13242925695785107,0.1799273514650102,-0.010473404679624706,-0.08797590223900444,-0.14871692248945373,-0.12403396345381665,-0.004050138565544985,-0.12912036910237823,0.13629623085726933,-0.17371841756786477,0.15895100375198795,-0.08417289594531194,0.25836142744768475,0.13299221899662272,-0.05943466837250073,0.1279594561517091,-0.07800567783314019,0.14187493318491784,-0.031617111882604895,0.09916173557372795,0.11152590854534652,-0.09069576088475408,0.047246183153795945,-0.01399406841490064,-0.09991085022554909,-0.09915939476547235,-0.0768722780068293,-0.09940890247042841,-0.06210043507435581,0.26891991843784735,-0.17242185347806568,-0.03910378312943071,-0.11417602029063136,-0.011229621894691424,-0.026626145916617928,-0.10806844364384886,-0.06573600273217327,0.3401349066355649,0.14234092496705364,-0.04691530068870497,0.037640405053162886,-0.012111563285124399,0.19314645264826558,0.1357253058420255,-0.04550180161168871
Phaeo,-0.009308599340582993,0.1045073381382329,-0.09429909336877898,-0.02552659227040422,-0.03829569751658049,-0.05945391064186695,-0.024796481002230364,0.1648424560813359,0.03941711201916441,-0.11135859863400634,-0.017960125472133402,0.03383008988015755,-0.11329429197049881,-0.07950592485585391,0.05197425203859472,-0.123533371086362,0.1896037517995534,0.08748286237606193,-0.1021291394360452,-0.013501300725807033,0.038934703883916504,-0.010070179086326583,-0.006297455868569881,-0.02773550214848159,0.027564094108507797,-0.059763979824255783,-0.09519613544241978,-0.06519390810468273,-0.05356052594353182,-0.05638857721183338,0.2019221578469558,0.15154224735628938,0.03466200534738302,-0.05379482135238743,-0.09613275852178935,-0.07953575109976896,-0.03593961452273957,-0.0847107880253409,0.000957362301460042,-0.10915318069676944,0.03494470419114338,-0.04757834797721415,0.35619072898188514,0.11978424045146949,-0.06270218533137423,0.08620690317033111,-0.025461518812183316,0.3329223837392076,-0.009654311757540938,0.09187520605411112,0.09324145619748467,-0.039924716616590264,-0.011840475160747075,-0.013357028147574373,-0.06858418970062993,-0.06540034569523748,-0.049633902665345384,-0.07860091238291775,-0.04105079313760397,0.14604259699191685,-0.10175337924879083,-0.025352187394060036,-0.07270779201904681,-0.03301421606047442,-0.012853172448807088,-0.07840119081584954,0.04579598069746033,0.3587399952621425,-0.00557924339232138,-0.041248398392009174,0.05146607258112043,-0.032395118361265816,0.05921559620658919,0.037221185463035183,-0.00405724754178143
Chl_a_conc,0.07667344292964753,0.1338270758184114,-0.15072753990529408,0.300323831463321,0.02985547686550615,-0.09028809312609602,0.022983636129594143,0.15830538314070455,0.03776922380275741,-0.17806492420213177,-0.02264674018023829,0.1470627926887702,-0.17880593302322945,-0.12564766555345075,0.09765049002400994,-0.20124082769284185,0.11029343230897086,0.03254267125995498,-0.17283912946659186,-0.017002418187581116,-0.013619953967291579,0.13183245716167308,-0.02206711386454934,-0.041193869316652185,0.026030255294783068,-0.08130984879451625,-0.1303412723834801,-0.09105125434878591,-0.12235940830899424,-0.08438614156524833,0.16602207304399225,0.19220597116989413,0.0006252868399783951,-0.08846392068445075,-0.1509536552365029,-0.12572515416449176,-0.013163789439582452,-0.1314007472374231,0.11467035924767771,-0.17547786291888,0.14292092692281896,-0.08358270772143991,0.3136439007468835,0.1441795596580197,-0.06692567318253478,0.1308327113629478,-0.07239714054564811,0.2095408943097017,-0.02916301353934487,0.10819918076965937,0.11894913893997609,-0.08697882974611398,0.03644276007814286,-0.015375763092867967,-0.10250034514216573,-0.10100457490727985,-0.07801284643768436,-0.10480032301004828,-0.06328117045624936,0.26541429212291207,-0.17237913217295364,-0.03971227135565375,-0.11559515734763487,-0.01839564993815464,-0.025842539747860695,-0.11201508574710524,-0.04273858118216962,0.3829790642008206,0.11796856488125608,-0.05058809619702625,0.045578449215952554,-0.01896777698967349,0.17821926265045832,0.12404319953095884,-0.039297548948265884
