,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
PO4,0.16276167078324402,0.002520719716196528,-0.03742504290507988,0.16313991621851265,-0.045022850497356576,-0.10220688813102247,0.07692984172736289,0.1133670644923209,-0.017812210877823476,-0.06673776419654676,0.14041348858821462,-0.04241920604355939,-0.09733899817628906,-0.026542528785955158,-0.03684625014859022,-0.07812313077318618,-0.1096024677988265,-0.03982965968820188,-0.03602321185034342,-0.005901567159345233,-0.014780489220792701,0.15228416714660167,-0.05400319826770376,-0.17514757498736744,0.04878134627473241,-0.0618786563590865,0.05077128369263113,-0.09873548484070196,-0.09423844509525738,-0.14031505323251117,0.02491087541434642,-0.03654734842800722,-0.08229843971616091,-0.04046556576578695,-0.0673610221325612,0.03457151008983863,0.11122930885845367,-0.07311076667923035,0.034674478035943194,0.012847476942771517,-0.04997206904998814,-0.12607081227718,0.11344367814926092,0.09393626194042624,-0.006585256982661499,0.11259929820905074,-0.055883985766045266,-0.028802815165632226,0.001741425264682862,0.23207035934573142,0.0643673545198573,0.09778086013902136,0.14309455691436107,-0.014143875445012364,-0.13973462057004749,-0.09876432860173377,-0.033193504072444896,0.04456401849553414
NOx,-0.10649721712545024,-0.00676339632752533,-0.03900225038355453,-0.07854704246927882,-0.0977490369768871,-0.07300386604960211,-0.06751508684672383,-0.05297058986047684,0.014731337780516107,-0.08312813816027945,-0.05979007230348873,0.1094375883535739,-0.040758225554145364,-0.08203379044630102,-0.051114956109124025,-0.09765224069148788,0.01439858547911318,-0.09113355163529571,-0.04433913998694505,-0.009901319361848316,0.07966848854845734,-0.03968120362138356,-0.0669431172138217,0.014951018521574874,-0.038375065452623945,-0.0779672646650944,-0.12739127751423057,0.0801897974688909,-0.10376751849043006,-0.08853877169217746,-0.01264395561663597,-0.020805111029473796,-0.05143180146395697,-0.08134260457724099,-0.007290212253381794,-0.0717087789114038,0.17942381416935682,-0.09906378963528412,0.4064207422526822,-0.015124850169029883,0.25035820708466017,-0.08441684400305616,-0.009602007394286162,-0.05757022915108562,-0.051355409150154824,-0.04614249116434178,-0.06556700633227902,-0.05620474588639171,-0.02314901911193273,-0.07679468376257464,0.07618675929023075,-0.011268569632490762,-0.05866286115291171,0.0658072201178599,-0.07479445023447591,-0.06899101273562962,-0.019832284852734014,-0.007833361334621857
NH4,0.056029680789827965,0.03389610018456818,-0.007014062319373695,0.041560526700044634,-0.1258900967337353,-0.11088540628431173,-0.07038898452484992,0.05512719694658119,0.07859613388576928,-0.057571982352574935,0.16328185387515876,0.07703595503546812,-0.11775554110089223,-0.06719383538360321,-0.0716764660384743,-0.13157443012129635,0.014906553316077428,-0.04551580225666044,-0.1037575610880054,-0.009549591979911388,0.12979205505176697,-0.07956527701946622,-0.09245672500891083,-0.06523419968965899,0.050962639062456266,-0.10120616690205178,-0.016551365751227703,-0.00882007991482276,-0.1471672210028209,-0.13407326517533763,0.06021040169334512,-0.02202697975192213,0.009359086777156139,-0.0760063641124829,-0.018425496685745366,-0.03625362589490047,0.4679935421511151,-0.1238288008738061,0.16372313335538882,0.005391374350820096,-0.004229137521175593,-0.1290954190830989,0.061332476295375665,-0.07407821880406919,-0.06879769848260758,-0.026077164558727245,-0.10369005036258441,-0.014833689436542404,-0.03488353333208179,0.00863923301207112,0.13985932343470198,-0.034683157917661814,-0.056844854791667974,0.001062849229214428,-0.10237280678012374,-0.10657783151318337,-0.0763336841446842,0.10732518954396561
NO2,-0.10977886051165162,-0.007964470974977211,-0.053225199281149244,-0.08289349265152501,-0.1413513319337632,-0.10897470967341108,-0.08065843249627333,-0.016193911489691466,0.03339744890324325,-0.12758080244773332,-0.04153008470980028,0.15109754655376578,-0.04235736844050123,-0.07096292980937169,-0.0506511974858257,-0.09008565927132628,0.055742975170493765,-0.11992559120525456,0.010995434053346723,-0.0034638562987612488,0.08340254150091678,-0.05334119680995869,-0.08687042665788211,-0.0003172479972596825,-0.013889900031919592,-0.11002078917071775,-0.18719765172822464,0.11149366017617583,-0.10211231607897903,-0.12882162875392184,-0.017671345267233584,-0.04524354391106804,-0.0463900319073258,-0.11851173141329802,0.004189054590314065,-0.0599329040339842,0.2441988771260469,-0.0885098455940771,0.27709178455396255,-0.00416336078643804,0.1702163159463999,-0.12355597478048073,0.061184696336638034,-0.047332260524838965,-0.06184066634469472,-0.04651229489405083,-0.05719741476665081,-0.028347841214031222,0.002264861466333836,-0.07573671952609229,0.0902269920945494,0.01235658287075284,-0.06144705452377451,0.03999269163834063,-0.11293280827532007,-0.1015738072142636,-0.010950656988999306,-0.00047296071619015896
NO3,-0.1061713344783998,-0.006726003867333096,-0.038663890864280986,-0.07827429155308897,-0.0967672057643113,-0.07221328938600996,-0.06712241434038692,-0.05345452861143048,0.014379935182363456,-0.08216916617234074,-0.059945231397261496,0.10845871776266658,-0.0406277323218944,-0.08201149277836806,-0.050992836486064,-0.09753130412473099,0.013666585265826864,-0.09041764019382724,-0.045157156966691044,-0.009984429608375206,0.07940318760887546,-0.03935058717697857,-0.06643779379901579,0.01516982590704815,-0.038689361555079335,-0.07722996082691425,-0.1260615551594158,0.0794594537107044,-0.1035316105742871,-0.08763618257479222,-0.012527258688240648,-0.02034118148554994,-0.05138587758919825,-0.080510678325073,-0.007464761173190507,-0.07172458271346413,0.17787826745512103,-0.0989895120510128,0.4075630173237633,-0.015270776731844817,0.251069834475773,-0.08354396888454024,-0.010768217691143629,-0.05759610196994041,-0.05104851845950302,-0.046018989832534316,-0.065541127909846,-0.056530435794453125,-0.023517636342834124,-0.07661728784790603,0.07575696038202315,-0.011637297655428841,-0.05846692706613253,0.06607415092641827,-0.07396286531713797,-0.06826762182360016,-0.019931263644279607,-0.007937251347934214
temperature,0.3428210413195417,-0.07166476426044524,-0.14763930877930365,0.3247426799204314,0.35039424609257325,0.20175230934211863,0.34710508000252416,0.19902522007452622,0.014341738046651707,-0.0955361093886129,-0.05167673153057454,-0.11026089372663597,-0.26249260835615973,-0.20729469106982035,0.2656311014534203,-0.1663522891280724,0.06276005640937236,0.11184228330051249,-0.36700147799031957,-0.036030426257939445,-0.24201931402415822,0.23101103233863388,0.29492444721403627,-0.06708212773893826,0.10453985288111131,0.1691435826099648,0.24957327861196446,0.049997667392701686,-0.02182819002210086,-0.020233278374857305,0.003465791296595653,0.022937113506080676,0.12451992009778758,0.23086406057957218,-0.4010460165391122,-0.11501084245224905,-0.29791170181718096,-0.12135993271000986,-0.29889844719139486,-0.0227801916715838,-0.13980345367474778,0.2933956726818042,0.17139017088023284,0.2767553607923588,0.2533409584774695,0.17826648622399976,-0.047003121376236225,0.2956274580187725,-0.055429905357012255,0.340646129841477,0.027439696867490003,-0.17622784519167745,0.29137975769865976,-0.062123500754531866,0.0237209222573815,0.24149503876936212,-0.12599634628047668,-0.2768677196346274
salinity,0.29087805996460875,-0.21591243765608317,0.037638061849209634,0.126079964836455,0.24291682468592352,0.14889073631288124,0.23438300337280787,0.11686868783190724,-0.09468428900089386,0.1130803678646232,0.1389586779887651,-0.3048493976079072,0.033040357506236226,0.03139000690897541,0.06461904478831543,0.20510138161681074,-0.07160355004201148,0.2817741011719257,0.1014418111232042,-0.006710827256460855,-0.14135051575459237,0.07423794544436416,0.1769760883214172,-0.008809689877863588,0.05379237107807186,0.24453711135540862,0.2529793875784263,-0.369412606890299,0.1959517384443429,0.056677940530282384,0.006864224544679299,-0.15295885604017034,0.027020518790144464,0.19297966352795837,-0.048256140944713706,0.32573309888319224,-0.3598516804673918,0.07744420127473833,-0.5701213867027293,0.05742139181688552,-0.391323774939297,0.1820032967230361,-0.38471993523438586,0.0893803149590927,0.1484894621365186,0.08490126285362312,0.12848337910194596,0.148887092781259,0.046790504399545664,0.2549956963733089,-0.456440039693094,0.05844561513282115,0.1734565618980329,-0.0853731891170465,0.025618817713277543,0.145709678049267,0.04321596629032123,0.041489426650675766
Chl_a,0.052796226566863155,0.13194317593065152,-0.06409231515762356,0.17749460890428917,-0.061590580906021195,-0.09803082616132827,0.03671872455180606,0.10545173266376894,0.031810816951233285,-0.18259868045808586,-0.018909033414374558,0.16420936446011286,-0.11405516111506672,-0.12993587688378516,0.14295451681652505,-0.20646826266705365,0.07705242643860062,-0.15009539512195103,-0.1735906066647861,-0.016074259344390593,-0.026574869967716498,0.16046084241371833,-0.026767264437925042,-0.06959060731337421,0.026808846123440803,-0.0845667540445337,-0.10145394256673282,0.27981604522391235,-0.1272011137077665,-0.11567129304272379,0.13589725018453724,0.17992752301607073,-0.018715052495122772,-0.09232593719601329,-0.1743662825333938,-0.13635056534740642,-0.029196488843555725,-0.17273145641929,0.13163024904829873,-0.02629839424568009,0.1592636437387847,-0.09943327481106357,0.13375388180048686,0.3953818680205996,-0.011614570677939856,0.13067419021762805,-0.08160136682892138,0.1506666073119571,-0.03178165525985127,0.0633160964521799,0.12146776197520241,-0.07746780864219997,0.14872465623626432,-0.013139806681374563,-0.12965809405808282,-0.0878593706640536,-0.04521165760206141,-0.11755691403858325
Phaeo,-0.027976649856104346,0.040382095390048195,-0.036064513914512354,0.07137390941269836,-0.06667372201673141,-0.06514605892868464,-0.024184800761962406,0.10268589648498865,0.03881455381394716,-0.11547220685749235,-0.01878292393367167,0.03239616564545769,-0.06935240894381442,-0.08578397336512028,0.14044456070899142,-0.12638171223955397,0.22466411428590308,-0.10388213123191148,-0.10302341646563665,-0.013692403015582204,0.04060800385427264,-0.009937829829423095,-0.003998328227277481,-0.013727322783257365,0.022724381778478728,-0.06381035798732301,-0.09664343129398162,0.18093010074027044,-0.03675168220759086,-0.07357996423835747,0.20307005411264098,0.15143142918522567,0.010888177481385188,-0.05570258704253552,-0.11235178827234649,-0.07526813373744383,-0.04202610757611924,-0.10130563056250702,-0.0027730610483489198,-0.0126104421857632,0.03465680966585659,-0.05908034726788347,0.19744624906565084,0.2318845085053806,-0.032465634721085636,0.09333227374425625,-0.025715767933885098,0.3419850002537209,-0.009737582767871726,-0.028123056750332307,0.0971534456829224,-0.049910088058278554,-0.0009249327951925748,-0.013254100027070389,-0.08441935638792328,-0.0666612067947259,-0.004148856757071939,-0.0867015640012792
Chl_a_conc,0.03671775117955087,0.1217271407886333,-0.06359853840422255,0.16838388450949715,-0.06981437663382425,-0.09998814369561826,0.024252080020834163,0.11641618071944726,0.03724781458324701,-0.18464890594702335,-0.020975597718649222,0.14664253646950218,-0.11458212106314368,-0.13237686466921933,0.1581551044461767,-0.20764946936250767,0.1257159503613217,-0.1542161128132398,-0.17370525246664997,-0.01721303835221329,-0.011275264339267328,0.13199471748567065,-0.02355533031067878,-0.06214540764386323,0.028677694435204695,-0.08832320383979594,-0.11141873586692388,0.28403892973860295,-0.11676023820583034,-0.1170872746271372,0.16924504652842975,0.19217600829882378,-0.012751775796684734,-0.09263374067727848,-0.1768906877932913,-0.13490458138284053,-0.03592579499020545,-0.1725173766382132,0.10974014977870411,-0.02550147277199711,0.14310514963744725,-0.09951747082046232,0.16591798772914773,0.3948908009619215,-0.018569747448902562,0.13504733050244,-0.07548452046711285,0.21938294738052436,-0.029323758037405938,0.04550860206415921,0.12835736680159784,-0.07858778240788544,0.12459169365888537,-0.014630712362150414,-0.1317729506177881,-0.0918616170578646,-0.039078883457695904,-0.12223496115569055
f0,0.079619115308012,0.1266854185343182,-0.09657672860964098,0.29834578547791324,-0.0894974175690366,-0.16065204296506758,0.05661183231989986,0.20870981368418867,0.09897453122187819,-0.284066608404604,-0.022396249205788876,0.21558196969146198,-0.1684739055679289,-0.19819289193002582,0.2617234814227798,-0.33236349620761985,0.14650797261068083,-0.2521330837868755,-0.27746499513531897,-0.02684998422785225,-0.004918059271390142,0.22300399735213922,-0.02960709184456979,-0.0793848488129827,0.0707510374603724,-0.13492232604768936,-0.15166971004174287,0.33489886131580027,-0.17055603010478343,-0.18806794895646956,0.11256641135155562,0.0692144477591522,0.047405123958437226,-0.14605211471001317,-0.27195136744828113,-0.23649206021754363,-0.020445755012203186,-0.26606032340574326,0.27979335698366226,-0.03491941093818745,0.26340393445772425,-0.16182635429653175,0.28893356068581144,0.30013488149975076,-0.013600763170040544,0.17724139774166212,-0.09048902402333542,0.14733269432490687,-0.038064328174051774,0.15011418256018522,0.22596095548225303,-0.12204520256362549,0.22417212854924223,0.026992510604041627,-0.20774667032013325,-0.1391057863848302,-0.0784950070929924,-0.1934244427049482
