,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
PO4,-0.007869137986710205,-0.007731711828170244,-0.13141408937326154,0.19203933583152513,-0.04096033268807765,-0.057544754586129995,0.07674747283269914,0.12073189974505974,-0.01705993028257947,-0.0646883952396743,0.14285155534266414,-0.004688082724598742,-0.0887980587420372,-0.02801266392550305,0.014877987114291502,-0.0900526309826863,-0.10969375622539097,0.09443587300461463,-0.04345542047791556,-0.006018198819098591,-0.01482012119778779,0.15247168324260255,-0.05374400614267189,-0.14563174189298003,0.053983645376085146,-0.052908838316752714,0.032196005913108255,-0.1013749272325734,-0.07143927729247805,-0.13227629455598303,0.024781453795282873,-0.03646742074142112,-0.07896092320658968,0.10082416844178349,-0.028822803103263094,0.01965492985689728,0.06799838968613212,0.04388242190693344,0.036474480341141445,-0.03770556330571475,-0.052371460830779024,-0.11628970568498626,0.10129375986253247,-0.03322414361417919,-0.006181118474053261,0.11297571522412686,-0.07114825176277925,-0.02052760801082345,0.00157896325460182,0.2394127099637169,0.04497762245715538,0.09738048956582257,0.1489488172798364,-0.007448865728809383,-0.14040993950822173,-0.09956961253614842,-0.03223008105030855,0.04853247021771931,-0.03018745933563333,-0.08036744850585457,-0.08285071889984909,-0.018862895118700505,-0.09382282679481938,0.11226348966024989,0.012780246997328104,-0.10220260518639543,-0.1365632339207497,0.04952732018665831
NOx,-0.0982214994316114,-0.004876990018600138,-0.07048768181590709,-0.07421708363067592,-0.09936830222609161,-0.06413596106460916,-0.06784698305271966,-0.054830984544904766,0.014006055150135737,-0.08373169493000301,-0.05990608096224878,0.04195575327245518,-0.029477651777062762,-0.08410492777908116,-0.06192658881570665,-0.0981501843864957,0.01448717919901548,-0.05823781155281296,-0.051735368956939476,-0.009936496117904186,0.07809662537136575,-0.039736888245384086,-0.06744532120945514,0.060631889846965145,-0.04304078129902656,-0.07266471346512998,-0.12886204612844782,0.1872545498598829,-0.09345503791867293,-0.07682713581326077,-0.012435600514905842,-0.02097034810735232,-0.05435722308160898,-0.11811053922390828,0.013275134029516501,-0.07331366860975295,0.24885481002198478,-0.037836920966919686,0.393460810644791,-0.09689031813204174,0.25256418817963106,-0.07621857222486539,0.02470488492603504,-0.04589201026261008,-0.0499222048541818,-0.04592541952773996,-0.054229680546372366,-0.056358247933802876,-0.022930362424590664,-0.07982897699705355,0.030492786970159454,-0.011217708702730235,-0.06127255149396775,0.051834009545990545,-0.09043396795963157,-0.07032754607834982,-0.020245411754734786,-0.011596792947469313,-0.0334685541374438,0.03240640253800879,-0.10419479031807061,-0.03856447012570014,-0.04030354397266018,0.10579652518247945,-0.015038204071910312,-0.07292879935078109,-0.07421242768375026,-0.013950330374199139
NH4,-0.06836675361658695,0.026702432191925245,-0.09144935584647874,0.06718985282207943,-0.1272562785077672,-0.10296929140834958,-0.07076971742229479,0.05982774294896492,0.0787055716192786,-0.0577025776781585,0.16434056453918325,0.03451305325633952,-0.06133160001785842,-0.06973424553485164,-0.04785059590044152,-0.13888389313545563,0.01961903817603247,-0.07558911526569582,-0.1104428280831919,-0.010495935170957621,0.13028163049360345,-0.07953142152640656,-0.09332521299707172,-0.030039461621565556,0.0515213965716005,-0.09423220628407586,-0.03149765394793378,0.004800415179368589,-0.13622567969529975,-0.11754306170163886,0.05934918740976482,-0.022021577908114306,0.0068503132437094695,0.007583136942095083,0.021692434028249975,-0.04199968672886702,0.3157959677839749,-0.04142647282916088,0.16188938168609857,-0.0497295848238684,-0.016563085819010802,-0.1192902188457699,0.07508114180870264,-0.06902234734808138,-0.06775072513972351,-0.025696970068423638,-0.0714331664006614,-0.01120838078502158,-0.034558152810173826,0.020213586887031097,0.1097984145878736,-0.032990663243615825,-0.05930521915669022,0.00016256237324962543,-0.13798787628694786,-0.10798571143391644,-0.07699816448561071,0.14490582783156125,-0.005274549956601154,-0.01742692906460479,-0.13557637252359866,-0.05152969572967155,-0.11692856511912805,0.4499469028878509,0.0049402532149843414,-0.1109594537036048,-0.08969622835409924,0.03824141335393737
NO2,-0.13305935063897442,-0.015269768311560124,-0.10742804342752885,-0.07860513648884368,-0.14296613091960234,-0.057155475244212814,-0.08115814314253693,-0.017509407650237625,0.032294055729306326,-0.12922115434376902,-0.04181459043992852,0.07528616827262899,-0.009425895614034358,-0.0742695812630261,-0.05383592054360698,-0.09514211503009788,0.05367733913079855,-0.04989757978854342,-0.003544696805844758,-0.003676947563557914,0.08246753372871765,-0.05350956603314336,-0.08825003762260927,0.055595370417901906,-0.018356152844094142,-0.10244962328094115,-0.19099142511366776,0.1776925325334146,-0.08473747747992225,-0.11566972445057003,-0.017863058440121395,-0.0455542929666513,-0.049822279563879315,-0.13428015858072806,0.015642871081814134,-0.06422396815090396,0.2678607895853109,0.021091775756706187,0.2666539726197839,-0.1288522698475865,0.1615406483115211,-0.11232694426774895,0.05902361703221648,-0.046884763475258814,-0.06055260291398057,-0.04658665352740096,-0.0652977666362842,-0.028709647586065555,0.0022077964797034026,-0.08263483584335812,0.05284839846289271,0.011208528796449058,-0.06198460032115024,0.026320406566587948,-0.12910666679305177,-0.10371983108597949,-0.010601635132055073,-0.009480126017596485,-0.047437625039649656,0.06235512257788659,-0.09874225255976707,-0.04781781543050902,-0.04183407193341582,0.1652122760600082,-0.004037698002126275,-0.10931423097548694,-0.09941887275862582,0.07596061486075772
NO3,-0.09738588325982368,-0.0046897899555797,-0.06968719352215572,-0.07395463851258818,-0.09838243041523556,-0.0640903555233546,-0.06745064435905829,-0.0553193597590392,0.0136628557492906,-0.08275375021617803,-0.06005811111282021,0.04128850363199082,-0.02973999370482399,-0.08405658479822001,-0.06190527189234291,-0.0979513090718065,0.013791187449486271,-0.05823006807047508,-0.05241442801876155,-0.010016524474230171,0.07782460790875403,-0.039404234937437485,-0.06692396355098026,0.06056249361238774,-0.04334657337745014,-0.07197904480260794,-0.12748951309005702,0.18693943202926483,-0.09336412866831992,-0.07597853938209886,-0.012312704111495166,-0.020503551099278736,-0.054295338906283505,-0.11753836599459172,0.013201567560965669,-0.07328021240079655,0.2479026144701929,-0.038731917079301945,0.39459360477348004,-0.0961064574126718,0.2534532353875942,-0.07541751148039194,0.02406485890831678,-0.0457586677176398,-0.04961651573272588,-0.04579756814192047,-0.053905681214329634,-0.056680044052191236,-0.023294897845172136,-0.07957888014997336,0.030039266633044216,-0.011566400528018914,-0.061104837293536315,0.05213139485427143,-0.08955364427035023,-0.0695871426293363,-0.02035615965825207,-0.011602918986449757,-0.03314852989666855,0.031820304002574636,-0.10402166669493854,-0.038310810899755354,-0.040175360501050694,0.10452826084767555,-0.015185007116509618,-0.07213144021187426,-0.07359983387775751,-0.01542715374959176
temperature,0.22302613467151328,-0.06032055473503823,0.043162887387058306,0.2906997742724497,0.35884210815958123,-0.043376032388536816,0.34832524062002024,0.19725862231521635,0.015339409573038972,-0.08400930391050414,-0.05298728953214337,-0.10872041343006811,-0.39930017014074054,-0.18982011012757738,0.277320674493829,-0.15989619593905469,0.059058671909352045,0.28481649548372256,-0.3261618069276074,-0.03541559490385322,-0.24867840220786236,0.23057457975378376,0.2968269784397477,-0.03108342811160323,0.10449257904255912,0.1700278089767005,0.25166368594797317,-0.0368416940775912,-0.011747031740873512,0.08044017593631693,0.003816767532712143,0.023388056187087433,0.14215175531947594,0.3689576457424284,-0.30153833313908507,-0.08040487223955614,-0.262031228560359,-0.3982341077774191,-0.29527017729621985,0.11525702824347517,-0.1289047507965581,0.2965172564427702,0.11937553183115794,0.2517732375068851,0.246143014265596,0.1779194334184712,0.17089956124566952,0.30135716182459504,-0.05447978658452061,0.3465194300449955,0.05328706230584024,-0.17120107458100714,0.29959722853385484,-0.062123324676432924,-0.047011372791273584,0.2451487572719901,-0.12846717508671152,-0.23673481849683253,-0.14266045202702307,0.06781130875692383,-0.09006615580708753,0.16022075165528207,-0.2533792558559277,-0.2775999040329138,-0.022692947915470767,0.2037323877359704,-0.09692107870414399,0.1558290028707487
salinity,0.22421398617087557,-0.22445599761429214,0.035072939429281386,0.11798811344921738,0.24737134757336796,0.11809186767444813,0.2352746658109587,0.1164583169977213,-0.09525718814743239,0.116303170351095,0.1407460005869055,-0.1954944590644948,-0.027527805325552816,0.037119281697414575,0.11101393368014217,0.19888377164018226,-0.06283663309083255,0.09937902585560149,0.12629862453539087,-0.0061375226316434175,-0.14022221647708438,0.07430484167105178,0.1780449664482049,-0.02488642745914281,0.057863590863836856,0.23736884800057081,0.2515015010121022,-0.3671282666330224,0.2047120537180287,0.11585251830829447,0.007904785041557911,-0.1522767011085177,0.03194624217510677,0.3115372884631626,-0.0422263798974903,0.31952937026652506,-0.3758721357068283,0.12656763466720083,-0.5587640823796336,0.29863217297523115,-0.38321695810187606,0.172071075587851,-0.35108535129039853,0.04861366718681156,0.14557383859353118,0.085341100817065,0.12419838467287189,0.1586229125976264,0.04694715887116646,0.2592653513365332,-0.36821592120213753,0.05735932702469019,0.18069392994004668,-0.06856996022718927,0.04861316249452208,0.1483373834711401,0.04472735099547031,0.0408912269306823,0.039498539749754515,-0.30085123977450057,0.09840945652522023,0.12017569161472536,0.041258041084788505,-0.3155688817030932,0.05720486631873373,0.14819101221453468,0.043495589545592434,-0.3475658303331216
Chl_a,-0.1119543286176466,0.15606565979862413,-0.12511270032885957,0.18312642076210744,-0.056539998456752706,-0.07855434132037248,0.03633850581369736,0.10231036224971181,0.033081119576314724,-0.1808191543985787,-0.020988169245109975,0.12806916859951872,-0.1720450739195365,-0.12847130871945855,0.10125727246751812,-0.20301101749134018,0.06355930753181552,0.39736602027365986,-0.17964110183548515,-0.015902100462364545,-0.03009199566127278,0.16031732183373018,-0.029229516352059236,-0.05942298412845577,0.02515205291438832,-0.07806047954686511,-0.10576679600700062,0.1935954964589426,-0.12367019935545472,-0.08326709720932059,0.1345746999152599,0.17899378947668138,-0.014405357762018567,0.009391311940411772,-0.13402205303716513,-0.12956054437460496,0.0020339323135193767,-0.1703359484531407,0.12878552944106442,-0.15931987327619712,0.15354543718788607,-0.09001210540637908,0.05088264870911076,0.15317904694408374,-0.011879768524353082,0.13017874120153755,-0.021756710716040125,0.15403459393262722,-0.03155327274283723,0.07896280089186211,0.11807086730149847,-0.07583273026298973,0.14933959825522403,-0.021530520547032927,-0.12333569193760699,-0.08846210669128882,-0.04673767544705146,-0.09635076428630066,-0.06191448289172971,0.24535135363069807,-0.17122517962307535,-0.03891506212520569,-0.11242464640521307,-0.010988983983536003,-0.02620362394720491,-0.09828891829527686,-0.08142838183344567,0.2532292701105805
Phaeo,-0.07377783389820539,0.06452568772627093,-0.08158132157787777,0.07291258187486768,-0.06522235234387153,-0.02756214666234711,-0.024428265652937396,0.09359851195168771,0.039779384590940374,-0.11388212621087122,-0.020651527169582785,0.011393577474650154,-0.11040630031157067,-0.0840073530371461,0.05498693003909941,-0.12429857514146966,0.1998941403188884,0.2138733553533877,-0.10569156571444509,-0.013509597721004515,0.038787264419845605,-0.010188265789866141,-0.009363289741208519,-0.03524566073153628,0.024549509157644128,-0.059461828115422985,-0.09924473987097698,0.07798298341308305,-0.04490190491232844,-0.05785863996695988,0.19938695399572082,0.15119736261007136,0.01125055847627801,-0.04330039360606782,-0.0861928138717526,-0.07025203796102539,-0.02693243752794968,-0.10756935760956739,-0.0022489986118303254,-0.10908913619874494,0.038170492738554954,-0.053776276648658534,0.06174922896202615,0.16959134118698574,-0.03286574643249085,0.09197123131422183,0.04069843113882757,0.3342244777827308,-0.009536071102097227,-0.028818818913575656,0.10435135909712073,-0.04888872226692563,-0.001114021046600645,-0.017186959034193316,-0.07902779871532106,-0.06761726048671396,-0.0043400900498916945,-0.07742372210549492,-0.040753505322920214,0.1499169132118902,-0.09976249095172947,-0.02409507359976794,-0.07001146249552567,-0.03403841348852708,-0.012515943960315166,-0.06539841221877213,0.009987369335282496,0.3671357323072748
Chl_a_conc,-0.11402092404685822,0.148535407995608,-0.1271864080842845,0.17352938364489334,-0.06518049340691717,-0.07342839626952406,0.023866771371267373,0.11131039667399088,0.038576259946948986,-0.1827231397201481,-0.023228531941036704,0.11059966108076742,-0.17441366407855693,-0.1306648027597528,0.09993648539684821,-0.2041814335512676,0.10766004813760836,0.3916631084085844,-0.1795090583888394,-0.01701885993051969,-0.014722277556546905,0.1318062049551037,-0.02707974532146673,-0.0594565275008848,0.027782790431182095,-0.08168028333130822,-0.11574576526377002,0.1836948895259855,-0.11601054295460683,-0.08561528958896225,0.16713424889221745,0.1913286196113534,-0.009035665583714377,-0.003880482251474116,-0.13591797015828364,-0.12784211433710055,-0.005609623982684068,-0.17220824859749229,0.10749460148094611,-0.16337398638306255,0.1392597433388386,-0.09016811936824745,0.05948800912950479,0.17465635897113832,-0.018901062371670888,0.13426167345289242,-0.007206220918619192,0.2201017502945395,-0.029077302060687045,0.058453790748343865,0.12746144920280578,-0.07693777636091692,0.12505651932116416,-0.02274254694995942,-0.12500100905404965,-0.09262730676147798,-0.04041181266804136,-0.10191343295429378,-0.0630443112146967,0.24668285101945242,-0.1708337351292225,-0.039212324159079895,-0.11339247907643445,-0.018471904867138986,-0.025396247249868727,-0.10027335118235498,-0.06563955071066865,0.3123093652508898
