,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
PO4,-0.19008079246313236,-0.011775846952929372,-0.03553847534207584,0.19002207981155397,0.18849155744769536,-0.10891860135659284,0.07650843660570533,0.009727190657450554,-0.01427713466135578,-0.06198174165712769,0.14735695544396504,-0.0832185412869321,-0.0734952819688468,-0.14192127049215797,-0.03735077074931219,-0.055602335487239266,-0.03610649506056215,0.009256198077603951,0.03006030857969902,-0.004924783036302937,-0.002348573958593256,0.1580549202626953,-0.06726907479762059,-0.06615911740647482,0.1197704898284287,-0.05873899983096462,-0.041569592108749456,0.08397977177317212
NOx,-0.10712500229101343,0.01571134806599127,-0.02115323620950546,-0.08627937524162077,-0.11249705575502458,-0.07612750193037505,-0.06982398971663761,-0.060116245076950146,0.10959284775634892,-0.08869070363321914,-0.061591916714584874,0.08581900007885838,-0.023884538446765892,-0.09028386723640311,-0.06359101982415394,-0.0750627590331514,0.32047179079764354,-0.10268365532270932,-0.018482774443178945,-0.009879947171299497,-0.028818674894072,-0.04253074983815698,-0.0754694846514382,0.008937559002991428,-0.04833645868761358,-0.0809245360633079,-0.09757562996564667,0.1729035973253864
NH4,-0.18023056812415766,0.04188484360101975,-0.020967532166604096,0.038847876615688906,0.017548968661269006,-0.11743281508430449,-0.07320413596425042,0.009307261195943517,0.137764181068705,-0.05683812734397271,0.16623247574266867,0.01691434711717754,-0.055827619737215756,-0.13732851544516506,-0.08337055066033192,-0.12349949352308168,0.039088367164324796,-0.032677013933854464,-0.06367760954872216,-0.008333200324741117,-0.043945350766117594,-0.08222545799960786,-0.10815906162453012,0.06699513372086446,-0.020566871793180265,-0.10106488535390096,-0.09184221822474381,0.1883341658866253
NO2,-0.133831529674837,0.03376624992619679,-0.04648451932778276,-0.08706772843209024,-0.12572467612194796,-0.11458244336038127,-0.08412072099776628,-0.024016138321707438,0.10502003083031813,-0.13939167467640817,-0.044068628277134425,0.14111721969824798,-0.007472334280243494,-0.1325443005952646,-0.05927908891989901,-0.03886204382783962,0.21721335364175529,-0.11415654955990955,-0.002012958789469788,-0.0029825499352015275,-0.0024992479091889156,-0.055626628364424044,-0.1046593636956555,0.03885617577947212,-0.04727240139778395,-0.1110971394549587,-0.08316663881829606,0.16238058371584066
NO3,-0.1064035228810746,0.015367734953379314,-0.020673404295033573,-0.08604681726120147,-0.11198863417184422,-0.07528720390904095,-0.0694060489459315,-0.06057064179161137,0.1093912070795019,-0.08761249808972935,-0.061730104914643535,0.08467076895002226,-0.024099880086434503,-0.08934358019974976,-0.06350191489734126,-0.07548085809659873,0.32139402398597805,-0.10222969074724056,-0.01871281486936599,-0.009970847725933244,-0.029188112524491477,-0.04220237892112119,-0.07478669532367929,0.008411618039831904,-0.04823149811275644,-0.08021135232387655,-0.09756997586441174,0.17264111934031995
temperature,-0.009063907303475094,-0.09228250665456399,0.02197827301518022,0.37231394678476104,0.40600354879127043,0.22853733776891816,0.35449832200074904,0.2497192839284138,-0.23499385207777412,-0.022258151601758584,-0.05046072750189766,0.051135073789173195,-0.40389696499427497,-0.014230278323694378,0.3280233574277208,-0.26551305535317304,-0.18589091988129636,-0.024766402613553166,-0.17095642498938285,-0.0386178538192216,-0.061953807519947314,0.24059278928143468,0.3298519158018409,0.05027631431648743,0.18386795411361234,0.1644319031892827,-0.18700710028189677,-0.05768311469421161
salinity,0.17976753665731762,-0.23212896899219088,-0.15199657754763413,0.14667090003011224,0.3100119953164566,0.15147762318365054,0.2390632362066921,0.13232009434065328,-0.17435102646239586,0.14069812126401846,0.1456585381390979,-0.39384955467320965,-0.0035035755555496394,0.05796758174284017,0.0921314763677469,0.1734289532574017,-0.4662422190523786,0.37238629782342125,0.05916437057916043,-0.0071085892303703,0.05980508182256914,0.0811213886005647,0.20747338796065304,-0.07492624909891214,0.08587950549606216,0.2615084211499365,0.06115634591537821,-0.5614952102606323
Chl_a,-0.1530480993712119,0.14391661546308843,0.17710549834981673,0.19944824337795783,0.06058151522635927,-0.09836368292791861,0.03630045933398217,0.15605015333940658,-0.027903906006877286,-0.18009500729227967,-0.018020834508955696,0.28810769928742685,-0.16728003442419703,-0.11761003511248216,0.20162584897658417,-0.20120379256350218,0.162696903973575,-0.18146496978525023,-0.07005428671139882,-0.016227474482186442,-0.03852620925786532,0.17595790623097202,-0.06921654144927562,0.019229115883352875,0.14623363926657615,-0.0888012905604437,-0.16960954288439822,0.11893033613054042
Phaeo,-0.048720246621172,0.023463188961788475,0.14985447289054948,0.08018440556053716,-0.04075351023216648,-0.06728701342914238,-0.025645309277084312,0.32149413723740217,0.017865817889106468,-0.11647012054516179,-0.022317352245261886,0.2169076564929837,-0.10734935550944683,-0.07693513611423325,0.1927104700498787,-0.12116742140343373,0.028603430451190362,-0.11591862210293427,-0.032180525868399666,-0.013852031097450748,-0.011631402419521571,-0.0024697062799186073,-0.05304083979124792,0.06936889299694163,0.10611259382005092,-0.06654938316738658,-0.10137442871811114,0.07217129366680519
Chl_a_conc,-0.141708403824937,0.12718143070598684,0.18937870979877902,0.18920590135758125,0.039781712042786174,-0.10084920204723583,0.023504190107176696,0.21833510301477305,-0.01856944335865643,-0.18281837508961765,-0.02119024957252265,0.30077345494285523,-0.16958327265771242,-0.11962622723092076,0.22160470714724548,-0.20181374036453364,0.14434253827173782,-0.18381852378417268,-0.06754796301690093,-0.017385018206892266,-0.03549980485057678,0.14703224362927866,-0.07251203129789408,0.03498738468099158,0.15158043197259402,-0.09262190675777868,-0.16991545987694406,0.1194402871118423
f0,-0.21387585025676403,0.12910097764366774,0.06627084543924551,0.3287497713099488,0.10560980914431431,-0.16159077370090297,0.056065248810821734,0.17588053052957353,0.006641271994153219,-0.28016579687625703,-0.024148352390108273,0.37588124534420525,-0.2616241763500814,-0.19197986911615672,0.30161796179352907,-0.32497093135531563,0.29556656031812273,-0.30860290619368536,-0.1135422316562086,-0.026791972191491632,-0.04401616563855771,0.23390736980449545,-0.09657593526346443,0.10295243251120278,0.18836696506721526,-0.14049746847121253,-0.2567300679868518,0.27100430407076076
fa,-0.20173515645410517,0.12048716991872008,0.06477561070402033,0.3180806725986114,0.089743565094441,-0.16395150767375583,0.04602882432905152,0.21300031182164958,0.00809099270829833,-0.2809348639431205,-0.0279656615155141,0.3774454407832101,-0.26252573310432525,-0.195413953757336,0.3092895997599149,-0.3229137556871714,0.26977740834974995,-0.3116075867525163,-0.11309722742584918,-0.02839739354739031,-0.03811759028518113,0.20701679887333962,-0.10000113280245743,0.12010550732141043,0.17687351332476756,-0.14561107280419971,-0.2546721473596466,0.27392552338604187
