,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
PO4,-0.014908528450698871,0.06476037805028041,-0.03680035952877419,0.1843115160505912,0.21085115744502164,-0.10471542793150557,0.07486452351743979,0.02777721494575249,0.0030475138145027334,-0.058298357193784914,0.15037174307167545,-0.046488778214617235,-0.07494204023450676,-0.045187440906111875,-0.02592336482225292,-0.056016284530567804,-0.07564426758641532,0.01404174004619536,0.03237863148480574,-0.005420946891287913,-0.028416240616362953,0.15376344661410063,-0.04956889098643383,-0.1381969309879026,0.11962806657614893,-0.061900725557111215,-0.10201428462244613,0.05786942061710397,-0.15316722980627195,-0.14503505918597134,-0.002528577016791757
NOx,-0.12349654829929212,0.04354219349878591,-0.020969208965894,-0.08616521169007063,-0.07666425190099291,-0.07419506801727965,-0.07052391896792673,-0.06588927740675844,0.0007898068494128531,-0.08324981778664475,-0.0624458322754977,0.2268568231723499,-0.024875399981417384,-0.09539401956181658,-0.061926747050059044,-0.07180432870381293,0.0748894824945779,-0.09651028070840376,-0.018824737314320744,-0.010168923742894551,0.08944677642211789,-0.04084212177051137,-0.060935089434099775,-0.006486332929148,-0.04732330033363338,-0.08193607753661203,-0.07395922238920681,0.4151276039781182,-0.11700873679361501,-0.09088165622227248,-0.02863148265532465
NH4,-0.07647122464301165,0.10283915726678874,-0.021640250904735363,0.045084878303503106,-0.014447676647060672,-0.11306801813270764,-0.07419165609824879,0.017399095405782522,0.08473451298609694,-0.05132308766622232,0.16766741246934663,0.0017664890981927694,-0.057728464750014724,-0.10083718998303695,-0.08007171747453479,-0.12204147497842892,0.025470981221679647,-0.02479901943126072,-0.06435648730356118,-0.008839266835239511,0.10913584524776401,-0.08058673956766776,-0.09025684838378426,9.283906452719082e-05,-0.018736303493132964,-0.10362474082555176,-0.11021858240984604,0.2726544226871189,-0.18381163084144286,-0.13917305686889175,-0.04374455592874621
NO2,-0.17022048771287435,0.06354627959849518,-0.04610991062091396,-0.08792582981713605,-0.07466794777252153,-0.11142219042533011,-0.08522601830897636,-0.03133788640356184,0.028291357719111315,-0.12810671939967902,-0.04499302081338374,0.1586336586375375,-0.010271308905723697,-0.07687967953270049,-0.05955235508449701,-0.03323985676158052,0.1292695948015561,-0.1026940364516896,-0.003123407637541575,-0.0033083316625077334,0.08534171779991931,-0.05410916369516761,-0.08441853272332855,0.016337039245980275,-0.046135423195312046,-0.11344736785059648,-0.10985024885026169,0.3173190342107346,-0.13829995184751617,-0.13471005287391163,-0.002552970292524055
NO3,-0.12239676877279124,0.04309505732763547,-0.02049305033320222,-0.08591659061107335,-0.07650297016672407,-0.07338033333376212,-0.07009738097602347,-0.06630295164713282,0.0003252296826937798,-0.08228373734516445,-0.06258066465445292,0.22742771430103473,-0.025057811085686853,-0.09546296151934708,-0.061809283284634906,-0.07227046762598888,0.07378447349717464,-0.0961609692072479,-0.019040982810792514,-0.01025847074566084,0.0892884738431595,-0.04051516394556256,-0.060385223401723975,-0.006853730302581617,-0.0472229975453001,-0.0811978063382861,-0.07316755998289425,0.4157175830352419,-0.11635321998806386,-0.08991347699463137,-0.028997343948116858
temperature,0.3787165533105471,0.05857415614247713,0.021086723635470837,0.3477901274403724,0.35739628547898733,0.20592617645525263,0.3563863152352358,0.25993876356602985,0.04293951140105495,-0.08720077802675802,-0.047518487258161,-0.14575269338937355,-0.3991049392862934,-0.20880072620505452,0.3087576837847025,-0.2862086948662128,0.005114249985361844,-0.05303130691462454,-0.17303033152829356,-0.037672462307949045,-0.21363296750174116,0.23369830279693726,0.2883367081366534,0.04611602691880021,0.1781732061425019,0.16749440846691838,0.2586375866921116,-0.33297124185513116,0.007697094267985812,-0.01058240151457406,-0.06104139848636941
salinity,0.30164676630573517,-0.4170202900439106,-0.15304220082778414,0.13096453953199533,0.24203101765044943,0.14650251311121726,0.240473078475664,0.15295873809835203,-0.065952480627401,0.1226486572043915,0.1480575327362457,-0.3940097089407019,-0.003017438915819859,0.04682623409425778,0.08591614938696054,0.1637781355978594,-0.3802485238626476,0.36039444140185706,0.060195044305684065,-0.006557108375287434,-0.1446744485805233,0.07341735685628945,0.1747079712742607,-0.0344695632527706,0.08476794987287922,0.2609997468244776,0.16001070097597958,-0.6132289190397848,0.20809384818623344,0.060148336728460094,0.0584994921584181
Chl_a,-0.1048102924168719,0.10534038654967379,0.1790986888409214,0.17949540826075666,0.1416572558056696,-0.09875780869715771,0.034694023926298966,0.1563197593722198,0.03811351679355241,-0.1854406351081595,-0.017963641945725084,0.16058683898614895,-0.1656747259385876,-0.16438617739480177,0.19681443355528486,-0.1991936539327811,0.28074710013580517,-0.1776941071533672,-0.07015929796623767,-0.016233799632796565,-0.03173111288152111,0.1730359849874693,-0.05024983228805292,0.014037913050730263,0.14272351978442938,-0.09009009528775372,-0.09109506220360342,0.12283841183901179,-0.15368898642153922,-0.11812798198774029,-0.03795119387538376
Phaeo,-0.0807775794166,0.09590022332263878,0.15017820998943557,0.06672602022266345,-0.01465608400691926,-0.06540194212828707,-0.026204763652442654,0.30903234560602516,0.04901094362799667,-0.11795677519240183,-0.02348233170483783,0.031435479506925115,-0.10612069334357285,-0.09786935176037445,0.19047035603471535,-0.11989803738500657,0.182048080868146,-0.1122287649407128,-0.032378644569121054,-0.013758193826276077,0.018735413130140703,-0.0012758060854581763,-0.04243835333697728,0.1238159514802453,0.10352184396837671,-0.06754887001082843,-0.07494633649177622,-0.004332434466806055,-0.055799581562258005,-0.07708418911351084,-0.01149561239537159
Chl_a_conc,-0.10992572974976034,0.11447919507743902,0.19113979311448176,0.16880067268159893,0.11492869767816341,-0.10066790782346371,0.02200371888114083,0.21517582024068665,0.04530858547072187,-0.18770951249950546,-0.0214587402462553,0.1433407058786777,-0.16790193826591865,-0.16457859111428472,0.21695730175478586,-0.19978151878118666,0.28512420991681553,-0.17965071937168864,-0.06768993645732453,-0.017364834151520923,-0.02154584088702891,0.14490387073963246,-0.05371046527349415,0.045421842624436354,0.14793010493286296,-0.0939752985174847,-0.09682862137137857,0.10193642697335005,-0.14416968008224001,-0.12010149847363702,-0.034980232219874854
f0,-0.1654013803145574,0.2232264584157036,0.06749243454840274,0.3013549507621982,0.22938031493381097,-0.1615242197164405,0.05346003632759019,0.17767625348282237,0.11922224518364552,-0.2886077578477396,-0.024181772897141164,0.25531805755664244,-0.2594183030625147,-0.2509627340281086,0.29019474549863244,-0.3216439008882994,0.34634688580131134,-0.301069599407662,-0.11582274190867445,-0.026968904546454908,-0.0010235679768439733,0.22848619682032645,-0.06587799363537167,0.06867970839597173,0.18359570169695522,-0.143165767341243,-0.14450671903593243,0.25733657951163624,-0.21902512548009698,-0.19346921025440939,-0.04364329556716344
