,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
PO4,-0.05601152501709274,0.0033675957234682767,-0.17854150681163616,0.19649699079929175,-0.04014597949000315,-0.10363580879697734,0.07739456523646188,-0.035329916531632595,-0.01819649128034991,-0.06163426295230567,0.1450687451901806,-0.05671312528475165,-0.09358915421499026,-0.049356320067033575,0.16462621077562192,-0.031924663555652474,0.026070864406716236,-0.11094733389177414,0.034306218094410694,-0.00540954424548707,-0.013178856295802262,0.15285354281390182,0.00020535759096440218,-0.017788250914327567,0.12687197397348607,-0.06042581783979163,0.10919438744502513,0.11044861289463873,-0.08820002124008638,-0.13736207700598693,-0.0033433043037789227,-0.03655967981678622,-0.10240035988071747,-0.13033542822725178,-0.04617190217394049,0.015335162313933849,0.03461031906304501,-0.006679907490781137,0.06377522270573686,0.013130415397412703,-0.049872612940623076,-0.09696691309347771,-0.09887107176958554,-0.03208150338501644,0.11537352353107956,0.11567718414097948
NOx,-0.06377051204592056,-0.006753519913138956,-0.010427567349486189,-0.07058821876736579,-0.09775216360984419,-0.07347200413722688,-0.06744931146703978,-0.05412877082986914,0.012636646504080588,-0.08442670899466656,-0.06238323867695458,0.1203464797073186,-0.04274038562076961,-0.09240599078733155,-0.08273282409848941,-0.04353549334759053,-0.012989571666469591,-0.10020170637338208,-0.017923927097866353,-0.009948013407220863,0.07680585225009802,-0.04041537987028064,-0.05147290465067178,0.065463970513219,-0.05712494202217676,-0.077950714431038,-0.05299911476876457,-0.008974393325745546,-0.10817735675556397,-0.08813849514563712,-0.028756459395352,-0.020851389032358073,-0.012812620865742516,-0.0917105000755789,-0.006856739370058089,-0.09829052985702069,0.4064428169331614,-0.12206080985685211,0.07328159346187148,-0.01590887253286692,0.24981786566224753,-0.07480495620719743,0.07649891478121723,-0.05673786282439593,0.17049905605201632,-0.04614759130194009
NH4,-0.09133622542792832,0.03392965336081284,-0.07881887619608459,-0.03143526981449243,-0.12593851684716864,-0.11163241768280158,-0.07012336437713419,-0.018060592733772304,0.07699405024156926,-0.04973446817194316,0.1623119809423294,0.07013883833234766,-0.11739504905299247,-0.10322493351241388,0.028795599077922847,-0.1039836315241559,0.06034907351762185,-0.1379193819043722,-0.06303297162140079,-0.008828467360652046,0.13296085424332255,-0.0805590304630505,-0.06510808866240533,-0.0002234401546038975,0.05493657662651806,-0.10009992220371401,0.08192876424486394,0.058463612121210116,-0.15052917379396996,-0.13096547610364245,-0.04378171011360951,-0.022054979889875696,0.01847187096397575,-0.13714288624825707,0.007147236319751872,-0.02724829898056655,0.16469909425656126,-0.07046726150031773,0.13777728559338345,0.004087923058173708,-0.0044212494694982705,-0.10989686635705764,-0.010572815456643788,-0.07680967912641137,0.4719676102661601,-0.024303765040051294
NO2,-0.08757420467988963,-0.007792009322769402,-0.035245141958831216,-0.07331823426417325,-0.13998529588608383,-0.11035921230831731,-0.08055021210602303,-0.026724252585139364,0.030806293358060385,-0.13259867538286454,-0.04514218079385502,0.16370615058604482,-0.04446960318382949,-0.07547767317676317,-0.09021342916501246,0.012665690964935054,-0.017797761600961592,-0.10718871927813926,-0.002154256136927756,-0.003440064448453979,0.08230330316941215,-0.05388633002059775,-0.05990750348785123,0.03936123598282765,-0.023508430102111233,-0.11067012433166437,-0.035226715302416084,0.06235632556483116,-0.10366376189745526,-0.12793797675382354,-0.0032456040899017788,-0.045339784234799764,0.015330350558973894,-0.1342457737991486,0.008063441266924366,-0.106348248959098,0.27740571905264644,-0.17283348543400523,0.08704290503566689,-0.004805698671371924,0.1696837683996293,-0.10986902195819401,0.11005334099103345,-0.05574729936482327,0.2377777352544642,-0.04571708089764894
NO3,-0.06320805264196583,-0.0067188872019721246,-0.009983637545998434,-0.07036288501308777,-0.09679335344854181,-0.07266482455856768,-0.0670575200585583,-0.05445212825178911,0.012298918439530506,-0.08340187860499802,-0.06251466850532747,0.11931129299036224,-0.042602666465651216,-0.0924558509503362,-0.0823967183377823,-0.044370129156040175,-0.012875683166966807,-0.09982950170077978,-0.01814361168672263,-0.010032190526927125,0.07651816738782719,-0.04008607701499986,-0.05120020691659555,0.0657366213251982,-0.05754516830503081,-0.0772022526212359,-0.05316333345993616,-0.010151349050829317,-0.10797831775988274,-0.08724505368224916,-0.029112455172326773,-0.02038650150804938,-0.013253413006896727,-0.090761964185789,-0.007090265427663155,-0.09790517383151587,0.40758012688221523,-0.12089658077433034,0.07286387006372823,-0.01605518942994106,0.25053073535909054,-0.07402505346892445,0.07574009826006076,-0.056610312078668325,0.16893408333528337,-0.04603753810486921
temperature,0.28561265994643215,-0.07539534786366268,-0.05521825689076318,0.3507346723299538,0.33906543425002666,0.20072471113324505,0.34686444093849156,0.3058094761040675,0.017603072284664487,-0.081469904229566,-0.053810484397439545,-0.09281942153992008,-0.2592420137601072,-0.21271864620371542,0.3479966433315177,-0.3574988956169125,0.00457098777308599,-0.12493556108861223,-0.16522804302378155,-0.037394225802507675,-0.24555554194313356,0.2326063774640224,0.2506223795783114,-0.06255738171001915,0.2007979106486007,0.17040067761490124,0.11881008001372065,0.17632481964473634,-0.05312368265631659,-0.03684181608335396,-0.05891402521679401,0.02294977648853866,0.08095636884936755,0.31140450242422035,-0.40979599935775834,-0.04971536218339183,-0.29913787706650263,0.33034513997359755,0.029620157985293827,-0.022557850775614466,-0.139742081647386,0.25971081312084593,0.056650219955623665,0.29088111325820415,-0.302653560179743,0.17796349879002576
salinity,0.1765407980936477,-0.2127710205119076,0.0053383747778676625,0.22958255857571844,0.23846854514071603,0.1457800867633583,0.2342548139775284,0.13988605664844733,-0.09001980042280462,0.11505455472012867,0.150056513489981,-0.3050380176162303,0.048335447076225585,0.04336868658561535,0.14377227664280492,0.11675878102037889,0.00748634844032478,0.16145800184460204,0.05823939594459218,-0.006968845091268884,-0.13678747246289502,0.0740151991389284,0.14715435870377205,-0.0848872729054001,0.13289371652531265,0.2461869935817106,0.1062530990164994,-0.38090851341182863,0.20811402425554382,0.04797747366520333,0.05738309549101558,-0.15288399878046308,-0.03982990583534008,0.1928074161336765,-0.038307498142247,0.3674581454980418,-0.5706778032889066,0.29097209186734185,-0.45322064848793564,0.062202248483008434,-0.39077706936498247,0.15808247446503298,-0.36423793759720846,0.07756322759998853,-0.35010534871513443,0.08497328065920082
Chl_a,-0.05103393499148018,0.12908586877478073,-0.08762817449366112,0.14886057142212977,-0.05535014551945727,-0.09888967043949828,0.037047007617252464,0.1591163184986874,0.03143805195219461,-0.18181036130433725,-0.02268912119339982,0.16818582727384082,-0.1131228793874723,-0.16008461128199966,0.18727194094998517,-0.17143554410699963,0.14047539602634587,-0.20050646996631066,-0.06814997775981885,-0.016123222929214427,-0.02700094376595136,0.17213555264219205,-0.00954882924225103,-0.015252989523853492,0.08435495972929496,-0.08469248931625196,0.02706113761183429,0.13875461509337128,-0.13795719288440933,-0.11643252869954172,-0.03774315488577374,0.17983927969080407,0.03207693556176167,-0.0977091543748434,-0.17621601673835025,-0.1783520972870206,0.1314795006689367,-0.11057970581453175,0.11987021289443056,-0.026120708011428507,0.15926449730106856,-0.08853282267208573,0.2812204106358068,0.19301578677089404,-0.034584358965608235,0.13735406926043428
Phaeo,-0.03410748543995179,0.03425790239136272,-0.026951161497195373,-0.013829317208134802,-0.06115876110107941,-0.06537885988774308,-0.024135756677469485,0.35442604670271893,0.03924370285743255,-0.11583739575636418,-0.023829905507171793,0.044036085114621475,-0.06715178762235671,-0.09850675893862929,0.07340411990502965,-0.10070519017226608,0.2055531093342768,-0.1242887869556499,-0.03195892202155565,-0.013812279788708007,0.0435348810674548,-0.0028357344662400235,-0.03043299478163726,-0.014197069718487916,0.05603785613232665,-0.06535347332534425,-0.010917588606138692,0.20652477287862653,-0.04120688064511463,-0.07522451945671177,-0.011747172045143736,0.1514299212598908,0.12770796004660673,-0.0659977374232086,-0.11563418660797807,-0.11295449617735634,-0.002791750705287151,-0.08361904062656844,0.0959592616329299,-0.01207229568880386,0.03457801450946209,-0.071241248875556,0.19130659991327748,0.18176777553127949,-0.04519054617327055,0.09510129602919427
Chl_a_conc,-0.05210534481125748,0.11766484050676751,-0.0808791941332873,0.12119994485497859,-0.06307771391210026,-0.10077232473396419,0.024540972760193434,0.22985579428408198,0.03705149728327228,-0.18408638613331296,-0.0255198469784571,0.1531427846894124,-0.1132016811165378,-0.16114092485212891,0.17714277102330833,-0.17126643080424367,0.1737626417604373,-0.2020763981611517,-0.06588923633028841,-0.01728670743727033,-0.010837752146168372,0.14372422818352107,-0.01628349160983113,-0.016660752044054716,0.08603379982506336,-0.08884797969837524,0.01974968576535674,0.17258215748370365,-0.1269995243276771,-0.11817306346821081,-0.03487394265322314,0.19210152510383544,0.06162159645535925,-0.09994950725825422,-0.17933515411959128,-0.18040021709575021,0.1096085304688716,-0.11554067408649463,0.1266919127874362,-0.025206116122266458,0.14308445921585394,-0.09367122586097203,0.2880368551661976,0.21140432729538317,-0.04130820881639596,0.14113518291864596
f0,-0.06861156307106765,0.11947533368678885,-0.11826942621703058,0.22926888655692365,-0.07776512083043854,-0.16166925558610962,0.05701036686849603,0.14997582426528444,0.09597017210920547,-0.2823732853921732,-0.031285910787676424,0.23731606196429975,-0.16739166195294058,-0.24777024151145186,0.3039135476182183,-0.27437200444665655,0.11446960748430696,-0.3226916621163949,-0.11176023475174171,-0.026858684474109232,-0.009740512541647206,0.22710230867779757,-0.006181670590342962,0.02440923517330206,0.18889906064505596,-0.1359302749273843,0.059675279777248263,0.28829217154220954,-0.17863685046124128,-0.18814867824993597,-0.04353468661975657,0.069136912956883,0.10541398587503378,-0.16680680965242708,-0.27750127132690655,-0.3029470588481713,0.2790874744509697,-0.17779803428625257,0.22237734753142752,-0.035532187157039215,0.2628014975762792,-0.14267671050639616,0.33555641976624134,0.2809485385168806,-0.030291868413800525,0.17923845683710335
fa,-0.07135136493914149,0.11482145214490753,-0.11469669698940826,0.20414173217369702,-0.08604815151976254,-0.1634705630232957,0.04735003220329263,0.18964443499530748,0.10591762764839799,-0.28267057386224054,-0.03473995628835,0.2258398033991353,-0.16742720310708317,-0.2470912659812891,0.2939542765387336,-0.2714844593624988,0.11847085841790393,-0.32239510915710146,-0.1115270044794617,-0.028423040315993187,-0.005160101529769971,0.2008648543027443,-0.011884084151354925,0.02388899420285048,0.19779865953044917,-0.14157482182588427,0.05667070105531209,0.31348887357182775,-0.16262702136865698,-0.19097356098640156,-0.03794528352056639,0.06754981693712303,0.1270161423939517,-0.16935372560341883,-0.27922201488901754,-0.30574718249988364,0.2502552313804526,-0.17846583247940795,0.23195548319058854,-0.03365625296491452,0.24126250550283587,-0.14770743280979487,0.33423081182612313,0.2876053500178125,-0.03880835412097997,0.16744083481871003
