,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
PO4,-0.04084886314845239,-0.007466544500207969,-0.13106148139320914,0.1927747110349336,-0.04137966608512081,-0.023992707861002365,0.07737092292512987,0.11668509392513124,-0.015854537162204994,-0.06155341590334301,0.14226985109801066,-0.007552616064141463,-0.07913984950464235,-0.024832979947526927,0.024017925148502643,-0.09453155844870921,-0.10763559722092281,-0.08682558057965385,-0.02769058641201837,-0.005875669915885615,-0.014977844470232234,0.15253720820760122,-0.04983200065359842,-0.15728778937209376,0.05206052415208334,-0.05365492393661417,0.0572756822608467,-0.09760394535101273,-0.11943831537861453,-0.13110403209802904,0.02481840126506464,-0.03651654929927005,-0.11965937605514247,0.14540339894301094,-0.007486488717545213,0.03385724573006792,0.06819333749042152,-0.08007573978501134,0.03713683307871872,-0.027253157611182695,-0.05117657362461184,-0.11182498210535848,0.047291696411444956,0.0964291657480299,-0.004760368967581746,0.11242123721238953,-0.06349490774425504,-0.018762145127237777,0.002062737868039865,0.23182232240214107,0.04563483166610068,0.09808388710058487,-0.06228138086728027,-0.006099904010029021,-0.14567965455082227,-0.09759885150888428,-0.07422840533331432,0.051382251642477034,-0.03252629588245981,-0.08009443957662024,-0.03644285362949135,-0.016886165217814605,-0.09688781002529376,0.11315541222863099,0.012667859074130493,-0.10120567685187959,-0.03434614213026066,-0.03386559279784866,0.14927556281528678,-0.037736188412821385,0.10155494485528446
NOx,-0.11028051903005116,-0.0045877956258249565,-0.06634140485781179,-0.07508732225367015,-0.09915080407899833,-0.058505877647163744,-0.06741277876497104,-0.053390352029867125,0.013682656628193061,-0.08213855624573252,-0.060148080545315424,0.04672423129256491,-0.01643993481681119,-0.08138634179800236,-0.06272101757694117,-0.0722521817381625,0.030952530611612582,-0.0671081650039976,-0.04023158810236618,-0.009835941620984487,0.0777848757698425,-0.03973400314152481,-0.06572780085047543,0.04819086475672851,-0.042342309616776416,-0.07255125208424938,-0.13406130504706398,0.19909464446231337,-0.11489208795086003,-0.07673611595699126,-0.012298540471091524,-0.02093938162515315,-0.04788408816821368,-0.11330431508893236,0.0007465049268663478,-0.06681488352555912,0.24995888723217025,-0.10285593276849914,0.3928283983556011,-0.08902746732787717,0.24987804028518465,-0.06974066735186477,-0.012446711107768104,-0.0559296586272931,-0.05037162780331443,-0.045734068998872265,-0.04751302123165725,-0.05631889994239096,-0.022871699510977388,-0.07862011286986596,0.029176179916665917,-0.01097450842667089,-0.06241992544504511,0.05208937967862099,-0.09213374705268997,-0.06901564454148251,-0.048553282813887245,-0.011549555464444354,-0.019911761496731392,0.031044370145736865,-0.069377388863822,-0.03908222377306987,-0.040553062195785534,0.10560364846775033,-0.015041367080493839,-0.07269336533828749,-0.03378072791930832,-0.045895606275067,-0.06111838107439369,-0.08427605405978922,0.024557302738572186
NH4,-0.1246632098136582,0.026482468876375974,-0.09284182347950212,0.06799946569974695,-0.12792686641217538,-0.07881349046534519,-0.07010763253167812,0.06018470542868681,0.07961217931924322,-0.05591472172839709,0.16387124887224766,0.03728638395407372,-0.029299969449356818,-0.06437288398862123,-0.045259731907375964,-0.1123885312915675,0.020176640639807623,-0.10683853587047978,-0.0983046879026671,-0.010236727322538521,0.12990216402084617,-0.07954144712448824,-0.09181186820444723,-0.045355419842901576,0.051717432453769085,-0.09466602185934042,-0.009637618875225679,0.0020413800808517747,-0.15970684755144776,-0.11652838648632892,0.05907521889893418,-0.022043661429829223,-0.016325278156371477,0.03863216399930017,0.0024933226483397526,-0.03436478032766288,0.3159037245257665,-0.13140064053011363,0.16286430674755464,-0.03486959832016266,-0.014462454409713138,-0.1104730503570836,0.036997069673924105,-0.07201585312654085,-0.06797605784881659,-0.026111072108868302,-0.056026228743069895,-0.012131848790310859,-0.03450385187159205,0.009144828406478844,0.10983881238780031,-0.0344060942480931,-0.10202287242526825,0.0013632741037130289,-0.1414867938674081,-0.10504798852292871,0.016713156788519794,0.14611381338993396,-0.07609453151780833,-0.017608354699454026,-0.06310347262803065,-0.050639681538108355,-0.11773971848326197,0.4517226485351157,0.0050776702866138015,-0.11015789867686752,-0.009642229554897876,-0.0705873318924748,-0.0585656108600078,-0.06954116425812712,0.07421845136475175
NO2,-0.09683651782066223,-0.013993185442855499,-0.1023967989970863,-0.08096873783069516,-0.14355576247797316,-0.041143440828883326,-0.0804244136067529,-0.01665452987335847,0.03190585837873207,-0.12546875703353388,-0.04211650493565272,0.08070042231334335,-0.0033438080661531764,-0.07098691959504308,-0.051107031311694376,-0.07216307102890389,0.07260022792429713,-0.09939239519672083,0.01831100648866566,-0.003550618959018651,0.08176107919340213,-0.05354948367660603,-0.08573861108428202,0.036801366598705566,-0.017556443756506245,-0.10251153347233463,-0.19651531545114337,0.17898754325444255,-0.12825119068112686,-0.11600848748037171,-0.017882705151199725,-0.04548836711503412,-0.041277556748510275,-0.12063433084338314,0.014742488282512064,-0.05398175781872343,0.26851107530762436,-0.09806898462839105,0.2662328578245617,-0.11482628110227032,0.1613428641821448,-0.10203457483411811,0.07653019249800658,-0.04519845171250235,-0.060947571152952115,-0.04659083647427556,-0.05081844102246068,-0.02852693872716449,0.002690428161685801,-0.08351626219159798,0.052539798885075054,0.012325387374398636,-0.05674733549855024,0.02736576018682011,-0.13201101676238247,-0.10192923284974198,-0.041394074705796174,-0.009199732597038775,-0.010594035388934615,0.06143212205423915,-0.10293400698251776,-0.04808527033488634,-0.044652363126884836,0.165948409845582,-0.004167574431409174,-0.10828740994741409,-0.048438775849958544,-0.04843017725994336,-0.060257543872017996,-0.11540827717634757,0.05904527390546695
NO3,-0.110226341744299,-0.004417938258985995,-0.06556634018884677,-0.07479754721807498,-0.09815190935346643,-0.058649204209324346,-0.06702258164238692,-0.05387253667064487,0.01334136911727166,-0.08120097907387451,-0.06029848784565285,0.046033999710742166,-0.016618422906687233,-0.081354396325099,-0.06275694282800873,-0.07207003570301829,0.030173353331714965,-0.06639458154672606,-0.04111400349183292,-0.009916659073247874,0.0775202895329221,-0.039400637234437014,-0.0652241619663792,0.04825994575828359,-0.042651579804688006,-0.07186292209973741,-0.1326700967202594,0.19892679828148235,-0.11437536736226611,-0.07588052202454357,-0.012173356664791374,-0.020473251333698664,-0.04787350052043804,-0.11289303801796267,0.000509198330457851,-0.06686090895559556,0.24901151809205496,-0.10267501708434648,0.39395924592483966,-0.08836725432692163,0.2507320612298992,-0.06902023003946181,-0.013911645899908193,-0.05596799747145427,-0.05006571228988173,-0.04560341514497876,-0.04733666001503353,-0.05664320736887417,-0.023243515092510502,-0.07833793041727713,0.02870905157515013,-0.011338513128834927,-0.06235668308198361,0.05237282856859462,-0.09122884239754497,-0.06828662714689787,-0.04855029015385482,-0.011559723196626017,-0.020017873352037554,0.030454349101986404,-0.06863663640418395,-0.038831458528754526,-0.04038103835381103,0.10432024863080708,-0.015186030795302136,-0.07190991555265594,-0.0334483217864064,-0.04573632157319561,-0.060977514309804,-0.08353821111722262,0.023914805271840138
temperature,-0.07554493429856741,-0.06139154630132514,0.009848154486216303,0.29034172337992337,0.3695429933811897,-0.025932419773229656,0.3466211526647025,0.1933396750919297,0.012097368753006207,-0.09380798449712993,-0.051833292694870664,-0.10978998876000351,-0.4009629776336075,-0.2012798145965414,0.2783453796515982,-0.21882782542386894,0.06517098432634827,0.20468862972337426,-0.3697004342925766,-0.03554645327759142,-0.25070659479005974,0.2306583461843573,0.2911270141454929,-0.06361984045694252,0.10391385392281655,0.1696139986251904,0.19751639278939975,-0.04716785725383606,-0.031070299443775703,0.07423420467098019,0.003740688234001731,0.023451195943624967,-0.0202852513613186,0.3638653916839487,-0.3455963592097765,-0.09444449614207008,-0.26299511878123244,-0.08751442350367107,-0.29567123138660945,0.08476448200022381,-0.13182410621325064,0.28173543782412513,0.15273915100231383,0.277208903615066,0.24822129340854193,0.17773484096850567,0.14981564283247903,0.30328563765520805,-0.05541395533767733,0.3477279349196093,0.052337018402181315,-0.17458655125718558,-0.05272457948853491,-0.06162724450345302,-0.04868424053933318,0.23965507759700466,0.11486068597767858,-0.2367452953757244,-0.126734157829984,0.06890139788176776,0.18947376918112407,0.1608390367597257,-0.2494252460160364,-0.2800760905898495,-0.0224990234409283,0.1978184616246822,-0.1464279385326432,0.25153754852448584,0.2929325134368602,0.2839316733489361,0.119420538968731
salinity,0.19863128281724504,-0.22459959687620268,0.011908892872008157,0.12184523212243911,0.24834686068861245,0.19142526375445146,0.23423453534878935,0.1135889619456731,-0.09410587340575519,0.11728212815722283,0.14069638132938142,-0.20673613729112544,-0.04274622810071192,0.03413292203473697,0.11123637622173627,0.16569718596123892,-0.08058218281834467,0.13452957560462958,0.09664103541586985,-0.006320382069322486,-0.14027780396280706,0.07438135360109834,0.17488395951684416,-0.031279223080052126,0.05766732792533079,0.23641255068050443,0.2675174435056328,-0.3811198181959614,0.18297408334842435,0.1106849120877613,0.0078019713881202464,-0.15239726132065554,0.035232287748979664,0.314553512028372,-0.00470170535336202,0.310763858353735,-0.37706188061474044,0.09768832524227614,-0.5567216519153524,0.2870405289585395,-0.384987340919054,0.15931900618427708,-0.35513721798686676,0.09309967876699216,0.14676021007818563,0.08469471143266463,0.11175662198359099,0.15832023439925474,0.04732018510075278,0.2583818238575168,-0.3678433106094525,0.058850957327439696,0.09911044098164547,-0.06730108263732335,0.04961586022121048,0.146673197009303,0.016812700588809803,0.044088391163466245,0.042677751623376815,-0.2971920157672301,0.16030611834159997,0.11999645983419907,0.03414428356366882,-0.31503917018051,0.05730148726533421,0.14889515752957622,0.03707678723347464,0.04903976426082999,0.17710010046825347,0.1769167915481768,-0.350181586640643
Chl_a,-0.19699551749839417,0.15560069231329948,-0.11890978490117982,0.18499848270583363,-0.05451414077087044,-0.10246179431248809,0.03683765762165721,0.10233422466812944,0.032264195864753466,-0.1804698218929322,-0.020622903806221914,0.133896974038174,-0.17585512272531786,-0.12731675603392487,0.10381340417939965,-0.16204364639723173,0.07235438094667059,-0.09165660669555102,-0.16715994859244657,-0.015826832586218937,-0.03153936595451165,0.16046644850790787,-0.027766822734542437,-0.067523065495525,0.02370139752339414,-0.07825384941743274,-0.13972803678180695,0.19624487365543258,-0.14053873549690094,-0.08341778542542051,0.13416370706196715,0.17913150150545354,0.007727661864211827,0.03620931258359575,-0.14884760965740418,-0.12332279864304109,0.0023658314191262408,-0.16564481886752147,0.12712853404804647,-0.1519327001596456,0.15557321667639104,-0.08223894564984677,0.25343425572816936,0.39717902853612164,-0.009694727006587623,0.12954113869922257,0.015373221070440068,0.15177942147537787,-0.031721562688199624,0.07864814558277328,0.11871094096683801,-0.07682691015797175,-0.07443989986778421,-0.02158425143971983,-0.12556151960294779,-0.08974010725837467,-0.015033948503131486,-0.09684900558073503,-0.04605118698636956,0.24383369178105962,-0.0793101321064105,-0.03919311274762303,-0.11232321543290275,-0.012328119226064726,-0.026313537979148476,-0.09869246412709766,-0.06327373288436605,0.14887316249943222,0.14937761728463042,-0.015883075677241374,0.05071050058695143
Phaeo,-0.12759160644331272,0.06143107089185357,-0.07889700276356627,0.07088432526619597,-0.06678760546244496,-0.00046531121459254983,-0.023968734115203717,0.09474117134919821,0.037013595954286625,-0.11414152586246606,-0.020543768712653402,0.013914876967636417,-0.11334838136980255,-0.08381071666152097,0.06196652965234649,-0.09412025901169445,0.19247946180105788,-0.06155412485193521,-0.09978441872533708,-0.013441082148396585,0.037262818781786444,-0.010319222180580062,-0.006573749667361893,-0.04173017781136246,0.02416058658459199,-0.05975249446510447,-0.10581547065492652,0.07500323237146701,-0.06775141642075924,-0.05835824000718337,0.19809399420704854,0.15127617887292602,0.16478787647477092,-0.035254817809977634,-0.09648831892541418,-0.06887168617728921,-0.026972262574958307,-0.0967381324662695,-0.002942790249784634,-0.10485399923158344,0.03806820901300587,-0.04541538004058733,0.36198331556623364,0.2252254291246496,-0.033062203542866334,0.09058650535426116,0.09894364627149178,0.33140724546455563,-0.00936009606479777,-0.030446053343382146,0.10499236872388376,-0.049383660907165464,-0.030759763547626554,-0.01712405888436789,-0.07949006049146201,-0.0669492509596363,0.016658006362475303,-0.07708897351164593,-0.005210646342678642,0.14893889530067123,-0.04903760456014611,-0.02415320929496454,-0.07350404582545517,-0.0344415344403709,-0.012573418521638343,-0.06550009565949984,-0.04112075168822939,0.15673602143463025,0.0012531200504281824,-0.056461419077062876,0.06195775282435609
Chl_a_conc,-0.20002652587495284,0.1473043635833905,-0.12125026409259504,0.17454980352048036,-0.06390518583574957,-0.08613525716376065,0.024410615825196408,0.11164086293445316,0.037139110627321795,-0.18250037500698446,-0.02289264391503336,0.11617664013021961,-0.178411207863641,-0.12964222224968713,0.10397836720249415,-0.16159366888687232,0.1130284337132261,-0.09366162383131699,-0.16742724179627816,-0.016937064119723514,-0.016351392816359542,0.13189580740689927,-0.02509406879384195,-0.0680176280574514,0.02645941438208434,-0.08192157024742011,-0.14603875422344398,0.18510930588225705,-0.13637810219140323,-0.0858775112368404,0.1664379828996328,0.19146563098632044,0.051256045774871084,0.020816985933324313,-0.15115995511252822,-0.12223099231145546,-0.005341839654817781,-0.16532779683850063,0.10591519251473736,-0.15602242520992007,0.1409341209262305,-0.08137167319964372,0.31108163598516403,0.39459025347808097,-0.01712026018512517,0.13335025512300464,0.03978546988817158,0.21744332499494917,-0.029170760031088937,0.057747577644130035,0.12817289041182534,-0.07790677838082657,-0.07084335987461064,-0.022770561330219784,-0.1269950076177499,-0.09351860693517809,-0.008094234042829149,-0.10224072454953403,-0.040072069211131656,0.2451431838432317,-0.07989723739757067,-0.03946152059512535,-0.11425619408829213,-0.01970552566743689,-0.025504126258016017,-0.10063972222224547,-0.06428507046867432,0.16754938878555156,0.12573153389001274,-0.028671961198204032,0.05940015531905468
